player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
199572,/player/199572/ciprian-deac/240002,24.0,2.0,2023-09-22,C. Deac,Ciprian Ioan Deac,"CM, RM",70,70,500000.0,7000.0,37,1986-02-16,177,74,110816.0,CFR Cluj,330.0,Liga 1,1.0,SUB,10.0,,2017-01-14,2024.0,39,Romania,,,,Left,4,3,1,High/Medium,Normal (170-185),No,675000.0,,"Finesse Shot, Pinged Pass, Technical, Relentless",68.0,66.0,73.0,68.0,57.0,72.0,73,65,49,73,61,66,74,74,72,70,66,69,67,72,71,70,63,83,70,65,65,60,71,72,68,73.0,55,58,59,7,14,9,9,14,,67+2,67+2,67+2,69,69,69,69,69,70,70,70,71-1,70,70,70,71-1,67+2,67+2,67+2,67+2,67+2,65+2,61+2,61+2,61+2,65+2,18+2
223229,/player/223229/cristian-manea/240002,24.0,2.0,2023-09-22,C. Manea,Cristian Marian Manea,"RB, RWB",69,72,1700000.0,7000.0,25,1997-08-09,183,77,110816.0,CFR Cluj,330.0,Liga 1,1.0,RWB,4.0,,2020-09-07,2024.0,39,Romania,1356.0,RB,4.0,Right,3,2,1,Medium/High,Normal (170-185),No,2400000.0,,"Jockey, Long Throw",78.0,48.0,61.0,63.0,65.0,73.0,65,43,65,63,41,60,58,61,61,63,77,79,68,65,71,60,80,80,72,46,67,65,54,52,55,61.0,66,65,64,10,9,6,7,10,,59+2,59+2,59+2,61,59,59,59,61,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,67+2,65+2,65+2,65+2,67+2,67+2,66+2,66+2,66+2,67+2,15+2
190084,/player/190084/panagiotis-tachtsidis/240002,24.0,2.0,2023-09-22,P. Tachtsidis,Panagiotis Tachtsidis,"CDM, CAM, CM",69,69,925000.0,8000.0,32,1991-02-15,191,90,110816.0,CFR Cluj,330.0,Liga 1,1.0,CDM,77.0,,2023-07-21,2024.0,22,Greece,,,,Left,3,3,2,Medium/Medium,Normal (185+),No,1200000.0,,Long Ball Pass,46.0,61.0,69.0,63.0,65.0,78.0,66,48,73,70,60,66,72,62,72,70,45,47,37,63,43,75,77,72,84,72,70,63,69,68,63,68.0,61,68,65,10,14,12,15,11,,64+2,64+2,64+2,62,64,64,64,62,65+2,65+2,65+2,64+2,68+1,68+1,68+1,64+2,64+2,68+1,68+1,68+1,64+2,64+2,68+1,68+1,68+1,64+2,18+2
200641,/player/200641/yevhen-konoplyanka/240002,24.0,2.0,2023-09-22,Y. Konoplyanka,Yevhen Konoplyanka,"LM, CF",69,69,875000.0,8000.0,33,1989-09-29,178,70,110816.0,CFR Cluj,330.0,Liga 1,1.0,SUB,22.0,,2023-07-27,2024.0,49,Ukraine,1366.0,RES,29.0,Right,3,4,2,Medium/Low,Normal (170-185),Yes,1200000.0,,"Rapid, Trivela",73.0,68.0,69.0,71.0,32.0,59.0,70,66,51,72,67,68,76,73,63,72,74,73,76,72,80,70,70,37,71,70,52,37,68,64,70,75.0,25,30,27,5,11,15,9,9,,68+1,68+1,68+1,70-1,69,69,69,70-1,69,69,69,68+1,63+2,63+2,63+2,68+1,52+2,51+2,51+2,51+2,52+2,49+2,46+2,46+2,46+2,49+2,16+2
250952,/player/250952/karlo-muhar/240002,24.0,2.0,2023-09-22,K. Muhar,Karlo Muhar,"CDM, CM",68,71,1400000.0,6000.0,27,1996-01-17,190,83,110816.0,CFR Cluj,330.0,Liga 1,1.0,RCM,73.0,,2022-07-01,2024.0,10,Croatia,,,,Right,3,2,1,Medium/High,Normal (185+),No,2000000.0,,Bruiser,65.0,48.0,55.0,58.0,66.0,82.0,36,40,61,65,39,56,32,40,61,61,62,67,58,61,61,61,77,83,83,53,80,67,55,60,41,48.0,68,65,63,6,11,9,9,6,,57+2,57+2,57+2,56,58,58,58,56,59+2,59+2,59+2,58+2,62+2,62+2,62+2,58+2,63+2,67+2,67+2,67+2,63+2,63+2,68+2,68+2,68+2,63+2,14+2
273100,/player/273100/ermal-krasniqi/240002,24.0,2.0,2023-09-22,E. Krasniqi,Ermal Krasniqi,"LM, ST",68,71,1600000.0,6000.0,24,1998-09-07,188,78,110816.0,CFR Cluj,330.0,Liga 1,1.0,SUB,7.0,,2023-01-11,2025.0,219,Kosovo,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,2300000.0,,,73.0,69.0,60.0,68.0,25.0,60.0,59,70,40,63,60,70,64,58,51,69,74,73,68,64,58,72,59,74,61,68,42,29,69,62,62,66.0,23,20,24,7,13,5,8,8,,66+2,66+2,66+2,68,68,68,68,68,66+2,66+2,66+2,67+2,60+2,60+2,60+2,67+2,51+2,46+2,46+2,46+2,51+2,47+2,38+2,38+2,38+2,47+2,15+2
193056,/player/193056/rangelo-janga/240002,24.0,2.0,2023-09-22,R. Janga,Rangelo Maria Janga,ST,68,68,1000000.0,8000.0,31,1992-04-16,194,88,110816.0,CFR Cluj,330.0,Liga 1,1.0,RES,32.0,,2022-09-03,2024.0,85,Curacao,,,,Right,3,2,1,High/Medium,Normal (185+),No,1400000.0,,Aerial,69.0,66.0,43.0,62.0,27.0,78.0,35,69,70,53,60,59,37,44,38,66,68,69,61,70,51,70,82,73,84,56,68,22,71,40,54,66.0,25,21,18,6,14,14,13,12,,68,68,68,60,63,63,63,60,59+2,59+2,59+2,59+2,53+2,53+2,53+2,59+2,45+2,44+2,44+2,44+2,45+2,43+2,45+2,45+2,45+2,43+2,18+2
266395,/player/266395/philip-otele/240002,24.0,2.0,2023-09-22,P. Otele,Philip Otele,"LM, RM",67,72,1500000.0,5000.0,24,1999-04-15,185,80,110816.0,CFR Cluj,330.0,Liga 1,1.0,SUB,17.0,,2023-07-01,2024.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,2100000.0,,Rapid,89.0,56.0,58.0,70.0,27.0,67.0,60,59,52,63,41,71,42,40,58,67,90,89,82,56,81,65,79,53,74,44,66,21,60,56,52,61.0,24,26,23,5,12,11,8,11,,63+2,63+2,63+2,66,64,64,64,66,64+2,64+2,64+2,66+2,56+2,56+2,56+2,66+2,49+2,46+2,46+2,46+2,49+2,47+2,43+2,43+2,43+2,47+2,14+2
191058,/player/191058/mario-jorge-malico-paulino/240002,24.0,2.0,2023-09-22,Camora,Mário Jorge Malico Paulino,"LB, LWB",67,67,230000.0,4000.0,36,1986-11-10,177,69,110816.0,CFR Cluj,330.0,Liga 1,1.0,LWB,45.0,,2011-07-07,2024.0,39,Romania,1356.0,SUB,22.0,Left,3,2,1,Medium/High,Lean (170-185),No,311000.0,,"Block, Long Throw",67.0,56.0,66.0,60.0,63.0,69.0,69,50,58,67,47,57,65,66,64,62,68,67,64,61,73,66,68,80,67,58,62,60,60,62,57,60.0,62,65,66,12,14,9,12,8,,60+2,60+2,60+2,61,61,61,61,61,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,66+1,64+2,64+2,64+2,66+1,65+2,63+2,63+2,63+2,65+2,17+2
206031,/player/206031/jefte-betancor-sanchez/240002,24.0,2.0,2023-09-22,Jefté,Jefté Betancor Sánchez,ST,67,67,1000000.0,7000.0,29,1993-07-06,186,79,110816.0,CFR Cluj,330.0,Liga 1,1.0,RS,9.0,,2022-07-01,2024.0,45,Spain,,,,Right,3,3,1,Medium/Low,Normal (185+),No,1400000.0,,"Flair, Trivela",70.0,65.0,62.0,68.0,32.0,72.0,54,66,68,68,64,65,62,51,58,71,67,72,69,64,69,65,76,76,74,62,60,23,69,64,74,68.0,24,37,20,10,15,9,8,15,,67,67,67,66,67,67,67,66,67,67,67,66+1,63+2,63+2,63+2,66+1,51+2,51+2,51+2,51+2,51+2,48+2,46+2,46+2,46+2,48+2,18+2
239312,/player/239312/durel-avounou/240002,24.0,2.0,2023-09-22,D. Avounou,Bel-Durel Avounou,"CM, CDM",66,70,1200000.0,5000.0,25,1997-09-25,179,71,110816.0,CFR Cluj,330.0,Liga 1,1.0,LCM,29.0,,2023-07-12,2024.0,107,Congo,,,,Left,3,3,1,Medium/Low,Lean (170-185),No,1700000.0,,,70.0,63.0,61.0,67.0,61.0,69.0,52,61,76,69,47,67,49,41,68,67,69,71,67,66,65,68,84,75,73,66,49,59,66,61,52,64.0,54,64,60,11,11,12,14,13,,67+2,67+2,67+2,65,66,66,66,65,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,18+2
235546,/player/235546/anton-kresic/240002,24.0,2.0,2023-09-22,A. Krešić,Anton Krešić,CB,66,67,850000.0,5000.0,27,1996-01-29,198,83,110816.0,CFR Cluj,330.0,Liga 1,1.0,LCB,44.0,,2022-07-01,2024.0,10,Croatia,,,,Right,3,2,1,Low/High,Lean (185+),No,1200000.0,,,56.0,38.0,40.0,39.0,66.0,74.0,28,41,64,51,35,31,35,30,43,42,57,55,46,56,40,41,76,64,82,28,64,66,34,32,43,58.0,64,70,66,12,11,7,14,12,,46+2,46+2,46+2,41,42,42,42,41,41+2,41+2,41+2,43+2,46+2,46+2,46+2,43+2,55+2,58+2,58+2,58+2,55+2,58+2,66+1,66+1,66+1,58+2,17+2
