player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
205942,/player/205942/silviu-lung/240002,24.0,2.0,2023-09-22,S. Lung,Silviu Lung,GK,71,71,325000.0,4000.0,34,1989-06-04,188,80,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,RES,1.0,,2023-08-06,2024.0,39,Romania,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,439000.0,,,,,,,,,19,14,16,30,13,17,15,18,21,23,38,35,65,69,50,51,61,27,62,17,39,14,10,59,17,65.0,11,19,13,70,69,68,72,72,37.0,28+2,28+2,28+2,28,30,30,30,28,32+2,32+2,32+2,29+2,30+2,30+2,30+2,29+2,25+2,28+2,28+2,28+2,25+2,25+2,27+2,27+2,27+2,25+2,70+1
248117,/player/248117/andrei-ciobanu/240002,24.0,2.0,2023-09-22,A. Ciobanu,Andrei Virgil Ciobanu,"CAM, CM",65,70,1000000.0,3000.0,25,1998-01-18,176,67,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,7.0,Rapid Bucuresti,,2024.0,39,Romania,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,,,Trivela,70.0,65.0,67.0,67.0,34.0,53.0,66,61,55,67,57,64,73,68,67,67,73,68,75,59,77,76,63,56,53,66,45,30,61,66,65,67.0,30,35,30,8,14,10,15,12,,63+2,63+2,63+2,65,65,65,65,65,65+2,65+2,65+2,65+2,61+2,61+2,61+2,65+2,52+2,50+2,50+2,50+2,52+2,49+2,43+2,43+2,43+2,49+2,17+2
244474,/player/244474/mihai-bordeianu/240002,24.0,2.0,2023-09-22,M. Bordeianu,Mihai Cătălin Bordeianu,"CDM, CM",65,65,500000.0,2000.0,31,1991-11-18,175,73,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,CM,37.0,,2023-07-28,2024.0,39,Romania,,,,Right,4,2,1,Medium/Medium,Lean (170-185),No,675000.0,,Slide Tackle,68.0,54.0,60.0,60.0,61.0,72.0,52,48,44,65,31,56,59,58,63,61,67,68,64,60,73,69,58,80,68,59,75,62,60,60,35,60.0,61,64,62,12,12,5,14,5,,58+2,58+2,58+2,59,60,60,60,59,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2,63+2,64+1,64+1,64+1,63+2,63+2,62+2,62+2,62+2,63+2,16+2
251875,/player/251875/rares-ispas/240002,24.0,2.0,2023-09-22,R. Ispas,Rareș Ispas,LB,64,73,1300000.0,1000.0,22,2000-08-26,178,70,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,LB,27.0,,2023-08-11,2024.0,39,Romania,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,2000000.0,,,77.0,26.0,53.0,58.0,59.0,59.0,64,23,43,59,22,53,43,31,48,63,76,77,74,56,55,35,55,64,54,21,68,58,45,45,30,52.0,60,61,63,13,11,15,8,5,,46+2,46+2,46+2,54,50,50,50,54,52+2,52+2,52+2,57+2,53+2,53+2,53+2,57+2,62+2,58+2,58+2,58+2,62+2,62+2,59+2,59+2,59+2,62+2,15+2
248588,/player/248588/catalin-itu/240002,24.0,2.0,2023-09-22,C. Itu,Cătălin Mihai Itu,CM,64,72,1300000.0,4000.0,23,1999-10-26,182,70,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,19.0,CFR Cluj,,2024.0,39,Romania,,,,Right,2,2,1,Medium/High,Normal (170-185),No,,,Long Ball Pass,66.0,58.0,59.0,62.0,61.0,71.0,44,57,45,65,33,60,51,56,63,62,65,67,64,64,68,65,63,75,71,64,66,64,56,65,46,62.0,62,64,63,5,11,7,15,9,,59+2,59+2,59+2,60,61,61,61,60,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,62+2,65+2,65+2,65+2,62+2,62+2,63+2,63+2,63+2,62+2,16+2
248043,/player/248043/gabriel-vasvari/240002,24.0,2.0,2023-09-22,G. Vașvari,Gabriel Cristian Vașvari,"CDM, CM",64,64,110000.0,1000.0,36,1986-11-13,179,71,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,8.0,,2023-04-26,2024.0,39,Romania,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,149000.0,,,51.0,59.0,61.0,61.0,61.0,67.0,52,52,42,65,44,56,48,68,63,63,50,51,65,59,70,70,54,58,71,65,70,63,58,64,71,70.0,62,65,61,6,6,6,15,13,,57+2,57+2,57+2,58,59,59,59,58,60+2,60+2,60+2,58+2,62+2,62+2,62+2,58+2,59+2,63+1,63+1,63+1,59+2,59+2,62+2,62+2,62+2,59+2,15+2
248097,/player/248097/claudiu-belu-iordache/240002,24.0,2.0,2023-09-22,C. Belu-Iordache,Claudiu Belu-Iordache,RB,64,64,525000.0,2000.0,29,1993-11-07,185,78,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,5.0,,2023-07-27,2024.0,39,Romania,,,,Right,3,3,1,Medium/High,Normal (185+),No,709000.0,,Long Throw,72.0,47.0,58.0,57.0,61.0,74.0,61,44,55,61,34,54,54,45,57,55,70,73,69,61,66,57,71,70,73,45,82,61,48,55,47,50.0,61,62,61,13,12,7,15,11,,55+2,55+2,55+2,57,55,55,55,57,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,62+2,62+2,62+2,62+2,62+2,62+2,64,64,64,62+2,18+2
275225,/player/275225/alin-roman/240002,24.0,2.0,2023-09-22,A. Roman,Alin Roman,"CAM, CM",64,64,575000.0,2000.0,29,1994-01-27,173,68,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,10.0,,2022-08-02,2024.0,39,Romania,,,,Left,4,2,1,High/Low,Normal (170-185),No,776000.0,,,70.0,58.0,64.0,65.0,32.0,59.0,59,55,47,68,41,65,49,65,64,63,71,70,72,59,74,62,67,48,71,62,42,22,56,64,63,61.0,30,36,28,11,8,6,9,15,,60+2,60+2,60+2,63,62,62,62,63,64,64,64,62+2,59+2,59+2,59+2,62+2,49+2,48+2,48+2,48+2,49+2,46+2,43+2,43+2,43+2,46+2,16+2
251999,/player/251999/luis-phelipe-de-souza-figueiredo/240002,24.0,2.0,2023-09-22,Luís Phelipe,Luís Phelipe De Souza Figueiredo,"CAM, LW",63,74,1100000.0,1000.0,22,2001-02-12,187,75,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,CAM,21.0,,2023-07-01,2025.0,54,Brazil,,,,Right,2,3,1,Medium/Low,Lean (185+),No,1700000.0,,,75.0,55.0,60.0,69.0,47.0,68.0,61,53,57,63,48,72,62,45,58,70,72,77,71,53,59,61,71,67,70,57,64,47,57,57,42,59.0,45,47,44,13,12,12,11,9,,61+2,61+2,61+2,64,63,63,63,64,63+2,63+2,63+2,64+2,60+2,60+2,60+2,64+2,58+2,56+2,56+2,56+2,58+2,56+2,54+2,54+2,54+2,56+2,16+2
251071,/player/251071/robert-ion/240002,24.0,2.0,2023-09-22,R. Ion,Robert Andrei Ion,"CAM, LW, RW",63,71,1100000.0,1000.0,22,2000-09-05,179,70,110815.0,CSM Politehnica Iași,330.0,Liga 1,1.0,SUB,23.0,,2023-01-01,2024.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1700000.0,,"Technical, Flair",72.0,62.0,61.0,66.0,42.0,60.0,61,60,50,62,51,65,48,59,58,66,71,73,75,49,75,70,62,73,56,62,54,43,60,64,53,65.0,44,37,37,5,7,7,11,13,,61+2,61+2,61+2,63,63,63,63,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,55+2,53+2,53+2,53+2,55+2,53+2,48+2,48+2,48+2,53+2,13+2
