player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
238274,/player/238274/florinel-coman/240002,24.0,2.0,2023-09-22,F. Coman,Florinel Teodor Coman,"LW, ST",72,75,3100000.0,13000.0,25,1998-04-10,182,72,100761.0,FCSB,330.0,Liga 1,1.0,LW,7.0,,2017-08-01,2024.0,39,Romania,1356.0,LM,20.0,Right,3,4,1,Medium/Low,Lean (170-185),Yes,4400000.0,,"Finesse Shot, Dead Ball",81.0,69.0,67.0,74.0,34.0,66.0,65,69,56,69,64,74,72,70,65,74,81,81,81,67,65,74,74,66,65,69,64,33,66,67,64,68.0,36,27,25,15,13,13,7,12,,69+2,69+2,69+2,72,71,71,71,72,71+2,71+2,71+2,71+2,65+2,65+2,65+2,71+2,55+2,53+2,53+2,53+2,55+2,52+2,47+2,47+2,47+2,52+2,18+2
247972,/player/247972/darius-olaru/240002,24.0,2.0,2023-09-22,D. Olaru,Darius Dumitru Olaru,"CM, CAM",71,76,2700000.0,11000.0,25,1998-03-03,177,71,100761.0,FCSB,330.0,Liga 1,1.0,LCM,27.0,,2020-01-01,2024.0,39,Romania,1356.0,SUB,19.0,Right,5,4,1,High/High,Normal (170-185),No,3800000.0,#Engine,"Pinged Pass, Anticipate, Technical, Relentless",83.0,69.0,72.0,72.0,62.0,80.0,70,66,63,72,63,68,74,72,71,72,82,84,83,70,84,79,81,92,73,70,82,60,66,72,65,68.0,62,64,61,12,10,7,12,15,,70+2,70+2,70+2,72,71,71,71,72,71+2,71+2,71+2,73+2,71+2,71+2,71+2,73+2,71+2,69+2,69+2,69+2,71+2,70+2,67+2,67+2,67+2,70+2,18+2
205943,/player/205943/vlad-chiriches/240002,24.0,2.0,2023-09-22,V. Chiricheș,Vlad Iulian Chiricheș,CB,71,71,900000.0,10000.0,33,1989-11-14,184,75,100761.0,FCSB,330.0,Liga 1,1.0,LCB,21.0,,2023-07-25,2024.0,39,Romania,,,,Right,3,2,2,Medium/Medium,Lean (170-185),Yes,1200000.0,,"Intercept, Bruiser",50.0,61.0,56.0,61.0,73.0,64.0,46,56,73,66,70,59,46,41,68,63,49,51,53,70,66,75,69,49,66,66,75,74,36,46,51,62.0,73,74,72,7,11,10,14,13,,60+2,60+2,60+2,56,57,57,57,56,57+2,57+2,57+2,56+2,61+2,61+2,61+2,56+2,63+2,68+2,68+2,68+2,63+2,65+2,71,71,71,65+2,18+2
258942,/player/258942/octavian-popescu/240002,24.0,2.0,2023-09-22,O. Popescu,Octavian George Popescu,"LW, RW",70,83,3800000.0,8000.0,20,2002-12-27,180,66,100761.0,FCSB,330.0,Liga 1,1.0,SUB,10.0,,2020-09-14,2024.0,39,Romania,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,7500000.0,,"Finesse Shot, Technical, Flair",82.0,66.0,67.0,75.0,31.0,57.0,66,65,40,68,59,74,74,60,67,76,81,82,84,60,80,73,55,76,48,68,58,30,58,68,56,66.0,27,34,26,15,12,14,11,9,,64+2,64+2,64+2,70,69,69,69,70,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,55+2,52+2,52+2,52+2,55+2,51+2,42+2,42+2,42+2,51+2,17+2
248073,/player/248073/stefan-tarnovanu/240002,24.0,2.0,2023-09-22,Ș. Târnovanu,Ștefan Târnovanu,GK,70,80,3100000.0,6000.0,23,2000-05-09,197,87,100761.0,FCSB,330.0,Liga 1,1.0,GK,32.0,,2020-01-01,2024.0,39,Romania,1356.0,SUB,1.0,Right,2,1,1,Medium/Medium,Normal (185+),No,4800000.0,,,,,,,,,13,15,12,16,17,18,11,12,29,16,56,53,57,66,48,49,62,29,55,18,16,21,19,55,13,32.0,18,11,10,68,65,65,73,73,55.0,29+2,29+2,29+2,28,30,30,30,28,30+2,30+2,30+2,29+2,28+2,28+2,28+2,29+2,25+2,25+2,25+2,25+2,25+2,25+2,24+2,24+2,24+2,25+2,69+2
251076,/player/251076/adrian-sut/240002,24.0,2.0,2023-09-22,A. Șut,Adrian Gheorghe Șut,"CDM, CM",70,77,3000000.0,8000.0,24,1999-04-30,186,77,100761.0,FCSB,330.0,Liga 1,1.0,CDM,8.0,,2019-07-17,2024.0,39,Romania,,,,Right,2,2,1,Medium/High,Normal (185+),No,4700000.0,,Intercept,70.0,62.0,63.0,64.0,69.0,74.0,53,63,58,68,39,62,61,52,65,64,71,70,66,70,71,73,73,77,71,61,76,74,55,65,42,66.0,69,69,66,13,11,13,10,10,,64+2,64+2,64+2,63,64,64,64,63,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,68+2,69+2,69+2,69+2,68+2,68+2,69+2,69+2,69+2,68+2,18+2
239116,/player/239116/cristian-ganea/240002,24.0,2.0,2023-09-22,C. Ganea,Cristian George Ganea,LB,70,70,1200000.0,9000.0,31,1992-05-24,175,72,100761.0,FCSB,330.0,Liga 1,1.0,SUB,4.0,,2023-09-06,2024.0,39,Romania,,,,Left,3,2,1,High/Medium,Lean (170-185),No,1600000.0,,,73.0,66.0,70.0,68.0,64.0,69.0,73,56,48,72,59,65,67,76,67,69,74,72,80,64,77,85,66,72,70,74,61,65,58,67,64,69.0,66,66,70,11,5,8,5,12,,65+2,65+2,65+2,67,66,66,66,67,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,69+1,67+2,67+2,67+2,69+1,68+2,65+2,65+2,65+2,68+2,14+2
239117,/player/239117/alexandru-baluta/240002,24.0,2.0,2023-09-22,A. Băluță,Alexandru Mihail Băluță,"CAM, ST, CM",70,70,1600000.0,10000.0,29,1993-09-13,166,67,100761.0,FCSB,330.0,Liga 1,1.0,RW,25.0,,2023-07-01,2025.0,39,Romania,,,,Right,4,3,1,Medium/Medium,Normal (170-),No,2200000.0,,"Rapid, Trivela",83.0,67.0,67.0,72.0,49.0,68.0,66,66,68,69,65,70,63,66,65,71,84,83,85,66,86,69,79,70,65,66,68,48,66,69,65,67.0,43,50,45,6,10,10,6,8,,69+1,69+1,69+1,71-1,70,70,70,71-1,70,70,70,70,66+2,66+2,66+2,70,62+2,60+2,60+2,60+2,62+2,60+2,57+2,57+2,57+2,60+2,14+2
248095,/player/248095/risto-radunovic/240002,24.0,2.0,2023-09-22,R. Radunović,Risto Radunović,LB,70,70,1200000.0,9000.0,31,1992-05-04,183,77,100761.0,FCSB,330.0,Liga 1,1.0,LB,33.0,,2021-01-12,2025.0,15,Montenegro,,,,Left,3,2,1,Medium/High,Normal (170-185),No,1600000.0,,Anticipate,78.0,58.0,64.0,63.0,66.0,80.0,68,55,61,66,37,60,60,68,62,62,76,80,73,67,74,73,81,82,80,51,76,65,58,58,75,70.0,66,69,64,6,5,11,6,6,,63+2,63+2,63+2,64,63,63,63,64,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,69+1,67+2,67+2,67+2,69+1,68+2,68+2,68+2,68+2,68+2,13+2
262447,/player/262447/andrea-compagno/240002,24.0,2.0,2023-09-22,A. Compagno,Andrea Compagno,ST,69,70,1600000.0,9000.0,27,1996-04-22,194,84,100761.0,FCSB,330.0,Liga 1,1.0,ST,9.0,,2022-08-29,2024.0,27,Italy,,,,Right,4,2,1,Low/Medium,Normal (185+),No,2300000.0,#Aerial threat,Power Header,57.0,67.0,49.0,62.0,33.0,79.0,30,71,75,63,68,59,35,45,42,65,54,59,57,71,52,67,81,76,84,55,72,27,75,54,77,73.0,29,30,22,7,13,8,9,13,,69+1,69+1,69+1,60,65,65,65,60,62+2,62+2,62+2,59+2,58+2,58+2,58+2,59+2,47+2,49+2,49+2,49+2,47+2,45+2,49+2,49+2,49+2,45+2,17+2
