player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
207418,/player/207418/ionut-neagu/240002,24.0,2.0,2023-09-22,I. Neagu,Ionuț Neagu,"CDM, CM",66,66,425000.0,3000.0,33,1989-10-26,176,66,110072.0,Oțelul Galați,330.0,Liga 1,1.0,SUB,8.0,,2020-08-03,2024.0,39,Romania,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,574000.0,,,74.0,59.0,62.0,67.0,63.0,67.0,53,56,62,70,45,65,59,52,64,70,76,73,68,61,74,66,74,70,63,63,71,63,50,58,56,59.0,57,68,66,11,10,8,6,9,,62+2,62+2,62+2,63,63,63,63,63,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,15+2
276452,/player/276452/samuel-teles-silva/240002,24.0,2.0,2023-09-22,Teles,Samuel Teles Silva,"CDM, RB",64,65,625000.0,2000.0,26,1997-02-28,180,78,110072.0,Oțelul Galați,330.0,Liga 1,1.0,RDM,21.0,,2023-07-01,2024.0,38,Portugal,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,891000.0,,,75.0,44.0,56.0,61.0,63.0,64.0,50,43,58,65,38,57,45,48,51,63,74,76,71,64,68,42,68,74,59,49,64,62,53,56,38,61.0,62,66,62,10,12,8,15,12,,55+2,55+2,55+2,59,58,58,58,59,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,64+1,63+2,63+2,63+2,64+1,64+1,63+2,63+2,63+2,64+1,18+2
213380,/player/213380/kehinde-fatai/240002,24.0,2.0,2023-09-22,K. Fatai,Kehinde Abdul Feyi Fatai,ST,64,64,375000.0,2000.0,33,1990-02-19,178,74,110072.0,Oțelul Galați,330.0,Liga 1,1.0,ST,90.0,,2023-02-23,2024.0,133,Nigeria,,,,Right,4,3,1,Low/Low,Normal (170-185),No,506000.0,#Strength,Finesse Shot,56.0,63.0,54.0,64.0,39.0,72.0,56,62,65,57,66,64,63,55,42,63,52,60,63,56,71,70,78,55,91,56,46,38,63,55,71,66.0,25,46,40,14,14,10,8,13,,64,64,64,60,61,61,61,60,59+2,59+2,59+2,58+2,55+2,55+2,55+2,58+2,50+2,49+2,49+2,49+2,50+2,49+2,51+2,51+2,51+2,49+2,17+2
252109,/player/252109/joao-pedro-pereira-serrao/240002,24.0,2.0,2023-09-22,João Serrão,João Pedro Pereira Serrão,CB,63,74,1000000.0,2000.0,23,2000-02-11,192,84,110072.0,Oțelul Galați,330.0,Liga 1,1.0,RES,4.0,,2023-07-01,2024.0,38,Portugal,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1600000.0,,,55.0,28.0,39.0,41.0,63.0,69.0,30,23,65,51,31,31,30,29,42,46,57,54,47,53,65,43,71,64,73,22,65,59,24,29,44,48.0,64,66,61,8,12,10,10,9,,42+2,42+2,42+2,38,38,38,38,38,39+2,39+2,39+2,41+2,44+2,44+2,44+2,41+2,53+2,56+2,56+2,56+2,53+2,56+2,63+2,63+2,63+2,56+2,15+2
229608,/player/229608/frederic-ferreira-maciel/240002,24.0,2.0,2023-09-22,Frédéric Maciel,Frédéric Ferreira Maciel,"RW, LW",63,63,475000.0,2000.0,29,1994-03-15,175,65,110072.0,Oțelul Galați,330.0,Liga 1,1.0,SUB,67.0,,2023-07-14,2024.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,641000.0,,Technical,71.0,61.0,54.0,67.0,26.0,58.0,61,57,51,54,56,67,53,55,52,66,72,71,73,63,73,70,59,70,51,61,58,17,64,50,67,65.0,21,27,30,14,13,10,9,11,,62+1,62+1,62+1,63,63,63,63,63,61+2,61+2,61+2,63,55+2,55+2,55+2,63,49+2,44+2,44+2,44+2,49+2,46+2,39+2,39+2,39+2,46+2,17+2
224777,/player/224777/rosario-latouchent/240002,24.0,2.0,2023-09-22,R. Latouchent,Rosario Latouchent,"LB, RWB",62,63,425000.0,2000.0,27,1996-03-21,180,72,110072.0,Oțelul Galați,330.0,Liga 1,1.0,RES,3.0,,2023-09-04,2024.0,18,France,,,,Right,4,2,1,Medium/Medium,Lean (170-185),No,606000.0,,,65.0,36.0,51.0,60.0,60.0,56.0,60,33,56,57,29,59,49,29,39,60,65,65,60,58,72,41,58,67,50,35,58,61,48,48,36,58.0,60,60,58,15,11,8,8,12,,49+2,49+2,49+2,55,52,52,52,55,53+2,53+2,53+2,56+2,53+2,53+2,53+2,56+2,61+2,57+2,57+2,57+2,61+2,60+2,58+2,58+2,58+2,60+2,16+2
276141,/player/276141/ariel-lopez/240002,24.0,2.0,2023-09-22,A. López,Ariel López,"CDM, CB",62,63,375000.0,2000.0,28,1995-05-26,183,78,110072.0,Oțelul Galați,330.0,Liga 1,1.0,LDM,5.0,,2023-06-27,2024.0,60,Uruguay,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,534000.0,,,49.0,48.0,54.0,54.0,62.0,65.0,41,47,66,64,48,52,52,58,59,57,44,53,52,58,60,54,62,72,64,52,60,58,32,47,42,49.0,59,65,62,6,8,12,9,7,,52+2,52+2,52+2,50,51,51,51,50,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,58+2,61+2,61+2,61+2,58+2,59+2,62+1,62+1,62+1,59+2,13+2
216800,/player/216800/juri-cisotti/240002,24.0,2.0,2023-09-22,J. Cisotti,Juri Cisotti,"CAM, CM, ST",62,62,375000.0,2000.0,30,1993-05-05,175,62,110072.0,Oțelul Galați,330.0,Liga 1,1.0,CM,30.0,,2021-07-21,2024.0,27,Italy,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,506000.0,,,70.0,62.0,59.0,64.0,46.0,56.0,62,63,58,67,58,62,53,40,51,64,66,73,76,57,69,67,63,74,59,57,26,48,58,55,56,58.0,41,49,39,8,14,5,13,10,,62,62,62,63-1,62,62,62,63-1,62,62,62,63-1,59+2,59+2,59+2,63-1,58+2,53+2,53+2,53+2,58+2,56+2,50+2,50+2,50+2,56+2,16+2
220427,/player/220427/francois-yabre/240002,24.0,2.0,2023-09-22,F. Yabré,François Yabré,CB,62,62,250000.0,2000.0,32,1991-05-10,180,78,110072.0,Oțelul Galați,330.0,Liga 1,1.0,RCB,15.0,,2021-07-01,2024.0,101,Burkina Faso,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,338000.0,,Bruiser,63.0,31.0,33.0,36.0,63.0,76.0,32,28,48,40,32,31,35,30,34,35,61,64,33,63,56,39,69,68,85,31,65,60,23,23,39,44.0,70,66,56,14,13,12,15,12,,41+2,41+2,41+2,37,37,37,37,37,36+2,36+2,36+2,40+2,40+2,40+2,40+2,40+2,54+2,54+2,54+2,54+2,54+2,56+2,62,62,62,56+2,19+2
252574,/player/252574/diego-zivulic/240002,24.0,2.0,2023-09-22,D. Živulić,Diego Živulić,"CDM, CB",62,62,275000.0,2000.0,31,1992-03-23,187,86,110072.0,Oțelul Galați,330.0,Liga 1,1.0,SUB,31.0,,2023-01-09,2024.0,10,Croatia,,,,Right,3,2,1,Medium/High,Normal (185+),No,371000.0,,,71.0,48.0,60.0,58.0,57.0,71.0,59,38,56,66,52,59,45,50,64,52,68,74,68,61,59,64,71,72,72,50,66,61,61,55,58,56.0,52,59,62,6,13,9,9,15,,57+2,57+2,57+2,58,57,57,57,58,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,62,61+1,61+1,61+1,62,62,61+1,61+1,61+1,62,16+2
