player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
236963,/player/236963/roland-niczuly/240002,24.0,2.0,2023-09-22,R. Niczuly,Roland Csaba Niczuly,GK,69,73,1500000.0,5000.0,27,1995-09-21,181,76,113378.0,Sepsi,330.0,Liga 1,1.0,GK,33.0,,2016-07-01,2025.0,39,Romania,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,2100000.0,,,,,,,,,23,15,13,25,18,16,14,11,14,17,32,31,38,59,45,53,52,25,52,17,29,19,12,62,22,34.0,15,13,14,68,66,71,69,71,32.0,26+2,26+2,26+2,26,27,27,27,26,28+2,28+2,28+2,26+2,27+2,27+2,27+2,26+2,24+2,25+2,25+2,25+2,24+2,23+2,24+2,24+2,24+2,23+2,68+2
251842,/player/251842/marius-stefanescu/240002,24.0,2.0,2023-09-22,M. Ștefănescu,Marius Ștefănescu,"LM, RM, LB",69,72,1900000.0,6000.0,24,1998-08-14,173,66,113378.0,Sepsi,330.0,Liga 1,1.0,RM,11.0,,2019-07-01,2026.0,39,Romania,,,,Left,2,3,1,High/High,Lean (170-185),No,2700000.0,,Whipped Cross,81.0,64.0,61.0,68.0,58.0,69.0,64,68,53,66,45,66,55,47,60,67,81,81,77,64,71,67,72,81,67,56,60,61,69,57,59,67.0,59,58,57,13,10,14,13,15,,66+2,66+2,66+2,68,67,67,67,68,66+2,66+2,66+2,68+2,64+2,64+2,64+2,68+2,66+2,63+2,63+2,63+2,66+2,65+2,61+2,61+2,61+2,65+2,18+2
262261,/player/262261/nicolae-paun/240002,24.0,2.0,2023-09-22,N. Păun,Nicolae Ionuț Păun,"CDM, CM",68,76,2500000.0,5000.0,24,1999-01-19,181,75,113378.0,Sepsi,330.0,Liga 1,1.0,LDM,6.0,,2021-04-17,2027.0,39,Romania,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3900000.0,,Intercept,63.0,46.0,61.0,61.0,66.0,70.0,53,41,60,68,20,58,31,30,68,62,61,65,61,69,64,64,68,74,67,44,73,70,61,65,28,65.0,67,64,63,10,6,15,13,10,,58+2,58+2,58+2,59,60,60,60,59,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,65+2,67+2,67+2,67+2,65+2,65+2,66+2,66+2,66+2,65+2,17+2
247912,/player/247912/ion-gheorghe/240002,24.0,2.0,2023-09-22,I. Gheorghe,Ion Gheorghe,"LM, CAM, RM",68,74,1900000.0,5000.0,23,1999-10-08,171,63,113378.0,Sepsi,330.0,Liga 1,1.0,SUB,8.0,,2022-06-14,2025.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2900000.0,,"Rapid, Flair",87.0,61.0,63.0,68.0,42.0,62.0,61,60,35,64,40,66,66,58,59,65,91,83,85,60,81,64,59,86,53,64,55,43,62,65,62,68.0,46,42,39,14,12,8,14,12,,61+2,61+2,61+2,67,65,65,65,67,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,60+2,55+2,55+2,55+2,60+2,57+2,48+2,48+2,48+2,57+2,18+2
220521,/player/220521/mihai-balasa/240002,24.0,2.0,2023-09-22,M. Bălașa,Mihai Alexandru Bălașa,"CB, RB",67,69,1000000.0,5000.0,28,1995-01-14,186,78,113378.0,Sepsi,330.0,Liga 1,1.0,RCB,44.0,,2022-01-19,2024.0,39,Romania,,,,Right,3,2,1,Medium/High,Normal (185+),No,1400000.0,,"Power Header, Jockey",67.0,51.0,57.0,52.0,66.0,73.0,54,40,69,58,44,44,39,70,63,57,64,69,57,63,72,72,75,72,75,60,69,64,48,54,42,59.0,67,66,64,11,7,9,9,14,,57+2,57+2,57+2,54,55,55,55,54,55+2,55+2,55+2,56+2,58+2,58+2,58+2,56+2,62+2,64+2,64+2,64+2,62+2,64+2,67+2,67+2,67+2,64+2,16+2
229065,/player/229065/branislav-ninaj/240002,24.0,2.0,2023-09-22,B. Niňaj,Branislav Niňaj,CB,67,68,950000.0,5000.0,29,1994-05-17,191,85,113378.0,Sepsi,330.0,Liga 1,1.0,LCB,82.0,,2021-01-28,2025.0,43,Slovakia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1400000.0,,"Jockey, Slide Tackle",45.0,28.0,51.0,41.0,66.0,80.0,49,22,65,57,29,37,24,24,56,42,38,50,40,59,50,39,70,71,85,27,80,69,32,50,40,53.0,67,65,62,14,7,8,16,9,,43+2,43+2,43+2,41,41,41,41,41,44+2,44+2,44+2,46+2,51+2,51+2,51+2,46+2,58+2,62+2,62+2,62+2,58+2,59+2,67+1,67+1,67+1,59+2,17+2
194945,/player/194945/roland-varga/240002,24.0,2.0,2023-09-22,R. Varga,Roland Varga,"LM, RM",67,67,625000.0,5000.0,33,1990-01-23,182,79,113378.0,Sepsi,330.0,Liga 1,1.0,SUB,97.0,,2022-09-16,2024.0,23,Hungary,,,,Right,4,3,1,High/Medium,Lean (170-185),No,844000.0,,,79.0,67.0,65.0,67.0,32.0,63.0,68,66,69,67,67,66,72,74,53,66,80,79,75,62,67,71,79,53,68,68,61,25,62,65,63,72.0,34,28,18,15,13,9,11,10,,67,67,67,68-1,67,67,67,68-1,66+1,66+1,66+1,66+1,59+2,59+2,59+2,66+1,51+2,48+2,48+2,48+2,51+2,48+2,46+2,46+2,46+2,48+2,18+2
244684,/player/244684/vitalie-damascan/240002,24.0,2.0,2023-09-22,V. Damascan,Vitalie Damaşcan,"ST, LM",66,73,1700000.0,4000.0,24,1999-01-24,180,74,113378.0,Sepsi,330.0,Liga 1,1.0,LM,9.0,,2021-07-12,2025.0,33,Moldova,,,,Right,3,2,1,High/Medium,Lean (170-185),No,2600000.0,,,78.0,65.0,55.0,66.0,22.0,68.0,51,67,60,58,56,65,44,61,49,64,76,80,73,65,69,66,75,71,67,63,64,15,66,61,61,63.0,21,16,14,8,13,8,14,11,,66+2,66+2,66+2,65,65,65,65,65,64+2,64+2,64+2,64+2,57+2,57+2,57+2,64+2,46+2,43+2,43+2,43+2,46+2,43+2,39+2,39+2,39+2,43+2,17+2
239952,/player/239952/akos-kecskes/240002,24.0,2.0,2023-09-22,Á. Kecskés,Ákos Kecskés,CB,66,68,900000.0,4000.0,27,1996-01-04,190,75,113378.0,Sepsi,330.0,Liga 1,1.0,RES,4.0,,2023-09-02,2026.0,23,Hungary,,,,Right,3,2,1,Low/Medium,Lean (185+),No,1300000.0,,,55.0,33.0,45.0,44.0,66.0,71.0,31,31,68,60,29,32,28,37,50,52,59,52,52,63,47,41,75,65,76,26,64,64,32,35,50,58.0,68,66,64,12,5,13,14,11,,46+2,46+2,46+2,43,44,44,44,43,45+2,45+2,45+2,46+2,50+2,50+2,50+2,46+2,57+2,61+2,61+2,61+2,57+2,60+2,66+2,66+2,66+2,60+2,16+2
208739,/player/208739/cosmin-matei/240002,24.0,2.0,2023-09-22,C. Matei,Cosmin Gabriel Matei,"CAM, LM",66,66,700000.0,4000.0,31,1991-09-30,173,70,113378.0,Sepsi,330.0,Liga 1,1.0,CAM,10.0,,2022-06-14,2025.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,945000.0,,"Pinged Pass, Flair",62.0,64.0,66.0,67.0,54.0,60.0,65,62,44,68,60,68,66,59,65,66,66,58,67,59,83,67,53,61,57,64,68,59,65,68,66,63.0,48,60,51,13,9,11,13,9,,62+2,62+2,62+2,65,65,65,65,65,66,66,66,65+1,65+1,65+1,65+1,65+1,60+2,61+2,61+2,61+2,60+2,59+2,56+2,56+2,56+2,59+2,16+2
