player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
243210,/player/243210/aly-abeid/240002,24.0,2.0,2023-09-22,A. Abeid,Yacoub Aly Abeid,LB,66,68,975000.0,2000.0,25,1997-12-11,174,70,110750.0,UTA Arad,330.0,Liga 1,1.0,LB,18.0,,2022-07-01,2024.0,127,Mauritania,,,,Left,3,2,1,High/Medium,Normal (170-185),No,1400000.0,,,75.0,42.0,53.0,61.0,61.0,75.0,57,40,59,61,33,55,47,42,51,61,74,75,80,61,74,46,77,89,76,44,55,58,44,42,40,59.0,60,63,61,7,13,5,7,10,,54+2,54+2,54+2,57,54,54,54,57,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,64+2,61+2,61+2,61+2,64+2,64+2,62+2,62+2,62+2,64+2,15+2
276259,/player/276259/andrej-fabry/240002,24.0,2.0,2023-09-22,A. Fábry,Andrej Fábry,"CAM, RM",66,68,1100000.0,3000.0,26,1997-03-01,177,78,110750.0,UTA Arad,330.0,Liga 1,1.0,CAM,10.0,,2023-07-01,2025.0,43,Slovakia,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1600000.0,,,74.0,64.0,66.0,65.0,39.0,64.0,57,60,46,68,59,64,68,72,64,66,76,73,71,58,75,69,65,80,63,71,48,28,60,69,54,59.0,40,44,32,9,13,12,8,12,,62+2,62+2,62+2,65,65,65,65,65,66+2,66+2,66+2,66+2,63+2,63+2,63+2,66+2,55+2,53+2,53+2,53+2,55+2,52+2,47+2,47+2,47+2,52+2,16+2
210713,/player/210713/frederik-holst/240002,24.0,2.0,2023-09-22,F. Holst,Frederik Lucas Holst,CM,66,66,850000.0,3000.0,28,1994-09-24,177,70,110750.0,UTA Arad,330.0,Liga 1,1.0,SUB,23.0,,2023-08-04,2024.0,13,Denmark,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,81.0,55.0,65.0,66.0,62.0,70.0,64,55,55,69,54,63,61,44,66,67,82,80,74,66,73,55,74,84,63,56,70,62,63,62,51,66.0,65,60,61,15,13,14,8,10,,62+2,62+2,62+2,66,64,64,64,66,65+1,65+1,65+1,67-1,66,66,66,67-1,68-2,66,66,66,68-2,67-1,63+2,63+2,63+2,67-1,18+2
271172,/player/271172/rares-pop/240002,24.0,2.0,2023-09-22,R. Pop,Rareș Mihai Pop,"RM, LM",65,81,1800000.0,850.0,18,2005-06-14,177,60,110750.0,UTA Arad,330.0,Liga 1,1.0,RM,55.0,,2022-07-01,2027.0,39,Romania,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,3600000.0,,"Technical, Quick Step",77.0,58.0,60.0,66.0,24.0,44.0,57,60,30,64,52,65,56,50,54,64,83,72,73,59,76,55,45,67,36,57,35,21,63,64,47,63.0,24,22,26,8,7,14,5,5,,58+2,58+2,58+2,64,63,63,63,64,64+2,64+2,64+2,64+2,58+2,58+2,58+2,64+2,49+2,44+2,44+2,44+2,49+2,45+2,33+2,33+2,33+2,45+2,12+2
242500,/player/242500/alexandru-benga/240002,24.0,2.0,2023-09-22,A. Benga,Alexandru Constantin Benga,CB,65,65,230000.0,2000.0,34,1989-06-15,188,83,110750.0,UTA Arad,330.0,Liga 1,1.0,LCB,4.0,,2020-08-16,2024.0,39,Romania,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,311000.0,#Strength,"Power Header, Anticipate, Aerial",65.0,35.0,43.0,41.0,65.0,77.0,38,31,67,55,31,33,41,31,40,42,56,72,57,60,46,35,78,74,86,47,59,59,31,32,33,55.0,67,66,64,11,15,11,14,15,,46+2,46+2,46+2,43,43,43,43,43,43+2,43+2,43+2,45+2,47+2,47+2,47+2,45+2,58+2,58+2,58+2,58+2,58+2,60+2,65,65,65,60+2,19+2
251913,/player/251913/albert-stahl/240002,24.0,2.0,2023-09-22,A. Stahl,Albert Tivadar Stahl,"RM, LM, ST",64,69,875000.0,2000.0,24,1999-01-11,180,72,110750.0,UTA Arad,330.0,Liga 1,1.0,LM,7.0,,2023-07-12,2024.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1200000.0,,,86.0,58.0,57.0,64.0,40.0,59.0,56,60,44,58,53,63,58,52,54,64,84,87,75,59,68,60,62,65,57,55,54,38,57,58,54,56.0,36,42,41,7,9,10,9,14,,60+2,60+2,60+2,64,62,62,62,64,62+2,62+2,62+2,63+2,57+2,57+2,57+2,63+2,55+2,51+2,51+2,51+2,55+2,53+2,47+2,47+2,47+2,53+2,15+2
277148,/player/277148/diogo-miguel-costa-rodrigues/240002,24.0,2.0,2023-09-22,Diogo Rodrigues,Diogo Miguel Costa Rodrigues,"RB, RM",64,69,825000.0,2000.0,23,1999-08-23,185,75,110750.0,UTA Arad,330.0,Liga 1,1.0,RB,2.0,,2023-07-26,2025.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,1200000.0,,,67.0,27.0,53.0,61.0,62.0,59.0,61,26,55,60,21,63,37,29,63,60,68,66,63,58,58,26,65,65,60,25,47,59,48,35,37,50.0,62,64,66,5,6,15,5,10,,47+2,47+2,47+2,54,50,50,50,54,52+2,52+2,52+2,57+2,55+2,55+2,55+2,57+2,62+2,60+2,60+2,60+2,62+2,62+2,60+2,60+2,60+2,62+2,13+2
270880,/player/270880/godberg-cooper/240002,24.0,2.0,2023-09-22,G. Cooper,Godberg Barry Cooper,ST,64,67,775000.0,2000.0,25,1997-08-20,191,79,110750.0,UTA Arad,330.0,Liga 1,1.0,ST,9.0,,2023-07-01,2024.0,27,Italy,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1100000.0,,,65.0,65.0,35.0,60.0,24.0,74.0,20,68,63,42,50,58,34,35,25,63,66,65,59,65,66,69,79,58,82,60,72,18,64,46,64,60.0,24,16,20,8,12,8,8,12,,64+2,64+2,64+2,56,60,60,60,56,56+2,56+2,56+2,53+2,47+2,47+2,47+2,53+2,39+2,39+2,39+2,39+2,39+2,38+2,42+2,42+2,42+2,38+2,16+2
257794,/player/257794/florin-iacob/240002,24.0,2.0,2023-09-22,F. Iacob,Florin Iacob,GK,64,65,450000.0,2000.0,29,1993-08-16,180,84,110750.0,UTA Arad,330.0,Liga 1,1.0,GK,93.0,,2019-07-01,2024.0,39,Romania,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,641000.0,,,,,,,,,15,11,12,31,11,13,12,14,21,15,47,47,48,63,46,48,55,32,52,9,31,16,8,38,12,27.0,8,11,13,63,60,64,60,68,47.0,25+2,25+2,25+2,25,26,26,26,25,26+2,26+2,26+2,26+2,25+2,25+2,25+2,26+2,24+2,24+2,24+2,24+2,24+2,24+2,23+2,23+2,23+2,24+2,63+2
276261,/player/276261/marko-roganovic/240002,24.0,2.0,2023-09-22,M. Roganović,Marko Roganović,RB,64,65,625000.0,2000.0,27,1996-06-21,184,80,110750.0,UTA Arad,330.0,Liga 1,1.0,SUB,44.0,,2023-07-01,2024.0,15,Montenegro,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,891000.0,,,75.0,44.0,57.0,61.0,58.0,67.0,62,44,54,62,30,60,48,34,55,62,75,75,67,60,66,45,70,68,70,47,58,58,55,54,35,53.0,58,60,60,14,7,6,11,6,,56+2,56+2,56+2,60,58,58,58,60,59+2,59+2,59+2,61+2,58+2,58+2,58+2,61+2,63+2,60+2,60+2,60+2,63+2,62+2,61+2,61+2,61+2,62+2,15+2
