player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
236633,/player/236633/juan-bauza/240002,24.0,2.0,2023-09-22,J. Bauza,Juan Francisco Bauza,"CAM, LM, RM",69,70,1600000.0,7000.0,27,1996-05-03,177,75,115716.0,U Craiova 1948,330.0,Liga 1,1.0,CAM,10.0,,2021-07-01,2025.0,52,Argentina,,,,Right,4,3,1,Medium/Medium,Stocky (170-185),No,2300000.0,,"Technical, Trivela",78.0,62.0,68.0,70.0,36.0,71.0,64,63,55,70,54,68,72,60,67,69,80,77,82,63,81,66,74,73,70,65,70,40,64,70,40,67.0,33,30,37,7,8,14,5,10,,66+2,66+2,66+2,69,68,68,68,69,69+1,69+1,69+1,69+1,65+2,65+2,65+2,69+1,57+2,55+2,55+2,55+2,57+2,54+2,49+2,49+2,49+2,54+2,14+2
262443,/player/262443/dragos-albu/240002,24.0,2.0,2023-09-22,D. Albu,Constantin Dragoș Albu,"CDM, CM",68,77,2600000.0,5000.0,22,2001-03-15,186,82,115716.0,U Craiova 1948,330.0,Liga 1,1.0,RDM,8.0,,2020-07-14,2024.0,39,Romania,,,,Left,4,2,1,Medium/Medium,Normal (185+),No,4000000.0,,"Long Ball Pass, Slide Tackle",71.0,61.0,67.0,66.0,64.0,71.0,64,55,54,69,50,63,64,68,65,67,69,72,70,68,81,73,66,76,70,68,69,67,59,66,59,69.0,65,66,60,13,10,5,11,6,,63+2,63+2,63+2,65,65,65,65,65,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,67+2,67+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,66+2,16+2
262355,/player/262355/yassine-bahassa/240002,24.0,2.0,2023-09-22,Y. Bahassa,Yassine Bahassa,"LM, RM",68,68,1000000.0,6000.0,31,1992-05-21,187,79,115716.0,U Craiova 1948,330.0,Liga 1,1.0,SUB,28.0,,2022-07-01,2024.0,18,France,,,,Right,4,5,1,Medium/Low,Lean (185+),No,1400000.0,,"Technical, Flair, Trickster",72.0,60.0,63.0,73.0,21.0,63.0,64,61,38,64,55,76,63,63,59,74,73,72,76,58,62,62,60,66,68,61,46,16,65,63,47,69.0,16,23,22,11,15,13,12,15,,63+2,63+2,63+2,68,66,66,66,68,67+1,67+1,67+1,67+1,61+2,61+2,61+2,67+1,49+2,45+2,45+2,45+2,49+2,44+2,37+2,37+2,37+2,44+2,18+2
257625,/player/257625/apostolos-diamantis/240002,24.0,2.0,2023-09-22,A. Diamantis,Apostolos Diamantis,"CB, CDM",67,75,2100000.0,4000.0,23,2000-05-20,187,73,115716.0,U Craiova 1948,330.0,Liga 1,1.0,RES,25.0,,2023-09-01,2024.0,22,Greece,,,,Right,3,2,1,High/High,Lean (185+),No,3300000.0,,"Long Ball Pass, Slide Tackle",66.0,41.0,60.0,65.0,68.0,66.0,49,38,64,67,23,64,56,31,68,65,67,65,69,69,55,51,70,63,65,39,72,67,57,62,42,68.0,72,65,67,7,9,7,5,9,,56+2,56+2,56+2,59,59,59,59,59,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,64+2,67+2,67+2,67+2,64+2,65+2,67+2,67+2,67+2,65+2,14+2
199895,/player/199895/leo-lacroix/240002,24.0,2.0,2023-09-22,L. Lacroix,Léo Lacroix,CB,67,67,700000.0,5000.0,31,1992-02-27,197,95,115716.0,U Craiova 1948,330.0,Liga 1,1.0,RCB,4.0,,2023-07-18,2024.0,47,Switzerland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,945000.0,#Strength,Power Header,44.0,42.0,56.0,56.0,65.0,80.0,52,35,67,62,38,52,55,50,61,62,43,45,58,65,43,54,74,75,90,51,61,65,37,48,36,58.0,60,69,64,9,9,15,15,11,,52+2,52+2,52+2,51,51,51,51,51,53+2,53+2,53+2,53+2,58+2,58+2,58+2,53+2,61+2,65+2,65+2,65+2,61+2,62+2,67,67,67,62+2,17+2
213228,/player/213228/samuel-asamoah/240002,24.0,2.0,2023-09-22,S. Asamoah,Samuel Asamoah,"CDM, CM",67,67,875000.0,5000.0,29,1994-03-23,166,64,115716.0,U Craiova 1948,330.0,Liga 1,1.0,SUB,77.0,,2021-07-01,2024.0,144,Togo,,,,Right,3,3,1,Medium/High,Normal (170-),No,1200000.0,,"Long Ball Pass, Flair, Relentless",72.0,57.0,66.0,69.0,63.0,65.0,64,49,50,67,59,67,65,64,67,68,73,72,79,60,85,68,59,87,50,64,75,63,62,66,48,70.0,66,65,64,9,11,15,14,9,,60+2,60+2,60+2,65,64,64,64,65,65+2,65+2,65+2,67,67,67,67,67,68-1,66+1,66+1,66+1,68-1,67,62+2,62+2,62+2,67,16+2
262420,/player/262420/robert-popa/240002,24.0,2.0,2023-09-22,R. Popa,Robert Popa,GK,66,79,1800000.0,2000.0,20,2003-03-05,190,83,115716.0,U Craiova 1948,330.0,Liga 1,1.0,GK,31.0,,2020-06-01,2025.0,39,Romania,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3600000.0,,Far Throw,,,,,,,14,5,10,31,7,23,11,11,32,20,36,43,47,62,23,52,51,27,51,6,23,7,8,51,10,23.0,6,11,13,65,63,69,65,69,39.0,25+2,25+2,25+2,26,27,27,27,26,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,23+2,24+2,24+2,24+2,23+2,22+2,20+2,20+2,20+2,22+2,65+2
255524,/player/255524/danny-agostinho-henriques/240002,24.0,2.0,2023-09-22,Danny Henriques,Danny Agostinho Henriques,CB,66,68,950000.0,4000.0,25,1997-07-29,186,81,115716.0,U Craiova 1948,330.0,Liga 1,1.0,LCB,14.0,,2023-01-18,2024.0,38,Portugal,,,,Left,3,2,1,High/Medium,Normal (185+),No,1400000.0,,,50.0,26.0,50.0,46.0,66.0,71.0,35,20,65,65,34,38,24,25,57,50,46,53,46,66,49,37,67,72,72,25,70,66,26,44,39,62.0,67,67,64,6,12,8,8,10,,43+2,43+2,43+2,42,43,43,43,42,46+2,46+2,46+2,47+2,53+2,53+2,53+2,47+2,59+2,63+2,63+2,63+2,59+2,60+2,66+2,66+2,66+2,60+2,15+2
225376,/player/225376/vlad-achim/240002,24.0,2.0,2023-09-22,V. Achim,Vlad Alexandru Achim,"CDM, CM",66,66,300000.0,4000.0,34,1989-04-07,182,80,115716.0,U Craiova 1948,330.0,Liga 1,1.0,LDM,6.0,,2021-07-13,2024.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,405000.0,,"Long Ball Pass, Intercept",54.0,60.0,65.0,63.0,62.0,71.0,61,58,57,69,52,59,57,58,64,65,53,54,64,63,71,66,66,75,74,60,61,62,56,66,65,72.0,62,64,62,7,12,13,8,11,,61+2,61+2,61+2,61,61,61,61,61,62+2,62+2,62+2,62+2,65+1,65+1,65+1,62+2,63+2,65+1,65+1,65+1,63+2,63+2,63+2,63+2,63+2,63+2,16+2
244869,/player/244869/gabriel-compagnucci/240002,24.0,2.0,2023-09-22,G. Compagnucci,Gabriel Carlos Compagnucci,"RB, RM",66,66,625000.0,4000.0,31,1991-08-29,178,73,115716.0,U Craiova 1948,330.0,Liga 1,1.0,RB,18.0,,2023-07-01,2026.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,844000.0,,Rapid,75.0,58.0,61.0,63.0,59.0,62.0,68,56,58,63,52,62,50,41,53,65,78,72,61,61,69,70,73,67,64,51,50,60,57,66,58,58.0,51,65,65,6,9,7,5,12,,62+2,62+2,62+2,63,63,63,63,63,62+2,62+2,62+2,64+2,61+2,61+2,61+2,64+2,64+2,61+2,61+2,61+2,64+2,64+2,61+2,61+2,61+2,64+2,14+2
