player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235315,/player/235315/valentin-gheorghe/240002,24.0,2.0,2023-09-22,V. Gheorghe,Valentin Gheorghe,"LW, RW, LM",68,69,1400000.0,4000.0,26,1997-02-14,175,65,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,SUB,20.0,,2023-08-31,2024.0,39,Romania,,,,Right,4,3,1,High/Medium,Lean (170-185),No,2000000.0,,"Finesse Shot, Technical, Flair",83.0,66.0,65.0,68.0,44.0,65.0,65,66,51,65,60,65,70,68,62,66,86,81,84,66,80,70,72,79,62,66,55,45,61,64,61,65.0,43,41,42,7,5,13,11,7,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,68+1,63+2,63+2,63+2,68+1,60+2,56+2,56+2,56+2,60+2,58+2,51+2,51+2,51+2,58+2,14+2
223354,/player/223354/bogdan-vatajelu/240002,24.0,2.0,2023-09-22,B. Vătăjelu,Bogdan Ilie Vătăjelu,"LB, LWB, RB",68,68,1000000.0,3000.0,30,1993-04-24,171,81,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,LB,5.0,,2023-07-01,2024.0,39,Romania,,,,Left,4,3,1,Medium/Medium,Lean (170-185),No,1400000.0,,Jockey,83.0,61.0,65.0,67.0,62.0,67.0,66,54,58,65,59,64,68,67,65,64,81,85,84,64,89,71,75,69,65,68,69,63,61,63,52,67.0,62,62,60,6,13,12,10,11,,64+2,64+2,64+2,66,65,65,65,66,65+2,65+2,65+2,66+2,64+2,64+2,64+2,66+2,66+2,64+2,64+2,64+2,66+2,66+2,64+2,64+2,64+2,66+2,16+2
212226,/player/212226/dan-nistor/240002,24.0,2.0,2023-09-22,D. Nistor,Dan Nicolae Nistor,"CAM, CM, CDM",67,67,425000.0,2000.0,35,1988-05-06,174,74,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,CAM,10.0,,2023-02-13,2024.0,39,Romania,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,574000.0,,Long Ball Pass,64.0,65.0,68.0,67.0,59.0,69.0,65,60,44,70,65,65,67,67,69,67,62,65,73,64,79,72,54,84,60,68,77,62,67,69,68,72.0,62,60,58,9,13,10,8,14,,63+2,63+2,63+2,66,66,66,66,66,67,67,67,67,68-1,68-1,68-1,67,66+1,66+1,66+1,66+1,66+1,64+2,61+2,61+2,61+2,64+2,17+2
251770,/player/251770/george-cimpanu/240002,24.0,2.0,2023-09-22,G. Cîmpanu,George Alexandru Cîmpanu,"RM, RW, CAM",66,76,1900000.0,4000.0,22,2000-10-08,178,67,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,RES,28.0,Universitatea Craiova,,2024.0,39,Romania,,,,Left,3,3,1,Medium/Low,Lean (170-185),No,,#Acrobat,"Finesse Shot, Whipped Cross, Technical",82.0,60.0,59.0,68.0,35.0,64.0,59,60,45,63,56,66,60,56,48,65,83,81,90,63,69,69,68,70,63,56,56,36,62,62,50,56.0,30,36,36,9,10,12,12,6,,63+2,63+2,63+2,66,65,65,65,66,64+2,64+2,64+2,65+2,59+2,59+2,59+2,65+2,55+2,50+2,50+2,50+2,55+2,52+2,46+2,46+2,46+2,52+2,15+2
208474,/player/208474/ioan-filip/240002,24.0,2.0,2023-09-22,I. Filip,Ioan Constantin Filip,"CDM, CB, CM",66,66,300000.0,2000.0,34,1989-05-20,187,80,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,RDM,16.0,,2022-02-15,2024.0,39,Romania,,,,Right,2,2,1,Low/High,Lean (185+),No,405000.0,,"Long Ball Pass, Slide Tackle",42.0,41.0,58.0,58.0,63.0,73.0,46,40,60,67,29,58,36,37,62,60,36,47,49,63,51,53,63,74,75,35,71,62,43,64,45,64.0,65,63,62,6,6,16,7,15,,52+2,52+2,52+2,52,53,53,53,52,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,60+2,65+1,65+1,65+1,60+2,60+2,64+2,64+2,64+2,60+2,15+2
212048,/player/212048/alexandru-chipciu/240002,24.0,2.0,2023-09-22,A. Chipciu,Alexandru Mihăiță Chipciu,"RM, LM, RB",66,66,400000.0,3000.0,34,1989-05-18,176,73,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,LM,27.0,,2022-07-01,2024.0,39,Romania,,,,Right,4,3,1,High/High,Normal (170-185),No,540000.0,,"Technical, Flair",73.0,63.0,63.0,65.0,51.0,69.0,62,61,58,67,64,63,66,66,60,65,75,71,70,61,71,67,71,80,64,65,68,53,64,60,62,68.0,40,56,55,12,16,10,14,11,,64+2,64+2,64+2,65,64,64,64,65,64+2,64+2,64+2,65+1,63+2,63+2,63+2,65+1,62+2,60+2,60+2,60+2,62+2,61+2,57+2,57+2,57+2,61+2,18+2
223230,/player/223230/bogdan-mitrea/240002,24.0,2.0,2023-09-22,B. Mitrea,Bogdan Alexandru Mitrea,CB,66,66,230000.0,2000.0,35,1987-09-29,185,79,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,LCB,3.0,,2023-07-01,2024.0,39,Romania,,,,Left,2,2,1,Medium/High,Normal (185+),No,311000.0,,Long Ball Pass,54.0,55.0,56.0,49.0,66.0,74.0,52,50,67,57,41,43,44,70,61,52,52,55,51,60,54,71,75,59,82,51,71,65,46,55,70,66.0,67,66,62,13,13,9,9,12,,56+2,56+2,56+2,51,53,53,53,51,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,58+2,62+2,62+2,62+2,58+2,60+2,66,66,66,60+2,17+2
247950,/player/247950/gabriel-simion/240002,24.0,2.0,2023-09-22,G. Simion,Gabriel Bogdan Simion,"CDM, CM",65,70,950000.0,2000.0,25,1998-05-22,179,75,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,SUB,98.0,,2022-08-11,2024.0,39,Romania,,,,Right,3,2,1,Medium/High,Lean (170-185),No,1400000.0,,Slide Tackle,76.0,47.0,58.0,61.0,63.0,71.0,53,48,60,63,47,58,43,46,67,59,76,76,69,64,73,46,75,76,68,45,70,62,50,54,48,60.0,63,64,62,7,11,5,13,6,,57+2,57+2,57+2,59,57,57,57,59,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,15+2
257725,/player/257725/dorinel-oancea/240002,24.0,2.0,2023-09-22,D. Oancea,Dorinel Gabriel Oancea,"RB, LWB, RWB",65,68,850000.0,2000.0,26,1997-04-02,175,70,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,SUB,26.0,,2023-01-03,2024.0,39,Romania,,,,Right,2,2,1,Medium/High,Normal (170-185),No,1200000.0,,"Jockey, Rapid, Long Throw",78.0,49.0,58.0,64.0,58.0,64.0,60,47,35,64,44,63,48,31,61,61,76,79,78,62,82,60,60,73,66,46,50,60,50,53,42,56.0,58,63,61,7,13,6,8,7,,56+2,56+2,56+2,61,59,59,59,61,60+2,60+2,60+2,62+2,60+2,60+2,60+2,62+2,64+2,61+2,61+2,61+2,64+2,63+2,58+2,58+2,58+2,63+2,14+2
246560,/player/246560/daniel-popa/240002,24.0,2.0,2023-09-22,D. Popa,Daniel Iliuță Popa,ST,65,65,775000.0,2000.0,27,1995-07-14,186,83,110751.0,Universitatea Cluj,330.0,Liga 1,1.0,ST,19.0,,2023-07-01,2026.0,39,Romania,,,,Right,3,2,1,High/Low,Normal (185+),No,1000000.0,,,57.0,65.0,46.0,60.0,26.0,82.0,32,67,69,56,54,61,39,40,34,64,59,56,50,63,50,68,78,81,83,59,80,42,68,54,69,54.0,19,10,16,7,9,10,12,10,,65,65,65,58,62,62,62,58,59+2,59+2,59+2,58+2,54+2,54+2,54+2,58+2,45+2,46+2,46+2,46+2,45+2,42+2,44+2,44+2,44+2,42+2,15+2
