player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
202061,/player/202061/jasmin-kurtic/240002,24.0,2.0,2023-09-22,J. Kurtić,Jasmin Kurtić,CM,72,72,1100000.0,12000.0,34,1989-01-10,186,88,308.0,Universitatea Craiova,330.0,Liga 1,1.0,SUB,27.0,,2023-08-08,2024.0,44,Slovenia,,,,Right,3,3,2,High/Medium,Normal (185+),No,1500000.0,,,54.0,72.0,74.0,69.0,70.0,74.0,67,70,71,77,69,68,77,75,76,74,53,55,58,68,66,75,77,60,79,72,78,70,74,74,74,77.0,69,70,68,14,13,10,11,6,,71+1,71+1,71+1,69,70,70,70,69,71+1,71+1,71+1,69+2,72,72,72,69+2,68+2,72,72,72,68+2,67+2,72,72,72,67+2,17+2
229804,/player/229804/alexandru-mitrita/240002,24.0,2.0,2023-09-22,A. Mitriță,Alexandru Ionuț Mitriță,"LW, LM, CF",72,72,2400000.0,13000.0,28,1995-02-08,165,68,308.0,Universitatea Craiova,330.0,Liga 1,1.0,LM,28.0,,2023-07-01,2026.0,39,Romania,,,,Right,5,3,1,High/Medium,Lean (170-),Yes,3200000.0,#Acrobat,"Finesse Shot, Rapid, Quick Step",83.0,68.0,67.0,76.0,26.0,59.0,64,67,31,69,65,74,73,72,59,74,87,79,90,72,87,73,60,67,57,68,53,22,68,68,57,66.0,32,21,27,7,15,5,6,11,,67+2,67+2,67+2,72,71,71,71,72,71+1,71+1,71+1,71+1,64+2,64+2,64+2,71+1,54+2,50+2,50+2,50+2,54+2,49+2,40+2,40+2,40+2,49+2,16+2
231726,/player/231726/andrei-ivan/240002,24.0,2.0,2023-09-22,A. Ivan,Andrei Virgil Ivan,"LW, LM, ST",70,71,1900000.0,10000.0,26,1997-01-04,189,81,308.0,Universitatea Craiova,330.0,Liga 1,1.0,ST,9.0,,2018-08-27,2024.0,39,Romania,,,,Right,4,3,1,High/Low,Normal (185+),No,2700000.0,,"Finesse Shot, Rapid, Flair",84.0,70.0,64.0,67.0,34.0,71.0,62,71,59,65,60,66,70,65,60,69,85,84,72,63,62,72,78,85,70,68,52,38,73,66,74,68.0,25,32,29,10,11,13,9,7,,70+1,70+1,70+1,70,70,70,70,70,68+2,68+2,68+2,70+1,64+2,64+2,64+2,70+1,56+2,52+2,52+2,52+2,56+2,53+2,47+2,47+2,47+2,53+2,15+2
243023,/player/243023/vladimir-screciu/240002,24.0,2.0,2023-09-22,V. Screciu,Vladimir Ionuț Screciu,"CDM, CB",69,77,2900000.0,6000.0,23,2000-01-13,180,70,308.0,Universitatea Craiova,330.0,Liga 1,1.0,LDM,6.0,,2020-07-14,2025.0,39,Romania,1356.0,LDM,5.0,Right,5,2,1,Low/Medium,Normal (170-185),No,4500000.0,,,76.0,38.0,57.0,57.0,68.0,73.0,41,33,67,68,30,47,32,36,66,61,79,73,69,69,70,44,81,72,74,46,71,69,38,58,39,64.0,67,69,67,8,9,7,11,9,,53+2,53+2,53+2,55,54,54,54,55,57+2,57+2,57+2,57+2,61+2,61+2,61+2,57+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,16+2
243000,/player/243000/nicusor-bancu/240002,24.0,2.0,2023-09-22,N. Bancu,Nicușor Silviu Bancu,"LB, LM",69,69,1200000.0,7000.0,30,1992-09-18,178,65,308.0,Universitatea Craiova,330.0,Liga 1,1.0,LB,11.0,,2014-07-14,2024.0,39,Romania,1356.0,LB,11.0,Left,2,3,1,High/High,Lean (170-185),No,1600000.0,#Engine,Relentless,79.0,65.0,66.0,68.0,62.0,73.0,67,62,55,68,55,66,71,55,67,66,78,79,83,66,71,79,72,90,66,63,68,58,64,62,61,72.0,62,65,63,11,8,15,13,9,,66+2,66+2,66+2,67,67,67,67,67,67+2,67+2,67+2,69,67+2,67+2,67+2,69,68+1,66+2,66+2,66+2,68+1,67+2,64+2,64+2,64+2,67+2,17+2
242494,/player/242494/elvir-koljic/240002,24.0,2.0,2023-09-22,E. Koljić,Elvir Koljić,ST,68,68,1300000.0,7000.0,27,1995-07-08,191,85,308.0,Universitatea Craiova,330.0,Liga 1,1.0,SUB,19.0,,2018-08-30,2025.0,8,Bosnia and Herzegovina,,,,Right,4,2,1,Medium/Low,Normal (185+),No,1800000.0,,Power Header,57.0,69.0,52.0,61.0,33.0,73.0,33,71,74,62,64,59,57,55,54,62,61,53,60,66,52,74,83,62,83,57,60,26,74,48,70,71.0,31,26,31,8,8,13,13,11,,68,68,68,59,64,64,64,59,61+2,61+2,61+2,58+2,56+2,56+2,56+2,58+2,45+2,48+2,48+2,48+2,45+2,44+2,48+2,48+2,48+2,44+2,16+2
256271,/player/256271/alexandru-cretu/240002,24.0,2.0,2023-09-22,A. Crețu,Alexandru Crețu,"CDM, CM",68,68,850000.0,6000.0,31,1992-04-24,190,85,308.0,Universitatea Craiova,330.0,Liga 1,1.0,RDM,4.0,,2021-08-31,2024.0,39,Romania,,,,Right,3,2,1,High/Medium,Normal (185+),No,1100000.0,,Slide Tackle,54.0,58.0,58.0,61.0,67.0,75.0,42,57,64,68,42,57,39,38,65,66,53,54,61,66,58,64,72,71,78,58,71,67,61,59,61,59.0,68,67,68,12,8,11,11,7,,62+2,62+2,62+2,59,61,61,61,59,62+2,62+2,62+2,60+2,64+2,64+2,64+2,60+2,63+2,67+1,67+1,67+1,63+2,63+2,68,68,68,63+2,16+2
251880,/player/251880/stefan-baiaram/240002,24.0,2.0,2023-09-22,Ș. Baiaram,Ștefan Baiaram,"CAM, LW, ST",67,79,2500000.0,4000.0,20,2002-12-31,185,70,308.0,Universitatea Craiova,330.0,Liga 1,1.0,CAM,10.0,,2019-07-01,2026.0,39,Romania,,,,Right,3,3,1,Medium/Low,Lean (185+),No,3900000.0,,"Rapid, Flair, Trivela",84.0,60.0,62.0,68.0,29.0,59.0,62,62,39,66,49,67,62,38,58,67,82,86,80,61,71,61,56,78,50,58,56,23,66,66,45,63.0,30,29,30,9,9,6,8,6,,62+2,62+2,62+2,68,66,66,66,68,67+2,67+2,67+2,68+2,61+2,61+2,61+2,68+2,54+2,49+2,49+2,49+2,54+2,50+2,40+2,40+2,40+2,50+2,14+2
238273,/player/238273/jovan-markovic/240002,24.0,2.0,2023-09-22,J. Marković,Jovan Marković,ST,67,75,2300000.0,5000.0,22,2001-03-23,183,75,308.0,Universitatea Craiova,330.0,Liga 1,1.0,SUB,20.0,,2017-03-23,2024.0,39,Romania,,,,Right,3,3,1,High/Low,Normal (170-185),No,3600000.0,,Technical,75.0,65.0,52.0,70.0,31.0,71.0,43,66,66,57,49,71,63,45,50,69,76,75,76,62,72,73,82,63,76,59,64,29,66,55,55,66.0,25,29,26,10,14,12,8,9,,67+2,67+2,67+2,65,66,66,66,65,64+2,64+2,64+2,63+2,57+2,57+2,57+2,63+2,48+2,48+2,48+2,48+2,48+2,47+2,46+2,46+2,46+2,47+2,16+2
223568,/player/223568/gjoko-zajkov/240002,24.0,2.0,2023-09-22,G. Zajkov,Gjoko Zajkov,CB,67,69,1000000.0,5000.0,28,1995-02-10,187,79,308.0,Universitatea Craiova,330.0,Liga 1,1.0,RCB,26.0,,2023-01-12,2025.0,19,North Macedonia,,,,Right,3,2,1,Low/Medium,Normal (185+),No,1400000.0,,Long Ball Pass,48.0,24.0,46.0,46.0,68.0,71.0,28,19,65,59,15,38,20,21,59,49,41,54,52,66,59,42,68,57,79,18,68,67,26,42,22,61.0,71,69,64,13,7,14,16,13,,42+2,42+2,42+2,41,42,42,42,41,44+2,44+2,44+2,44+2,51+2,51+2,51+2,44+2,56+2,63+2,63+2,63+2,56+2,59+2,67+2,67+2,67+2,59+2,18+2
