player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224069,/player/224069/karl-toko-ekambi/240002,24.0,2.0,2023-09-22,K. Toko Ekambi,Karl Brillant Toko Ekambi,"LM, LW, ST",76,76,7000000.0,15000.0,30,1992-09-14,182,70,113058.0,Abha,350.0,Pro League,1.0,ST,7.0,,2023-08-24,2025.0,103,Cameroon,,,,Right,4,3,2,High/Low,Lean (170-185),Yes,11600000.0,,Rapid,82.0,77.0,71.0,76.0,24.0,69.0,70,79,72,72,75,77,75,63,64,76,80,84,76,75,69,79,84,75,73,73,48,21,78,74,74,78.0,23,14,18,10,12,12,8,14,,77-1,77-1,77-1,76,77-1,77-1,77-1,76,75+1,75+1,75+1,75+1,68+2,68+2,68+2,75+1,54+2,50+2,50+2,50+2,54+2,50+2,43+2,43+2,43+2,50+2,18+2
197242,/player/197242/grzegorz-krychowiak/240002,24.0,2.0,2023-09-22,G. Krychowiak,Grzegorz Krychowiak,"CDM, CM",75,75,2800000.0,13000.0,33,1990-01-29,186,79,113058.0,Abha,350.0,Pro League,1.0,RDM,5.0,,2023-07-30,2024.0,37,Poland,1353.0,RCM,10.0,Right,3,3,3,High/High,Normal (185+),No,4600000.0,,"Power Shot, Long Ball Pass",41.0,73.0,69.0,66.0,73.0,80.0,62,68,72,75,75,67,54,62,74,73,42,41,34,74,50,81,68,76,84,78,80,73,68,69,75,78.0,72,74,70,15,14,8,6,7,,70+3,70+3,70+3,65,68,68,68,65,68+3,68+3,68+3,66+3,73+2,73+2,73+2,66+3,69+3,74+1,74+1,74+1,69+3,68+3,74+1,74+1,74+1,68+3,17+3
201325,/player/201325/ciprian-tatarusanu/240002,24.0,2.0,2023-09-22,C. Tătărușanu,Anton Ciprian Tătărușanu,GK,75,75,625000.0,7000.0,37,1986-02-09,198,90,113058.0,Abha,350.0,Pro League,1.0,GK,16.0,,2023-08-10,2024.0,39,Romania,,,,Right,3,1,2,Medium/Medium,Normal (185+),No,1000000.0,,,,,,,,,13,15,15,37,11,16,11,11,37,19,46,43,51,73,38,55,69,42,73,12,33,26,13,49,16,44.0,12,15,12,73,73,73,77,76,45.0,30+2,30+2,30+2,28,30,30,30,28,32+2,32+2,32+2,30+2,33+2,33+2,33+2,30+2,28+2,32+2,32+2,32+2,28+2,28+2,29+2,29+2,29+2,28+2,74+1
241750,/player/241750/saad-bguir/240002,24.0,2.0,2023-09-22,S. Bguir,Saâd Abdullah Bguir,"CAM, RM, RW",74,74,4100000.0,14000.0,29,1994-03-22,175,67,113058.0,Abha,350.0,Pro League,1.0,CAM,10.0,,2019-06-12,2025.0,145,Tunisia,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,6800000.0,,"Dead Ball, Pinged Pass, Incisive Pass, Technical",70.0,71.0,72.0,76.0,33.0,66.0,69,73,48,74,57,77,73,76,73,76,72,69,76,72,69,70,64,82,65,71,50,30,75,71,70,70.0,28,34,37,10,10,13,5,6,,70+2,70+2,70+2,73,73,73,73,73,74,74,74,74,70+2,70+2,70+2,74,58+2,56+2,56+2,56+2,58+2,54+2,46+2,46+2,46+2,54+2,15+2
223064,/player/223064/fabian-noguera/240002,24.0,2.0,2023-09-22,F. Noguera,Fabián Ariel Noguera,CB,73,73,2500000.0,11000.0,30,1993-03-20,193,94,113058.0,Abha,350.0,Pro League,1.0,LCB,18.0,,2023-08-11,2025.0,52,Argentina,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,4100000.0,#Strength,"Jockey, Intercept, Bruiser, Aerial",36.0,38.0,46.0,50.0,73.0,84.0,29,45,78,61,28,37,31,29,52,66,34,38,45,65,51,35,79,80,92,28,70,74,51,38,32,65.0,71,73,67,7,16,9,13,8,,53+2,53+2,53+2,46,49,49,49,46,49+2,49+2,49+2,49+2,56+2,56+2,56+2,49+2,60+2,67+2,67+2,67+2,60+2,63+2,73,73,73,63+2,17+2
224218,/player/224218/francois-kamano/240002,24.0,2.0,2023-09-22,F. Kamano,François Kamano,"RM, LM, CF",72,72,2500000.0,11000.0,27,1996-05-02,175,74,113058.0,Abha,350.0,Pro League,1.0,LM,11.0,,2023-08-03,2025.0,118,Guinea,,,,Right,4,4,1,Medium/Medium,Normal (170-185),No,4100000.0,,Rapid,84.0,70.0,66.0,74.0,36.0,64.0,65,69,53,69,66,75,71,66,57,74,84,84,78,70,74,73,71,66,62,70,65,30,71,67,66,70.0,37,35,30,13,12,11,13,10,,70+2,70+2,70+2,73-1,72,72,72,73-1,71+1,71+1,71+1,71+1,65+2,65+2,65+2,71+1,57+2,53+2,53+2,53+2,57+2,54+2,48+2,48+2,48+2,54+2,18+2
219755,/player/219755/uros-matic/240002,24.0,2.0,2023-09-22,U. Matić,Uroš Matić,"CDM, CM, CAM",70,70,800000.0,7000.0,33,1990-05-23,184,77,113058.0,Abha,350.0,Pro League,1.0,LDM,8.0,,2021-07-26,2024.0,51,Serbia,,,,Left,3,3,1,High/High,Lean (170-185),No,1300000.0,,,67.0,65.0,67.0,70.0,63.0,78.0,60,63,63,72,55,69,59,60,67,72,68,66,72,70,69,70,77,83,80,66,69,63,73,69,66,70.0,64,64,60,14,14,15,8,6,,68+2,68+2,68+2,68,69,69,69,68,70,70,70,69+1,70,70,70,69+1,67+2,69+1,69+1,69+1,67+2,66+2,67+2,67+2,67+2,66+2,17+2
220906,/player/220906/devis-epassy/240002,24.0,2.0,2023-09-22,D. Epassy,Devis Rogers Epassy Mboka,GK,67,67,675000.0,4000.0,30,1993-02-02,189,77,113058.0,Abha,350.0,Pro League,1.0,SUB,60.0,,2022-08-06,2024.0,103,Cameroon,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1100000.0,,,,,,,,,12,17,19,29,16,18,13,17,22,23,41,43,35,66,52,46,63,33,65,12,23,18,8,36,29,31.0,11,21,18,68,64,61,64,70,42.0,29+2,29+2,29+2,26,28,28,28,26,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,26+2,28+2,28+2,28+2,26+2,66+1
270910,/player/270910/saad-natiq/240002,24.0,2.0,2023-09-22,S. Natiq,Saad Natiq Naji,CB,67,67,850000.0,5000.0,29,1994-03-19,188,77,113058.0,Abha,350.0,Pro League,1.0,RCB,4.0,,2022-08-24,2024.0,162,Iraq,,,,Right,3,2,1,Medium/High,Normal (185+),No,1400000.0,,"Power Header, Slide Tackle, Aerial",51.0,30.0,35.0,38.0,64.0,81.0,21,28,75,47,21,31,24,26,42,44,47,55,33,61,44,47,80,75,86,22,78,65,25,30,33,47.0,63,61,67,6,8,12,15,15,,44+2,44+2,44+2,37,39,39,39,37,38+2,38+2,38+2,40+2,44+2,44+2,44+2,40+2,54+2,58+2,58+2,58+2,54+2,57+2,67,67,67,57+2,17+2
241705,/player/241705/tayeb-meziani/240002,24.0,2.0,2023-09-22,T. Meziani,Tayeb Meziani,"RM, LM, ST",65,65,750000.0,4000.0,27,1996-02-27,175,70,113058.0,Abha,350.0,Pro League,1.0,RES,20.0,,2022-01-10,2024.0,97,Algeria,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,1200000.0,,,74.0,60.0,61.0,66.0,41.0,61.0,60,60,60,64,55,67,62,57,59,66,73,75,68,60,68,62,72,58,64,61,53,40,63,61,59,59.0,38,39,34,6,9,15,9,6,,63+2,63+2,63+2,65,64,64,64,65,64+1,64+1,64+1,64+1,60+2,60+2,60+2,64+1,54+2,52+2,52+2,52+2,54+2,52+2,49+2,49+2,49+2,52+2,14+2
