player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204485,/player/204485/riyad-mahrez/240002,24.0,2.0,2023-09-22,R. Mahrez,Riyad Mahrez,"RM, RW",86,86,54000000.0,72000.0,32,1991-02-21,179,67,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,RM,7.0,,2023-07-28,2027.0,97,Algeria,,,,Left,4,5,3,Medium/Medium,Unique,Yes,91800000.0,"#Dribbler, #Acrobat","First Touch +, Finesse Shot, Technical, Flair",79.0,81.0,81.0,89.0,38.0,60.0,80,81,56,83,76,89,85,80,75,91,84,75,91,84,88,82,71,75,57,82,48,39,84,84,73,81.0,45,31,22,15,9,13,11,6,,79+3,79+3,79+3,85,84,84,84,85,85+1,85+1,85+1,84+2,78+3,78+3,78+3,84+2,64+3,61+3,61+3,61+3,64+3,59+3,49+3,49+3,49+3,59+3,19+3
230938,/player/230938/franck-yannick-kessie/240002,24.0,2.0,2023-09-22,F. Kessié,Franck Yannick Kessié,"CDM, CM",82,84,34000000.0,46000.0,26,1996-12-19,183,74,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,LDM,79.0,,2023-08-09,2026.0,108,Côte d'Ivoire,,,,Right,4,3,3,High/High,Normal (170-185),Yes,60400000.0,#Engine,"Power Shot, Relentless",79.0,76.0,74.0,79.0,81.0,87.0,66,73,68,81,60,78,61,54,75,82,77,80,70,79,77,84,85,93,87,78,82,82,76,76,88,83.0,83,82,78,9,11,12,12,10,,77+3,77+3,77+3,77,78,78,78,77,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,80+3,81+3,81+3,81+3,80+3,80+3,81+3,81+3,81+3,80+3,18+3
201942,/player/201942/roberto-firmino-barbosa-de-oliveira/240002,24.0,2.0,2023-09-22,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,"CF, ST",82,82,25500000.0,55000.0,31,1991-10-02,181,76,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,ST,10.0,,2023-07-04,2026.0,54,Brazil,,,,Right,4,5,3,High/High,Unique,Yes,43400000.0,#Dribbler,"Pinged Pass, Technical, Flair, First Touch",70.0,77.0,79.0,87.0,58.0,77.0,73,76,78,84,79,87,81,65,76,88,72,69,83,85,86,77,83,84,73,76,75,58,84,83,72,88.0,52,64,42,8,11,9,6,10,,80+2,80+2,80+2,81,82,82,82,81,83-1,83-1,83-1,81+1,81+1,81+1,81+1,81+1,70+3,72+3,72+3,72+3,70+3,68+3,66+3,66+3,66+3,68+3,17+3
234642,/player/234642/edouard-mendy/240002,24.0,2.0,2023-09-22,É. Mendy,Édouard Mendy,GK,82,82,16000000.0,38000.0,31,1992-03-01,197,86,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,GK,16.0,,2023-07-01,2026.0,136,Senegal,,,,Right,2,1,3,Medium/Medium,Lean (185+),Yes,27200000.0,,,,,,,,,10,5,10,54,9,18,13,14,54,31,33,36,50,80,33,61,64,36,72,9,22,13,6,52,13,57.0,10,11,13,80,79,81,81,83,34.0,29+3,29+3,29+3,29,32,32,32,29,36+3,36+3,36+3,33+3,39+3,39+3,39+3,33+3,28+3,35+3,35+3,35+3,28+3,26+3,27+3,27+3,27+3,26+3,81+1
216388,/player/216388/allan-saint-maximin/240002,24.0,2.0,2023-09-22,A. Saint-Maximin,Allan Saint-Maximin,"LM, LW",81,82,30500000.0,47000.0,26,1997-03-12,173,67,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,LM,97.0,,2023-07-30,2028.0,18,France,,,,Right,4,5,2,High/Low,Stocky (170-185),Yes,54100000.0,"#Dribbler, #Acrobat","Trickster +, Technical, Flair, Quick Step",89.0,73.0,73.0,88.0,29.0,68.0,74,72,53,77,66,92,76,58,64,83,89,89,93,78,89,82,77,77,72,70,43,23,77,77,58,83.0,30,25,23,10,9,12,7,7,,76+2,76+2,76+2,81,80,80,80,81,80+2,80+2,80+2,80+2,72+2,72+2,72+2,80+2,59+2,54+2,54+2,54+2,59+2,54+2,44+2,44+2,44+2,54+2,16+2
247257,/player/247257/roger-ibanez-da-silva/240002,24.0,2.0,2023-09-22,Ibañez,Roger Ibañez Da Silva,CB,80,84,27000000.0,34000.0,24,1998-11-23,185,73,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,LCB,3.0,,2023-08-10,2025.0,54,Brazil,,,,Right,2,2,2,Medium/High,Normal (185+),No,47900000.0,,"Block, Intercept, Slide Tackle",85.0,32.0,45.0,60.0,82.0,81.0,34,27,79,63,29,45,32,35,40,75,85,85,69,76,62,45,91,85,77,25,83,86,32,34,46,74.0,78,82,86,12,7,10,6,12,,54+2,54+2,54+2,53,53,53,53,53,53+2,53+2,53+2,56+2,57+2,57+2,57+2,56+2,73+2,73+2,73+2,73+2,73+2,77+2,80+2,80+2,80+2,77+2,17+2
258729,/player/258729/gabriel-veiga-novas/240002,24.0,2.0,2023-09-22,Gabri Veiga,Gabriel Veiga Novas,"CM, CAM",78,89,31500000.0,28000.0,21,2002-05-27,184,71,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,RDM,24.0,,2023-08-26,2026.0,45,Spain,,,,Right,4,3,2,Medium/Medium,Lean (170-185),Yes,59900000.0,,,71.0,77.0,72.0,78.0,60.0,62.0,55,81,52,80,45,80,56,60,78,82,71,71,73,76,65,77,67,69,65,80,46,75,75,76,60,68.0,41,73,60,13,14,13,6,9,,74+2,74+2,74+2,76,77,77,77,76,78+2,78+2,78+2,75+2,78+2,78+2,78+2,75+2,69+2,71+2,71+2,71+2,69+2,67+2,63+2,63+2,63+2,67+2,18+2
238160,/player/238160/merih-demiral/240002,24.0,2.0,2023-09-22,M. Demiral,Merih Demiral,CB,77,81,13000000.0,31000.0,25,1998-03-05,190,86,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,RCB,28.0,,2023-08-19,2026.0,48,Turkey,,,,Right,2,2,1,Medium/High,Normal (185+),No,23100000.0,,"Power Header, Jockey, Slide Tackle",72.0,39.0,47.0,60.0,79.0,80.0,31,32,75,59,42,57,48,23,59,59,65,77,63,68,63,60,83,67,84,38,85,78,26,38,41,74.0,78,82,79,15,7,13,6,11,,54+2,54+2,54+2,51,51,51,51,51,51+2,51+2,51+2,53+2,56+2,56+2,56+2,53+2,66+2,70+2,70+2,70+2,66+2,69+2,77+2,77+2,77+2,69+2,16+2
188388,/player/188388/ryad-boudebouz/240002,24.0,2.0,2023-09-22,R. Boudebouz,Ryad Boudebouz,"CAM, LM",73,73,1900000.0,27000.0,33,1990-02-19,177,74,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,CAM,9.0,,2022-09-08,2024.0,97,Algeria,,,,Left,4,4,2,Medium/Medium,Normal (170-185),No,3200000.0,,"Tiki Taka, Technical, Flair, Trickster, Trivela",64.0,73.0,75.0,75.0,45.0,62.0,76,71,45,75,68,76,78,76,72,75,62,65,74,70,74,76,59,64,64,73,53,54,72,76,83,77.0,53,35,30,10,12,16,10,14,,69+2,69+2,69+2,73,72,72,72,73,73,73,73,72+1,70+2,70+2,70+2,72+1,60+2,60+2,60+2,60+2,60+2,56+2,51+2,51+2,51+2,56+2,18+2
206006,/player/206006/ezgjan-alioski/240002,24.0,2.0,2023-09-22,E. Alioski,Ezgjan Alioski,"LB, LM",73,73,2200000.0,24000.0,31,1992-02-12,172,63,112387.0,Al Ahli Jeddah,350.0,Pro League,1.0,LB,11.0,,2021-07-28,2024.0,19,North Macedonia,,,,Left,2,3,1,Medium/Medium,Normal (170-185),Yes,3700000.0,,,74.0,72.0,71.0,73.0,67.0,73.0,76,68,65,73,70,73,73,66,70,74,75,73,76,74,77,80,74,80,66,74,83,67,70,66,72,62.0,66,69,67,16,12,9,9,14,,71+2,71+2,71+2,73,72,72,72,73,72+1,72+1,72+1,73,72+1,72+1,72+1,73,72+1,71+2,71+2,71+2,72+1,71+2,69+2,69+2,69+2,71+2,19+2
