player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215270,/player/215270/lucas-zelarayan/240002,24.0,2.0,2023-09-22,L. Zelarayán,Lucas Manuel Zelarayán,"CAM, CF",79,79,14500000.0,37000.0,31,1992-06-20,172,70,112390.0,Al Fateh,350.0,Pro League,1.0,CAM,10.0,,2023-08-01,2026.0,3,Armenia,,,,Right,3,4,2,Medium/Low,Normal (170-185),Yes,24700000.0,,"Dead Ball, Pinged Pass, Whipped Cross, Technical, Flair, First Touch, Trivela",71.0,77.0,78.0,82.0,46.0,65.0,76,74,54,79,74,82,82,89,74,84,72,71,88,76,84,79,67,75,64,84,56,44,77,78,67,70.0,50,43,35,8,9,11,6,10,,74+2,74+2,74+2,78,78,78,78,78,79,79,79,78+1,75+2,75+2,75+2,78+1,64+2,63+2,63+2,63+2,64+2,60+2,54+2,54+2,54+2,60+2,16+2
200315,/player/200315/cristian-tello-herrera/240002,24.0,2.0,2023-09-22,Cristian Tello,Cristian Tello Herrera,"LW, CAM",76,76,6000000.0,32000.0,31,1991-08-19,178,65,112390.0,Al Fateh,350.0,Pro League,1.0,LW,37.0,,2023-01-25,2024.0,45,Spain,,,,Right,4,4,2,Medium/Medium,Lean (170-185),Yes,10200000.0,,Rapid,89.0,72.0,74.0,76.0,47.0,61.0,74,71,47,76,71,77,80,78,72,75,87,90,79,70,81,79,69,71,60,69,48,39,73,70,58,71.0,53,49,42,15,12,9,7,13,,72+2,72+2,72+2,76,75,75,75,76,75+1,75+1,75+1,76,70+2,70+2,70+2,76,64+2,60+2,60+2,60+2,64+2,61+2,53+2,53+2,53+2,61+2,18+2
220182,/player/220182/jason-denayer/240002,24.0,2.0,2023-09-22,J. Denayer,Jason Grégory Marianne Denayer,CB,75,76,5500000.0,27000.0,28,1995-06-28,184,80,112390.0,Al Fateh,350.0,Pro League,1.0,RCB,64.0,,2023-07-23,2025.0,7,Belgium,,,,Right,3,2,2,Medium/Medium,Normal (170-185),No,9800000.0,,Block,69.0,42.0,64.0,65.0,76.0,76.0,52,41,75,74,35,62,52,29,70,67,66,72,64,72,61,55,82,71,78,36,74,78,36,65,39,77.0,75,76,75,7,10,15,15,15,,57+2,57+2,57+2,59,59,59,59,59,62+2,62+2,62+2,62+2,66+2,66+2,66+2,62+2,70+2,73+2,73+2,73+2,70+2,72+2,75+1,75+1,75+1,72+2,19+2
221584,/player/221584/jacob-rinne/240002,24.0,2.0,2023-09-22,J. Rinne,Jacob Rinne,GK,74,74,2800000.0,19000.0,30,1993-06-20,188,87,112390.0,Al Fateh,350.0,Pro League,1.0,GK,1.0,,2022-06-30,2024.0,46,Sweden,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,4800000.0,,Far Throw,,,,,,,15,15,16,40,14,16,17,15,39,30,46,47,47,69,33,56,66,35,68,15,27,15,14,68,26,66.0,23,14,16,73,72,74,72,75,46.0,32+2,32+2,32+2,31,34,34,34,31,37+2,37+2,37+2,34+2,37+2,37+2,37+2,34+2,29+2,33+2,33+2,33+2,29+2,28+2,29+2,29+2,29+2,28+2,73+1
259265,/player/259265/mourad-batna/240002,24.0,2.0,2023-09-22,M. Batna,Mourad Batna,RW,74,74,2600000.0,28000.0,33,1990-06-27,185,76,112390.0,Al Fateh,350.0,Pro League,1.0,RW,11.0,,2020-09-18,2025.0,129,Morocco,,,,Left,5,3,1,High/Low,Normal (185+),No,4400000.0,,"Finesse Shot, Power Shot, Whipped Cross, Technical",73.0,74.0,71.0,76.0,36.0,77.0,76,70,66,69,74,79,80,73,69,76,74,73,74,69,63,80,75,72,84,76,66,36,71,69,72,69.0,28,34,31,12,12,8,7,10,,73+1,73+1,73+1,74,73,73,73,74,72+2,72+2,72+2,73+1,68+2,68+2,68+2,73+1,58+2,56+2,56+2,56+2,58+2,54+2,51+2,51+2,51+2,54+2,17+2
222709,/player/222709/petros-matheus-dos-santos-araujo/240002,24.0,2.0,2023-09-22,Petros,Petros Matheus dos Santos Araújo,"CM, CDM",73,73,1400000.0,24000.0,34,1989-05-29,182,81,112390.0,Al Fateh,350.0,Pro League,1.0,LCM,6.0,,2022-01-03,2024.0,54,Brazil,,,,Right,3,3,2,Medium/High,Normal (170-185),No,2400000.0,,Anticipate,64.0,66.0,69.0,73.0,72.0,83.0,61,65,67,74,56,72,58,60,73,74,66,63,69,73,69,75,77,90,78,65,90,76,67,72,55,78.0,68,74,74,16,13,9,10,14,,69+2,69+2,69+2,69,70,70,70,69,71+2,71+2,71+2,71+2,73,73,73,71+2,73,75-2,75-2,75-2,73,72+1,74-1,74-1,74-1,72+1,20+2
255487,/player/255487/sofiane-bendebka/240002,24.0,2.0,2023-09-22,S. Bendebka,Sofiane Bendebka,"CAM, CM",71,71,1800000.0,19000.0,30,1992-08-09,185,74,112390.0,Al Fateh,350.0,Pro League,1.0,RCM,28.0,,2020-01-29,2024.0,97,Algeria,,,,Right,2,3,1,High/High,Lean (185+),No,3100000.0,#Engine,"Technical, Relentless",74.0,66.0,67.0,72.0,60.0,73.0,61,69,63,71,67,72,64,53,72,71,77,71,74,72,75,66,75,91,66,57,67,64,74,68,67,65.0,57,61,53,11,11,15,13,6,,69+2,69+2,69+2,70,70,70,70,70,71,71,71,72-1,71,71,71,72-1,68+2,68+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,17+2
205427,/player/205427/jorge-djaniny-tavares-semedo/240002,24.0,2.0,2023-09-22,Djaniny,Jorge Djaniny Tavares Semedo,"ST, LW, RW",70,70,1300000.0,27000.0,32,1991-03-21,190,78,112390.0,Al Fateh,350.0,Pro League,1.0,ST,8.0,Trabzonspor,,2024.0,104,Cape Verde Islands,,,,Right,4,4,1,Medium/Low,Normal (185+),No,,,,79.0,70.0,66.0,70.0,35.0,76.0,68,68,62,66,68,68,64,53,63,71,77,81,77,66,66,76,83,79,81,64,59,40,73,72,77,73.0,32,29,21,11,8,16,10,8,,70,70,70,70,70,70,70,70,70,70,70,70,65+2,65+2,65+2,70,56+2,54+2,54+2,54+2,56+2,53+2,49+2,49+2,49+2,53+2,16+2
235890,/player/235890/marwane-saadane/240002,24.0,2.0,2023-09-22,M. Saadane,Marwane Saadane,"CB, CDM",70,70,1100000.0,15000.0,31,1992-01-17,188,83,112390.0,Al Fateh,350.0,Pro League,1.0,LCB,17.0,,2019-07-01,2025.0,129,Morocco,,,,Right,3,2,1,Low/High,Normal (185+),No,1900000.0,,"Long Ball Pass, Jockey, Anticipate",57.0,51.0,60.0,61.0,68.0,84.0,54,47,70,68,38,56,43,54,74,69,58,57,63,62,59,61,78,86,84,50,83,65,36,49,71,62.0,67,70,65,7,10,14,15,5,,57+2,57+2,57+2,56,56,56,56,56,58+2,58+2,58+2,59+2,63+2,63+2,63+2,59+2,66+2,70,70,70,66+2,66+2,70,70,70,66+2,15+2
232901,/player/232901/mukhtar-ali/240002,24.0,2.0,2023-09-22,M. Ali,Mukhtar Abdullahi Ali,"CDM, CM",66,70,1100000.0,9000.0,25,1997-10-30,183,68,112390.0,Al Fateh,350.0,Pro League,1.0,SUB,27.0,Al Nassr,,2024.0,183,Saudi Arabia,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,,,,65.0,54.0,61.0,66.0,59.0,66.0,35,51,38,70,44,63,59,61,68,69,64,66,72,60,63,61,54,76,63,57,63,64,56,65,47,71.0,65,59,52,15,9,14,10,10,,58+2,58+2,58+2,60,62,62,62,60,64+2,64+2,64+2,62+2,65+2,65+2,65+2,62+2,61+2,65+2,65+2,65+2,61+2,60+2,59+2,59+2,59+2,60+2,17+2
209166,/player/209166/mustafa-malaeka/240002,24.0,2.0,2023-09-22,M. Malaeka,Mustafa Reda Malayekah,GK,64,64,60000.0,3000.0,37,1986-05-21,186,82,112390.0,Al Fateh,350.0,Pro League,1.0,SUB,26.0,,2022-07-11,2024.0,183,Saudi Arabia,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,102000.0,,Far Throw,,,,,,,13,17,29,29,20,12,14,20,17,15,46,48,30,56,53,49,66,30,62,20,18,16,14,45,24,55.0,15,18,12,63,62,65,65,66,47.0,29+2,29+2,29+2,25,27,27,27,25,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,24+2,25+2,25+2,25+2,24+2,25+2,27+2,27+2,27+2,25+2,63+1
209177,/player/209177/tawfiq-bu-haymid/240002,24.0,2.0,2023-09-22,T. Bu Haymid,Tawfiq Bu Haymid,LB,64,64,180000.0,5000.0,35,1987-10-29,170,73,112390.0,Al Fateh,350.0,Pro League,1.0,LB,25.0,,2019-07-01,2024.0,183,Saudi Arabia,,,,Left,2,2,1,Medium/Medium,Stocky (170-),No,306000.0,,Long Throw,68.0,58.0,62.0,65.0,58.0,69.0,63,53,55,63,55,66,63,57,60,62,71,65,73,61,77,64,69,81,66,63,61,58,66,62,60,51.0,57,62,56,8,9,9,9,12,,61+2,61+2,61+2,63,63,63,63,63,63+1,63+1,63+1,64,63+1,63+1,63+1,64,63+1,62+2,62+2,62+2,63+1,62+2,60+2,60+2,60+2,62+2,15+2
209565,/player/209565/mohammed-al-fehaid/240002,24.0,2.0,2023-09-22,M. Al Fehaid,Mohammed Al Fehaid,"CDM, CM, CB",63,63,240000.0,6000.0,33,1990-01-08,174,67,112390.0,Al Fateh,350.0,Pro League,1.0,SUB,14.0,,2009-08-01,2027.0,183,Saudi Arabia,,,,Right,3,2,1,Low/High,Normal (170-185),No,408000.0,,,51.0,41.0,54.0,57.0,60.0,72.0,47,36,59,61,34,52,44,35,65,59,53,49,65,52,78,55,64,74,70,42,74,62,44,50,36,62.0,60,61,57,6,10,13,15,16,,50+2,50+2,50+2,51,51,51,51,51,53+2,53+2,53+2,53+2,57+2,57+2,57+2,53+2,58+2,62+1,62+1,62+1,58+2,58+2,62+1,62+1,62+1,58+2,16+2
212971,/player/212971/nouh-al-mousa/240002,24.0,2.0,2023-09-22,N. Al Mousa,Nooh Ibrahim Mousa Al-Mousa,"CDM, CM",63,63,325000.0,6000.0,32,1991-02-23,169,68,112390.0,Al Fateh,350.0,Pro League,1.0,SUB,16.0,,2022-07-01,2025.0,183,Saudi Arabia,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,553000.0,,,46.0,52.0,62.0,64.0,59.0,65.0,60,51,48,63,30,64,55,57,64,64,39,51,67,60,64,56,51,76,67,59,50,59,58,64,37,65.0,60,62,59,12,15,12,9,11,,56+2,56+2,56+2,59,59,59,59,59,61+2,61+2,61+2,60+2,63,63,63,60+2,61+2,62+1,62+1,62+1,61+2,60+2,59+2,59+2,59+2,60+2,17+2
245494,/player/245494/abdullah-al-meqran/240002,24.0,2.0,2023-09-22,A. Al Meqran,Abdullah Al Meqran,"ST, CAM, LM",61,64,425000.0,6000.0,26,1996-11-26,179,72,112390.0,Al Fateh,350.0,Pro League,1.0,RES,36.0,,2023-09-07,2027.0,183,Saudi Arabia,,,,Right,3,3,1,High/Medium,Lean (170-185),No,754000.0,,,69.0,58.0,58.0,65.0,34.0,61.0,54,61,58,61,44,63,57,46,58,66,68,69,68,59,76,53,67,67,66,57,39,27,64,58,60,58.0,36,34,21,13,6,9,7,6,,61+2,61+2,61+2,62,62,62,62,62,62+2,62+2,62+2,62+2,58+2,58+2,58+2,62+2,49+2,48+2,48+2,48+2,49+2,47+2,44+2,44+2,44+2,47+2,14+2
220356,/player/220356/amaar-al-dohaim/240002,24.0,2.0,2023-09-22,A. Al Dohaim,Amaar Al Dohaim,CB,61,61,275000.0,5000.0,29,1993-08-31,181,75,112390.0,Al Fateh,350.0,Pro League,1.0,SUB,24.0,,2020-09-30,2025.0,183,Saudi Arabia,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,468000.0,,Slide Tackle,64.0,41.0,45.0,48.0,59.0,71.0,44,41,59,48,39,39,39,35,43,51,62,66,66,52,57,38,79,65,75,44,66,57,45,48,41,56.0,59,60,63,10,11,15,12,9,,49+2,49+2,49+2,48,48,48,48,48,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,56+2,56+2,56+2,56+2,56+2,57+2,61,61,61,57+2,15+2
