player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
234226,/player/234226/bruno-viana-willemen-da-silva/240002,24.0,2.0,2023-09-22,Bruno Viana,Bruno Viana Willemen Da Silva,CB,75,76,5500000.0,20000.0,28,1995-02-05,187,79,113222.0,Al Hazem,350.0,Pro League,1.0,RCB,36.0,,2023-08-17,2024.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,9500000.0,,"Long Ball Pass, Slide Tackle, Long Throw",67.0,41.0,55.0,56.0,75.0,80.0,43,36,78,70,39,51,44,42,62,60,68,66,53,71,58,57,80,77,83,37,76,75,34,42,52,66.0,74,74,73,7,7,14,6,6,,55+2,55+2,55+2,53,53,53,53,53,54+2,54+2,54+2,56+2,59+2,59+2,59+2,56+2,67+2,70+2,70+2,70+2,67+2,69+2,75+1,75+1,75+1,69+2,14+2
209542,/player/209542/vinicius-goes-barbosa-de-souza/240002,24.0,2.0,2023-09-22,Vina,Vinícius Goes Barbosa de Souza,"CAM, CF",75,75,4500000.0,21000.0,32,1991-04-15,177,73,113222.0,Al Hazem,350.0,Pro League,1.0,RW,29.0,,2023-07-27,2024.0,54,Brazil,,,,Right,4,3,1,Medium/Low,Normal (170-185),No,7400000.0,,"Finesse Shot, Dead Ball",74.0,75.0,74.0,73.0,50.0,70.0,67,75,75,78,66,72,74,76,72,75,73,74,72,68,70,75,82,69,71,78,66,50,80,77,73,74.0,37,54,50,10,16,7,16,6,,75,75,75,74,75,75,75,74,75,75,75,73+2,72+2,72+2,72+2,73+2,63+2,63+2,63+2,63+2,63+2,61+2,59+2,59+2,59+2,61+2,18+2
212729,/player/212729/antonio-jose-pinheiro-carvalho/240002,24.0,2.0,2023-09-22,Tozé,António José Pinheiro de Carvalho,"CM, CAM",74,74,4000000.0,19000.0,30,1993-01-14,165,68,113222.0,Al Hazem,350.0,Pro League,1.0,LCM,20.0,,2023-07-24,2028.0,38,Portugal,,,,Right,3,4,1,High/Medium,Normal (170-),No,6600000.0,,First Touch,74.0,76.0,76.0,79.0,54.0,58.0,77,74,56,76,75,77,76,75,76,80,77,71,86,74,91,80,62,83,46,78,56,48,68,75,84,75.0,57,53,59,15,13,12,16,15,,72+2,72+2,72+2,76-2,75-1,75-1,75-1,76-2,76-2,76-2,76-2,76-2,74,74,74,76-2,68+2,65+2,65+2,65+2,68+2,66+2,57+2,57+2,57+2,66+2,21+2
230969,/player/230969/faiz-selemani/240002,24.0,2.0,2023-09-22,F. Selemani,Faïz Selemani,"LM, CAM",74,74,4100000.0,20000.0,29,1993-11-17,182,65,113222.0,Al Hazem,350.0,Pro League,1.0,LW,10.0,,2023-07-24,2025.0,214,Comoros,,,,Right,3,4,1,High/Medium,Lean (170-185),No,6800000.0,,"Technical, Flair, Quick Step",82.0,73.0,71.0,77.0,56.0,61.0,71,74,48,71,67,78,68,72,68,76,82,82,83,65,74,72,65,69,56,74,60,58,68,72,74,74.0,54,60,55,7,5,15,10,5,,70+2,70+2,70+2,74,73,73,73,74,73+1,73+1,73+1,73+1,70+2,70+2,70+2,73+1,67+2,64+2,64+2,64+2,67+2,65+2,59+2,59+2,59+2,65+2,14+2
268825,/player/268825/aymen-dahmen/240002,24.0,2.0,2023-09-22,A. Dahmen,Aymen Dahmen,GK,69,72,1400000.0,8000.0,26,1997-01-28,188,83,113222.0,Al Hazem,350.0,Pro League,1.0,GK,30.0,,2023-07-01,2025.0,145,Tunisia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2400000.0,,,,,,,,,11,6,10,38,6,6,11,11,35,36,29,25,25,57,35,52,53,25,56,5,25,10,5,40,11,39.0,5,10,14,67,72,69,68,69,27.0,24+2,24+2,24+2,22,25,25,25,22,27+2,27+2,27+2,25+2,29+2,29+2,29+2,25+2,22+2,27+2,27+2,27+2,22+2,21+2,22+2,22+2,22+2,21+2,68+2
224235,/player/224235/paulo-ricardo-ferreira/240002,24.0,2.0,2023-09-22,Paulo Ricardo,Paulo Ricardo Ferreira,CB,67,67,875000.0,7000.0,28,1994-07-13,186,82,113222.0,Al Hazem,350.0,Pro League,1.0,RES,2.0,,2023-01-22,2024.0,54,Brazil,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1400000.0,,,64.0,41.0,53.0,52.0,69.0,67.0,51,31,66,57,44,49,44,38,55,53,61,66,52,67,56,58,70,65,70,40,62,69,44,54,53,56.0,69,71,67,12,14,12,6,15,,52+2,52+2,52+2,51,52,52,52,51,52+2,52+2,52+2,54+2,56+2,56+2,56+2,54+2,62+2,63+2,63+2,63+2,62+2,64+2,67,67,67,64+2,18+2
259192,/player/259192/mohamed-badamosi/240002,24.0,2.0,2023-09-22,M. Badamosi,Muhammed Badamosi,ST,66,70,1200000.0,7000.0,25,1997-12-27,198,85,113222.0,Al Hazem,350.0,Pro League,1.0,ST,90.0,,2023-07-01,2027.0,116,Gambia,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,2100000.0,,Aerial,60.0,65.0,50.0,60.0,28.0,74.0,38,67,72,65,67,57,47,34,40,66,51,67,63,64,41,68,72,71,85,59,51,23,67,48,57,61.0,18,28,22,13,6,13,13,9,,66+2,66+2,66+2,60,63,63,63,60,60+2,60+2,60+2,58+2,55+2,55+2,55+2,58+2,46+2,46+2,46+2,46+2,46+2,44+2,44+2,44+2,44+2,44+2,16+2
277694,/player/277694/ben-traore/240002,24.0,2.0,2023-09-22,B. Traoré,Ben Traoré,"CDM, CM",65,73,1500000.0,5000.0,23,1999-12-20,180,76,113222.0,Al Hazem,350.0,Pro League,1.0,CDM,21.0,,2021-07-21,2025.0,108,Côte d'Ivoire,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2800000.0,,,64.0,53.0,60.0,64.0,64.0,70.0,57,48,64,65,47,62,49,46,60,67,66,62,65,61,66,59,74,67,72,55,70,66,63,58,54,65.0,62,65,61,15,8,15,13,13,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,63+2,64+2,64+2,64+2,63+2,63+2,65+2,65+2,65+2,63+2,18+2
213090,/player/213090/talal-al-absi/240002,24.0,2.0,2023-09-22,T. Al Absi,Talal Ali Al-Absi,CB,63,63,400000.0,4000.0,30,1993-02-22,177,72,113222.0,Al Hazem,350.0,Pro League,1.0,SUB,3.0,,2023-07-01,2025.0,183,Saudi Arabia,,,,Right,3,2,1,Low/High,Normal (170-185),No,660000.0,,,53.0,25.0,39.0,47.0,64.0,68.0,31,17,59,52,26,39,28,23,39,54,52,54,46,56,62,38,66,60,73,24,66,65,38,33,32,50.0,61,67,62,15,10,13,12,7,,43+2,43+2,43+2,42,42,42,42,42,42+2,42+2,42+2,44+2,47+2,47+2,47+2,44+2,55+2,57+2,57+2,57+2,55+2,57+2,63,63,63,57+2,16+2
221394,/player/221394/rayan-al-mousa/240002,24.0,2.0,2023-09-22,R. Al Mousa,Rayan Al Mousa,CDM,63,63,425000.0,4000.0,28,1994-07-24,175,79,113222.0,Al Hazem,350.0,Pro League,1.0,SUB,32.0,,2023-09-07,2024.0,183,Saudi Arabia,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,701000.0,,Intercept,59.0,42.0,55.0,57.0,62.0,71.0,44,40,41,61,39,52,47,45,58,58,58,60,69,52,71,49,65,71,73,39,65,64,50,56,47,62.0,64,66,65,14,14,11,12,10,,50+2,50+2,50+2,53,52,52,52,53,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,60+2,62+1,62+1,62+1,60+2,60+2,62+1,62+1,62+1,60+2,17+2
