player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
190871,/player/190871/neymar-da-silva-santos-jr/240002,24.0,2.0,2023-09-22,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,85500000.0,115000.0,31,1992-02-05,175,68,605.0,Al Hilal,350.0,Pro League,1.0,LM,10.0,,2023-08-15,2025.0,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,Yes,136800000.0,"#Dribbler, #FK Specialist, #Acrobat","Trickster +, Pinged Pass, Technical, Flair, First Touch, Quick Step, Trivela",86.0,83.0,85.0,93.0,37.0,61.0,83,83,63,85,86,95,88,87,81,94,88,85,93,88,83,79,72,78,51,81,63,37,86,90,91,93.0,35,32,29,9,9,15,15,11,,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3
223848,/player/223848/sergej-milinkovic-savic/240002,24.0,2.0,2023-09-22,S. Milinković-Savić,Sergej Milinković-Savić,CM,86,86,68000000.0,84000.0,28,1995-02-27,192,95,605.0,Al Hilal,350.0,Pro League,1.0,CAM,22.0,,2023-07-12,2026.0,51,Serbia,,,,Right,5,4,3,High/Medium,Normal (185+),Yes,108800000.0,#Strength,"Power Header, Pinged Pass, First Touch, Relentless, Trivela, Aerial",68.0,80.0,82.0,82.0,79.0,86.0,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,88,91,87,81,79,79,82,83,59,84.0,78,79,74,7,10,7,16,7,,82+3,82+3,82+3,80,82,82,82,80,83+3,83+3,83+3,81+3,85+1,85+1,85+1,81+3,80+3,83+3,83+3,83+3,80+3,79+3,81+3,81+3,81+3,79+3,18+3
209981,/player/209981/yassine-bounou/240002,24.0,2.0,2023-09-22,Y. Bounou,Yassine Bounou,GK,85,85,26500000.0,54000.0,32,1991-04-05,195,78,605.0,Al Hilal,350.0,Pro League,1.0,GK,37.0,,2023-08-17,2026.0,129,Morocco,111111.0,GK,1.0,Left,2,1,3,Medium/Medium,Lean (185+),Yes,42400000.0,,"Far Throw, Footwork",,,,,,,15,14,14,39,13,20,12,19,44,12,38,37,47,81,29,59,66,43,69,19,25,12,10,62,24,57.0,20,18,15,82,83,79,84,87,38.0,30+3,30+3,30+3,28,31,31,31,28,34+3,34+3,34+3,31+3,36+3,36+3,36+3,31+3,28+3,32+3,32+3,32+3,28+3,27+3,28+3,28+3,28+3,27+3,83+2
224293,/player/224293/ruben-diogo-da-silva-neves/240002,24.0,2.0,2023-09-22,Rúben Neves,Rúben Diogo da Silva Neves,"CDM, CM",84,86,47000000.0,62000.0,26,1997-03-13,183,83,605.0,Al Hilal,350.0,Pro League,1.0,LCM,8.0,,2023-07-01,2026.0,38,Portugal,1354.0,RCM,18.0,Right,4,3,3,Medium/High,Normal (170-185),Yes,78700000.0,#Playmaker ,"Power Shot, Long Ball Pass",60.0,75.0,86.0,77.0,76.0,73.0,80,66,53,88,82,74,85,81,88,83,64,56,68,81,72,86,65,79,67,83,82,80,62,87,77,88.0,78,79,77,16,12,10,8,10,,71+3,71+3,71+3,75,75,75,75,75,78+3,78+3,78+3,76+3,82+3,82+3,82+3,76+3,78+3,82+3,82+3,82+3,78+3,77+3,75+3,75+3,75+3,77+3,19+3
201024,/player/201024/kalidou-koulibaly/240002,24.0,2.0,2023-09-22,K. Koulibaly,Kalidou Koulibaly,CB,84,84,27500000.0,62000.0,32,1991-06-20,186,93,605.0,Al Hilal,350.0,Pro League,1.0,RCB,3.0,,2023-07-01,2026.0,136,Senegal,,,,Right,4,2,3,Medium/High,Unique,Yes,44000000.0,#Strength,"Power Header, Block, Bruiser",76.0,48.0,63.0,68.0,84.0,83.0,50,43,82,71,48,70,53,39,69,72,65,85,45,84,33,67,82,68,91,38,84,83,50,65,50,82.0,86,85,83,7,11,7,13,5,,65+3,65+3,65+3,63,65,65,65,63,65+3,65+3,65+3,66+3,69+3,69+3,69+3,66+3,75+3,78+3,78+3,78+3,75+3,77+3,84,84,84,77+3,17+3
222737,/player/222737/malcom-filipe-silva-de-oliveira/240002,24.0,2.0,2023-09-22,Malcom,Malcom Filipe Silva de Oliveira,RM,81,82,30500000.0,52000.0,26,1997-02-26,172,74,605.0,Al Hilal,350.0,Pro League,1.0,RM,77.0,,2023-07-26,2027.0,54,Brazil,,,,Left,3,4,2,High/Medium,Stocky (170-185),No,51100000.0,,"Pinged Pass, Rapid, Flair",83.0,79.0,78.0,84.0,28.0,66.0,77,77,62,79,72,84,80,78,73,83,86,81,86,77,90,83,77,80,64,81,53,26,79,81,70,77.0,21,28,17,8,14,15,7,9,,77+2,77+2,77+2,81,80,80,80,81,81+1,81+1,81+1,80+2,74+2,74+2,74+2,80+2,58+2,55+2,55+2,55+2,58+2,54+2,44+2,44+2,44+2,54+2,17+2
215716,/player/215716/aleksandar-mitrovic/240002,24.0,2.0,2023-09-22,A. Mitrović,Aleksandar Mitrović,ST,79,79,18000000.0,52000.0,28,1994-09-16,189,90,605.0,Al Hilal,350.0,Pro League,1.0,ST,9.0,,2023-08-19,2026.0,51,Serbia,,,,Right,4,3,1,High/Medium,Stocky (185+),Yes,28800000.0,#Strength,Power Header,63.0,79.0,61.0,70.0,27.0,88.0,43,82,81,71,78,68,51,52,53,77,61,65,60,79,60,84,88,79,91,70,91,14,85,70,65,75.0,25,24,13,15,12,6,7,13,,79,79,79,70,75,75,75,70,72+2,72+2,72+2,69+2,66+2,66+2,66+2,69+2,48+2,52+2,52+2,52+2,48+2,46+2,49+2,49+2,49+2,46+2,19+2
210602,/player/210602/salem-al-dawsari/240002,24.0,2.0,2023-09-22,S. Al Dawsari,Salem Mohammed Al-Dawsari,LM,77,77,8500000.0,39000.0,31,1991-08-19,173,71,605.0,Al Hilal,350.0,Pro League,1.0,SUB,29.0,,2011-07-01,2025.0,183,Saudi Arabia,,,,Right,5,4,2,High/High,Normal (170-185),Yes,13600000.0,#Engine,"Finesse Shot, Chip Shot, Technical, Flair, First Touch, Acrobatic",85.0,73.0,69.0,81.0,51.0,80.0,67,72,51,71,76,82,67,60,69,79,84,85,80,78,87,74,70,86,77,74,81,50,73,72,68,76.0,62,41,51,7,12,13,14,10,,74+2,74+2,74+2,76,76,76,76,76,76+1,76+1,76+1,76+1,72+2,72+2,72+2,76+1,67+2,65+2,65+2,65+2,67+2,64+2,60+2,60+2,60+2,64+2,18+2
238361,/player/238361/michael-richard-delgado-de-oliveira/240002,24.0,2.0,2023-09-22,Michael,Michael Richard Delgado de Oliveira,"LM, RM",77,77,11000000.0,39000.0,27,1996-03-12,166,61,605.0,Al Hilal,350.0,Pro League,1.0,SUB,96.0,,2022-01-27,2024.0,54,Brazil,,,,Right,3,4,1,High/Low,Normal (170-),No,17600000.0,"#Speedster, #Dribbler, #Acrobat","Finesse Shot, Technical, Flair, Trickster, Quick Step",94.0,69.0,63.0,84.0,28.0,58.0,59,71,55,67,63,89,51,43,57,78,95,93,92,71,95,70,71,82,51,67,42,38,68,71,58,60.0,33,13,11,6,14,12,14,7,,71+2,71+2,71+2,77,76,76,76,77,75+2,75+2,75+2,76+1,67+2,67+2,67+2,76+1,56+2,50+2,50+2,50+2,56+2,51+2,40+2,40+2,40+2,51+2,17+2
245751,/player/245751/hassan-tombakti/240002,24.0,2.0,2023-09-22,H. Tombakti,Hassan Mohammed Al-Tambakti,CB,74,79,6000000.0,25000.0,24,1999-02-09,182,74,605.0,Al Hilal,350.0,Pro League,1.0,SUB,87.0,,2023-08-21,2027.0,183,Saudi Arabia,,,,Right,3,2,1,Medium/High,Lean (170-185),No,10100000.0,,"Long Ball Pass, Jockey, Anticipate, Slide Tackle",87.0,34.0,58.0,65.0,75.0,79.0,42,33,68,72,33,60,50,31,73,65,85,88,74,73,65,40,80,85,83,31,62,75,33,48,35,75.0,75,76,76,13,10,14,14,10,,55+2,55+2,55+2,58,56,56,56,58,59+2,59+2,59+2,62+2,64+2,64+2,64+2,62+2,72+2,73+2,73+2,73+2,72+2,73+2,74+2,74+2,74+2,73+2,19+2
