player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
165153,/player/165153/karim-benzema/240002,24.0,2.0,2023-09-22,K. Benzema,Karim Benzema,"CF, ST",90,90,51000000.0,95000.0,35,1987-12-19,185,81,607.0,Al Ittihad,350.0,Pro League,1.0,RS,9.0,,2023-07-01,2026.0,18,France,,,,Right,4,4,5,Medium/Medium,Normal (170-185),Yes,81600000.0,"#Poacher, #Aerial threat, #Clinical finisher, #Complete forward","Finesse Shot +, Dead Ball, Pinged Pass, Tiki Taka, First Touch, Relentless, Trivela",79.0,88.0,83.0,87.0,39.0,78.0,75,91,90,89,88,87,82,73,76,91,78,79,77,92,72,87,85,82,82,81,63,39,92,90,85,90.0,43,24,18,13,11,5,5,7,,88+2,88+2,88+2,86,89,89,89,86,88+2,88+2,88+2,86+3,82+3,82+3,82+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
215914,/player/215914/ngolo-kante/240002,24.0,2.0,2023-09-22,N. Kanté,N'Golo Kanté,"CDM, CM",86,86,45000000.0,73000.0,32,1991-03-29,168,70,607.0,Al Ittihad,350.0,Pro League,1.0,RDM,7.0,,2023-07-01,2026.0,18,France,,,,Right,3,2,4,Medium/High,Unique,Yes,72000000.0,"#Tackling, #Tactician ","Intercept +, Relentless",69.0,65.0,73.0,80.0,85.0,77.0,68,64,54,80,56,78,49,49,74,81,74,64,78,89,92,71,70,84,70,65,89,88,72,77,54,84.0,88,90,85,15,12,10,7,10,,71+3,71+3,71+3,75,75,75,75,75,76+3,76+3,76+3,76+3,79+3,79+3,79+3,76+3,81+3,84+2,84+2,84+2,81+3,81+3,81+3,81+3,81+3,81+3,20+3
209499,/player/209499/fabio-henrique-tavares/240002,24.0,2.0,2023-09-22,Fabinho,Fábio Henrique Tavares,CDM,84,84,36000000.0,65000.0,29,1993-10-23,188,78,607.0,Al Ittihad,350.0,Pro League,1.0,LDM,8.0,,2023-07-31,2026.0,54,Brazil,,,,Right,2,3,3,Medium/High,Unique,Yes,57600000.0,,"Power Shot, Long Ball Pass, Block, Slide Tackle, Bruiser",59.0,69.0,78.0,77.0,82.0,82.0,75,63,75,84,47,78,71,53,82,81,53,64,61,82,62,81,76,85,80,70,84,82,70,76,90,85.0,81,84,82,13,12,6,8,8,,73+3,73+3,73+3,73,74,74,74,73,75+3,75+3,75+3,75+3,80+3,80+3,80+3,75+3,79+3,82+2,82+2,82+2,79+3,79+3,81+3,81+3,81+3,79+3,18+3
236355,/player/236355/luiz-felipe-ramos-marchi/240002,24.0,2.0,2023-09-22,Luiz Felipe,Luiz Felipe Ramos Marchi,CB,80,84,26000000.0,44000.0,26,1997-03-22,187,80,607.0,Al Ittihad,350.0,Pro League,1.0,SUB,3.0,,2023-09-07,2027.0,27,Italy,,,,Right,4,3,1,Medium/High,Lean (185+),Yes,43600000.0,,"Jockey, Intercept, Anticipate, Slide Tackle, Long Throw",72.0,29.0,61.0,68.0,81.0,74.0,53,22,73,73,32,69,31,35,68,71,70,74,65,79,47,44,82,54,80,26,82,83,28,58,44,64.0,83,81,82,14,8,13,10,9,,53+2,53+2,53+2,58,57,57,57,58,60+2,60+2,60+2,62+2,64+2,64+2,64+2,62+2,72+2,75+2,75+2,75+2,72+2,74+2,80+2,80+2,80+2,74+2,18+2
167959,/player/167959/marcelo-grohe/240002,24.0,2.0,2023-09-22,Marcelo Grohe,Marcelo Grohe,GK,79,79,1900000.0,22000.0,36,1987-01-13,188,80,607.0,Al Ittihad,350.0,Pro League,1.0,GK,34.0,,2019-01-02,2024.0,54,Brazil,,,,Right,2,1,2,Medium/Medium,Normal (185+),No,3000000.0,,,,,,,,,10,12,14,35,10,11,18,13,22,23,43,32,40,77,34,50,65,28,65,13,40,27,13,55,24,69.0,14,10,17,77,75,66,78,85,39.0,28+2,28+2,28+2,27,30,30,30,27,31+2,31+2,31+2,28+2,31+2,31+2,31+2,28+2,26+2,30+2,30+2,30+2,26+2,26+2,29+2,29+2,29+2,26+2,78+1
209440,/player/209440/romario-ricardo-da-silva/240002,24.0,2.0,2023-09-22,Romarinho,Romário Ricardo da Silva,"CF, CAM, ST",79,79,14000000.0,50000.0,32,1990-12-12,174,69,607.0,Al Ittihad,350.0,Pro League,1.0,RAM,90.0,,2018-08-09,2024.0,54,Brazil,,,,Right,4,4,2,High/Medium,Normal (170-185),No,22400000.0,#Acrobat,"Tiki Taka, Rapid, First Touch, Acrobatic",85.0,76.0,71.0,82.0,30.0,67.0,69,78,68,74,74,81,70,68,67,80,85,85,88,82,86,74,72,91,66,69,38,28,84,74,81,80.0,30,22,23,15,14,12,9,10,,78+1,78+1,78+1,79,79,79,79,79,78+1,78+1,78+1,79,72+2,72+2,72+2,79,59+2,54+2,54+2,54+2,59+2,55+2,45+2,45+2,45+2,55+2,20+2
234570,/player/234570/joao-pedro-neves-filipe/240002,24.0,2.0,2023-09-22,Jota,João Pedro Neves Filipe,"LM, RM",78,83,21000000.0,36000.0,24,1999-03-30,175,67,607.0,Al Ittihad,350.0,Pro League,1.0,SUB,11.0,,2023-07-03,2026.0,38,Portugal,,,,Right,4,5,2,High/Low,Normal (170-185),Yes,35200000.0,#Acrobat,"Power Shot, Technical, Flair, First Touch, Trickster, Trivela",87.0,73.0,73.0,82.0,37.0,61.0,74,74,60,73,66,80,72,72,68,82,85,89,90,75,87,73,73,69,57,75,56,37,74,76,59,77.0,28,41,25,14,7,14,5,11,,74+2,74+2,74+2,78,77,77,77,78,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,60+2,57+2,57+2,57+2,60+2,57+2,48+2,48+2,48+2,57+2,17+2
202599,/player/202599/igor-caique-coronado/240002,24.0,2.0,2023-09-22,Igor Coronado,Igor Caique Coronado,"CAM, CM, LM",78,78,13500000.0,42000.0,30,1992-08-18,170,68,607.0,Al Ittihad,350.0,Pro League,1.0,LAM,10.0,,2021-07-07,2025.0,54,Brazil,,,,Right,4,5,2,Medium/Low,Lean (170-),No,21600000.0,#Acrobat,"Dead Ball, Pinged Pass, Long Ball Pass, Technical, Flair, First Touch",81.0,74.0,77.0,83.0,57.0,63.0,78,74,52,74,69,81,78,77,78,84,91,72,91,71,88,73,71,83,57,77,53,59,70,81,76,76.0,55,62,48,12,7,12,10,7,,72+2,72+2,72+2,78,77,77,77,78,78,78,78,78,76+2,76+2,76+2,78,70+2,68+2,68+2,68+2,70+2,67+2,60+2,60+2,60+2,67+2,16+2
210648,/player/210648/ahmed-hegazi/240002,24.0,2.0,2023-09-22,A. Hegazi,Ahmed Elsayed Ali Elsayed Hegazy,CB,78,78,9000000.0,38000.0,32,1991-01-25,193,96,607.0,Al Ittihad,350.0,Pro League,1.0,RES,26.0,,2021-07-01,2026.0,111,Egypt,,,,Right,2,2,2,Low/High,Normal (185+),Yes,14400000.0,#Strength,"Jockey, Aerial",46.0,20.0,50.0,55.0,77.0,86.0,21,17,84,67,23,53,35,29,73,60,44,48,41,81,41,27,76,85,90,15,79,81,20,41,30,60.0,73,77,77,14,14,5,10,8,,46+2,46+2,46+2,44,46,46,46,44,49+2,49+2,49+2,50+2,60+2,60+2,60+2,50+2,65+2,74+2,74+2,74+2,65+2,68+2,78,78,78,68+2,19+2
213761,/player/213761/abderrazak-hamdallah/240002,24.0,2.0,2023-09-22,A. Hamdallah,Abderrazak Hamdallah,ST,77,77,8500000.0,42000.0,32,1990-12-17,179,75,607.0,Al Ittihad,350.0,Pro League,1.0,LS,99.0,,2022-01-02,2025.0,129,Morocco,111111.0,RES,9.0,Right,3,3,2,High/Low,Stocky (170-185),No,13600000.0,,"Finesse Shot, Chip Shot, Power Header, Trivela",68.0,76.0,70.0,74.0,31.0,77.0,66,78,81,72,72,77,74,72,60,72,64,72,76,79,46,77,78,87,79,70,57,20,81,74,80,77.0,30,25,20,9,11,9,15,10,,77,77,77,74,75,75,75,74,74+2,74+2,74+2,73+2,68+2,68+2,68+2,73+2,55+2,53+2,53+2,53+2,55+2,51+2,47+2,47+2,47+2,51+2,19+2
221658,/player/221658/ahmed-sharahili/240002,24.0,2.0,2023-09-22,A. Sharahili,Ahmed Mohammed Sharahili,CB,75,75,4700000.0,33000.0,29,1994-05-08,185,77,607.0,Al Ittihad,350.0,Pro League,1.0,LCB,20.0,,2022-07-01,2025.0,183,Saudi Arabia,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,7500000.0,,"Power Header, Anticipate, Acrobatic",76.0,33.0,61.0,64.0,74.0,80.0,62,31,80,72,28,58,57,26,64,66,74,78,72,75,69,42,83,85,82,27,67,75,34,49,41,69.0,72,74,72,6,12,9,14,15,,55+2,55+2,55+2,58,55,55,55,58,58+2,58+2,58+2,62+2,63+2,63+2,63+2,62+2,72+2,71+2,71+2,71+2,72+2,73+2,75,75,75,73+2,19+2
