player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
20801,/player/20801/c-ronaldo-dos-santos-aveiro/240002,24.0,2.0,2023-09-22,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,86,86,23000000.0,66000.0,38,1985-02-05,187,85,112139.0,Al Nassr,350.0,Pro League,1.0,ST,7.0,,2023-01-01,2025.0,38,Portugal,1354.0,ST,7.0,Right,4,5,5,High/Low,Unique,Yes,36800000.0,"#Distance shooter, #Clinical finisher","Power Shot +, Power Header, Flair, Trivela, Acrobatic, Aerial",77.0,88.0,75.0,80.0,34.0,74.0,76,87,87,76,83,77,79,75,70,86,73,80,76,87,61,92,93,77,76,85,62,29,90,76,90,92.0,24,32,24,7,11,15,14,11,,85+1,85+1,85+1,81,83,83,83,81,81+3,81+3,81+3,80+3,75+3,75+3,75+3,80+3,59+3,57+3,57+3,57+3,59+3,56+3,52+3,52+3,52+3,56+3,19+3
208722,/player/208722/sadio-mane/240002,24.0,2.0,2023-09-22,S. Mané,Sadio Mané,"CF, LM, ST",86,86,57500000.0,87000.0,31,1992-04-10,174,69,112139.0,Al Nassr,350.0,Pro League,1.0,LM,10.0,,2023-08-01,2027.0,136,Senegal,,,,Right,4,4,4,Medium/Medium,Unique,Yes,92000000.0,"#Poacher, #Dribbler, #Acrobat, #Complete forward","Rapid, Flair",85.0,83.0,79.0,87.0,44.0,74.0,78,85,79,83,75,87,77,64,71,86,84,85,87,88,88,85,85,79,70,78,75,35,85,83,75,84.0,42,42,38,10,10,15,7,14,,84+2,84+2,84+2,84,85,85,85,84,84+2,84+2,84+2,84+2,78+3,78+3,78+3,84+2,66+3,64+3,64+3,64+3,66+3,63+3,58+3,58+3,58+3,63+3,19+3
212218,/player/212218/aymeric-laporte/240002,24.0,2.0,2023-09-22,A. Laporte,Aymeric Laporte,CB,85,86,49500000.0,70000.0,29,1994-05-27,191,85,112139.0,Al Nassr,350.0,Pro League,1.0,LCB,27.0,,2023-08-24,2026.0,45,Spain,1362.0,LCB,14.0,Left,3,2,3,Medium/Medium,Unique,Yes,82900000.0,"#Tackling, #Tactician ",Long Ball Pass,61.0,50.0,73.0,69.0,86.0,78.0,58,45,84,83,40,64,61,69,81,78,55,65,57,86,54,68,82,67,82,47,79,87,54,68,44,84.0,86,86,85,10,11,5,14,5,,65+3,65+3,65+3,65,66,66,66,65,68+3,68+3,68+3,68+3,74+3,74+3,74+3,68+3,76+3,82+3,82+3,82+3,76+3,78+3,84+2,84+2,84+2,78+3,18+3
216352,/player/216352/marcelo-brozovic/240002,24.0,2.0,2023-09-22,M. Brozović,Marcelo Brozović,"CDM, CM",83,83,30500000.0,56000.0,30,1992-11-16,181,72,112139.0,Al Nassr,350.0,Pro League,1.0,CDM,77.0,,2023-07-03,2026.0,10,Croatia,1328.0,CDM,11.0,Right,4,3,3,Medium/Medium,Lean (170-185),Yes,48800000.0,,"Long Ball Pass, Press Proven, Relentless",66.0,74.0,81.0,80.0,80.0,78.0,73,69,70,84,65,78,79,74,83,83,68,65,79,77,84,80,73,93,68,84,86,83,65,82,69,82.0,78,84,82,8,8,15,11,8,,73+3,73+3,73+3,76,76,76,76,76,78+3,78+3,78+3,77+3,82+1,82+1,82+1,77+3,80+3,82+1,82+1,82+1,80+3,80+3,79+3,79+3,79+3,80+3,17+3
210411,/player/210411/otavio-edmilson-da-silva-monteiro/240002,24.0,2.0,2023-09-22,Otávio,Otávio Edmilson da Silva Monteiro,"RM, LM",82,82,30500000.0,59000.0,28,1995-02-09,171,67,112139.0,Al Nassr,350.0,Pro League,1.0,RCM,25.0,,2023-08-22,2026.0,38,Portugal,1354.0,SUB,15.0,Right,3,4,2,High/High,Normal (170-185),Yes,48800000.0,"#Dribbler, #Engine","Pinged Pass, Incisive Pass, Tiki Taka, Technical, Flair, First Touch, Relentless",78.0,70.0,81.0,85.0,66.0,74.0,79,69,57,82,69,86,80,72,78,85,81,76,85,82,83,73,72,86,62,68,87,63,77,85,72,81.0,66,73,60,11,12,9,10,15,,74+2,74+2,74+2,80,79,79,79,80,81+1,81+1,81+1,81+1,80+2,80+2,80+2,81+1,76+2,75+2,75+2,75+2,76+2,73+2,69+2,69+2,69+2,73+2,20+2
216320,/player/216320/seko-fofana/240002,24.0,2.0,2023-09-22,S. Fofana,Seko Fofana,CM,82,82,30500000.0,59000.0,28,1995-05-07,185,74,112139.0,Al Nassr,350.0,Pro League,1.0,LCM,6.0,,2023-07-18,2026.0,108,Côte d'Ivoire,,,,Right,4,4,3,High/High,Normal (185+),No,48800000.0,#Engine,"Power Shot, Pinged Pass, Press Proven, Relentless",71.0,77.0,76.0,80.0,73.0,86.0,62,74,58,82,68,81,72,62,80,82,71,71,69,82,68,83,79,91,87,84,79,79,78,81,56,82.0,68,80,71,9,8,9,11,10,,77+3,77+3,77+3,77,79,79,79,77,80+2,80+2,80+2,78+3,82,82,82,78+3,77+3,80+2,80+2,80+2,77+3,75+3,76+3,76+3,76+3,75+3,17+3
212523,/player/212523/anderson-souza-conceicao/240002,24.0,2.0,2023-09-22,Anderson Talisca,Anderson Souza Conceição,"CF, ST, CAM",81,81,25500000.0,59000.0,29,1994-02-01,189,75,112139.0,Al Nassr,350.0,Pro League,1.0,RM,94.0,,2021-06-26,2026.0,54,Brazil,,,,Left,4,4,2,Medium/Low,Lean (185+),No,40800000.0,,"Finesse Shot, Trivela, Acrobatic",79.0,84.0,76.0,81.0,52.0,73.0,73,83,77,75,76,81,85,85,78,84,83,76,86,79,58,87,81,74,75,85,67,52,84,75,75,77.0,45,55,42,13,11,13,12,10,,81,81,81,80,81,81,81,80,80+1,80+1,80+1,79+2,76+2,76+2,76+2,79+2,66+2,66+2,66+2,66+2,66+2,64+2,62+2,62+2,62+2,64+2,19+2
176550,/player/176550/david-ospina/240002,24.0,2.0,2023-09-22,D. Ospina,David Ospina Ramírez,GK,80,80,3600000.0,36000.0,34,1988-08-31,183,80,112139.0,Al Nassr,350.0,Pro League,1.0,RES,22.0,,2022-07-11,2024.0,56,Colombia,,,,Right,3,1,2,Medium/Medium,Normal (170-185),Yes,5800000.0,,,,,,,,,11,10,15,36,12,12,10,13,40,32,55,50,59,77,60,59,62,29,49,12,20,25,16,50,26,57.0,11,13,12,81,75,79,80,82,53.0,31+2,31+2,31+2,31,33,33,33,31,34+2,34+2,34+2,32+2,35+2,35+2,35+2,32+2,28+2,31+2,31+2,31+2,28+2,28+2,26+2,26+2,26+2,28+2,79+1
212462,/player/212462/alex-nicolao-telles/240002,24.0,2.0,2023-09-22,Alex Telles,Alex Nicolao Telles,"LB, LM",79,79,15000000.0,42000.0,30,1992-12-15,181,69,112139.0,Al Nassr,350.0,Pro League,1.0,LB,15.0,,2023-07-23,2025.0,54,Brazil,,,,Left,2,3,3,High/Low,Unique,Yes,24000000.0,,Trivela,78.0,74.0,79.0,77.0,75.0,70.0,83,63,66,79,66,77,87,79,78,78,77,78,74,77,70,87,74,81,61,83,76,78,75,75,82,75.0,74,76,75,13,8,12,11,14,,74+3,74+3,74+3,76,76,76,76,76,76+3,76+3,76+3,77+2,77+2,77+2,77+2,77+2,78+1,77+2,77+2,77+2,78+1,77+2,74+3,74+3,74+3,77+2,19+3
242117,/player/242117/abdulrahman-ghareeb/240002,24.0,2.0,2023-09-22,A. Ghareeb,Abdulrahman Abdullah Ghareeb,LM,70,71,1900000.0,20000.0,26,1997-03-31,164,68,112139.0,Al Nassr,350.0,Pro League,1.0,SUB,29.0,,2022-08-20,2026.0,183,Saudi Arabia,,,,Right,3,3,1,Medium/Low,Lean (170-),No,3200000.0,,"Whipped Cross, Technical",84.0,63.0,63.0,75.0,25.0,55.0,65,65,46,62,54,76,59,55,59,69,86,82,89,63,88,64,66,72,55,58,33,20,64,68,59,64.0,25,23,17,11,8,7,6,13,,64+2,64+2,64+2,70,68,68,68,70,68+2,68+2,68+2,69+2,61+2,61+2,61+2,69+2,51+2,45+2,45+2,45+2,51+2,47+2,37+2,37+2,37+2,47+2,15+2
