player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
212207,/player/212207/nicolae-stanciu/240002,24.0,2.0,2023-09-22,N. Stanciu,Nicolae Claudiu Stanciu,"CM, CAM",77,77,10000000.0,24000.0,30,1993-05-07,170,70,113217.0,Damac,350.0,Pro League,1.0,RCM,8.0,,2023-09-07,2025.0,39,Romania,1356.0,CAM,10.0,Right,4,4,2,Medium/Medium,Normal (170-),Yes,16500000.0,#Acrobat,"Power Shot, Pinged Pass, Long Ball Pass, Technical, Trivela",76.0,73.0,79.0,79.0,62.0,70.0,76,72,66,79,70,77,81,82,80,78,79,74,90,75,90,76,74,90,60,76,69,60,73,78,68,78.0,62,62,58,14,7,13,10,12,,73+2,73+2,73+2,77,76,76,76,77,77,77,77,77,77,77,77,77,72+2,71+2,71+2,71+2,72+2,70+2,65+2,65+2,65+2,70+2,18+2
222134,/player/222134/tarek-hamed/240002,24.0,2.0,2023-09-22,T. Hamed,Tarek Hamed,"CDM, CM",75,75,1900000.0,19000.0,34,1988-10-24,169,67,113217.0,Damac,350.0,Pro League,1.0,CDM,5.0,,2023-09-04,2025.0,111,Egypt,,,,Right,3,2,1,Medium/High,Normal (170-),No,3100000.0,,"Intercept, Slide Tackle, Bruiser, Relentless",64.0,58.0,66.0,67.0,74.0,83.0,59,53,65,71,49,66,58,61,70,67,67,61,68,71,78,68,76,88,78,61,91,77,56,64,65,67.0,73,76,77,16,15,12,12,13,,63+2,63+2,63+2,64,64,64,64,64,65+2,65+2,65+2,66+2,69+2,69+2,69+2,66+2,72+2,74+1,74+1,74+1,72+2,72+2,75,75,75,72+2,20+2
200223,/player/200223/adam-maher/240002,24.0,2.0,2023-09-22,A. Maher,Adam Maher,"CDM, CM",74,74,3600000.0,19000.0,29,1993-07-20,174,72,113217.0,Damac,350.0,Pro League,1.0,RES,6.0,,2022-07-11,2025.0,34,Netherlands,,,,Right,2,3,1,Medium/High,Lean (170-185),No,5900000.0,,"Long Ball Pass, Trivela",66.0,70.0,73.0,74.0,70.0,70.0,71,66,50,74,72,72,79,75,74,76,67,66,77,72,81,75,64,82,65,73,71,76,66,69,68,73.0,70,73,71,15,7,7,11,8,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,71+2,73+1,73+1,73+1,71+2,73+1,73+1,73+1,73+1,73+1,72+2,69+2,69+2,69+2,72+2,17+2
219732,/player/219732/georges-kevin-nkoudou/240002,24.0,2.0,2023-09-22,G. Nkoudou,Georges-Kévin Nkoudou Mbida,"LW, LM",74,74,4200000.0,22000.0,28,1995-02-13,172,75,113217.0,Damac,350.0,Pro League,1.0,LW,10.0,,2023-08-14,2025.0,103,Cameroon,,,,Right,3,3,1,Medium/Low,Lean (170-185),Yes,6900000.0,"#Speedster, #Acrobat","Rapid, Flair",93.0,67.0,68.0,78.0,34.0,58.0,68,65,47,71,74,79,74,58,66,75,92,93,92,67,86,67,70,62,60,71,46,21,68,65,61,67.0,35,37,39,10,13,8,6,13,,69+2,69+2,69+2,74,72,72,72,74,73+1,73+1,73+1,73+1,65+2,65+2,65+2,73+1,57+2,52+2,52+2,52+2,57+2,55+2,46+2,46+2,46+2,55+2,17+2
216351,/player/216351/domagoj-antolic/240002,24.0,2.0,2023-09-22,D. Antolić,Domagoj Antolić,"CM, CAM, CDM",73,73,2400000.0,18000.0,32,1991-06-30,178,78,113217.0,Damac,350.0,Pro League,1.0,LCM,17.0,,2021-01-18,2024.0,10,Croatia,,,,Right,3,3,1,High/High,Lean (170-185),No,4000000.0,,"Long Ball Pass, Whipped Cross, Press Proven",54.0,69.0,76.0,69.0,68.0,71.0,75,68,59,78,65,68,65,68,77,71,47,59,62,71,68,72,55,76,70,67,72,74,69,75,79,72.0,67,68,66,13,14,12,12,8,,67+2,67+2,67+2,68,69,69,69,68,70+2,70+2,70+2,70+2,73,73,73,70+2,70+2,73,73,73,70+2,69+2,68+2,68+2,68+2,69+2,18+2
251511,/player/251511/moustapha-zeghba/240002,24.0,2.0,2023-09-22,M. Zeghba,Moustapha Zeghba,GK,73,73,1500000.0,13000.0,32,1990-11-21,190,85,113217.0,Damac,350.0,Pro League,1.0,GK,30.0,,2020-01-07,2027.0,97,Algeria,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2500000.0,,,,,,,,,13,9,13,27,9,12,12,15,28,13,48,49,36,68,34,52,65,25,66,14,23,7,7,49,16,38.0,8,9,10,72,70,69,73,74,48.0,26+2,26+2,26+2,25,26,26,26,25,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,22+2,23+2,23+2,23+2,22+2,22+2,22+2,22+2,22+2,22+2,72+1
254895,/player/254895/farouk-chafai/240002,24.0,2.0,2023-09-22,F. Chafaï,Farouk Chafaï,CB,73,73,1500000.0,16000.0,33,1990-06-23,181,80,113217.0,Damac,350.0,Pro League,1.0,RCB,15.0,,2020-01-04,2025.0,97,Algeria,,,,Right,3,2,1,High/High,Normal (170-185),No,2500000.0,#Engine,"Block, Anticipate",46.0,57.0,48.0,49.0,75.0,82.0,35,60,82,57,41,41,42,35,61,56,44,48,46,75,54,60,89,87,83,60,71,70,40,39,40,53.0,78,73,70,5,9,9,8,13,,58+2,58+2,58+2,50,53,53,53,50,51+2,51+2,51+2,51+2,58+2,58+2,58+2,51+2,63+2,68+2,68+2,68+2,63+2,65+2,73,73,73,65+2,16+2
220306,/player/220306/assan-ceesay/240002,24.0,2.0,2023-09-22,A. Ceesay,Assan Torrez Ceesay,ST,70,70,1600000.0,14000.0,29,1994-03-17,188,75,113217.0,Damac,350.0,Pro League,1.0,ST,9.0,,2023-08-15,2024.0,116,Gambia,,,,Left,3,2,1,Medium/High,Lean (185+),No,2600000.0,,Rapid,84.0,70.0,58.0,66.0,33.0,68.0,55,72,69,64,68,66,57,45,52,62,87,82,75,68,75,70,82,66,68,70,66,17,72,58,61,68.0,37,30,28,7,8,8,14,13,,70,70,70,68,68,68,68,68,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,51+2,48+2,48+2,48+2,51+2,50+2,47+2,47+2,47+2,50+2,17+2
261737,/player/261737/abdelkader-bedrane/240002,24.0,2.0,2023-09-22,A. Bedrane,Abdelkader Bedrane,CB,70,70,1100000.0,11000.0,31,1992-04-02,186,81,113217.0,Damac,350.0,Pro League,1.0,LCB,3.0,,2022-07-01,2024.0,97,Algeria,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1800000.0,,"Intercept, Aerial",60.0,30.0,51.0,53.0,69.0,73.0,42,24,74,67,17,46,31,28,57,62,56,64,45,63,50,49,79,69,77,25,68,70,35,37,39,62.0,67,68,71,15,10,11,10,14,,49+2,49+2,49+2,48,49,49,49,48,49+2,49+2,49+2,52+2,55+2,55+2,55+2,52+2,63+2,65+2,65+2,65+2,63+2,65+2,70,70,70,65+2,18+2
221772,/player/221772/abdulaziz-al-bishi/240002,24.0,2.0,2023-09-22,A. Al Bishi,Abdulaziz Ali Al Bishi,"RW, LW",67,67,1000000.0,14000.0,29,1994-03-11,176,75,113217.0,Damac,350.0,Pro League,1.0,RW,11.0,Al Ittihad,,2024.0,183,Saudi Arabia,,,,Left,2,3,1,High/Low,Normal (170-185),No,,,"Finesse Shot, Rapid",85.0,58.0,62.0,72.0,28.0,63.0,60,58,47,61,54,72,72,59,62,67,86,85,84,57,88,64,78,64,64,55,53,28,60,62,51,67.0,21,26,31,10,12,6,14,16,,62+2,62+2,62+2,67,65,65,65,67,65+2,65+2,65+2,66+1,59+2,59+2,59+2,66+1,51+2,47+2,47+2,47+2,51+2,48+2,42+2,42+2,42+2,48+2,17+2
