team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
605,/team/605/al-hilal/240002,24,2,2023-09-22,Al Hilal,350,Pro League,1.0,183,Saudi Arabia,77,79,79,74,523923.0,King Fahd International Stadium,112139,7,10.0,,330600000.0,28.91,27.0,229851.0,224293.0,224293.0,190871.0,224293.0,190871.0,190871.0,224293.0,Press after possession loss,51.0,71.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
607,/team/607/al-ittihad/240002,24,2,2023-09-22,Al Ittihad,350,Pro League,1.0,183,Saudi Arabia,77,83,79,70,455991.0,King Abdullah Sports City,112387,6,8.0,,290500000.0,30.73,27.3,209440.0,202599.0,202599.0,202599.0,202599.0,209499.0,202599.0,202599.0,Pressure on heavy touch,41.0,51.0,,,,,,Fast build up,Forward runs,41.0,4.0,3.0,3.0,,,,,,,,
112139,/team/112139/al-nassr/240002,24,2,2023-09-22,Al Nassr,350,Pro League,1.0,183,Saudi Arabia,76,86,77,74,464141.0,Stade Municipal,605,6,9.0,,295800000.0,29.27,27.03,20801.0,20801.0,20801.0,20801.0,212523.0,20801.0,216352.0,212462.0,Pressure on heavy touch,41.0,61.0,,,,,,Fast build up,Forward runs,51.0,4.0,3.0,3.0,,,,,,,,
112387,/team/112387/al-ahli-jeddah/240002,24,2,2023-09-22,Al Ahli Jeddah,350,Pro League,1.0,183,Saudi Arabia,74,76,76,70,30314.0,King Abdullah Sports City,607,5,7.0,,250700000.0,27.55,25.77,230938.0,188388.0,188388.0,204485.0,188388.0,188388.0,188388.0,188388.0,Pressure on heavy touch,71.0,61.0,,,,,,Balanced,Balanced,71.0,5.0,3.0,3.0,,,,,,,,
111674,/team/111674/al-shabab/240002,24,2,2023-09-22,Al Shabab,350,Pro League,1.0,183,Saudi Arabia,71,74,70,70,185336.0,Stade Kokoto (Generic Africa 2),112139,4,7.0,,75500000.0,29.36,26.68,178562.0,178562.0,178562.0,178562.0,178562.0,208418.0,178562.0,178562.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,61.0,4.0,3.0,3.0,,,,,,,,
112096,/team/112096/al-ettifaq/240002,24,2,2023-09-22,Al Ettifaq,350,Pro League,1.0,183,Saudi Arabia,70,73,73,64,37685707.0,Stade Kokoto (Generic Africa 2),112883,3,6.0,,25500000.0,28.91,25.62,183711.0,208008.0,224962.0,224962.0,208008.0,211591.0,224962.0,208008.0,Pressure on heavy touch,51.0,51.0,,,,,,Slow build up,Possession,51.0,3.0,3.0,3.0,,,,,,,,
112390,/team/112390/al-fateh/240002,24,2,2023-09-22,Al Fateh,350,Pro League,1.0,183,Saudi Arabia,69,73,69,66,2511114.0,Stade Kokoto (Generic Africa 2),112096,3,6.0,,18000000.0,31.36,27.4,259265.0,215270.0,215270.0,215270.0,215270.0,259265.0,259265.0,259265.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,61.0,4.0,3.0,3.0,,,,,,,,
112408,/team/112408/al-wahda/240002,24,2,2023-09-22,Al Wahda,350,Pro League,1.0,183,Saudi Arabia,68,74,68,67,455743.0,Stade Kokoto (Generic Africa 2),607,3,5.0,,15200000.0,30.27,27.97,210028.0,205083.0,205083.0,205083.0,205083.0,205083.0,205083.0,205083.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
113057,/team/113057/al-fayha/240002,24,2,2023-09-22,Al Fayha,350,Pro League,1.0,183,Saudi Arabia,68,72,69,65,1552604.0,Stade Kokoto (Generic Africa 2),112392,2,4.0,,13100000.0,29.91,27.59,238902.0,230850.0,230850.0,230850.0,230850.0,241771.0,241771.0,241771.0,Balanced,41.0,41.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
113217,/team/113217/damac/240002,24,2,2023-09-22,Damac,350,Pro League,1.0,183,Saudi Arabia,68,67,71,65,456580.0,Stade Kokoto (Generic Africa 2),113058,1,3.0,,11900000.0,30.45,27.87,254895.0,216351.0,216351.0,216351.0,216351.0,220306.0,216351.0,216351.0,Balanced,41.0,41.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
113058,/team/113058/abha/240002,24,2,2023-09-22,Abha,350,Pro League,1.0,183,Saudi Arabia,67,66,69,64,37621959.0,Stade Kokoto (Generic Africa 2),113217,1,2.0,,11600000.0,30.55,27.73,241750.0,241750.0,241750.0,241750.0,241750.0,224069.0,241750.0,241750.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,4.0,3.0,3.0,,,,,,,,
112392,/team/112392/al-raed/240002,24,2,2023-09-22,Al Raed,350,Pro League,1.0,183,Saudi Arabia,66,68,67,62,456680.0,Stade Kokoto (Generic Africa 2),112393,2,4.0,,18700000.0,27.73,25.13,210898.0,263893.0,240526.0,240526.0,263893.0,240526.0,240526.0,263893.0,Balanced,61.0,51.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
112393,/team/112393/al-taawon/240002,24,2,2023-09-22,Al Taawon,350,Pro League,1.0,183,Saudi Arabia,66,68,71,61,24445026.0,Stade Kokoto (Generic Africa 2),112392,4,6.0,,32100000.0,26.0,24.5,234200.0,212476.0,212476.0,232787.0,212476.0,232787.0,212476.0,212476.0,Pressure on heavy touch,61.0,61.0,,,,,,Slow build up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
112883,/team/112883/al-khaleej/240002,24,2,2023-09-22,Al Khaleej,350,Pro League,1.0,183,Saudi Arabia,66,65,66,66,1533122.0,Stade Kokoto (Generic Africa 2),112096,2,3.0,,9100000.0,28.64,26.37,224394.0,226877.0,234930.0,226877.0,226877.0,224394.0,226877.0,226877.0,Balanced,61.0,51.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
113060,/team/113060/al-okhdood/240002,24,2,2023-09-22,Al Okhdood,350,Pro League,1.0,183,Saudi Arabia,66,72,66,65,37709925.0,Stade Kokoto (Generic Africa 2),113217,1,1.0,,6500000.0,28.91,26.29,275557.0,242999.0,242999.0,242999.0,242999.0,223231.0,242999.0,242999.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
112572,/team/112572/al-tai/240002,24,2,2023-09-22,Al Tai,350,Pro League,1.0,183,Saudi Arabia,65,65,67,64,163743.0,Stade Kokoto (Generic Africa 2),112392,1,2.0,,7400000.0,27.91,26.38,239641.0,222457.0,222457.0,222457.0,222457.0,222457.0,222457.0,222457.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
113037,/team/113037/al-riyadh/240002,24,2,2023-09-22,Al Riyadh,350,Pro League,1.0,183,Saudi Arabia,65,70,69,62,37571970.0,Stade Kokoto (Generic Africa 2),605,1,4.0,,10500000.0,30.64,27.47,194171.0,194171.0,194171.0,194171.0,194171.0,194171.0,194171.0,194171.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
