player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
270611,/player/270611/luis-lopes/240002,24.0,2.0,2023-09-22,Duk,Luis Henrique Barros Lopes,"ST, LM, LW",73,80,6000000.0,8000.0,23,2000-02-16,178,75,77.0,Aberdeen,50.0,Premiership,1.0,LS,11.0,,2022-07-15,2025.0,104,Cape Verde Islands,,,,Right,3,4,1,High/Medium,Normal (170-185),No,11700000.0,,"Finesse Shot, Rapid, Flair, Quick Step, Acrobatic",86.0,70.0,60.0,74.0,27.0,68.0,51,72,70,67,62,75,68,72,52,70,84,87,83,71,88,79,84,68,73,60,51,22,70,60,64,69.0,24,21,23,8,8,12,6,6,,73+2,73+2,73+2,70,72,72,72,70,69+2,69+2,69+2,69+2,61+2,61+2,61+2,69+2,51+2,47+2,47+2,47+2,51+2,48+2,44+2,44+2,44+2,48+2,14+2
211299,/player/211299/kelle-roos/240002,24.0,2.0,2023-09-22,K. Roos,Kelle Roos,GK,71,71,1000000.0,5000.0,31,1992-05-31,196,90,77.0,Aberdeen,50.0,Premiership,1.0,GK,24.0,,2022-07-01,2024.0,34,Netherlands,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,1800000.0,,Footwork,,,,,,,14,15,13,28,19,16,17,15,20,20,45,38,34,67,38,53,64,43,68,18,20,19,14,42,23,44.0,9,18,21,74,66,71,68,74,42.0,29+2,29+2,29+2,26,28,28,28,26,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,70+1
252134,/player/252134/leighton-clarkson/240002,24.0,2.0,2023-09-22,L. Clarkson,Leighton Clarkson,"CM, CDM, CAM",70,80,3600000.0,4000.0,21,2001-10-19,175,66,77.0,Aberdeen,50.0,Premiership,1.0,LCM,10.0,,2023-06-28,2027.0,14,England,,,,Right,2,3,1,High/Medium,Lean (170-185),Yes,7000000.0,,"Pinged Pass, Long Ball Pass, First Touch, Trivela",67.0,63.0,72.0,72.0,60.0,56.0,66,58,46,75,66,70,71,71,73,73,71,64,79,69,82,72,54,70,48,68,57,61,60,74,50,70.0,59,65,62,14,15,14,7,9,,63+2,63+2,63+2,68,68,68,68,68,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,67+2,67+2,67+2,67+2,67+2,65+2,60+2,60+2,60+2,65+2,18+2
269953,/player/269953/bojan-miovski/240002,24.0,2.0,2023-09-22,B. Miovski,Bojan Miovski,ST,70,76,2500000.0,5000.0,24,1999-06-24,189,82,77.0,Aberdeen,50.0,Premiership,1.0,RS,9.0,,2022-06-28,2026.0,19,North Macedonia,,,,Left,3,2,1,High/Medium,Normal (185+),No,4900000.0,,Finesse Shot,68.0,71.0,50.0,65.0,28.0,65.0,38,74,74,63,56,63,62,33,43,69,66,69,61,60,65,78,80,61,73,58,48,24,72,44,73,66.0,21,26,21,10,12,7,13,13,,70+2,70+2,70+2,62,66,66,66,62,62+2,62+2,62+2,61+2,55+2,55+2,55+2,61+2,45+2,44+2,44+2,44+2,45+2,44+2,43+2,43+2,43+2,44+2,17+2
229436,/player/229436/stefan-gartenmann/240002,24.0,2.0,2023-09-22,S. Gartenmann,Stefan Gartenmann,CB,70,73,1800000.0,14000.0,26,1997-02-02,185,75,77.0,Aberdeen,50.0,Premiership,1.0,SUB,6.0,Midtjylland,,2024.0,13,Denmark,,,,Right,3,2,1,Medium/High,Normal (185+),No,,,"Long Ball Pass, Block, Slide Tackle, Long Throw",62.0,33.0,57.0,60.0,70.0,77.0,60,22,70,61,27,54,51,28,58,66,55,68,56,70,65,54,76,76,82,32,67,69,51,57,37,68.0,71,70,67,12,8,9,14,14,,53+2,53+2,53+2,55,54,54,54,55,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,66+2,67+2,67+2,67+2,66+2,67+2,70+2,70+2,70+2,67+2,18+2
200302,/player/200302/graeme-shinnie/240002,24.0,2.0,2023-09-22,G. Shinnie,Graeme Shinnie,"CDM, CM",69,69,975000.0,4000.0,31,1991-08-04,175,72,77.0,Aberdeen,50.0,Premiership,1.0,CDM,4.0,,2023-06-28,2026.0,42,Scotland,,,,Left,2,2,1,Medium/High,Lean (170-185),No,1700000.0,,"Intercept, Slide Tackle, Relentless",67.0,59.0,65.0,67.0,68.0,73.0,68,53,66,68,57,67,67,68,61,64,64,69,73,69,78,72,70,82,66,57,80,73,67,60,68,68.0,61,70,70,13,6,6,14,12,,64+2,64+2,64+2,65,65,65,65,65,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,70-1,68+1,68+1,68+1,70-1,69,69,69,69,69,17+2
276263,/player/276263/ester-sokler/240002,24.0,2.0,2023-09-22,E. Sokler,Ester Sokler,"ST, LM",68,73,1800000.0,4000.0,24,1999-06-04,187,74,77.0,Aberdeen,50.0,Premiership,1.0,SUB,19.0,,2023-07-01,2026.0,44,Slovenia,,,,Right,4,3,1,High/Medium,Lean (185+),No,3300000.0,,"Finesse Shot, Acrobatic",75.0,67.0,55.0,66.0,41.0,60.0,44,71,74,62,60,63,65,38,51,68,78,72,71,66,60,66,80,59,60,61,58,46,71,56,58,69.0,31,40,28,8,9,13,8,9,,68+2,68+2,68+2,65,67,67,67,65,65+2,65+2,65+2,63+2,60+2,60+2,60+2,63+2,52+2,52+2,52+2,52+2,52+2,51+2,50+2,50+2,50+2,51+2,15+2
254525,/player/254525/pape-habib-gueye/240002,24.0,2.0,2023-09-22,P. Gueye,Pape Habib Guèye,ST,67,75,2300000.0,3000.0,23,1999-09-20,188,84,77.0,Aberdeen,50.0,Premiership,1.0,RES,16.0,,2023-08-29,2026.0,136,Senegal,,,,Right,3,3,1,High/Medium,Normal (185+),No,4500000.0,,Flair,76.0,66.0,54.0,64.0,21.0,76.0,53,68,67,57,61,64,58,45,50,63,74,77,68,65,66,70,81,71,78,59,75,19,64,52,64,65.0,12,19,12,7,9,13,12,11,,67+2,67+2,67+2,63,64,64,64,63,62+2,62+2,62+2,63+2,55+2,55+2,55+2,63+2,46+2,44+2,44+2,44+2,46+2,43+2,41+2,41+2,41+2,43+2,16+2
163619,/player/163619/jonny-hayes/240002,24.0,2.0,2023-09-22,J. Hayes,Jonathan Hayes,"LB, LWB",67,67,325000.0,2000.0,35,1987-07-09,173,73,77.0,Aberdeen,50.0,Premiership,1.0,LWB,17.0,,2020-07-01,2024.0,25,Republic of Ireland,,,,Left,4,3,1,High/High,Normal (170-185),No,569000.0,,"Whipped Cross, Jockey, Slide Tackle, Rapid, Relentless",79.0,60.0,66.0,69.0,61.0,66.0,70,56,57,65,50,67,74,70,59,66,79,79,82,67,84,73,71,69,60,60,77,59,56,64,48,70.0,63,62,60,11,6,11,11,14,,63+2,63+2,63+2,66,65,65,65,66,65+2,65+2,65+2,66+1,63+2,63+2,63+2,66+1,66+1,64+2,64+2,64+2,66+1,65+2,63+2,63+2,63+2,65+2,17+2
204033,/player/204033/nicky-devlin/240002,24.0,2.0,2023-09-22,N. Devlin,Nicholas Devlin,"RWB, RB",67,67,900000.0,3000.0,29,1993-10-17,183,73,77.0,Aberdeen,50.0,Premiership,1.0,RWB,2.0,,2023-07-01,2025.0,42,Scotland,,,,Right,3,2,1,High/High,Normal (170-185),No,1600000.0,,"Anticipate, Slide Tackle, Long Throw",79.0,50.0,57.0,62.0,61.0,78.0,62,50,60,59,40,61,53,43,59,59,77,81,73,60,67,57,79,82,74,45,83,61,53,50,50,57.0,58,64,62,10,9,8,11,14,,58+2,58+2,58+2,60,58,58,58,60,58+2,58+2,58+2,62+2,59+2,59+2,59+2,62+2,65+2,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,65+2,16+2
