player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
166764,/player/166764/trevor-carson/240002,24.0,2.0,2023-09-22,T. Carson,Trevor Carson,GK,65,65,80000.0,1000.0,35,1988-03-05,182,80,180.0,Dundee,50.0,Premiership,1.0,GK,31.0,,2023-08-03,2026.0,35,Northern Ireland,110081.0,SUB,23.0,Right,3,1,1,Medium/Medium,Stocky (170-185),No,140000.0,,Footwork,,,,,,,18,17,12,29,15,16,12,19,32,24,50,48,56,61,67,48,64,43,68,14,37,17,18,43,23,50.0,15,11,12,65,63,64,65,64,49.0,30+2,30+2,30+2,29,30,30,30,29,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,27+2,28+2,28+2,28+2,27+2,26+2,26+2,26+2,26+2,26+2,64+1
262361,/player/262361/lyall-cameron/240002,24.0,2.0,2023-09-22,L. Cameron,Lyall Cameron,"CAM, CM, LM",64,80,1500000.0,1000.0,20,2002-10-10,173,78,180.0,Dundee,50.0,Premiership,1.0,RCM,10.0,,2018-10-10,2025.0,42,Scotland,,,,Right,4,4,1,High/Medium,Lean (170-185),No,3600000.0,,"Finesse Shot, Technical",80.0,58.0,58.0,67.0,54.0,57.0,50,60,48,62,49,65,61,45,59,67,85,75,81,65,74,58,54,73,52,60,51,58,62,59,46,61.0,49,59,48,13,15,11,7,12,,62+2,62+2,62+2,65,64,64,64,65,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,61+2,59+2,59+2,59+2,61+2,60+2,55+2,55+2,55+2,60+2,18+2
182761,/player/182761/adam-legzdins/240002,24.0,2.0,2023-09-22,A. Legzdins,Adam Richard Legzdins,GK,64,64,60000.0,950.0,36,1986-11-23,190,90,180.0,Dundee,50.0,Premiership,1.0,SUB,1.0,,2020-11-13,2025.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,105000.0,,Far Throw,,,,,,,17,13,19,20,18,15,17,17,25,17,35,30,47,60,45,48,60,31,65,12,37,16,15,54,17,60.0,11,11,11,63,62,64,65,65,33.0,26+2,26+2,26+2,24,26,26,26,24,27+2,27+2,27+2,25+2,27+2,27+2,27+2,25+2,22+2,25+2,25+2,25+2,22+2,22+2,25+2,25+2,25+2,22+2,63+1
224832,/player/224832/antonio-portales/240002,24.0,2.0,2023-09-22,A. Portales,Juan Antonio Portales Villarreal,CB,63,65,500000.0,2000.0,27,1996-05-16,183,77,180.0,Dundee,50.0,Premiership,1.0,LCB,29.0,,2023-06-18,2025.0,83,Mexico,,,,Right,3,2,1,Medium/High,Normal (170-185),No,913000.0,,Power Header,66.0,41.0,54.0,55.0,61.0,72.0,54,42,65,63,31,52,37,38,50,55,68,65,70,61,61,39,77,68,76,35,67,59,49,50,67,45.0,60,61,60,12,16,14,12,8,,53+2,53+2,53+2,55,53,53,53,55,54+2,54+2,54+2,56+2,55+2,55+2,55+2,56+2,60+2,60+2,60+2,60+2,60+2,61+2,63+2,63+2,63+2,61+2,17+2
262525,/player/262525/luke-mccowan/240002,24.0,2.0,2023-09-22,L. McCowan,Luke McCowan,"RM, LM",63,65,600000.0,2000.0,25,1997-12-09,177,72,180.0,Dundee,50.0,Premiership,1.0,RWB,17.0,,2021-07-01,2025.0,42,Scotland,,,,Left,3,4,1,High/Medium,Lean (170-185),No,1100000.0,,"Finesse Shot, Technical, Flair",82.0,61.0,56.0,65.0,28.0,57.0,62,57,49,55,53,64,59,52,48,62,84,80,85,56,78,70,63,68,54,63,48,23,59,57,55,56.0,23,29,26,12,8,7,6,8,,61+2,61+2,61+2,64,62,62,62,64,61+2,61+2,61+2,62+2,55+2,55+2,55+2,62+2,49+2,44+2,44+2,44+2,49+2,47+2,39+2,39+2,39+2,47+2,14+2
198624,/player/198624/joe-shaughnessy/240002,24.0,2.0,2023-09-22,J. Shaughnessy,Joseph Thomas Gordan Shaughnessy,CB,63,63,400000.0,2000.0,30,1992-07-06,183,69,180.0,Dundee,50.0,Premiership,1.0,CB,5.0,,2023-06-28,2025.0,25,Republic of Ireland,,,,Right,4,2,1,Medium/High,Normal (170-185),No,700000.0,,Long Throw,65.0,23.0,45.0,51.0,64.0,68.0,39,20,63,53,20,49,33,28,49,50,67,63,63,56,45,30,71,65,70,22,66,62,22,41,32,56.0,65,65,62,10,16,12,7,16,,42+2,42+2,42+2,45,43,43,43,45,45+2,45+2,45+2,48+2,48+2,48+2,48+2,48+2,57+2,58+2,58+2,58+2,57+2,59+2,63,63,63,59+2,17+2
215277,/player/215277/lee-ashcroft/240002,24.0,2.0,2023-09-22,L. Ashcroft,Lee Ashcroft,CB,63,63,400000.0,2000.0,29,1993-08-29,183,70,180.0,Dundee,50.0,Premiership,1.0,RCB,14.0,,2020-07-23,2025.0,42,Scotland,,,,Right,3,2,1,Medium/High,Normal (170-185),No,700000.0,,"Power Header, Bruiser",56.0,31.0,43.0,48.0,62.0,75.0,31,25,68,51,27,46,32,31,47,50,57,56,37,55,67,46,77,66,82,25,68,60,31,44,43,54.0,61,62,59,12,8,7,15,7,,46+2,46+2,46+2,43,44,44,44,43,44+2,44+2,44+2,46+2,49+2,49+2,49+2,46+2,54+2,57+2,57+2,57+2,54+2,56+2,63,63,63,56+2,15+2
221141,/player/221141/amadou-bakayoko/240002,24.0,2.0,2023-09-22,A. Bakayoko,Amadou Bakayoko,ST,63,63,525000.0,4000.0,27,1996-01-01,193,85,180.0,Dundee,50.0,Premiership,1.0,LS,9.0,Forest Green Rovers,,2024.0,138,Sierra Leone,,,,Left,3,3,1,Medium/High,Normal (185+),No,,,"Bruiser, Flair",76.0,61.0,48.0,58.0,41.0,78.0,51,63,60,53,55,62,37,33,38,58,72,79,43,59,42,67,72,73,81,52,76,37,62,52,63,64.0,37,42,38,14,8,13,9,13,,63,63,63,60,61,61,61,60,57+2,57+2,57+2,60+2,53+2,53+2,53+2,60+2,53+2,50+2,50+2,50+2,53+2,52+2,52+2,52+2,52+2,52+2,16+2
244202,/player/244202/ricki-lamie/240002,24.0,2.0,2023-09-22,R. Lamie,Ricki Lamie,CB,63,63,400000.0,2000.0,30,1993-06-20,189,95,180.0,Dundee,50.0,Premiership,1.0,SUB,12.0,Motherwell,,2024.0,42,Scotland,,,,Left,3,2,1,Low/Medium,Normal (185+),No,,,,50.0,30.0,48.0,56.0,62.0,73.0,57,26,66,56,26,56,35,26,49,57,53,48,58,54,55,41,72,72,77,23,66,62,30,35,50,50.0,62,62,60,8,15,9,6,14,,46+2,46+2,46+2,48,45,45,45,48,46+2,46+2,46+2,51+2,50+2,50+2,50+2,51+2,59+2,59+2,59+2,59+2,59+2,59+2,63,63,63,59+2,15+2
246872,/player/246872/mohamad-sylla/240002,24.0,2.0,2023-09-22,M. Sylla,Mohamad Sylla,"CDM, CM",63,63,400000.0,2000.0,29,1993-12-01,189,81,180.0,Dundee,50.0,Premiership,1.0,SUB,22.0,,2023-08-29,2025.0,18,France,,,,Right,3,2,1,Medium/High,Normal (185+),No,700000.0,,"Block, Intercept",65.0,41.0,53.0,55.0,62.0,75.0,44,35,59,59,33,53,45,38,56,56,64,65,59,58,54,52,71,82,73,43,73,65,50,54,41,62.0,62,61,59,10,8,8,14,6,,52+2,52+2,52+2,53,53,53,53,53,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,61+2,62+1,62+1,62+1,61+2,61+2,63,63,63,61+2,15+2
