player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
216218,/player/216218/lawrence-shankland/240002,24.0,2.0,2023-09-22,L. Shankland,Lawrence Shankland,"ST, CF, CAM",74,74,4600000.0,10000.0,27,1995-08-10,185,80,80.0,Hearts,50.0,Premiership,1.0,ST,9.0,,2022-07-21,2025.0,42,Scotland,,,,Right,4,2,1,High/Medium,Normal (185+),No,8300000.0,,Power Header,66.0,77.0,62.0,72.0,28.0,78.0,48,80,75,71,69,69,62,49,59,75,68,64,70,67,72,78,83,81,79,68,70,19,73,66,84,80.0,26,23,20,13,15,14,10,11,,74,74,74,69,72,72,72,69,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,50+2,51+2,51+2,51+2,50+2,47+2,46+2,46+2,46+2,47+2,18+2
53110,/player/53110/craig-gordon/240002,24.0,2.0,2023-09-22,C. Gordon,Craig Sinclair Gordon,GK,73,73,350000.0,4000.0,40,1982-12-31,193,83,80.0,Hearts,50.0,Premiership,1.0,RES,1.0,,2020-07-01,2024.0,42,Scotland,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,630000.0,,"Far Throw, Footwork",,,,,,,13,14,15,34,15,11,15,13,27,28,33,32,57,69,51,48,61,25,65,14,33,26,16,45,22,50.0,23,15,13,74,71,64,72,76,33.0,29+2,29+2,29+2,27,29,29,29,27,30+2,30+2,30+2,27+2,31+2,31+2,31+2,27+2,26+2,31+2,31+2,31+2,26+2,26+2,30+2,30+2,30+2,26+2,72+1
209729,/player/209729/barrie-mckay/240002,24.0,2.0,2023-09-22,B. McKay,Barrie McKay,"LM, LW",72,72,2400000.0,7000.0,28,1994-12-30,172,73,80.0,Hearts,50.0,Premiership,1.0,SUB,18.0,,2021-09-07,2025.0,42,Scotland,,,,Right,4,4,1,Medium/Low,Normal (170-185),No,4300000.0,,"Pinged Pass, Rapid, Flair, First Touch, Trivela",80.0,61.0,71.0,75.0,38.0,40.0,72,60,37,72,47,73,63,68,66,75,83,78,87,61,83,60,47,57,31,66,38,49,71,75,50,70.0,33,36,39,10,9,13,14,12,,63+2,63+2,63+2,72,70,70,70,72,72,72,72,71+1,67+2,67+2,67+2,71+1,59+2,54+2,54+2,54+2,59+2,55+2,43+2,43+2,43+2,55+2,17+2
243589,/player/243589/alex-cochrane/240002,24.0,2.0,2023-09-22,A. Cochrane,Alexander William Cochrane,"LB, CB, LWB",71,76,2600000.0,5000.0,23,2000-04-21,175,70,80.0,Hearts,50.0,Premiership,1.0,SUB,19.0,,2022-06-25,2025.0,14,England,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,4900000.0,,"Long Ball Pass, Anticipate",73.0,45.0,65.0,68.0,67.0,66.0,70,41,57,69,34,65,56,59,64,70,72,73,72,65,75,55,68,80,60,41,65,62,65,58,44,64.0,69,71,67,9,7,7,14,7,,59+2,59+2,59+2,64,62,62,62,64,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,69+2,67+2,67+2,67+2,69+2,69+2,66+2,66+2,66+2,69+2,15+2
246006,/player/246006/cameron-devlin/240002,24.0,2.0,2023-09-22,C. Devlin,Cameron Peter Devlin,"CDM, CM",71,75,2400000.0,6000.0,25,1998-06-07,171,78,80.0,Hearts,50.0,Premiership,1.0,RDM,14.0,,2021-08-31,2024.0,195,Australia,,,,Right,3,2,1,Medium/High,Lean (170-185),No,4500000.0,,"Jockey, Intercept, Slide Tackle, Press Proven, Relentless",69.0,55.0,62.0,72.0,68.0,73.0,56,58,50,70,48,70,50,53,64,70,73,66,78,70,88,52,65,91,61,52,80,70,67,60,46,73.0,69,73,66,14,7,6,12,6,,62+2,62+2,62+2,66,65,65,65,66,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,69+2,16+2
222045,/player/222045/craig-halkett/240002,24.0,2.0,2023-09-22,C. Halkett,Craig Halkett,CB,71,73,1900000.0,6000.0,28,1995-05-29,183,75,80.0,Hearts,50.0,Premiership,1.0,RES,4.0,,2019-07-01,2024.0,42,Scotland,,,,Right,3,2,1,Medium/High,Normal (170-185),No,3600000.0,,"Power Header, Bruiser",59.0,50.0,57.0,61.0,71.0,75.0,43,51,75,69,40,58,52,63,67,66,64,55,55,66,67,53,89,67,78,44,74,64,54,43,68,60.0,73,73,68,10,11,7,14,9,,60+2,60+2,60+2,57,58,58,58,57,58+2,58+2,58+2,59+2,62+2,62+2,62+2,59+2,64+2,68+2,68+2,68+2,64+2,65+2,71+2,71+2,71+2,65+2,17+2
204269,/player/204269/zander-clark/240002,24.0,2.0,2023-09-22,Z. Clark,Zander Clark,GK,71,71,1000000.0,5000.0,31,1992-06-26,193,80,80.0,Hearts,50.0,Premiership,1.0,GK,28.0,,2022-09-02,2025.0,42,Scotland,1359.0,SUB,12.0,Right,2,1,1,Medium/Medium,Normal (185+),No,1800000.0,,,,,,,,,10,16,25,30,12,12,11,12,19,24,31,31,64,63,51,53,63,24,66,13,37,19,13,60,24,55.0,15,14,12,71,65,70,73,77,31.0,29+2,29+2,29+2,26,29,29,29,26,31+2,31+2,31+2,26+2,29+2,29+2,29+2,26+2,23+2,28+2,28+2,28+2,23+2,23+2,28+2,28+2,28+2,23+2,70+1
233931,/player/233931/kye-rowles/240002,24.0,2.0,2023-09-22,K. Rowles,Kye Francis Rowles,CB,70,72,1800000.0,5000.0,25,1998-06-24,185,80,80.0,Hearts,50.0,Premiership,1.0,LCB,15.0,,2022-07-01,2028.0,195,Australia,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,3400000.0,,Block,66.0,24.0,46.0,44.0,71.0,76.0,26,16,72,67,31,33,24,22,61,45,62,69,60,61,64,34,80,74,78,27,71,67,27,29,33,62.0,70,74,70,13,12,6,10,9,,43+2,43+2,43+2,41,41,41,41,41,44+2,44+2,44+2,45+2,51+2,51+2,51+2,45+2,60+2,65+2,65+2,65+2,60+2,63+2,70+2,70+2,70+2,63+2,16+2
223747,/player/223747/stephen-kingsley/240002,24.0,2.0,2023-09-22,S. Kingsley,Stephen Kingsley,"CB, LWB, LB",70,70,1400000.0,5000.0,28,1994-07-23,178,77,80.0,Hearts,50.0,Premiership,1.0,LB,3.0,,2020-10-06,2025.0,42,Scotland,,,,Left,2,2,1,High/Medium,Normal (170-185),Yes,2500000.0,,"Dead Ball, Slide Tackle",60.0,58.0,70.0,71.0,70.0,73.0,70,57,69,70,35,72,73,75,70,70,58,61,67,69,72,61,72,75,73,67,69,68,61,68,46,68.0,70,73,68,11,6,8,14,12,,64+2,64+2,64+2,66,66,66,66,66,67+2,67+2,67+2,67+2,69+1,69+1,69+1,67+2,69+1,70,70,70,69+1,69+1,70,70,70,69+1,17+2
238062,/player/238062/beni-baningime/240002,24.0,2.0,2023-09-22,B. Baningime,Beni Baningime,"CM, CDM",69,73,2000000.0,4000.0,24,1998-09-09,178,70,80.0,Hearts,50.0,Premiership,1.0,SUB,6.0,,2021-07-29,2024.0,110,Congo DR,,,,Right,3,2,1,Low/High,Lean (170-185),Yes,3800000.0,,Slide Tackle,53.0,52.0,64.0,70.0,70.0,67.0,51,48,58,74,37,69,45,47,68,72,53,53,64,68,77,61,62,78,63,55,66,74,57,64,48,75.0,69,72,67,9,14,10,12,14,,59+2,59+2,59+2,62,63,63,63,62,65+2,65+2,65+2,64+2,69+2,69+2,69+2,64+2,67+2,71+2,71+2,71+2,67+2,67+2,68+2,68+2,68+2,67+2,18+2
