player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211221,/player/211221/martin-boyle/240002,24.0,2.0,2023-09-22,M. Boyle,Martin Callie Boyle,"RM, ST, RW",72,72,2300000.0,7000.0,30,1993-04-25,172,63,81.0,Hibernian,50.0,Premiership,1.0,RM,10.0,,2022-08-08,2025.0,195,Australia,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,4000000.0,#Speedster,"Whipped Cross, Rapid",91.0,70.0,62.0,73.0,45.0,59.0,67,71,50,64,60,74,59,54,52,69,92,90,83,70,75,73,67,76,50,65,60,36,71,62,72,64.0,44,48,47,14,10,13,15,7,,69+2,69+2,69+2,72,71,71,71,72,69+2,69+2,69+2,71+1,63+2,63+2,63+2,71+1,62+2,55+2,55+2,55+2,62+2,60+2,51+2,51+2,51+2,60+2,18+2
238509,/player/238509/elie-youan/240002,24.0,2.0,2023-09-22,É. Youan,Thody Élie Youan,"LM, LW, ST",71,75,2700000.0,6000.0,24,1999-04-07,183,70,81.0,Hibernian,50.0,Premiership,1.0,LM,7.0,,2023-07-01,2026.0,18,France,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,4900000.0,,"Rapid, Flair, First Touch, Quick Step",86.0,68.0,62.0,75.0,34.0,59.0,62,71,57,64,63,74,68,40,55,74,88,85,87,70,79,70,73,69,57,64,49,30,66,66,58,64.0,28,35,29,15,10,14,14,6,,69+2,69+2,69+2,72,71,71,71,72,70+2,70+2,70+2,70+2,63+2,63+2,63+2,70+2,55+2,51+2,51+2,51+2,55+2,53+2,45+2,45+2,45+2,53+2,18+2
202771,/player/202771/joe-newell/240002,24.0,2.0,2023-09-22,J. Newell,Joseph Peter Newell,"CM, CDM",70,70,1500000.0,6000.0,30,1993-03-15,185,71,81.0,Hibernian,50.0,Premiership,1.0,CDM,11.0,,2019-07-01,2025.0,14,England,,,,Left,2,3,1,Medium/Medium,Lean (185+),No,2600000.0,,"Finesse Shot, Dead Ball, Long Ball Pass, Press Proven, Long Throw",57.0,60.0,71.0,69.0,64.0,75.0,72,56,57,72,62,69,74,64,70,73,55,59,59,67,71,66,67,81,74,59,72,66,63,70,62,73.0,62,67,64,10,14,7,13,11,,64+2,64+2,64+2,66,66,66,66,66,67+2,67+2,67+2,68+2,70,70,70,68+2,68+2,69+1,69+1,69+1,68+2,67+2,66+2,66+2,66+2,67+2,18+2
243349,/player/243349/dylan-levitt/240002,24.0,2.0,2023-09-22,D. Levitt,Dylan James Christopher Levitt,"CM, CDM",69,79,3100000.0,4000.0,22,2000-11-17,180,73,81.0,Hibernian,50.0,Premiership,1.0,SUB,6.0,,2023-07-05,2026.0,50,Wales,1367.0,RES,19.0,Right,4,3,1,Medium/Medium,Lean (170-185),No,6000000.0,,"Long Ball Pass, Flair",65.0,66.0,69.0,69.0,59.0,63.0,67,64,37,74,61,67,65,50,72,70,68,62,78,67,68,68,55,66,64,72,59,62,59,68,63,72.0,60,63,60,7,10,7,6,13,,63+2,63+2,63+2,67,66,66,66,67,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,65+2,66+2,66+2,66+2,65+2,64+2,60+2,60+2,60+2,64+2,15+2
256611,/player/256611/will-fish/240002,24.0,2.0,2023-09-22,W. Fish,William Fish,CB,68,78,2500000.0,22000.0,20,2003-02-17,185,73,81.0,Hibernian,50.0,Premiership,1.0,RCB,5.0,Manchester United,,2024.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,,,"Power Header, Long Ball Pass, Block, Intercept, Aerial",66.0,34.0,52.0,56.0,65.0,75.0,34,29,71,65,29,53,38,24,64,63,62,69,46,61,54,50,81,65,80,30,72,66,25,47,35,60.0,62,67,62,14,9,9,9,14,,50+2,50+2,50+2,50,50,50,50,50,52+2,52+2,52+2,53+2,57+2,57+2,57+2,53+2,60+2,65+2,65+2,65+2,60+2,62+2,68+2,68+2,68+2,62+2,17+2
237807,/player/237807/dylan-vente/240002,24.0,2.0,2023-09-22,D. Vente,Dylan Vente,ST,68,73,1800000.0,4000.0,24,1999-05-09,181,70,81.0,Hibernian,50.0,Premiership,1.0,SUB,9.0,,2023-07-31,2027.0,34,Netherlands,,,,Right,4,3,1,High/High,Normal (170-185),No,3300000.0,,,74.0,67.0,55.0,66.0,27.0,57.0,40,70,66,67,58,64,53,39,42,66,75,74,75,68,64,65,74,65,62,63,32,30,70,62,62,67.0,25,18,17,13,10,7,9,10,,68+2,68+2,68+2,65,67,67,67,65,66+2,66+2,66+2,63+2,58+2,58+2,58+2,63+2,47+2,45+2,45+2,45+2,47+2,45+2,40+2,40+2,40+2,45+2,17+2
140498,/player/140498/david-marshall/240002,24.0,2.0,2023-09-22,D. Marshall,David Marshall,GK,68,68,130000.0,2000.0,38,1985-03-05,187,83,81.0,Hibernian,50.0,Premiership,1.0,GK,1.0,,2022-07-01,2024.0,42,Scotland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,228000.0,,,,,,,,,11,19,14,40,15,14,19,14,40,21,42,43,39,66,41,52,61,34,63,12,41,24,13,61,11,61.0,21,14,13,68,64,69,66,68,42.0,30+2,30+2,30+2,28,31,31,31,28,33+2,33+2,33+2,31+2,35+2,35+2,35+2,31+2,27+2,33+2,33+2,33+2,27+2,27+2,29+2,29+2,29+2,27+2,67+1
163828,/player/163828/adam-le-fondre/240002,24.0,2.0,2023-09-22,A. Le Fondre,Glenville Adam James Le Fondre,ST,68,68,400000.0,3000.0,36,1986-12-02,180,73,81.0,Hibernian,50.0,Premiership,1.0,SUB,19.0,,2023-07-01,2024.0,14,England,,,,Right,3,3,1,High/Low,Normal (170-185),No,700000.0,,Finesse Shot,61.0,70.0,61.0,68.0,30.0,71.0,65,72,66,63,70,67,66,44,51,68,65,57,69,69,73,72,74,75,73,63,61,34,69,66,82,68.0,24,25,23,8,7,6,6,16,,68,68,68,67,67,67,67,67,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,52+2,50+2,50+2,50+2,52+2,48+2,45+2,45+2,45+2,48+2,16+2
189110,/player/189110/paul-hanlon/240002,24.0,2.0,2023-09-22,P. Hanlon,Paul Thomas Hanlon,CB,68,68,575000.0,4000.0,33,1990-01-20,180,78,81.0,Hibernian,50.0,Premiership,1.0,LCB,4.0,,2008-01-01,2024.0,42,Scotland,,,,Left,2,2,1,Medium/High,Normal (170-185),No,1000000.0,,"Long Ball Pass, Block, Slide Tackle",55.0,36.0,57.0,55.0,69.0,74.0,50,32,68,63,15,53,51,42,63,58,51,58,51,58,56,55,70,76,75,23,70,70,43,54,53,62.0,69,68,67,15,10,6,10,10,,51+2,51+2,51+2,51,51,51,51,51,52+2,52+2,52+2,55+2,58+2,58+2,58+2,55+2,63+2,66+2,66+2,66+2,63+2,64+2,68,68,68,64+2,16+2
222109,/player/222109/chris-cadden/240002,24.0,2.0,2023-09-22,C. Cadden,Christopher Cadden,"RB, RWB",67,68,1100000.0,3000.0,26,1996-09-19,183,76,81.0,Hibernian,50.0,Premiership,1.0,RES,12.0,,2021-01-15,2025.0,42,Scotland,,,,Right,3,2,1,High/Medium,Normal (170-185),Yes,2000000.0,,"Whipped Cross, Rapid",71.0,58.0,64.0,66.0,60.0,73.0,68,57,59,65,56,67,62,51,63,66,69,73,68,59,71,65,69,85,70,56,68,60,60,64,54,64.0,59,60,60,13,13,12,8,10,,62+2,62+2,62+2,64,63,63,63,64,64+2,64+2,64+2,66+2,64+2,64+2,64+2,66+2,66+2,64+2,64+2,64+2,66+2,65+2,62+2,62+2,62+2,65+2,16+2
239259,/player/239259/rocky-bushiri/240002,24.0,2.0,2023-09-22,R. Bushiri,Rocky Bushiri Kisonga,CB,66,69,1000000.0,2000.0,23,1999-11-30,187,91,81.0,Hibernian,50.0,Premiership,1.0,SUB,33.0,,2022-01-10,2025.0,110,Congo DR,,,,Right,2,2,1,Medium/Medium,Stocky (185+),No,1800000.0,#Strength,Bruiser,63.0,26.0,40.0,46.0,63.0,82.0,24,17,66,55,28,42,23,31,51,52,57,68,42,56,49,46,79,71,91,26,76,61,24,26,36,50.0,62,64,65,13,13,8,5,11,,44+2,44+2,44+2,41,42,42,42,41,42+2,42+2,42+2,44+2,47+2,47+2,47+2,44+2,56+2,60+2,60+2,60+2,56+2,58+2,66+2,66+2,66+2,58+2,15+2
