player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
223871,/player/223871/daniel-armstrong/240002,24.0,2.0,2023-09-22,D. Armstrong,Daniel Armstrong,"RM, RW, RWB",67,70,1300000.0,3000.0,25,1997-10-11,175,64,82.0,Kilmarnock,50.0,Premiership,1.0,RWB,11.0,,2021-07-01,2025.0,42,Scotland,,,,Left,3,3,1,High/Medium,Lean (170-185),No,2400000.0,,"Whipped Cross, Rapid, Flair",80.0,61.0,64.0,70.0,50.0,51.0,70,60,44,58,55,70,74,68,57,66,84,77,79,61,86,70,49,68,35,62,70,58,58,68,46,59.0,42,55,51,11,12,13,6,10,,61+2,61+2,61+2,67,65,65,65,67,65+2,65+2,65+2,66+2,62+2,62+2,62+2,66+2,62+2,57+2,57+2,57+2,62+2,60+2,52+2,52+2,52+2,60+2,16+2
243963,/player/243963/kyle-magennis/240002,24.0,2.0,2023-09-22,K. Magennis,Kyle Magennis,"CM, RM, LM",65,69,1000000.0,2000.0,24,1998-08-26,181,73,82.0,Kilmarnock,50.0,Premiership,1.0,RCM,16.0,,2023-06-21,2025.0,42,Scotland,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),No,1800000.0,,,70.0,65.0,65.0,65.0,58.0,73.0,65,62,49,66,58,64,66,64,64,66,71,70,66,60,69,74,70,72,77,65,67,59,63,66,57,62.0,57,62,60,6,10,10,15,10,,64+2,64+2,64+2,65,65,65,65,65,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,64+2,64+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,63+2,16+2
214682,/player/214682/joe-wright/240002,24.0,2.0,2023-09-22,J. Wright,Joe Wright,CB,65,66,675000.0,2000.0,28,1995-02-26,193,82,82.0,Kilmarnock,50.0,Premiership,1.0,SUB,4.0,,2022-07-15,2025.0,50,Wales,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1200000.0,,Block,41.0,34.0,50.0,55.0,63.0,76.0,42,32,70,56,32,58,37,29,53,51,43,40,43,59,53,44,73,66,85,29,66,63,39,54,38,66.0,62,63,61,9,10,12,9,6,,48+2,48+2,48+2,47,48,48,48,47,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,56+2,60+2,60+2,60+2,56+2,57+2,65+1,65+1,65+1,57+2,14+2
261512,/player/261512/lewis-mayo/240002,24.0,2.0,2023-09-22,L. Mayo,Lewis Mayo,"CB, RB",64,70,850000.0,2000.0,23,2000-03-19,191,82,82.0,Kilmarnock,50.0,Premiership,1.0,RCB,5.0,,2023-07-20,2026.0,42,Scotland,,,,Right,3,2,1,High/Medium,Normal (185+),No,1700000.0,,Long Ball Pass,68.0,36.0,51.0,57.0,63.0,70.0,53,34,64,52,26,58,30,30,55,57,66,69,55,60,50,41,75,67,75,36,60,65,41,57,38,50.0,59,65,63,13,6,11,12,10,,51+2,51+2,51+2,53,52,52,52,53,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,61+2,60+2,60+2,60+2,61+2,62+2,64+2,64+2,64+2,62+2,16+2
215820,/player/215820/liam-donnelly/240002,24.0,2.0,2023-09-22,L. Donnelly,Liam Francis Peadar Donnelly,"CM, CDM",64,65,675000.0,2000.0,27,1996-03-07,180,78,82.0,Kilmarnock,50.0,Premiership,1.0,SUB,22.0,,2023-08-01,2024.0,35,Northern Ireland,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1200000.0,,Slide Tackle,62.0,65.0,60.0,64.0,63.0,69.0,54,63,64,66,58,62,52,55,63,66,67,57,65,62,69,66,71,68,68,69,72,58,63,58,65,60.0,62,66,65,15,15,14,15,16,,64+1,64+1,64+1,63,63,63,63,63,63+2,63+2,63+2,62+2,64+1,64+1,64+1,62+2,62+2,64+1,64+1,64+1,62+2,63+2,64+1,64+1,64+1,63+2,20+2
189776,/player/189776/marley-watkins/240002,24.0,2.0,2023-09-22,M. Watkins,Marley Joseph Watkins,"ST, LW, RM",64,64,475000.0,2000.0,32,1990-10-17,178,65,82.0,Kilmarnock,50.0,Premiership,1.0,RS,23.0,,2023-07-31,2024.0,50,Wales,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,831000.0,,,72.0,62.0,60.0,66.0,28.0,64.0,55,65,64,63,59,63,56,47,58,67,69,75,76,64,78,65,67,71,57,58,73,22,63,63,41,64.0,31,19,21,6,5,6,8,5,,64,64,64,64,65-1,65-1,65-1,64,64,64,64,64,59+2,59+2,59+2,64,49+2,48+2,48+2,48+2,49+2,46+2,42+2,42+2,42+2,46+2,12+2
204275,/player/204275/liam-polworth/240002,24.0,2.0,2023-09-22,L. Polworth,Liam Polworth,CM,64,64,575000.0,2000.0,28,1994-10-12,179,70,82.0,Kilmarnock,50.0,Premiership,1.0,SUB,31.0,,2021-07-01,2024.0,42,Scotland,,,,Right,4,3,1,Medium/Low,Lean (170-185),No,1000000.0,,Finesse Shot,65.0,60.0,67.0,65.0,57.0,62.0,65,59,50,69,58,66,68,65,69,64,64,65,65,59,74,60,61,68,61,61,59,58,59,65,60,62.0,59,57,57,12,7,11,13,7,,60+2,60+2,60+2,64,63,63,63,64,64,64,64,64,64,64,64,64,62+2,62+2,62+2,62+2,62+2,61+2,59+2,59+2,59+2,61+2,15+2
204324,/player/204324/matty-kennedy/240002,24.0,2.0,2023-09-22,M. Kennedy,Matthew Kennedy,"RM, RWB, LWB",64,64,600000.0,2000.0,28,1994-11-01,175,68,82.0,Kilmarnock,50.0,Premiership,1.0,LS,10.0,,2023-06-29,2026.0,35,Northern Ireland,,,,Right,2,3,1,High/High,Normal (170-185),No,1100000.0,,Technical,85.0,57.0,60.0,66.0,50.0,61.0,64,57,45,60,40,65,67,67,53,64,87,83,77,53,85,67,68,63,60,50,57,47,52,60,63,64.0,48,55,54,15,15,10,15,10,,59+2,59+2,59+2,64,61,61,61,64,61+2,61+2,61+2,63+1,58+2,58+2,58+2,63+1,60+2,55+2,55+2,55+2,60+2,59+2,54+2,54+2,54+2,59+2,18+2
220943,/player/220943/kyle-vassell/240002,24.0,2.0,2023-09-22,K. Vassell,Kyle Vassell,ST,64,64,575000.0,2000.0,30,1993-02-07,183,78,82.0,Kilmarnock,50.0,Premiership,1.0,SUB,9.0,,2023-01-01,2025.0,35,Northern Ireland,,,,Left,5,2,1,High/Medium,Stocky (170-185),No,1000000.0,,,75.0,65.0,49.0,62.0,34.0,72.0,35,64,59,54,60,60,37,47,51,65,75,75,70,59,62,71,79,68,80,65,55,27,61,58,61,56.0,32,35,28,6,9,9,7,9,,64,64,64,61,63,63,63,61,61+2,61+2,61+2,60+2,56+2,56+2,56+2,60+2,48+2,48+2,48+2,48+2,48+2,47+2,47+2,47+2,47+2,47+2,13+2
227945,/player/227945/stuart-findlay/240002,24.0,2.0,2023-09-22,S. Findlay,Stuart John Findlay,CB,64,64,550000.0,3000.0,27,1995-09-14,191,82,82.0,Kilmarnock,50.0,Premiership,1.0,LCB,17.0,Oxford United,,2024.0,42,Scotland,,,,Left,3,2,1,Medium/High,Normal (185+),No,,,"Long Ball Pass, Aerial",55.0,41.0,49.0,50.0,64.0,75.0,47,38,65,55,37,48,40,33,52,53,53,57,44,56,44,58,74,69,81,32,66,62,41,45,42,56.0,64,64,63,14,8,7,11,9,,51+2,51+2,51+2,48,49,49,49,48,48+2,48+2,48+2,51+2,52+2,52+2,52+2,51+2,58+2,60+2,60+2,60+2,58+2,59+2,64,64,64,59+2,15+2
