player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
195479,/player/195479/james-tavernier/240002,24.0,2.0,2023-09-22,J. Tavernier,James Henry Tavernier,RB,78,78,10000000.0,51000.0,31,1991-10-31,182,75,86.0,Rangers,50.0,Premiership,1.0,RB,2.0,,2015-07-20,2027.0,14,England,,,,Right,2,3,1,High/Medium,Lean (185+),Yes,18000000.0,,"Finesse Shot, Dead Ball, Whipped Cross, Relentless",81.0,72.0,78.0,75.0,70.0,79.0,84,66,69,75,72,74,83,84,76,75,78,84,75,75,84,77,82,89,77,75,70,73,76,75,90,74.0,68,72,69,15,13,8,11,12,,74+2,74+2,74+2,76,75,75,75,76,75+2,75+2,75+2,77+1,76+2,76+2,76+2,77+1,76+2,74+2,74+2,74+2,76+2,76+2,72+2,72+2,72+2,76+2,19+2
239810,/player/239810/nicolas-raskin/240002,24.0,2.0,2023-09-22,N. Raskin,Nicolas Thierry Raskin,"CM, CDM",75,84,12500000.0,40000.0,22,2001-02-23,178,74,86.0,Rangers,50.0,Premiership,1.0,LCM,43.0,,2023-01-31,2028.0,7,Belgium,,,,Right,4,3,1,High/High,Normal (170-185),No,25000000.0,,"Incisive Pass, Tiki Taka, Intercept, Anticipate, Press Proven",70.0,63.0,73.0,77.0,71.0,75.0,66,58,66,79,58,76,69,67,76,76,74,67,79,80,83,71,75,84,68,67,82,74,61,69,58,79.0,70,74,64,14,14,13,11,7,,68+2,68+2,68+2,71,71,71,71,71,72+2,72+2,72+2,73+2,75+2,75+2,75+2,73+2,73+2,75+2,75+2,75+2,73+2,73+2,72+2,72+2,72+2,73+2,19+2
225748,/player/225748/todd-cantwell/240002,24.0,2.0,2023-09-22,T. Cantwell,Todd Cantwell,"CAM, CM, CF",75,79,8000000.0,44000.0,25,1998-02-27,177,70,86.0,Rangers,50.0,Premiership,1.0,RCM,13.0,,2023-01-23,2027.0,14,England,,,,Right,3,4,1,High/Medium,Lean (170-185),Yes,15000000.0,,"Technical, Flair, First Touch",72.0,68.0,72.0,77.0,43.0,52.0,65,70,43,75,62,75,70,64,68,80,74,70,81,74,74,66,53,66,46,67,48,41,72,78,58,75.0,47,44,30,10,8,14,15,16,,68+2,68+2,68+2,74,73,73,73,74,75+2,75+2,75+2,73+2,71+2,71+2,71+2,73+2,59+2,59+2,59+2,59+2,59+2,56+2,48+2,48+2,48+2,56+2,19+2
199580,/player/199580/connor-goldson/240002,24.0,2.0,2023-09-22,C. Goldson,Connor Lambert Goldson,CB,75,75,4600000.0,42000.0,30,1992-12-18,191,85,86.0,Rangers,50.0,Premiership,1.0,RCB,6.0,,2018-06-13,2026.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),Yes,8300000.0,#Strength,"Power Header, Long Ball Pass, Jockey, Anticipate, Aerial",69.0,50.0,62.0,65.0,75.0,82.0,46,53,80,72,35,65,42,34,75,68,68,69,57,72,54,62,81,79,86,35,76,72,58,62,47,72.0,75,74,74,10,8,10,11,8,,64+2,64+2,64+2,62,64,64,64,62,64+2,64+2,64+2,65+2,68+2,68+2,68+2,65+2,69+2,73+2,73+2,73+2,69+2,71+2,75,75,75,71+2,16+2
222262,/player/222262/cyriel-dessers/240002,24.0,2.0,2023-09-22,C. Dessers,Cyriel Dessers,ST,75,75,6000000.0,52000.0,28,1994-12-08,185,87,86.0,Rangers,50.0,Premiership,1.0,ST,9.0,,2023-07-06,2027.0,133,Nigeria,,,,Right,4,3,1,Medium/Medium,Normal (185+),No,10800000.0,,,73.0,75.0,56.0,71.0,29.0,75.0,44,78,72,66,70,70,45,47,55,72,71,75,70,78,64,79,86,72,83,68,56,17,78,58,66,75.0,42,16,14,14,11,11,12,10,,75,75,75,69,72,72,72,69,69+2,69+2,69+2,68+2,62+2,62+2,62+2,68+2,49+2,49+2,49+2,49+2,49+2,46+2,46+2,46+2,46+2,46+2,19+2
252208,/player/252208/ridvan-yilmaz/240002,24.0,2.0,2023-09-22,R. Yılmaz,Rıdvan Yılmaz,LB,74,82,9000000.0,34000.0,22,2001-05-21,174,60,86.0,Rangers,50.0,Premiership,1.0,SUB,3.0,,2022-07-25,2027.0,48,Turkey,,,,Left,2,2,1,High/Medium,Lean (170-185),No,18000000.0,#Acrobat,"Whipped Cross, Quick Step",86.0,50.0,66.0,77.0,67.0,59.0,74,43,55,70,51,76,73,41,63,74,88,84,90,74,84,64,67,75,49,50,62,71,68,56,42,67.0,68,69,66,11,12,9,13,13,,63+2,63+2,63+2,70,68,68,68,70,68+2,68+2,68+2,71+2,67+2,67+2,67+2,71+2,73+2,68+2,68+2,68+2,73+2,72+2,66+2,66+2,66+2,72+2,19+2
239881,/player/239881/danilo-pereira-da-silva/240002,24.0,2.0,2023-09-22,Danilo,Danilo Pereira Da Silva,"ST, CF",74,78,6000000.0,41000.0,24,1999-04-07,174,68,86.0,Rangers,50.0,Premiership,1.0,SUB,99.0,,2023-07-28,2028.0,54,Brazil,,,,Right,3,3,1,High/Medium,Normal (170-185),No,11300000.0,,"Technical, Flair, Trivela",75.0,74.0,61.0,74.0,25.0,72.0,44,79,74,72,68,72,68,62,49,75,79,71,77,69,79,70,77,85,72,71,54,23,74,65,68,70.0,21,18,14,10,9,9,8,11,,74+2,74+2,74+2,71,73,73,73,71,71+2,71+2,71+2,69+2,64+2,64+2,64+2,69+2,50+2,49+2,49+2,49+2,50+2,47+2,43+2,43+2,43+2,47+2,16+2
189218,/player/189218/ryan-jack/240002,24.0,2.0,2023-09-22,R. Jack,Ryan Jack,"CM, CDM",74,74,3500000.0,43000.0,31,1992-02-27,182,72,86.0,Rangers,50.0,Premiership,1.0,SUB,8.0,,2017-07-01,2024.0,42,Scotland,1359.0,SUB,28.0,Right,3,2,1,Medium/High,Normal (170-185),No,6300000.0,,,59.0,66.0,71.0,73.0,71.0,77.0,65,60,64,79,58,72,63,52,73,77,54,63,62,69,77,74,70,79,75,71,80,74,69,69,63,78.0,70,73,68,12,16,11,8,9,,68+2,68+2,68+2,69,70,70,70,69,71+2,71+2,71+2,70+2,74,74,74,70+2,71+2,74,74,74,71+2,70+2,72+2,72+2,72+2,70+2,18+2
212516,/player/212516/john-souttar/240002,24.0,2.0,2023-09-22,J. Souttar,John Souttar,CB,73,76,3500000.0,36000.0,26,1996-09-25,189,75,86.0,Rangers,50.0,Premiership,1.0,LCB,5.0,,2022-06-30,2026.0,42,Scotland,,,,Right,4,2,1,High/Medium,Normal (185+),No,6600000.0,,"Incisive Pass, Long Ball Pass",66.0,47.0,60.0,67.0,72.0,73.0,42,42,72,70,28,67,58,41,72,70,65,67,59,69,61,66,83,53,83,47,70,70,33,59,49,71.0,72,75,71,13,11,15,10,9,,58+2,58+2,58+2,58,59,59,59,58,61+2,61+2,61+2,60+2,64+2,64+2,64+2,60+2,65+2,70+2,70+2,70+2,65+2,67+2,73+2,73+2,73+2,67+2,17+2
213017,/player/213017/ben-davies/240002,24.0,2.0,2023-09-22,B. Davies,Ben Davies,CB,73,75,3200000.0,36000.0,27,1995-08-11,185,74,86.0,Rangers,50.0,Premiership,1.0,SUB,26.0,,2022-07-21,2026.0,14,England,,,,Left,3,2,1,Medium/Medium,Lean (185+),Yes,6000000.0,,Jockey,67.0,39.0,59.0,64.0,73.0,72.0,61,36,71,71,43,60,44,40,68,68,65,69,65,71,62,42,81,65,78,39,64,72,37,37,48,72.0,74,74,72,6,15,10,15,6,,55+2,55+2,55+2,57,55,55,55,57,57+2,57+2,57+2,60+2,61+2,61+2,61+2,60+2,69+2,69+2,69+2,69+2,69+2,70+2,73+2,73+2,73+2,70+2,17+2
