player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231863,/player/231863/yan-dhanda/240002,24.0,2.0,2023-09-22,Y. Dhanda,Yan Dhanda,CAM,67,71,1500000.0,3000.0,24,1998-12-14,171,63,631.0,Ross County,50.0,Premiership,1.0,LM,10.0,,2022-07-01,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2700000.0,,Technical,72.0,61.0,66.0,71.0,42.0,53.0,61,60,34,69,55,71,65,58,62,70,71,73,82,65,79,60,48,62,49,67,52,27,53,69,65,61.0,45,51,42,6,10,9,12,8,,60+2,60+2,60+2,67,65,65,65,67,67+2,67+2,67+2,66+2,63+2,63+2,63+2,66+2,56+2,55+2,55+2,55+2,56+2,54+2,47+2,47+2,47+2,54+2,15+2
269758,/player/269758/victor-loturi/240002,24.0,2.0,2023-09-22,V. Loturi,Victor Loturi,"CDM, CM",64,75,1200000.0,2000.0,22,2001-05-21,175,75,631.0,Ross County,50.0,Premiership,1.0,LDM,14.0,,2022-06-21,2025.0,70,Canada,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,2300000.0,,"Finesse Shot, Slide Tackle, Technical",71.0,55.0,62.0,69.0,60.0,63.0,60,52,48,67,31,66,72,40,63,69,66,75,74,65,83,60,59,70,62,59,60,60,55,59,61,74.0,61,61,61,9,10,7,10,13,,59+2,59+2,59+2,64,62,62,62,64,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,63+2,63+2,63+2,64+2,64+2,61+2,61+2,61+2,64+2,16+2
243871,/player/243871/scott-high/240002,24.0,2.0,2023-09-22,S. High,Scott John High,CM,64,73,1300000.0,2000.0,22,2001-02-15,177,65,631.0,Ross County,50.0,Premiership,1.0,SUB,18.0,Huddersfield Town,,2024.0,42,Scotland,,,,Right,3,2,1,High/High,Lean (170-185),No,,,"Long Ball Pass, Slide Tackle",71.0,57.0,63.0,64.0,58.0,65.0,60,56,48,66,49,63,61,50,66,64,72,71,72,63,69,62,63,71,64,58,62,60,55,63,56,60.0,56,62,59,9,15,13,15,14,,60+2,60+2,60+2,63,62,62,62,63,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,63+2,63+2,63+2,63+2,63+2,62+2,60+2,60+2,60+2,62+2,19+2
204853,/player/204853/jordan-white/240002,24.0,2.0,2023-09-22,J. White,Jordan Neil White,ST,64,64,500000.0,2000.0,31,1992-02-04,193,77,631.0,Ross County,50.0,Premiership,1.0,RS,26.0,,2021-01-28,2024.0,42,Scotland,,,,Right,3,2,1,High/Medium,Normal (185+),No,875000.0,,"Power Header, Aerial",46.0,65.0,49.0,57.0,28.0,74.0,42,66,74,60,58,61,48,42,45,64,52,41,32,55,33,67,73,63,84,60,64,24,65,43,65,55.0,25,20,21,15,15,9,9,16,,64,64,64,56,60,60,60,56,57+2,57+2,57+2,56+2,53+2,53+2,53+2,56+2,42+2,44+2,44+2,44+2,42+2,40+2,44+2,44+2,44+2,40+2,18+2
224487,/player/224487/eamonn-brophy/240002,24.0,2.0,2023-09-22,E. Brophy,Eamonn Brophy,ST,64,64,625000.0,2000.0,27,1996-03-10,174,68,631.0,Ross County,50.0,Premiership,1.0,SUB,27.0,,2023-06-29,2024.0,42,Scotland,,,,Right,3,3,1,High/Low,Normal (170-185),No,1100000.0,,,77.0,65.0,57.0,65.0,31.0,68.0,55,64,61,58,61,64,66,69,49,62,76,78,79,57,79,72,75,72,67,62,64,38,61,59,68,60.0,23,28,24,14,7,13,15,10,,64,64,64,63,63,63,63,63,62+2,62+2,62+2,62+2,57+2,57+2,57+2,62+2,50+2,48+2,48+2,48+2,50+2,48+2,45+2,45+2,45+2,48+2,17+2
241058,/player/241058/ross-callachan/240002,24.0,2.0,2023-09-22,R. Callachan,Ross Callachan,"CDM, CAM, CM",64,64,500000.0,2000.0,29,1993-09-04,178,70,631.0,Ross County,50.0,Premiership,1.0,SUB,8.0,,2021-07-01,2024.0,42,Scotland,,,,Right,3,2,1,High/High,Normal (170-185),No,875000.0,,Finesse Shot,60.0,62.0,58.0,61.0,62.0,74.0,54,56,61,63,56,59,58,55,60,60,62,58,66,57,66,70,69,81,69,67,80,60,63,52,68,64.0,61,64,61,10,10,12,13,12,,61+2,61+2,61+2,59,60,60,60,59,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,62+2,63+1,63+1,63+1,62+2,62+2,64,64,64,62+2,16+2
241894,/player/241894/ryan-leak/240002,24.0,2.0,2023-09-22,R. Leak,Ryan David Leak,CB,63,66,575000.0,2000.0,25,1998-02-28,191,83,631.0,Ross County,50.0,Premiership,1.0,RES,42.0,,2023-08-08,2025.0,50,Wales,,,,Left,2,2,1,Low/Medium,Normal (185+),No,1000000.0,,"Long Ball Pass, Anticipate, Aerial",51.0,31.0,42.0,47.0,62.0,74.0,30,23,62,55,30,47,27,24,47,44,52,50,42,59,48,53,82,66,81,26,65,63,29,38,33,56.0,62,63,61,6,13,10,8,7,,45+2,45+2,45+2,42,43,43,43,42,43+2,43+2,43+2,45+2,48+2,48+2,48+2,45+2,55+2,58+2,58+2,58+2,55+2,56+2,63+2,63+2,63+2,56+2,14+2
205393,/player/205393/jack-baldwin/240002,24.0,2.0,2023-09-22,J. Baldwin,Jack Baldwin,CB,63,63,400000.0,2000.0,30,1993-06-30,185,70,631.0,Ross County,50.0,Premiership,1.0,LCB,5.0,,2021-08-25,2024.0,14,England,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,700000.0,,Block,60.0,40.0,51.0,55.0,63.0,71.0,47,42,62,59,27,52,39,21,57,54,57,63,63,60,62,46,71,72,75,33,61,62,40,49,32,67.0,62,64,63,11,12,6,11,14,,51+2,51+2,51+2,51,51,51,51,51,52+2,52+2,52+2,54+2,55+2,55+2,55+2,54+2,60+2,61+2,61+2,61+2,60+2,61+2,63,63,63,61+2,17+2
215855,/player/215855/ben-purrington/240002,24.0,2.0,2023-09-22,B. Purrington,Ben Purrington,"LB, LWB, CB",63,63,475000.0,2000.0,27,1996-05-20,178,73,631.0,Ross County,50.0,Premiership,1.0,SUB,3.0,,2022-07-01,2024.0,14,England,,,,Left,3,2,1,High/Medium,Normal (170-185),No,831000.0,,,70.0,45.0,57.0,63.0,59.0,67.0,62,47,55,60,53,63,48,39,55,60,72,68,75,59,75,51,73,65,72,33,53,60,51,54,40,52.0,58,62,59,15,13,11,6,10,,56+2,56+2,56+2,59,57,57,57,59,57+2,57+2,57+2,60+2,57+2,57+2,57+2,60+2,62+1,60+2,60+2,60+2,62+1,61+2,61+2,61+2,61+2,61+2,16+2
216299,/player/216299/connor-randall/240002,24.0,2.0,2023-09-22,C. Randall,Connor Steven Randall,"RWB, RB",63,63,475000.0,2000.0,27,1995-10-21,180,76,631.0,Ross County,50.0,Premiership,1.0,RDM,2.0,,2020-07-01,2024.0,14,England,,,,Right,4,2,1,Medium/High,Normal (170-185),No,831000.0,,Block,65.0,48.0,59.0,60.0,60.0,67.0,61,44,46,62,58,63,54,36,62,61,68,62,47,58,57,46,62,61,70,54,67,56,52,54,56,61.0,63,64,64,13,6,9,6,12,,54+2,54+2,54+2,58,57,57,57,58,58+2,58+2,58+2,60+2,59+2,59+2,59+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,15+2
