player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
156675,/player/156675/andrew-considine/240002,24.0,2.0,2023-09-22,A. Considine,Andrew Considine,CB,67,67,180000.0,2000.0,36,1987-04-01,183,75,100804.0,St. Johnstone,50.0,Premiership,1.0,SUB,4.0,,2022-06-16,2024.0,42,Scotland,,,,Left,3,2,1,Medium/High,Normal (170-185),No,315000.0,,"Power Header, Block, Long Throw",33.0,31.0,56.0,59.0,67.0,75.0,64,25,67,62,30,61,51,52,57,63,33,33,40,56,66,42,68,71,81,33,68,64,25,40,38,60.0,67,69,68,8,15,12,11,10,,45+2,45+2,45+2,48,46,46,46,48,48+2,48+2,48+2,51+2,55+2,55+2,55+2,51+2,62+2,64+2,64+2,64+2,62+2,61+2,67,67,67,61+2,16+2
190180,/player/190180/ryan-mcgowan/240002,24.0,2.0,2023-09-22,R. McGowan,Ryan James McGowan,"CB, CDM",67,67,475000.0,3000.0,33,1989-08-15,191,75,100804.0,St. Johnstone,50.0,Premiership,1.0,LDM,5.0,,2022-07-22,2024.0,195,Australia,,,,Right,3,2,1,Medium/High,Normal (185+),No,831000.0,,"Power Header, Long Throw",55.0,48.0,57.0,57.0,65.0,80.0,60,44,69,62,54,56,52,55,59,61,50,59,54,56,52,58,73,78,80,42,82,64,42,45,58,63.0,65,64,64,12,11,12,12,13,,55+2,55+2,55+2,54,53,53,53,54,53+2,53+2,53+2,56+2,57+2,57+2,57+2,56+2,63+2,64+2,64+2,64+2,63+2,63+2,67,67,67,63+2,17+2
192451,/player/192451/graham-carey/240002,24.0,2.0,2023-09-22,G. Carey,Graham Carey,"CM, LM, RM",67,67,475000.0,3000.0,34,1989-05-20,183,69,100804.0,St. Johnstone,50.0,Premiership,1.0,LM,11.0,,2022-07-01,2024.0,25,Republic of Ireland,,,,Left,3,4,1,High/High,Lean (170-185),No,831000.0,,"Power Shot, Dead Ball, Technical, Flair, Trivela",75.0,69.0,69.0,70.0,60.0,74.0,69,64,58,67,70,68,77,75,69,70,79,72,80,60,75,77,77,84,71,75,68,65,60,67,68,71.0,62,57,55,15,14,15,6,12,,67,67,67,68-1,67,67,67,68-1,68-1,68-1,68-1,69-2,67,67,67,69-2,67,66+1,66+1,66+1,67,65+2,63+2,63+2,63+2,65+2,17+2
232668,/player/232668/liam-gordon/240002,24.0,2.0,2023-09-22,L. Gordon,Liam Craig Gordon,CB,66,68,900000.0,2000.0,27,1996-01-26,183,77,100804.0,St. Johnstone,50.0,Premiership,1.0,LCB,6.0,,2015-07-01,2024.0,42,Scotland,,,,Right,3,2,1,Low/High,Normal (170-185),No,1600000.0,,Slide Tackle,52.0,28.0,41.0,48.0,65.0,77.0,31,26,66,54,26,42,30,25,52,53,52,52,44,59,63,35,74,73,81,26,74,63,31,29,21,53.0,64,66,65,9,11,7,11,10,,45+2,45+2,45+2,42,43,43,43,42,43+2,43+2,43+2,45+2,49+2,49+2,49+2,45+2,57+2,60+2,60+2,60+2,57+2,59+2,66+2,66+2,66+2,59+2,15+2
229508,/player/229508/sven-sprangler/240002,24.0,2.0,2023-09-22,S. Sprangler,Sven Michael Sprangler,"CM, CDM",65,65,725000.0,2000.0,28,1995-03-27,182,77,100804.0,St. Johnstone,50.0,Premiership,1.0,RES,33.0,,2023-09-01,2025.0,4,Austria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1300000.0,,,67.0,49.0,61.0,65.0,63.0,72.0,57,40,64,66,42,65,37,42,64,66,66,68,59,60,67,59,73,75,71,59,70,64,65,67,40,70.0,63,63,57,12,10,7,8,6,,59+2,59+2,59+2,62,62,62,62,62,63+2,63+2,63+2,63+2,65,65,65,63+2,64+1,65,65,65,64+1,63+2,64+1,64+1,64+1,63+2,15+2
250823,/player/250823/daniel-phillips/240002,24.0,2.0,2023-09-22,D. Phillips,Daniel Shaquille Jabari Phillips,"CDM, CM",64,74,1200000.0,2000.0,22,2001-01-18,175,76,100804.0,St. Johnstone,50.0,Premiership,1.0,RDM,34.0,,2022-08-10,2024.0,93,Trinidad and Tobago,,,,Right,3,2,1,Low/High,Stocky (170-185),No,2300000.0,,Slide Tackle,76.0,50.0,57.0,61.0,61.0,72.0,52,48,45,64,46,58,50,46,59,61,78,74,66,58,75,64,70,65,73,46,80,68,45,51,42,58.0,58,65,60,8,10,10,8,14,,56+2,56+2,56+2,58,57,57,57,58,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,63+2,63+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,63+2,15+2
232520,/player/232520/diallang-jaiyesimi/240002,24.0,2.0,2023-09-22,D. Jaiyesimi,Diallang Jaiyesimi,"RW, LM, RWB",64,67,775000.0,4000.0,25,1998-05-07,178,72,100804.0,St. Johnstone,50.0,Premiership,1.0,RES,35.0,Charlton Athletic,,2024.0,14,England,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,,#Speedster,Technical,91.0,56.0,58.0,65.0,50.0,60.0,61,55,53,59,46,64,61,55,50,62,91,91,83,56,70,60,75,49,65,54,55,50,56,57,57,58.0,49,52,46,5,8,8,10,12,,61+2,61+2,61+2,64,62,62,62,64,61+2,61+2,61+2,63+2,56+2,56+2,56+2,63+2,58+2,54+2,54+2,54+2,58+2,57+2,55+2,55+2,55+2,57+2,14+2
193627,/player/193627/nicky-clark/240002,24.0,2.0,2023-09-22,N. Clark,Nicholas Alexander McCormack Clark,"ST, CAM",64,64,475000.0,2000.0,32,1991-06-03,178,66,100804.0,St. Johnstone,50.0,Premiership,1.0,SUB,10.0,,2022-08-31,2024.0,42,Scotland,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,831000.0,,Trivela,68.0,65.0,59.0,64.0,34.0,59.0,52,66,63,64,55,63,52,54,60,62,69,68,71,62,76,66,67,69,58,62,46,24,67,58,74,61.0,23,41,35,14,7,15,9,8,,64,64,64,63,64,64,64,63,63+1,63+1,63+1,63+1,59+2,59+2,59+2,63+1,50+2,49+2,49+2,49+2,50+2,49+2,44+2,44+2,44+2,49+2,16+2
200898,/player/200898/ali-crawford/240002,24.0,2.0,2023-09-22,A. Crawford,Alistair Crawford,CM,64,64,475000.0,2000.0,31,1991-07-30,179,63,100804.0,St. Johnstone,50.0,Premiership,1.0,RES,21.0,,2022-01-03,2024.0,42,Scotland,,,,Right,3,3,1,High/Low,Lean (170-185),No,831000.0,,"Finesse Shot, Technical",68.0,63.0,64.0,66.0,54.0,59.0,64,62,52,65,48,64,62,67,63,65,69,67,79,63,76,66,57,74,54,65,55,57,62,64,58,62.0,58,50,48,11,15,15,11,11,,62+2,62+2,62+2,65-1,64,64,64,65-1,65-1,65-1,65-1,65-1,64,64,64,65-1,61+2,60+2,60+2,60+2,61+2,60+2,55+2,55+2,55+2,60+2,18+2
208999,/player/208999/drey-wright/240002,24.0,2.0,2023-09-22,D. Wright,Drey Jermaine Wright,"RWB, RM, RW",64,64,525000.0,2000.0,28,1995-04-30,175,69,100804.0,St. Johnstone,50.0,Premiership,1.0,RM,14.0,,2022-06-16,2024.0,14,England,,,,Right,3,3,1,High/Medium,Stocky (170-185),No,919000.0,,"Rapid, Trivela",79.0,55.0,58.0,63.0,55.0,64.0,61,54,42,60,55,63,57,54,54,61,80,79,76,58,68,58,63,72,64,54,55,53,57,57,54,54.0,55,59,56,13,13,13,8,9,,58+2,58+2,58+2,62,60,60,60,62,61+2,61+2,61+2,63+1,59+2,59+2,59+2,63+1,62+2,58+2,58+2,58+2,62+2,61+2,56+2,56+2,56+2,61+2,16+2
