player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211536,/player/211536/mark-ohara/240002,24.0,2.0,2023-09-22,M. O'Hara,Mark O'Hara,"CM, CDM",69,70,1600000.0,4000.0,27,1995-12-12,188,80,100805.0,St. Mirren,50.0,Premiership,1.0,LCM,6.0,,2022-06-10,2024.0,42,Scotland,,,,Right,3,3,1,High/Medium,Lean (185+),No,2900000.0,,,72.0,67.0,65.0,68.0,65.0,74.0,57,68,62,69,32,69,65,58,67,68,71,73,66,69,69,72,76,86,74,66,58,66,70,65,80,69.0,64,69,60,14,10,10,15,7,,68+2,68+2,68+2,68,69,69,69,68,68+2,68+2,68+2,69+1,69+1,69+1,69+1,69+1,68+2,68+2,68+2,68+2,68+2,67+2,66+2,66+2,66+2,67+2,18+2
237005,/player/237005/keanu-baccus/240002,24.0,2.0,2023-09-22,K. Baccus,Keanu Baccus,CM,68,72,1700000.0,3000.0,25,1998-06-07,178,67,100805.0,St. Mirren,50.0,Premiership,1.0,RCM,17.0,,2022-06-22,2024.0,195,Australia,,,,Right,3,3,1,High/High,Lean (170-185),No,3100000.0,#Engine,"Pinged Pass, Long Ball Pass, Anticipate",77.0,54.0,62.0,69.0,68.0,70.0,50,45,66,68,39,65,47,51,70,68,77,77,82,67,82,66,76,88,63,65,65,74,61,66,41,69.0,60,72,69,7,7,11,7,8,,62+2,62+2,62+2,64,65,65,65,64,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,69+2,70+2,70+2,70+2,69+2,70+2,68+2,68+2,68+2,70+2,14+2
241244,/player/241244/ryan-strain/240002,24.0,2.0,2023-09-22,R. Strain,Ryan Strain,"RWB, RB",68,71,1500000.0,3000.0,26,1997-04-02,181,76,100805.0,St. Mirren,50.0,Premiership,1.0,RWB,23.0,,2022-06-23,2024.0,195,Australia,,,,Right,3,3,1,High/High,Normal (170-185),No,2700000.0,,,78.0,50.0,64.0,66.0,61.0,73.0,70,46,55,64,41,64,67,65,61,65,81,76,75,62,75,70,77,80,71,42,66,60,55,57,49,62.0,61,63,60,12,6,11,10,10,,60+2,60+2,60+2,63,61,61,61,63,61+2,61+2,61+2,65+2,62+2,62+2,62+2,65+2,66+2,64+2,64+2,64+2,66+2,66+2,63+2,63+2,63+2,66+2,15+2
233665,/player/233665/jonah-ayunga/240002,24.0,2.0,2023-09-22,J. Ayunga,Jonah Ananias Paul Ayunga,"ST, RW",65,68,950000.0,2000.0,26,1997-05-24,185,78,100805.0,St. Mirren,50.0,Premiership,1.0,SUB,7.0,,2022-06-23,2024.0,120,Kenya,,,,Right,3,2,1,High/Medium,Normal (185+),No,1700000.0,,,77.0,63.0,55.0,62.0,37.0,74.0,59,63,62,59,54,64,53,51,44,62,76,78,61,63,56,67,83,71,80,60,60,25,64,56,63,58.0,32,41,37,6,12,6,14,7,,65+2,65+2,65+2,64,64,64,64,64,61+2,61+2,61+2,63+2,56+2,56+2,56+2,63+2,53+2,49+2,49+2,49+2,53+2,51+2,49+2,49+2,49+2,51+2,15+2
211096,/player/211096/marcus-fraser/240002,24.0,2.0,2023-09-22,M. Fraser,Marcus Fraser,"CB, RWB",65,65,600000.0,2000.0,29,1994-06-23,182,70,100805.0,St. Mirren,50.0,Premiership,1.0,RCB,22.0,,2020-07-28,2024.0,42,Scotland,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,1100000.0,,,71.0,39.0,53.0,59.0,65.0,76.0,55,35,63,57,30,55,46,37,53,61,70,72,68,61,66,46,75,87,75,38,64,63,54,50,45,62.0,65,66,64,10,10,9,9,6,,54+2,54+2,54+2,56,55,55,55,56,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,65,63+2,63+2,63+2,65,65,65,65,65,65,15+2
214641,/player/214641/scott-tanser/240002,24.0,2.0,2023-09-22,S. Tanser,Scott Tanser,"LWB, LB",65,65,650000.0,2000.0,28,1994-10-23,182,70,100805.0,St. Mirren,50.0,Premiership,1.0,LWB,3.0,,2021-07-01,2024.0,14,England,,,,Left,2,2,1,Medium/Medium,Lean (170-185),No,1100000.0,,,73.0,56.0,62.0,63.0,58.0,59.0,68,52,52,59,39,62,66,75,59,61,74,73,72,59,75,63,63,75,56,57,43,57,57,60,73,61.0,58,58,61,10,7,7,10,15,,58+2,58+2,58+2,62,60,60,60,62,60+2,60+2,60+2,63+2,60+2,60+2,60+2,63+2,63+2,59+2,59+2,59+2,63+2,63+2,57+2,57+2,57+2,63+2,16+2
240597,/player/240597/zach-hemming/240002,24.0,2.0,2023-09-22,Z. Hemming,Zachary Hemming,GK,64,68,675000.0,4000.0,23,2000-03-07,188,70,100805.0,St. Mirren,50.0,Premiership,1.0,GK,1.0,Middlesbrough,,2024.0,14,England,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,,,Footwork,,,,,,,14,9,11,30,10,12,12,13,40,26,31,24,63,60,32,46,49,25,50,5,34,6,4,56,19,57.0,10,13,12,65,64,61,64,63,28.0,23+2,23+2,23+2,24,25,25,25,24,29+2,29+2,29+2,26+2,30+2,30+2,30+2,26+2,21+2,26+2,26+2,26+2,21+2,20+2,22+2,22+2,22+2,20+2,63+2
206554,/player/206554/james-bolton/240002,24.0,2.0,2023-09-22,J. Bolton,James William Bolton,CB,64,65,550000.0,2000.0,28,1994-08-13,183,75,100805.0,St. Mirren,50.0,Premiership,1.0,SUB,2.0,,2023-07-26,2024.0,14,England,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1000000.0,,Slide Tackle,73.0,35.0,53.0,58.0,62.0,72.0,55,29,60,61,22,55,42,30,52,58,75,71,72,59,66,51,77,74,74,34,65,60,45,44,36,52.0,63,63,62,13,11,13,10,7,,51+2,51+2,51+2,54,52,52,52,54,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,62+2,61+2,61+2,61+2,62+2,63+2,64+1,64+1,64+1,63+2,16+2
220872,/player/220872/greg-kiltie/240002,24.0,2.0,2023-09-22,G. Kiltie,Greg Kiltie,"CAM, CM, LW",64,65,700000.0,2000.0,26,1997-01-18,173,70,100805.0,St. Mirren,50.0,Premiership,1.0,LW,11.0,,2021-07-01,2024.0,42,Scotland,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1300000.0,,,67.0,59.0,60.0,66.0,46.0,56.0,61,62,45,64,48,65,49,44,57,65,67,67,77,65,67,57,55,63,55,58,52,41,58,63,56,59.0,46,50,46,10,13,7,11,6,,60+2,60+2,60+2,64,63,63,63,64,64+1,64+1,64+1,63+2,61+2,61+2,61+2,63+2,57+2,55+2,55+2,55+2,57+2,55+2,51+2,51+2,51+2,55+2,16+2
205956,/player/205956/charles-dunne/240002,24.0,2.0,2023-09-22,C. Dunne,Charles Dunne,CB,64,64,475000.0,2000.0,30,1993-02-13,188,86,100805.0,St. Mirren,50.0,Premiership,1.0,SUB,18.0,,2021-07-01,2024.0,25,Republic of Ireland,,,,Left,2,2,1,Medium/High,Normal (185+),No,831000.0,,,79.0,41.0,49.0,57.0,62.0,68.0,50,28,59,56,42,55,31,38,54,55,79,79,72,61,71,70,83,40,82,42,63,60,39,41,39,48.0,62,63,63,14,16,11,8,11,,53+2,53+2,53+2,53,52,52,52,53,52+2,52+2,52+2,53+2,51+2,51+2,51+2,53+2,58+2,58+2,58+2,58+2,58+2,60+2,64,64,64,60+2,18+2
