team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
78,/team/78/celtic/240002,24,2,2023-09-22,Celtic,50,Premiership,1.0,42,Scotland,74,74,75,71,896460.0,Celtic Park,86,6,10.0,,80000000.0,25.55,24.64,211093.0,240734.0,240734.0,240734.0,240734.0,234111.0,240734.0,240734.0,Press after possession loss,61.0,81.0,,,,,,Slow build up,Possession,81.0,8.0,3.0,3.0,,,,,,,,
86,/team/86/rangers/240002,24,2,2023-09-22,Rangers,50,Premiership,1.0,42,Scotland,73,72,74,74,37633958.0,Ibrox Stadium,78,6,10.0,,60000000.0,27.18,26.25,195479.0,195479.0,195479.0,195479.0,195479.0,195479.0,195479.0,241673.0,Press after possession loss,51.0,71.0,,,,,,Slow build up,Possession,51.0,6.0,3.0,3.0,,,,,,,,
80,/team/80/hearts/240002,24,2,2023-09-22,Hearts,50,Premiership,1.0,42,Scotland,70,71,67,69,912.0,Ivy Lane,81,4,8.0,,8200000.0,25.82,25.86,216218.0,223747.0,255157.0,223747.0,223747.0,216218.0,266756.0,223747.0,Press after possession loss,41.0,61.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
77,/team/77/aberdeen/240002,24,2,2023-09-22,Aberdeen,50,Premiership,1.0,42,Scotland,67,70,66,66,2508.0,Ivy Lane,86,3,8.0,,8500000.0,26.55,24.07,200302.0,252134.0,252134.0,252134.0,270611.0,269953.0,252134.0,252134.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,71.0,5.0,3.0,3.0,,,,,,,,
81,/team/81/hibernian/240002,24,2,2023-09-22,Hibernian,50,Premiership,1.0,42,Scotland,67,66,68,65,5125.0,Ivy Lane,80,2,7.0,,8000000.0,28.0,25.56,189110.0,202771.0,202771.0,202771.0,202771.0,211221.0,240603.0,202771.0,Balanced,51.0,61.0,,,,,,Fast build up,Forward runs,61.0,4.0,3.0,3.0,,,,,,,,
621,/team/621/livingston/240002,24,2,2023-09-22,Livingston,50,Premiership,1.0,42,Scotland,64,64,64,63,19256146.0,Molton Road (Sheldon Stadium),81,1,3.0,,2800000.0,28.18,27.42,223265.0,189186.0,189186.0,189186.0,189186.0,222932.0,189186.0,189186.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
100804,/team/100804/st-johnstone/240002,24,2,2023-09-22,St. Johnstone,50,Premiership,1.0,42,Scotland,64,63,63,62,4724.0,Court Lane,180,1,4.0,,4000000.0,26.18,25.93,232668.0,192451.0,192451.0,192451.0,192451.0,202526.0,192451.0,192451.0,Pressure on heavy touch,51.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
100805,/team/100805/st-mirren/240002,24,2,2023-09-22,St. Mirren,50,Premiership,1.0,42,Scotland,64,62,68,64,524215.0,Town Park,80,1,3.0,,3200000.0,26.09,25.95,211536.0,241244.0,241244.0,241244.0,241244.0,211536.0,241244.0,241244.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,61.0,4.0,3.0,3.0,,,,,,,,
82,/team/82/kilmarnock/240002,24,2,2023-09-22,Kilmarnock,50,Premiership,1.0,42,Scotland,63,64,62,64,896462.0,Ivy Lane,100805,1,3.0,,3800000.0,24.64,24.58,246846.0,223871.0,223871.0,223871.0,223871.0,223871.0,223871.0,223871.0,Balanced,41.0,51.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
83,/team/83/motherwell/240002,24,2,2023-09-22,Motherwell,50,Premiership,1.0,42,Scotland,63,61,63,62,172638.0,Ivy Lane,86,2,5.0,,4100000.0,26.73,24.85,225203.0,223663.0,223663.0,223663.0,223663.0,223663.0,223663.0,223663.0,Balanced,51.0,41.0,,,,,,Fast build up,Forward runs,51.0,3.0,3.0,3.0,,,,,,,,
631,/team/631/ross-county/240002,24,2,2023-09-22,Ross County,50,Premiership,1.0,42,Scotland,63,63,64,62,6971069.0,Town Park,77,1,2.0,,3500000.0,26.82,24.93,205393.0,231863.0,231863.0,231863.0,231863.0,231863.0,231863.0,252067.0,Balanced,41.0,37.0,,,,,,Long ball,Direct passing,51.0,4.0,3.0,3.0,,,,,,,,
180,/team/180/dundee/240002,24,2,2023-09-22,Dundee,50,Premiership,1.0,42,Scotland,62,60,62,62,37699018.0,Court Lane,100804,1,2.0,,3800000.0,25.45,24.88,215277.0,262361.0,262361.0,262361.0,262361.0,262361.0,262525.0,262525.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
