player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
241049,/player/241049/andoni-gorosabel-espinosa/240002,24.0,2.0,2023-09-22,Gorosabel,Andoni Gorosabel Espinosa,RB,76,77,8000000.0,21000.0,26,1996-08-04,174,70,463.0,Deportivo Alavés,53.0,La Liga,1.0,RB,2.0,,2023-08-11,2024.0,45,Spain,,,,Right,2,2,1,Medium/Medium,Normal (170-185),Yes,18200000.0,,Jockey,74.0,46.0,70.0,72.0,74.0,67.0,75,38,70,75,39,71,63,39,70,73,72,76,70,76,75,52,75,70,66,58,65,75,67,67,38,68.0,73,76,74,8,6,10,10,15,,62+2,62+2,62+2,68,66,66,66,68,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2,17+2
226637,/player/226637/ruben-duarte-sanchez/240002,24.0,2.0,2023-09-22,Rubén Duarte,Rubén Duarte Sánchez,LB,75,76,6000000.0,20000.0,27,1995-10-18,179,72,463.0,Deportivo Alavés,53.0,La Liga,1.0,LB,3.0,,2017-07-01,2026.0,45,Spain,,,,Left,2,3,1,Medium/Medium,Normal (170-185),Yes,13700000.0,,Long Ball Pass,64.0,38.0,66.0,68.0,76.0,70.0,76,28,74,75,34,64,60,62,65,74,66,62,64,72,65,54,78,67,71,43,70,76,55,44,40,65.0,77,76,77,13,8,10,11,10,,58+2,58+2,58+2,62,59,59,59,62,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,73+2,72+2,72+2,72+2,73+2,73+2,75+1,75+1,75+1,73+2,17+2
240953,/player/240953/nahuel-tenaglia/240002,24.0,2.0,2023-09-22,N. Tenaglia,Facundo Nahuel Tenaglia,"RB, CB",75,76,6000000.0,20000.0,27,1996-02-21,181,70,463.0,Deportivo Alavés,53.0,La Liga,1.0,SUB,14.0,,2023-08-20,2027.0,52,Argentina,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,13700000.0,,Bruiser,71.0,43.0,65.0,72.0,74.0,80.0,68,37,74,70,39,72,45,40,61,70,71,71,74,73,78,47,84,84,77,51,82,76,64,68,40,76.0,77,71,74,12,7,9,8,8,,61+2,61+2,61+2,66,64,64,64,66,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,73+2,73+2,73+2,73+2,73+2,73+2,75+1,75+1,75+1,73+2,16+2
224415,/player/224415/luis-rioja-gonzalez/240002,24.0,2.0,2023-09-22,Luis Rioja,Luis Jesús Rioja González,"LM, RM",75,75,5500000.0,23000.0,29,1993-10-16,176,70,463.0,Deportivo Alavés,53.0,La Liga,1.0,LM,11.0,,2019-07-01,2025.0,45,Spain,,,,Left,4,3,1,High/Medium,Normal (170-185),No,12100000.0,,Whipped Cross,77.0,74.0,70.0,77.0,37.0,51.0,74,75,32,71,52,79,72,68,69,76,80,75,85,68,80,78,49,72,44,77,41,36,73,63,69,62.0,42,36,35,6,9,10,12,14,,69+2,69+2,69+2,75,73,73,73,75,73+2,73+2,73+2,74+1,68+2,68+2,68+2,74+1,60+2,55+2,55+2,55+2,60+2,55+2,44+2,44+2,44+2,55+2,17+2
240458,/player/240458/ander-guevara-lajo/240002,24.0,2.0,2023-09-22,Ander Guevara,Ander Guevara Lajo,"CM, CDM",74,77,5500000.0,20000.0,25,1997-07-07,180,73,463.0,Deportivo Alavés,53.0,La Liga,1.0,RDM,6.0,,2023-07-10,2027.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,12500000.0,,,46.0,63.0,72.0,71.0,72.0,69.0,60,69,54,78,44,68,61,59,76,74,51,41,67,76,69,52,60,76,66,68,68,73,66,75,51,76.0,72,79,70,14,12,11,14,14,,64+2,64+2,64+2,67,68,68,68,67,71+2,71+2,71+2,68+2,74+2,74+2,74+2,68+2,70+2,75+2,75+2,75+2,70+2,69+2,70+2,70+2,70+2,69+2,20+2
192678,/player/192678/enrique-garcia-martinez/240002,24.0,2.0,2023-09-22,Kike García,Enrique García Martínez,ST,74,74,2700000.0,23000.0,33,1989-11-25,186,79,463.0,Deportivo Alavés,53.0,La Liga,1.0,ST,15.0,,2023-08-13,2025.0,45,Spain,,,,Right,4,3,1,High/Medium,Normal (185+),Yes,5900000.0,,Power Header,54.0,75.0,64.0,72.0,44.0,72.0,56,76,76,74,75,74,42,60,53,75,56,52,61,73,46,76,81,60,78,74,71,52,79,67,70,78.0,45,34,21,7,9,8,13,13,,74,74,74,70,73,73,73,70,71+2,71+2,71+2,68+2,67+2,67+2,67+2,68+2,55+2,58+2,58+2,58+2,55+2,52+2,55+2,55+2,55+2,52+2,17+2
238126,/player/238126/jon-guridi-aldalur/240002,24.0,2.0,2023-09-22,Guridi,Jon Guridi Aldalur,"CAM, CM, CDM",74,74,4200000.0,22000.0,28,1995-02-28,179,70,463.0,Deportivo Alavés,53.0,La Liga,1.0,CAM,18.0,,2022-07-11,2026.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Lean (170-185),Yes,9200000.0,,"Technical, Trivela",63.0,66.0,70.0,76.0,62.0,56.0,56,72,43,78,44,78,52,50,76,76,66,61,72,70,77,55,55,62,57,70,48,71,69,73,51,69.0,53,73,58,12,8,9,11,13,,66+2,66+2,66+2,71,71,71,71,71,74,74,74,71+2,74,74,74,71+2,66+2,69+2,69+2,69+2,66+2,65+2,62+2,62+2,62+2,65+2,17+2
261987,/player/261987/antonio-blanco-conde/240002,24.0,2.0,2023-09-22,Antonio Blanco,Antonio Blanco Conde,"CDM, CM",73,82,6500000.0,15000.0,22,2000-07-23,176,68,463.0,Deportivo Alavés,53.0,La Liga,1.0,LDM,8.0,,2023-07-25,2027.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),No,15600000.0,,,53.0,57.0,68.0,67.0,69.0,61.0,46,56,49,76,37,65,56,65,75,71,56,51,61,71,56,52,53,69,54,64,72,72,67,75,60,73.0,69,74,71,11,7,13,12,9,,60+2,60+2,60+2,64,65,65,65,64,68+2,68+2,68+2,65+2,72+2,72+2,72+2,65+2,66+2,72+2,72+2,72+2,66+2,66+2,67+2,67+2,67+2,66+2,17+2
226568,/player/226568/ianis-hagi/240002,24.0,2.0,2023-09-22,I. Hagi,Ianis Hagi,"CAM, CF",73,78,4600000.0,34000.0,24,1998-10-22,182,72,463.0,Deportivo Alavés,53.0,La Liga,1.0,SUB,10.0,Rangers,,2024.0,39,Romania,1356.0,SUB,14.0,Right,5,4,1,Medium/Medium,Normal (170-185),Yes,,,"Power Shot, Flair, First Touch",62.0,72.0,74.0,74.0,36.0,61.0,70,69,57,76,68,73,80,70,72,77,63,61,72,66,70,78,64,64,60,74,57,32,73,76,67,71.0,38,31,33,6,9,16,15,13,,69+2,69+2,69+2,71,72,72,72,71,73+2,73+2,73+2,71+2,69+2,69+2,69+2,71+2,56+2,56+2,56+2,56+2,56+2,52+2,47+2,47+2,47+2,52+2,17+2
222464,/player/222464/antonio-sivera-salva/240002,24.0,2.0,2023-09-22,Sivera,Antonio Sivera Salvá,GK,73,76,3100000.0,14000.0,26,1996-08-11,185,79,463.0,Deportivo Alavés,53.0,La Liga,1.0,GK,1.0,,2017-07-19,2024.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,7100000.0,,,,,,,,,22,15,14,34,16,14,26,12,33,26,58,55,61,69,53,54,68,42,63,12,25,24,16,48,24,53.0,13,17,12,74,68,72,71,76,57.0,31+2,31+2,31+2,31,32,32,32,31,33+2,33+2,33+2,33+2,33+2,33+2,33+2,33+2,30+2,31+2,31+2,31+2,30+2,30+2,28+2,28+2,28+2,30+2,72+2
