player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
244369,/player/244369/viktor-tsygankov/240002,24.0,2.0,2023-09-22,V. Tsygankov,Viktor Tsygankov,"RM, CM, CAM",82,85,40500000.0,37000.0,25,1997-11-15,178,72,110062.0,Girona,53.0,La Liga,1.0,RM,8.0,,2023-01-17,2027.0,49,Ukraine,1366.0,LM,15.0,Left,4,4,2,High/Medium,Lean (170-185),Yes,88100000.0,,"Technical, Flair, Quick Step",85.0,78.0,79.0,81.0,46.0,61.0,79,82,45,80,69,82,72,76,77,83,84,85,82,78,72,72,64,77,53,75,61,39,79,80,81,77.0,60,39,37,9,7,15,6,12,,75+2,75+2,75+2,81,80,80,80,81,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,66+2,63+2,63+2,63+2,66+2,62+2,53+2,53+2,53+2,62+2,16+2
260815,/player/260815/arnau-martinez-lopez/240002,24.0,2.0,2023-09-22,Arnau Martínez,Arnau Martínez López,"RB, RWB",80,87,39500000.0,22000.0,20,2003-04-25,181,75,110062.0,Girona,53.0,La Liga,1.0,RB,4.0,,2020-07-01,2025.0,45,Spain,,,,Right,3,2,1,High/Medium,Lean (170-185),Yes,90900000.0,,Jockey,79.0,50.0,72.0,76.0,76.0,70.0,80,50,74,79,35,76,68,40,66,78,81,77,75,79,66,56,81,76,66,45,68,77,61,65,50,65.0,73,79,77,10,7,7,10,9,,66+2,66+2,66+2,72,69,69,69,72,71+2,71+2,71+2,74+2,72+2,72+2,72+2,74+2,78+2,75+2,75+2,75+2,78+2,78+2,75+2,75+2,75+2,78+2,17+2
228813,/player/228813/aleix-garcia-serrano/240002,24.0,2.0,2023-09-22,Aleix García,Aleix García Serrano,"CM, CDM",80,83,27500000.0,33000.0,26,1997-06-28,173,68,110062.0,Girona,53.0,La Liga,1.0,CDM,14.0,,2021-07-23,2026.0,45,Spain,,,,Right,3,3,2,Medium/Medium,Lean (170-185),Yes,59800000.0,,"Dead Ball, Tiki Taka, Press Proven",64.0,74.0,81.0,80.0,71.0,66.0,80,74,51,83,56,80,79,78,80,82,65,63,74,79,85,77,63,73,64,76,65,77,78,81,60,78.0,68,76,70,16,8,9,10,7,,73+2,73+2,73+2,77,77,77,77,77,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,75+2,76+2,76+2,76+2,75+2,73+2,70+2,70+2,70+2,73+2,18+2
201505,/player/201505/david-lopez-silva/240002,24.0,2.0,2023-09-22,David López,David López Silva,"CB, CDM",79,79,8500000.0,29000.0,33,1989-10-09,183,81,110062.0,Girona,53.0,La Liga,1.0,RCB,5.0,,2022-07-25,2024.0,45,Spain,,,,Right,3,2,1,Medium/High,Normal (170-185),Yes,17900000.0,,"Long Ball Pass, Jockey, Slide Tackle",45.0,57.0,70.0,65.0,80.0,74.0,55,50,80,81,55,63,50,45,76,76,48,43,40,78,54,73,78,58,80,60,80,79,60,72,50,70.0,80,80,79,9,12,7,11,15,,65+2,65+2,65+2,63,66,66,66,63,67+2,67+2,67+2,65+2,73+2,73+2,73+2,65+2,70+2,77+2,77+2,77+2,70+2,71+2,79,79,79,71+2,19+2
205186,/player/205186/paulo-gazzaniga/240002,24.0,2.0,2023-09-22,P. Gazzaniga,Paulo Dino Gazzaniga,GK,78,78,7500000.0,21000.0,31,1992-01-02,196,90,110062.0,Girona,53.0,La Liga,1.0,GK,13.0,,2023-07-01,2025.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Lean (185+),Yes,15800000.0,,,,,,,,,23,12,14,49,13,20,31,21,54,31,57,56,65,78,60,59,65,42,55,19,40,19,15,64,40,61.0,23,21,14,77,79,78,77,76,57.0,33+2,33+2,33+2,36,37,37,37,36,41+2,41+2,41+2,39+2,42+2,42+2,42+2,39+2,34+2,38+2,38+2,38+2,34+2,33+2,31+2,31+2,31+2,33+2,77+1
186537,/player/186537/cristhian-stuani/240002,24.0,2.0,2023-09-22,C. Stuani,Cristhian Ricardo Stuani Curbelo,ST,77,77,3600000.0,22000.0,36,1986-10-12,186,76,110062.0,Girona,53.0,La Liga,1.0,ST,7.0,,2017-07-21,2026.0,60,Uruguay,,,,Right,3,4,2,High/Low,Normal (185+),Yes,7600000.0,,"Power Header, Technical, Acrobatic",66.0,80.0,69.0,70.0,48.0,84.0,68,80,84,72,73,70,66,57,65,72,65,67,63,74,59,82,91,78,89,75,77,36,82,69,90,76.0,45,49,42,16,14,9,16,8,,77,77,77,72,74,74,74,72,72+2,72+2,72+2,72+2,69+2,69+2,69+2,72+2,60+2,61+2,61+2,61+2,60+2,59+2,60+2,60+2,60+2,59+2,20+2
190815,/player/190815/daley-blind/240002,24.0,2.0,2023-09-22,D. Blind,Daley Blind,"CB, LB",77,77,5000000.0,25000.0,33,1990-03-09,180,72,110062.0,Girona,53.0,La Liga,1.0,LCB,17.0,,2023-07-07,2025.0,34,Netherlands,105035.0,LM,17.0,Left,3,3,3,Medium/Medium,Normal (170-185),Yes,10500000.0,,Trivela,35.0,62.0,80.0,78.0,81.0,66.0,80,56,77,81,66,77,84,62,81,81,36,34,69,79,72,74,68,62,68,64,64,83,66,82,54,83.0,80,81,80,12,9,10,14,10,,67+3,67+3,67+3,69,70,70,70,69,73+3,73+3,73+3,71+3,78-1,78-1,78-1,71+3,74+3,79-2,79-2,79-2,74+3,74+3,77,77,77,74+3,19+3
234060,/player/234060/yangel-herrera/240002,24.0,2.0,2023-09-22,Y. Herrera,Yangel Clemente Herrera Ravelo,"CM, CDM, CAM",76,80,10500000.0,24000.0,25,1998-01-07,184,77,110062.0,Girona,53.0,La Liga,1.0,RCM,21.0,,2023-07-14,2027.0,61,Venezuela,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,22800000.0,,"Pinged Pass, Flair",60.0,72.0,72.0,74.0,76.0,76.0,60,73,74,78,55,76,64,50,77,77,62,58,64,75,68,80,79,75,76,70,78,76,75,75,60,65.0,76,77,76,6,7,9,14,8,,74+2,74+2,74+2,72,74,74,74,72,74+2,74+2,74+2,72+2,76+2,76+2,76+2,72+2,73+2,77+2,77+2,77+2,73+2,73+2,76+2,76+2,76+2,73+2,16+2
245037,/player/245037/eric-garcia-martret/240002,24.0,2.0,2023-09-22,Eric García,Eric García Martret,"CB, CDM",75,82,10500000.0,76000.0,22,2001-01-09,182,76,110062.0,Girona,53.0,La Liga,1.0,SUB,25.0,FC Barcelona,,2024.0,45,Spain,,,,Right,3,2,2,Medium/Medium,Normal (170-185),Yes,,,Anticipate,62.0,44.0,69.0,67.0,76.0,71.0,54,42,75,81,31,64,65,31,79,72,55,68,64,74,56,51,75,65,72,44,76,75,42,68,44,79.0,76,77,76,11,9,12,11,7,,58+2,58+2,58+2,61,61,61,61,61,65+2,65+2,65+2,64+2,70+2,70+2,70+2,64+2,70+2,75+2,75+2,75+2,70+2,71+2,75+2,75+2,75+2,71+2,17+2
205070,/player/205070/cristian-portugues-manzanera/240002,24.0,2.0,2023-09-22,Portu,Cristian Portugués Manzanera,"RM, LM, RW",75,75,4700000.0,24000.0,31,1992-05-21,167,66,110062.0,Girona,53.0,La Liga,1.0,SUB,24.0,,2023-09-01,2027.0,45,Spain,,,,Right,4,3,1,High/Medium,Normal (170-),Yes,9900000.0,,"Finesse Shot, Rapid",81.0,74.0,72.0,75.0,56.0,76.0,74,73,69,70,72,74,78,64,70,73,80,81,82,73,81,80,81,79,72,71,80,55,75,74,65,74.0,55,55,53,14,10,15,15,13,,74+1,74+1,74+1,74,74,74,74,74,74+1,74+1,74+1,74+1,71+2,71+2,71+2,74+1,67+2,66+2,66+2,66+2,67+2,66+2,63+2,63+2,63+2,66+2,20+2
