team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
243,/team/243/real-madrid/240002,24,2,2023-09-22,Real Madrid,53,La Liga,1.0,45,Spain,85,85,85,83,455800.0,Estadio Santiago Bernabéu,241,10,10.0,,4800000000.0,25.91,24.52,204963.0,197445.0,197445.0,239053.0,197445.0,243812.0,239053.0,239053.0,Balanced,51.0,71.0,,,,,,Balanced,Balanced,51.0,6.0,3.0,3.0,,,,,,,,
241,/team/241/fc-barcelona/240002,24,2,2023-09-22,FC Barcelona,53,La Liga,1.0,45,Spain,84,84,84,83,184942.0,El Libertador (La Bombastico),243,10,10.0,,4300000000.0,27.0,23.94,192448.0,188545.0,186942.0,188545.0,233419.0,188545.0,228702.0,233419.0,Balanced,61.0,81.0,,,,,,Slow build up,Possession,51.0,7.0,3.0,3.0,,,,,,,,
240,/team/240/atletico-madrid/240002,24,2,2023-09-22,Atlético Madrid,53,La Liga,1.0,45,Spain,83,85,82,81,452946.0,Wanda Metropolitano,243,9,9.0,,1200000000.0,29.73,26.3,193747.0,194765.0,193747.0,194765.0,194765.0,194765.0,194765.0,194765.0,Pressure on heavy touch,61.0,61.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
481,/team/481/sevilla/240002,24,2,2023-09-22,Sevilla,53,La Liga,1.0,45,Spain,80,80,79,82,523931.0,Ramón Sánchez-Pizjuán,449,8,8.0,,540000000.0,31.27,26.64,146536.0,168651.0,168651.0,168651.0,168651.0,168651.0,224334.0,168651.0,Pressure on heavy touch,71.0,71.0,,,,,,Slow build up,Possession,81.0,8.0,3.0,3.0,,,,,,,,
448,/team/448/athletic-club/240002,24,2,2023-09-22,Athletic Club,53,La Liga,1.0,45,Spain,79,77,79,77,470943.0,Estadio San Mamés,457,5,7.0,,250000000.0,27.55,26.22,189575.0,256516.0,256516.0,256516.0,256516.0,146947.0,256516.0,256516.0,Press after possession loss,51.0,61.0,,,,,,Fast build up,Forward runs,71.0,5.0,3.0,3.0,,,,,,,,
449,/team/449/real-betis/240002,24,2,2023-09-22,Real Betis,53,La Liga,1.0,45,Spain,79,83,79,77,523898.0,Estadio Benito Villamarín,481,3,6.0,,175000000.0,28.0,25.97,198141.0,216594.0,225659.0,216594.0,216594.0,224179.0,216594.0,216594.0,Press after possession loss,61.0,71.0,,,,,,Slow build up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
457,/team/457/real-sociedad/240002,24,2,2023-09-22,Real Sociedad,53,La Liga,1.0,45,Spain,79,79,81,79,530755.0,Reale Arena,448,4,7.0,,150000000.0,26.18,23.61,230142.0,230142.0,230142.0,235944.0,230142.0,230142.0,235944.0,230142.0,Balanced,41.0,51.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
483,/team/483/villarreal/240002,24,2,2023-09-22,Villarreal,53,La Liga,1.0,45,Spain,79,79,80,77,1068543.0,Estadio de la Cerámica,461,7,8.0,,370000000.0,27.55,27.8,157481.0,189513.0,189513.0,189513.0,189513.0,208093.0,189513.0,189513.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
479,/team/479/osasuna/240002,24,2,2023-09-22,Osasuna,53,La Liga,1.0,45,Spain,77,77,77,77,456423.0,Estadio El Sadar,448,1,5.0,,15000000.0,28.45,25.94,225341.0,206590.0,206590.0,206590.0,206590.0,228520.0,206590.0,206590.0,Balanced,71.0,71.0,,,,,,Fast build up,Forward runs,61.0,3.0,3.0,3.0,,,,,,,,
450,/team/450/celta-de-vigo/240002,24,2,2023-09-22,Celta de Vigo,53,La Liga,1.0,45,Spain,76,79,76,75,455387.0,Estadio Abanca-Balaídos,110242,4,6.0,,110000000.0,25.82,24.58,192629.0,192629.0,192629.0,192629.0,192629.0,192629.0,192629.0,192629.0,Pressure on heavy touch,71.0,61.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
453,/team/453/mallorca/240002,24,2,2023-09-22,Mallorca,53,La Liga,1.0,45,Spain,76,77,77,74,896798.0,Visit Mallorca Estadi,483,1,3.0,,8000000.0,28.91,27.2,198451.0,198451.0,208620.0,198451.0,198451.0,223710.0,208620.0,208620.0,Balanced,51.0,41.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
480,/team/480/rayo-vallecano/240002,24,2,2023-09-22,Rayo Vallecano,53,La Liga,1.0,45,Spain,76,76,77,77,464975.0,Estadio de Vallecas,100888,1,3.0,,10000000.0,31.27,27.41,173030.0,173030.0,173030.0,173030.0,173030.0,173030.0,173030.0,173030.0,Balanced,61.0,71.0,,,,,,Slow build up,Possession,61.0,7.0,3.0,3.0,,,,,,,,
1860,/team/1860/getafe/240002,24,2,2023-09-22,Getafe,53,La Liga,1.0,45,Spain,76,82,76,75,524009.0,Coliseum Alfonso Pérez,100888,4,5.0,,45000000.0,28.36,26.11,217940.0,203843.0,203843.0,203843.0,203843.0,223197.0,203843.0,203843.0,Pressure on heavy touch,41.0,71.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
110062,/team/110062/girona/240002,24,2,2023-09-22,Girona,53,La Liga,1.0,45,Spain,76,77,76,76,186018.0,Estadio de Montilivi,452,1,1.0,,8000000.0,28.18,25.03,186537.0,228813.0,228813.0,228813.0,228813.0,186537.0,228813.0,228813.0,Balanced,41.0,51.0,,,,,,Slow build up,Possession,51.0,6.0,3.0,3.0,,,,,,,,
461,/team/461/valencia/240002,24,2,2023-09-22,Valencia,53,La Liga,1.0,45,Spain,75,74,74,76,185095.0,Estadio Mestalla,1853,6,7.0,,530000000.0,24.09,23.31,211688.0,230786.0,230786.0,230786.0,230786.0,230786.0,230786.0,230786.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
1861,/team/1861/almeria/240002,24,2,2023-09-22,Almería,53,La Liga,1.0,45,Spain,75,75,74,74,185336.0,Power Horse Stadium,110832,1,2.0,,47000000.0,24.82,24.13,235008.0,235008.0,235008.0,235008.0,235008.0,219953.0,235008.0,235008.0,Balanced,41.0,51.0,,,,,,Slow build up,Possession,71.0,4.0,3.0,3.0,,,,,,,,
1968,/team/1968/cadiz/240002,24,2,2023-09-22,Cádiz,53,La Liga,1.0,45,Spain,75,74,75,73,184794.0,Nuevo Mirandilla,481,1,4.0,,5000000.0,29.64,27.28,229628.0,229788.0,229788.0,229788.0,229788.0,229788.0,229788.0,229788.0,Balanced,41.0,41.0,,,,,,Long ball,Direct passing,81.0,5.0,3.0,3.0,,,,,,,,
472,/team/472/las-palmas/240002,24,2,2023-09-22,Las Palmas,53,La Liga,1.0,45,Spain,74,75,75,72,7330518.0,Estadio de Gran Canaria,260,1,2.0,,45000000.0,25.73,25.89,198164.0,198164.0,198164.0,198164.0,198164.0,198164.0,198164.0,198164.0,Press after possession loss,41.0,71.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
110832,/team/110832/granada/240002,24,2,2023-09-22,Granada,53,La Liga,1.0,45,Spain,73,76,72,72,533904.0,Estadio Nuevo Los Cármenes,449,1,2.0,,50000000.0,28.0,26.71,243431.0,185020.0,185020.0,185020.0,185020.0,261204.0,185020.0,185020.0,Balanced,41.0,51.0,,,,,,Fast build up,Forward runs,71.0,3.0,3.0,3.0,,,,,,,,
463,/team/463/deportivo-alaves/240002,24,2,2023-09-22,Deportivo Alavés,53,La Liga,1.0,45,Spain,72,73,73,73,16111977.0,Estadio de Mendizorroza,448,1,2.0,,13000000.0,27.0,24.04,226637.0,224415.0,224415.0,224415.0,224415.0,224415.0,224415.0,224415.0,Balanced,51.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
