player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
252079,/player/252079/manuel-fuster-lazaro/240002,24.0,2.0,2023-09-22,Manu Fuster,Manuel Fuster Lázaro,"LM, RM",72,74,2900000.0,7000.0,25,1997-10-22,169,65,1854.0,Albacete,54.0,La Liga 2,2.0,RM,10.0,,2019-07-22,2025.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,4900000.0,,"Dead Ball, Pinged Pass, Whipped Cross, Technical",75.0,68.0,72.0,70.0,46.0,48.0,68,73,65,75,60,71,70,72,72,71,78,73,57,66,85,64,63,57,42,64,47,34,70,71,70,64.0,43,49,53,10,14,12,14,15,,68+2,68+2,68+2,71,71,71,71,71,71+2,71+2,71+2,71+2,67+2,67+2,67+2,71+2,60+2,57+2,57+2,57+2,60+2,58+2,51+2,51+2,51+2,58+2,19+2
215322,/player/215322/jonathan-silva/240002,24.0,2.0,2023-09-22,J. Silva,Jonathan Cristian Silva,"LB, LWB, CB",72,72,2100000.0,18000.0,29,1994-06-29,179,72,1854.0,Albacete,54.0,La Liga 2,2.0,SUB,3.0,Getafe,,2024.0,52,Argentina,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,,,"Whipped Cross, Long Throw",70.0,60.0,66.0,70.0,70.0,76.0,69,48,55,69,62,70,71,70,63,71,72,69,72,70,69,78,72,80,71,69,82,69,66,60,55,67.0,72,72,70,15,6,9,13,10,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,71+1,70+2,70+2,70+2,71+1,70+2,70+2,70+2,70+2,70+2,17+2
253147,/player/253147/toni-datkovic/240002,24.0,2.0,2023-09-22,T. Datković,Toni Datković,"CB, LB",71,72,1700000.0,6000.0,29,1993-11-06,184,78,1854.0,Albacete,54.0,La Liga 2,2.0,SUB,15.0,,2023-09-01,2026.0,10,Croatia,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,2800000.0,,,65.0,29.0,46.0,42.0,70.0,68.0,33,25,72,66,23,26,25,35,47,60,58,71,40,63,55,40,79,39,78,26,74,69,25,33,40,55.0,70,72,68,14,11,13,9,8,,46+2,46+2,46+2,43,44,44,44,43,45+2,45+2,45+2,45+2,49+2,49+2,49+2,45+2,58+2,63+2,63+2,63+2,58+2,62+2,71+1,71+1,71+1,62+2,16+2
236810,/player/236810/alberto-quiles-piosa/240002,24.0,2.0,2023-09-22,Quiles,Alberto Quiles Piosa,"LM, ST, RM",71,71,1900000.0,7000.0,28,1995-04-27,188,70,1854.0,Albacete,54.0,La Liga 2,2.0,ST,21.0,,2023-07-04,2025.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,3000000.0,,,66.0,70.0,64.0,71.0,31.0,60.0,62,79,78,68,61,72,54,35,67,74,65,67,60,75,58,60,75,65,56,58,62,22,77,67,69,70.0,28,25,27,9,9,15,9,7,,72-1,72-1,72-1,70,72-1,72-1,72-1,70,70+1,70+1,70+1,70+1,65+2,65+2,65+2,70+1,52+2,51+2,51+2,51+2,52+2,49+2,45+2,45+2,45+2,49+2,16+2
222094,/player/222094/juan-manuel-garcia-garcia/240002,24.0,2.0,2023-09-22,Juanma García,Juan Manuel García García,"RM, ST, LM",70,70,1500000.0,6000.0,30,1993-02-20,167,62,1854.0,Albacete,54.0,La Liga 2,2.0,LM,7.0,,2022-07-23,2025.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,2400000.0,,"Finesse Shot, Power Header, Quick Step",84.0,70.0,64.0,70.0,28.0,53.0,64,70,68,64,66,68,68,63,59,69,85,83,80,67,91,70,70,76,46,69,35,30,68,65,75,58.0,23,22,16,12,13,10,14,10,,69+1,69+1,69+1,70,69,69,69,70,68+2,68+2,68+2,69+1,62+2,62+2,62+2,69+1,52+2,47+2,47+2,47+2,52+2,49+2,39+2,39+2,39+2,49+2,18+2
237206,/player/237206/alvaro-rodriguez-perez/240002,24.0,2.0,2023-09-22,Alvaro Rodríguez,Álvaro Rodríguez Pérez,"RB, RWB, RM",70,70,1400000.0,5000.0,28,1994-07-22,181,75,1854.0,Albacete,54.0,La Liga 2,2.0,RB,23.0,,2022-07-19,2026.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2200000.0,,Bruiser,60.0,43.0,64.0,62.0,70.0,67.0,73,36,64,68,37,58,61,60,60,68,62,58,59,69,64,53,69,69,66,48,65,71,56,52,42,57.0,70,70,69,6,11,15,13,6,,56+2,56+2,56+2,60,58,58,58,60,59+2,59+2,59+2,62+2,62+2,62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,16+2
236599,/player/236599/samuel-shashoua/240002,24.0,2.0,2023-09-22,S. Shashoua,Samuel Shashoua,"ST, CAM, RM",69,76,2800000.0,5000.0,24,1999-05-13,170,65,1854.0,Albacete,54.0,La Liga 2,2.0,SUB,20.0,,2023-07-24,2025.0,14,England,,,,Right,3,3,1,High/Medium,Lean (170-),No,5000000.0,#Acrobat,"Finesse Shot, Technical",89.0,69.0,63.0,74.0,39.0,60.0,60,72,52,67,58,70,72,68,51,73,87,90,92,67,90,69,73,66,63,68,44,38,69,65,57,67.0,45,32,30,11,14,9,14,7,,69+2,69+2,69+2,72,71,71,71,72,70+2,70+2,70+2,70+2,63+2,63+2,63+2,70+2,57+2,52+2,52+2,52+2,57+2,54+2,48+2,48+2,48+2,54+2,17+2
251599,/player/251599/ricardo-rodriguez-gil/240002,24.0,2.0,2023-09-22,Riki,Ricardo Rodríguez Gil Carcedo,"CM, CAM, LM",69,74,2000000.0,5000.0,25,1997-09-25,175,70,1854.0,Albacete,54.0,La Liga 2,2.0,RCM,8.0,,2022-07-01,2024.0,45,Spain,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,3400000.0,,"Technical, Flair",70.0,67.0,67.0,73.0,56.0,55.0,60,69,44,69,58,74,64,66,66,72,73,68,78,68,77,61,54,64,51,71,55,65,69,71,63,68.0,47,66,51,9,6,9,13,6,,65+2,65+2,65+2,70,70,70,70,70,71+2,71+2,71+2,69+2,69+2,69+2,69+2,69+2,64+2,63+2,63+2,63+2,64+2,62+2,57+2,57+2,57+2,62+2,15+2
239608,/player/239608/cristian-glauder-garcia/240002,24.0,2.0,2023-09-22,Glauder,Antonio Cristian Glauder García,"CB, LB",69,70,1400000.0,4000.0,27,1995-10-18,183,76,1854.0,Albacete,54.0,La Liga 2,2.0,LCB,24.0,,2022-09-01,2024.0,45,Spain,,,,Left,3,2,1,Medium/High,Normal (170-185),No,2300000.0,,"Slide Tackle, Bruiser",70.0,35.0,56.0,63.0,67.0,79.0,63,25,67,63,30,61,45,31,59,66,69,70,61,64,63,60,78,80,78,28,79,65,63,42,33,58.0,67,69,66,14,14,10,15,13,,56+2,56+2,56+2,57,57,57,57,57,56+2,56+2,56+2,61+2,59+2,59+2,59+2,61+2,67+2,66+2,66+2,66+2,67+2,67+2,69+1,69+1,69+1,67+2,19+2
211565,/player/211565/higinio-marin-escavy/240002,24.0,2.0,2023-09-22,Higinio,Higinio Marín Escavy,ST,69,69,1400000.0,5000.0,29,1993-10-19,184,74,1854.0,Albacete,54.0,La Liga 2,2.0,SUB,9.0,,2022-07-27,2025.0,45,Spain,,,,Right,2,3,1,High/Medium,Normal (170-185),No,2200000.0,,,64.0,69.0,59.0,66.0,37.0,58.0,59,70,72,69,59,68,46,54,51,67,63,65,63,65,57,71,78,35,72,68,48,27,69,52,67,61.0,38,33,31,12,12,11,9,13,,69,69,69,66,67,67,67,66,65+2,65+2,65+2,63+2,58+2,58+2,58+2,63+2,49+2,48+2,48+2,48+2,49+2,48+2,48+2,48+2,48+2,48+2,17+2
