player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
190507,/player/190507/xabier-etxeita-gorritxat/240002,24.0,2.0,2023-09-22,Etxeita,Xabier Etxeita Gorritxategi,CB,72,72,625000.0,4000.0,35,1987-10-31,186,78,113356.0,Amorebieta,54.0,La Liga 2,2.0,LCB,3.0,,2022-09-07,2024.0,45,Spain,,,,Right,3,2,1,Low/Medium,Normal (185+),No,969000.0,,"Power Header, Slide Tackle, Bruiser, Aerial",35.0,35.0,49.0,56.0,72.0,76.0,36,29,75,67,38,47,35,43,59,65,31,39,67,63,48,54,71,67,80,34,79,70,28,30,30,66.0,73,74,68,6,7,8,10,7,,49+2,49+2,49+2,45,46,46,46,45,48+2,48+2,48+2,48+2,55+2,55+2,55+2,48+2,60+2,67+2,67+2,67+2,60+2,62+2,72,72,72,62+2,14+2
258602,/player/258602/jon-morcillo-conesa/240002,24.0,2.0,2023-09-22,Jon Morcillo,Jon Morcillo Conesa,"LM, LW",70,73,2200000.0,12000.0,24,1998-09-15,183,72,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,22.0,Athletic Club,,2024.0,45,Spain,,,,Left,4,4,1,Medium/Medium,Lean (170-185),No,,,Rapid,77.0,71.0,67.0,71.0,48.0,62.0,71,70,63,69,62,71,70,69,61,70,79,76,80,62,70,75,76,67,65,73,43,42,66,65,75,69.0,45,48,51,12,10,14,11,12,,69+2,69+2,69+2,70,69,69,69,70,69+2,69+2,69+2,69+2,65+2,65+2,65+2,69+2,61+2,57+2,57+2,57+2,61+2,59+2,54+2,54+2,54+2,59+2,17+2
223608,/player/223608/javier-eraso-goni/240002,24.0,2.0,2023-09-22,Eraso,Javier Eraso Goñi,"CM, CAM, CDM",70,70,975000.0,5000.0,33,1990-03-22,180,71,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,14.0,,2023-07-12,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,,56.0,67.0,67.0,66.0,57.0,75.0,64,66,54,70,59,68,53,59,69,69,59,54,50,77,53,70,65,82,72,68,74,67,73,71,53,70.0,47,62,57,10,15,9,9,14,,67+2,67+2,67+2,67,68,68,68,67,69+1,69+1,69+1,68+2,70,70,70,68+2,65+2,67+2,67+2,67+2,65+2,64+2,62+2,62+2,62+2,64+2,19+2
264105,/player/264105/josep-gaya-martinez/240002,24.0,2.0,2023-09-22,Pep Gayà,Josep Antoni Gayá Martínez,CB,67,78,2100000.0,7000.0,22,2000-07-07,185,74,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,24.0,Mallorca,,2024.0,45,Spain,,,,Right,3,2,1,Medium/High,Normal (185+),No,,,,47.0,32.0,50.0,51.0,67.0,71.0,40,30,68,67,37,45,35,36,50,62,51,43,45,64,44,45,72,66,77,20,64,66,33,38,38,52.0,69,67,66,12,14,15,11,14,,48+2,48+2,48+2,47,47,47,47,47,48+2,48+2,48+2,50+2,54+2,54+2,54+2,50+2,60+2,64+2,64+2,64+2,60+2,61+2,67+2,67+2,67+2,61+2,19+2
276745,/player/276745/alvaro-nunez-cobo/240002,24.0,2.0,2023-09-22,Álvaro Núñez,Álvaro Núñez Cobo,RB,67,72,1500000.0,2000.0,22,2000-07-07,177,74,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,15.0,,2023-07-14,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2400000.0,,,74.0,41.0,63.0,65.0,61.0,65.0,67,35,47,63,36,66,66,60,60,65,73,75,70,64,68,50,64,72,65,45,57,60,60,61,37,50.0,62,65,66,6,12,7,9,12,,55+2,55+2,55+2,62,60,60,60,62,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,66+2,63+2,63+2,63+2,66+2,65+2,62+2,62+2,62+2,65+2,16+2
201991,/player/201991/erik-moran-arribas/240002,24.0,2.0,2023-09-22,Erik Morán,Erik Morán Arribas,CDM,67,67,675000.0,3000.0,32,1991-05-25,187,74,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,8.0,,2023-07-04,2024.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1000000.0,,,40.0,50.0,64.0,61.0,65.0,74.0,59,40,58,66,39,61,59,67,65,62,40,40,63,65,53,61,64,75,77,62,70,67,57,67,49,61.0,66,65,60,13,10,14,11,10,,56+2,56+2,56+2,57,57,57,57,57,60+2,60+2,60+2,59+2,64+2,64+2,64+2,59+2,62+2,66+1,66+1,66+1,62+2,61+2,65+2,65+2,65+2,61+2,17+2
236405,/player/236405/daniel-lasure-briz/240002,24.0,2.0,2023-09-22,Lasure,Daniel Lasure Briz,"LB, LM",67,67,900000.0,3000.0,29,1994-02-27,176,72,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,16.0,,2023-07-05,2024.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1400000.0,,Slide Tackle,69.0,44.0,57.0,60.0,63.0,72.0,61,31,59,63,40,58,71,48,59,59,71,67,67,62,71,66,74,81,72,47,61,63,64,42,44,59.0,61,64,65,8,10,13,10,9,,56+2,56+2,56+2,57,57,57,57,57,56+2,56+2,56+2,60+2,59+2,59+2,59+2,60+2,65+2,63+2,63+2,63+2,65+2,65+2,64+2,64+2,64+2,65+2,15+2
246039,/player/246039/jorge-mier-martinez/240002,24.0,2.0,2023-09-22,Jorge Mier,Jorge Mier Martínez,"RB, LB",66,73,1600000.0,2000.0,24,1999-02-04,175,65,113356.0,Amorebieta,54.0,La Liga 2,2.0,RB,2.0,,2022-08-24,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2800000.0,,,76.0,41.0,60.0,64.0,61.0,62.0,64,36,57,65,32,64,61,53,54,63,76,76,75,57,74,45,66,70,54,47,69,62,58,54,43,54.0,60,63,64,6,12,11,13,10,,54+2,54+2,54+2,61,58,58,58,61,60+2,60+2,60+2,62+2,59+2,59+2,59+2,62+2,65+2,62+2,62+2,62+2,65+2,64+2,62+2,62+2,62+2,64+2,15+2
240529,/player/240529/rayco-rodriguez-medina/240002,24.0,2.0,2023-09-22,Rayco,Rayco Rodríguez Medina,"RM, LM, CAM",66,67,1000000.0,3000.0,26,1996-11-24,179,65,113356.0,Amorebieta,54.0,La Liga 2,2.0,LM,17.0,,2022-08-22,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1600000.0,,,72.0,61.0,63.0,65.0,44.0,58.0,57,62,55,66,49,64,58,60,65,65,74,71,76,59,61,59,67,66,59,61,44,41,64,66,59,62.0,35,49,47,9,6,7,8,10,,62+2,62+2,62+2,65,64,64,64,65,65+2,65+2,65+2,65+2,63+2,63+2,63+2,65+2,56+2,55+2,55+2,55+2,56+2,55+2,50+2,50+2,50+2,55+2,14+2
262491,/player/262491/iker-seguin-cid/240002,24.0,2.0,2023-09-22,Iker Seguín,Iker Seguín Cid,"LB, LWB",66,66,450000.0,2000.0,33,1989-07-12,183,73,113356.0,Amorebieta,54.0,La Liga 2,2.0,LB,11.0,,2015-07-01,2024.0,45,Spain,,,,Left,3,3,1,High/Medium,Normal (170-185),No,698000.0,,,69.0,57.0,67.0,63.0,60.0,54.0,69,59,43,70,56,64,50,46,64,66,67,70,53,61,62,63,50,70,53,47,38,59,53,71,68,62.0,61,65,61,15,14,9,10,14,,59+2,59+2,59+2,64,62,62,62,64,64+2,64+2,64+2,65+1,65+1,65+1,65+1,65+1,65+1,63+2,63+2,63+2,65+1,64+2,58+2,58+2,58+2,64+2,18+2
259362,/player/259362/jon-mikel-magunagoitia-blasco/240002,24.0,2.0,2023-09-22,Magunagoitia,Jon Mikel Magunagoitia Blasco,GK,65,75,1400000.0,1000.0,22,2000-08-06,183,79,113356.0,Amorebieta,54.0,La Liga 2,2.0,SUB,13.0,,2022-07-18,2024.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,2500000.0,,,,,,,,,14,6,12,22,6,7,13,11,16,14,26,28,39,65,48,47,49,25,53,5,28,6,4,52,16,32.0,8,13,13,63,65,63,63,66,27.0,21+2,21+2,21+2,20,22,22,22,20,23+2,23+2,23+2,21+2,23+2,23+2,23+2,21+2,19+2,22+2,22+2,22+2,19+2,19+2,21+2,21+2,21+2,19+2,64+2
