player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
234779,/player/234779/jose-antonio-caro-diaz/240002,24.0,2.0,2023-09-22,Caro,José Antonio Caro Díaz,GK,75,75,3800000.0,7000.0,29,1994-05-03,184,83,10846.0,Burgos,54.0,La Liga 2,2.0,GK,13.0,,2022-07-13,2024.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Lean (170-185),No,6100000.0,,"Far Throw, Footwork",,,,,,,14,14,22,29,13,17,20,10,40,21,38,39,45,74,30,52,70,41,76,19,22,22,12,46,32,52.0,13,21,14,75,70,69,77,76,38.0,30+2,30+2,30+2,27,29,29,29,27,30+2,30+2,30+2,29+2,33+2,33+2,33+2,29+2,28+2,31+2,31+2,31+2,28+2,27+2,30+2,30+2,30+2,27+2,74+1
231733,/player/231733/francisco-jose-sanchez-rodriguez/240002,24.0,2.0,2023-09-22,Curro Sánchez,Francisco José Sánchez Rodríguez,"RM, CAM, CM",74,74,4500000.0,8000.0,27,1996-01-03,173,71,10846.0,Burgos,54.0,La Liga 2,2.0,RM,16.0,,2022-09-03,2024.0,45,Spain,,,,Left,3,3,1,High/Medium,Normal (170-185),No,7200000.0,,"Dead Ball, Technical",76.0,73.0,72.0,74.0,42.0,50.0,72,76,45,71,60,75,75,73,69,73,78,74,80,65,79,69,54,71,43,75,40,44,73,75,70,72.0,36,46,37,12,9,9,8,8,,68+2,68+2,68+2,74,72,72,72,74,73+1,73+1,73+1,73+1,69+2,69+2,69+2,73+1,60+2,56+2,56+2,56+2,60+2,57+2,47+2,47+2,47+2,57+2,15+2
252590,/player/252590/fernando-nino-rodriguez/240002,24.0,2.0,2023-09-22,Fer Niño,Fernando Niño Rodríguez,ST,71,78,3800000.0,6000.0,22,2000-10-24,190,78,10846.0,Burgos,54.0,La Liga 2,2.0,LS,9.0,,2023-07-01,2026.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,6800000.0,,,64.0,72.0,59.0,67.0,35.0,69.0,52,72,72,71,68,67,54,51,53,70,65,64,68,72,61,74,79,70,74,70,52,31,73,55,65,57.0,30,31,28,11,10,8,8,14,,71+2,71+2,71+2,67,69,69,69,67,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,52+2,51+2,51+2,51+2,52+2,50+2,48+2,48+2,48+2,50+2,17+2
262423,/player/262423/aitor-cordoba-querejeta/240002,24.0,2.0,2023-09-22,Córdoba,Aitor Córdoba Querejeta,CB,71,73,1900000.0,6000.0,28,1995-05-21,181,73,10846.0,Burgos,54.0,La Liga 2,2.0,RCB,18.0,,2019-07-01,2024.0,45,Spain,,,,Right,3,2,1,High/Medium,Normal (170-185),No,3200000.0,,,60.0,36.0,49.0,51.0,71.0,68.0,37,29,74,67,33,41,35,34,55,63,56,63,37,71,67,60,74,63,70,24,70,73,41,34,40,60.0,69,72,70,9,14,6,10,10,,52+2,52+2,52+2,48,50,50,50,48,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,63+2,66+2,66+2,66+2,63+2,65+2,71+2,71+2,71+2,65+2,17+2
233588,/player/233588/unai-elgezabal-udondo/240002,24.0,2.0,2023-09-22,Elgezabal,Unai Elgezabal Udondo,"CDM, CM, CB",71,71,1600000.0,5000.0,30,1993-04-25,185,74,10846.0,Burgos,54.0,La Liga 2,2.0,LCM,14.0,,2020-09-24,2024.0,45,Spain,,,,Right,3,2,1,Low/High,Normal (185+),No,2600000.0,,,52.0,50.0,59.0,53.0,71.0,75.0,40,47,65,71,32,43,36,46,68,64,55,50,53,65,51,66,72,73,76,40,74,74,43,60,68,62.0,73,70,66,8,14,14,15,6,,56+2,56+2,56+2,53,55,55,55,53,57+2,57+2,57+2,55+2,63+2,63+2,63+2,55+2,63+2,70+1,70+1,70+1,63+2,65+2,70+1,70+1,70+1,65+2,17+2
254786,/player/254786/miguel-angel-atienza-villa/240002,24.0,2.0,2023-09-22,Atienza,Miguel Ángel Atienza Villa,"CDM, CM",70,79,3300000.0,4000.0,24,1999-05-27,186,77,10846.0,Burgos,54.0,La Liga 2,2.0,SUB,5.0,,2022-07-08,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,5900000.0,,,56.0,61.0,62.0,66.0,65.0,68.0,41,69,42,71,27,66,32,48,70,70,56,56,59,70,53,47,55,71,70,68,64,68,67,70,49,57.0,64,71,68,14,13,14,9,14,,62+2,62+2,62+2,64,66,66,66,64,68+2,68+2,68+2,65+2,70+2,70+2,70+2,65+2,64+2,69+2,69+2,69+2,64+2,64+2,65+2,65+2,65+2,64+2,19+2
251326,/player/251326/alex-bermejo-escribano/240002,24.0,2.0,2023-09-22,Álex Bermejo,Álex Bermejo Escribano,"LM, RM, ST",70,76,2500000.0,5000.0,24,1998-12-11,183,76,10846.0,Burgos,54.0,La Liga 2,2.0,SUB,10.0,,2022-07-21,2024.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),No,4500000.0,,Flair,73.0,69.0,66.0,72.0,53.0,64.0,60,70,54,70,51,73,63,67,66,71,77,70,77,62,72,73,70,73,65,69,48,47,65,66,70,74.0,49,58,56,12,7,8,10,13,,67+2,67+2,67+2,69,69,69,69,69,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,62+2,61+2,61+2,61+2,62+2,61+2,57+2,57+2,57+2,61+2,16+2
208817,/player/208817/jose-andres-rodriguez-gaitan/240002,24.0,2.0,2023-09-22,Andy,Andrés José Rodríguez Gaitán,"CM, CDM",70,70,975000.0,5000.0,33,1990-01-30,185,79,10846.0,Burgos,54.0,La Liga 2,2.0,SUB,17.0,,2021-07-03,2024.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,1600000.0,,Press Proven,53.0,68.0,70.0,68.0,67.0,74.0,65,67,59,72,41,68,73,72,70,70,55,52,67,68,65,69,68,83,73,70,68,66,68,70,82,66.0,66,71,63,16,7,15,10,16,,66+2,66+2,66+2,67,67,67,67,67,68+2,68+2,68+2,67+2,70,70,70,67+2,68+2,70,70,70,68+2,66+2,67+2,67+2,67+2,66+2,19+2
211270,/player/211270/esteban-saveljich/240002,24.0,2.0,2023-09-22,E. Saveljich,Esteban Ariel Saveljich,CB,70,70,1000000.0,5000.0,32,1991-05-02,187,80,10846.0,Burgos,54.0,La Liga 2,2.0,SUB,24.0,,2023-09-01,2024.0,15,Montenegro,,,,Right,3,2,1,High/Medium,Normal (185+),No,1600000.0,,,36.0,32.0,47.0,44.0,69.0,80.0,30,28,68,66,27,37,34,35,62,54,33,39,30,67,31,47,71,66,89,27,76,70,29,28,43,62.0,71,69,62,12,12,10,14,15,,46+2,46+2,46+2,41,43,43,43,41,44+2,44+2,44+2,45+2,53+2,53+2,53+2,45+2,57+2,66+2,66+2,66+2,57+2,59+2,70,70,70,59+2,19+2
233911,/player/233911/jose-joaquin-matos-garcia/240002,24.0,2.0,2023-09-22,José Matos,José Joaquín Matos García,"LB, LWB, LM",69,69,1300000.0,4000.0,28,1995-05-06,166,61,10846.0,Burgos,54.0,La Liga 2,2.0,LB,23.0,,2021-07-30,2024.0,45,Spain,,,,Left,3,3,1,High/Medium,Normal (170-),No,2100000.0,,"Anticipate, Slide Tackle, Relentless",77.0,49.0,65.0,68.0,60.0,56.0,71,39,63,65,22,64,60,51,60,68,74,80,81,63,92,71,57,87,34,60,70,63,52,65,39,56.0,55,62,64,5,8,6,9,5,,58+2,58+2,58+2,64,62,62,62,64,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,68+1,63+2,63+2,63+2,68+1,67+2,60+2,60+2,60+2,67+2,13+2
