player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193290,/player/193290/martin-braithwaite/240002,24.0,2.0,2023-09-22,M. Braithwaite,Martin Braithwaite Christensen,"ST, LM",77,77,8500000.0,13000.0,32,1991-06-05,180,77,452.0,Espanyol,54.0,La Liga 2,2.0,ST,22.0,,2022-09-01,2025.0,13,Denmark,1331.0,SUB,9.0,Right,4,4,2,High/Low,Lean (170-185),Yes,13600000.0,,"Power Shot, Rapid, Flair, First Touch",80.0,77.0,72.0,77.0,34.0,75.0,68,80,68,76,75,78,72,73,65,77,82,79,81,76,69,77,82,76,75,71,72,29,82,74,73,76.0,33,30,26,14,13,11,7,8,,77,77,77,77,78-1,78-1,78-1,77,77,77,77,76+1,70+2,70+2,70+2,76+1,58+2,56+2,56+2,56+2,58+2,54+2,50+2,50+2,50+2,54+2,18+2
225926,/player/225926/pere-milla-pena/240002,24.0,2.0,2023-09-22,Pere Milla,Pere Milla Peña,"ST, LM, RM",77,77,10500000.0,13000.0,30,1992-09-23,184,72,452.0,Espanyol,54.0,La Liga 2,2.0,LM,11.0,,2023-08-15,2027.0,45,Spain,,,,Left,2,3,1,Medium/Low,Lean (170-185),Yes,16800000.0,,"Finesse Shot, Power Shot, Rapid, First Touch",74.0,78.0,69.0,78.0,38.0,62.0,69,81,74,77,62,80,63,58,60,79,77,72,77,78,66,78,79,74,62,74,45,32,79,66,72,65.0,40,30,28,10,10,14,14,14,,77,77,77,77,77,77,77,77,76+1,76+1,76+1,75+2,69+2,69+2,69+2,75+2,59+2,55+2,55+2,55+2,59+2,55+2,49+2,49+2,49+2,55+2,19+2
228326,/player/228326/brian-olivan-herrero/240002,24.0,2.0,2023-09-22,Brian Oliván,Brian Oliván Herrero,"LB, LWB",77,77,9500000.0,12000.0,29,1994-04-01,177,73,452.0,Espanyol,54.0,La Liga 2,2.0,LB,14.0,,2022-07-01,2025.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Normal (170-185),Yes,15200000.0,,Whipped Cross,79.0,61.0,72.0,69.0,72.0,76.0,75,56,62,75,52,68,74,68,65,73,80,78,66,73,68,65,76,90,68,68,78,73,65,67,62,64.0,73,73,73,13,15,13,8,12,,66+2,66+2,66+2,70,69,69,69,70,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,76+1,73+2,73+2,73+2,76+1,75+2,72+2,72+2,72+2,75+2,19+2
244622,/player/244622/javier-puado-diaz/240002,24.0,2.0,2023-09-22,Puado,Javier Puado Díaz,"LM, RM, ST",76,79,10000000.0,11000.0,25,1998-05-25,177,69,452.0,Espanyol,54.0,La Liga 2,2.0,SUB,7.0,,2017-07-01,2025.0,45,Spain,,,,Right,4,4,1,High/High,Normal (170-185),Yes,16800000.0,,"Power Header, Rapid, Quick Step, Relentless",83.0,74.0,68.0,76.0,51.0,76.0,66,76,76,75,63,76,62,48,60,76,84,82,80,76,76,75,90,82,75,72,66,45,76,68,74,73.0,52,48,44,8,9,11,8,13,,76+2,76+2,76+2,75,76,76,76,75,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,65+2,62+2,62+2,62+2,65+2,63+2,60+2,60+2,60+2,63+2,17+2
242336,/player/242336/alvaro-aguado-mendez/240002,24.0,2.0,2023-09-22,Aguado,Álvaro Aguado Méndez,"CM, CAM, CDM",76,77,8500000.0,12000.0,27,1996-05-01,175,71,452.0,Espanyol,54.0,La Liga 2,2.0,SUB,18.0,,2023-09-11,2025.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,14200000.0,,Long Ball Pass,74.0,70.0,74.0,75.0,65.0,60.0,69,76,53,78,68,74,72,52,80,78,75,73,77,71,76,59,63,84,54,74,45,66,68,74,55,74.0,60,74,64,12,12,8,6,11,,69+2,69+2,69+2,74,73,73,73,74,75+2,75+2,75+2,75+2,76+1,76+1,76+1,75+2,72+2,71+2,71+2,71+2,72+2,70+2,64+2,64+2,64+2,70+2,17+2
237184,/player/237184/keidi-bare/240002,24.0,2.0,2023-09-22,K. Bare,Keidi Bare,"CDM, CM",75,78,6500000.0,10000.0,25,1997-08-28,174,66,452.0,Espanyol,54.0,La Liga 2,2.0,SUB,8.0,,2020-09-23,2024.0,1,Albania,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,10900000.0,,Slide Tackle,74.0,58.0,67.0,74.0,72.0,78.0,56,54,55,73,42,72,64,42,72,73,75,74,81,74,82,75,76,85,76,51,77,74,66,69,64,72.0,74,75,73,13,12,11,11,13,,66+2,66+2,66+2,68,69,69,69,68,70+2,70+2,70+2,70+2,72+2,72+2,72+2,70+2,73+2,74+2,74+2,74+2,73+2,72+2,73+2,73+2,73+2,72+2,19+2
229862,/player/229862/eduardo-exposito-jaen/240002,24.0,2.0,2023-09-22,Edu Expósito,Eduardo Expósito Jaén,"CAM, CM, CDM",75,76,6500000.0,11000.0,26,1996-08-01,178,68,452.0,Espanyol,54.0,La Liga 2,2.0,RDM,20.0,,2022-08-08,2027.0,45,Spain,,,,Right,5,3,2,Medium/Medium,Lean (170-185),Yes,10900000.0,,Power Shot,65.0,74.0,74.0,76.0,71.0,70.0,65,73,53,77,62,77,75,63,76,76,66,64,75,75,74,76,64,76,65,78,74,73,73,77,70,74.0,72,74,73,9,15,8,6,8,,71+2,71+2,71+2,73,74,74,74,73,75+1,75+1,75+1,73+2,76,76,76,73+2,72+2,74+2,74+2,74+2,72+2,71+2,70+2,70+2,70+2,71+2,17+2
209960,/player/209960/fernando-pacheco-flores/240002,24.0,2.0,2023-09-22,Pacheco,Fernando Pacheco Flores,GK,75,75,3000000.0,8000.0,31,1992-05-18,186,81,452.0,Espanyol,54.0,La Liga 2,2.0,GK,13.0,,2023-01-31,2026.0,45,Spain,,,,Left,2,1,1,Medium/Medium,Normal (185+),Yes,4800000.0,,Far Throw,,,,,,,14,16,10,29,13,13,20,20,30,24,48,42,62,74,53,51,69,43,75,15,29,26,14,53,23,62.0,18,16,13,75,74,68,74,76,46.0,30+2,30+2,30+2,29,30,30,30,29,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,29+2,32+2,32+2,32+2,29+2,28+2,29+2,29+2,29+2,28+2,74+1
215785,/player/215785/keita-balde/240002,24.0,2.0,2023-09-22,K. Baldé,Keita Baldé Diao,"ST, LM",75,75,6000000.0,12000.0,28,1995-03-08,184,77,452.0,Espanyol,54.0,La Liga 2,2.0,SUB,9.0,,2022-08-26,2025.0,136,Senegal,,,,Right,4,4,2,High/Medium,Normal (170-185),No,9600000.0,#Speedster,"Finesse Shot, Rapid, Flair",91.0,72.0,70.0,77.0,30.0,70.0,74,72,70,73,75,80,69,58,64,76,90,91,81,70,66,78,87,69,76,70,54,31,74,70,60,75.0,17,29,28,12,8,13,8,15,,75,75,75,77-2,76-1,76-1,76-1,77-2,75,75,75,76-1,67+2,67+2,67+2,76-1,57+2,53+2,53+2,53+2,57+2,54+2,47+2,47+2,47+2,54+2,17+2
252837,/player/252837/nicolas-melamed-ribaudo/240002,24.0,2.0,2023-09-22,Nico Melamed,Nicolás Melamed Ribaudo,"CAM, LM, RM",74,82,9500000.0,9000.0,22,2001-04-11,173,68,452.0,Espanyol,54.0,La Liga 2,2.0,CAM,21.0,,2019-07-01,2024.0,45,Spain,,,,Right,3,4,1,High/Medium,Normal (170-185),No,17100000.0,,"Finesse Shot, Technical, Flair, First Touch",78.0,66.0,75.0,77.0,40.0,57.0,76,66,54,76,63,75,74,66,74,77,79,78,85,68,85,66,65,56,54,67,65,39,68,76,65,72.0,37,39,36,11,8,10,12,11,,68+2,68+2,68+2,74,72,72,72,74,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,59+2,58+2,58+2,58+2,59+2,56+2,50+2,50+2,50+2,56+2,17+2
