player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
200519,/player/200519/jorge-pulido-mayoral/240002,24.0,2.0,2023-09-22,Pulido,Jorge Pulido Mayoral,CB,73,73,2000000.0,9000.0,32,1991-04-08,186,72,110839.0,Huesca,54.0,La Liga 2,2.0,LCB,14.0,,2017-07-07,2026.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,3200000.0,,"Power Header, Anticipate, Bruiser, Aerial",41.0,43.0,54.0,53.0,73.0,79.0,50,37,73,70,50,39,52,38,50,69,52,32,58,70,43,58,77,78,79,38,83,74,37,37,47,59.0,75,72,71,12,6,10,10,7,,53+2,53+2,53+2,50,50,50,50,50,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,65+2,69+2,69+2,69+2,65+2,67+2,73,73,73,67+2,16+2
236515,/player/236515/alvaro-fernandez-llorente/240002,24.0,2.0,2023-09-22,Álvaro,Álvaro Fernández Llorente,GK,72,76,2600000.0,6000.0,25,1998-04-13,185,75,110839.0,Huesca,54.0,La Liga 2,2.0,GK,1.0,,2019-07-01,2024.0,45,Spain,,,,Left,3,1,1,Medium/Medium,Normal (185+),Yes,4400000.0,,,,,,,,,9,8,9,29,6,14,14,13,26,28,44,51,68,74,48,49,59,37,59,5,22,14,5,41,14,52.0,10,11,11,73,70,65,69,74,47.0,27+2,27+2,27+2,27,28,28,28,27,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,26+2,27+2,27+2,27+2,26+2,25+2,24+2,24+2,24+2,25+2,71+2
190199,/player/190199/oscar-sielva-moreno/240002,24.0,2.0,2023-09-22,Óscar Sielva,Óscar Sielva Moreno,"CM, CDM",72,72,1900000.0,8000.0,31,1991-08-06,178,78,110839.0,Huesca,54.0,La Liga 2,2.0,RCM,23.0,,2023-07-01,2026.0,45,Spain,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,3000000.0,,"Power Shot, Dead Ball, Press Proven",62.0,71.0,72.0,69.0,66.0,73.0,62,69,54,75,64,67,77,77,71,72,61,63,68,70,73,77,67,82,73,74,64,69,68,75,69,74.0,67,67,65,7,15,6,13,15,,68+2,68+2,68+2,69,70,70,70,69,71+1,71+1,71+1,69+2,72,72,72,69+2,69+2,71+1,71+1,71+1,69+2,68+2,67+2,67+2,67+2,68+2,19+2
229654,/player/229654/gerard-valentin-sancho/240002,24.0,2.0,2023-09-22,Gerard Valentín,Gerard Valentín Sancho,"RM, RW",71,71,1800000.0,8000.0,29,1993-07-28,177,75,110839.0,Huesca,54.0,La Liga 2,2.0,RM,7.0,,2022-01-27,2026.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,2900000.0,"#Speedster, #Acrobat","Rapid, Quick Step, Long Throw",91.0,53.0,59.0,76.0,61.0,70.0,63,58,40,61,29,80,69,30,60,70,92,90,91,61,72,51,69,80,68,51,64,60,62,57,36,59.0,63,65,62,8,10,8,6,10,,62+2,62+2,62+2,69,66,66,66,69,67+2,67+2,67+2,70+1,64+2,64+2,64+2,70+1,68+2,64+2,64+2,64+2,68+2,67+2,62+2,62+2,62+2,67+2,14+2
255268,/player/255268/javier-martinez-calvo/240002,24.0,2.0,2023-09-22,Javi Martínez,Javier Martínez Calvo,"CM, RM, LM",70,79,3500000.0,13000.0,23,1999-12-22,180,68,110839.0,Huesca,54.0,La Liga 2,2.0,LM,8.0,Osasuna,,2024.0,45,Spain,,,,Right,4,4,1,Medium/Medium,Normal (170-185),No,,,Technical,65.0,63.0,63.0,70.0,57.0,68.0,42,65,58,76,51,71,40,49,65,73,64,66,63,69,65,59,66,76,65,65,66,65,70,67,59,64.0,52,61,46,13,10,11,5,10,,66+2,66+2,66+2,67,69,69,69,67,70+2,70+2,70+2,67+2,70+2,70+2,70+2,67+2,62+2,66+2,66+2,66+2,62+2,61+2,61+2,61+2,61+2,61+2,16+2
246279,/player/246279/ivan-martos-campillo/240002,24.0,2.0,2023-09-22,Iván Martos,Iván Martos Campillo,"LB, CB",70,73,1900000.0,6000.0,26,1997-05-15,182,68,110839.0,Huesca,54.0,La Liga 2,2.0,LB,3.0,,2023-07-25,2024.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,3200000.0,,"Jockey, Slide Tackle",73.0,39.0,55.0,65.0,68.0,68.0,64,32,65,64,22,64,39,44,43,68,73,73,64,68,61,50,77,60,73,45,65,69,52,47,45,60.0,66,71,69,9,10,15,5,14,,56+2,56+2,56+2,60,58,58,58,60,58+2,58+2,58+2,61+2,58+2,58+2,58+2,61+2,67+2,64+2,64+2,64+2,67+2,68+2,69+2,69+2,69+2,68+2,16+2
239403,/player/239403/miguel-loureiro-ameijenda/240002,24.0,2.0,2023-09-22,Loureiro,Miguel Loureiro Ameijenda,"RB, LB, RWB",69,72,1700000.0,5000.0,26,1996-11-21,175,70,110839.0,Huesca,54.0,La Liga 2,2.0,SUB,5.0,,2023-07-03,2025.0,45,Spain,,,,Right,3,3,1,Medium/High,Normal (170-185),No,2800000.0,,Anticipate,69.0,33.0,52.0,63.0,68.0,69.0,63,33,64,60,36,63,38,37,49,65,68,69,56,68,76,32,75,70,74,28,54,73,51,37,44,50.0,65,70,68,9,7,13,11,13,,53+2,53+2,53+2,57,54,54,54,57,54+2,54+2,54+2,59+2,57+2,57+2,57+2,59+2,67+2,64+2,64+2,64+2,67+2,67+2,68+2,68+2,68+2,67+2,17+2
237376,/player/237376/juan-jose-nieto-zarzoso/240002,24.0,2.0,2023-09-22,Juanjo Nieto,Juan José Nieto Zarzoso,"RB, RM, RWB",69,69,1300000.0,5000.0,28,1994-10-03,175,71,110839.0,Huesca,54.0,La Liga 2,2.0,RB,12.0,,2023-01-01,2024.0,45,Spain,,,,Right,3,3,1,High/Low,Normal (170-185),No,2100000.0,,"Technical, Long Throw",79.0,62.0,64.0,70.0,62.0,68.0,63,59,55,66,57,70,58,52,65,67,79,79,78,67,76,70,72,78,65,66,64,66,68,66,49,64.0,59,64,66,9,14,10,8,14,,66+2,66+2,66+2,68,68,68,68,68,68+1,68+1,68+1,68+1,67+2,67+2,67+2,68+1,68+1,66+2,66+2,66+2,68+1,67+2,64+2,64+2,64+2,67+2,17+2
259858,/player/259858/jovanny-bolivar/240002,24.0,2.0,2023-09-22,J. Bolívar,Jovanny David Bolívar Alvarado,ST,68,77,2700000.0,3000.0,21,2001-12-16,175,68,110839.0,Huesca,54.0,La Liga 2,2.0,SUB,16.0,Albacete,,2024.0,61,Venezuela,,,,Right,3,2,1,High/Medium,Lean (170-185),No,,,,63.0,72.0,57.0,66.0,28.0,62.0,48,75,66,62,67,67,61,68,45,65,65,62,64,65,70,67,74,64,73,72,29,20,68,60,70,54.0,20,30,20,10,14,14,11,10,,68+2,68+2,68+2,65,66,66,66,65,64+2,64+2,64+2,63+2,58+2,58+2,58+2,63+2,46+2,44+2,44+2,44+2,46+2,44+2,41+2,41+2,41+2,44+2,17+2
246276,/player/246276/joaquin-munoz-benavides/240002,24.0,2.0,2023-09-22,Joaquín,Joaquín Muñoz Benavides,"RM, ST",68,74,1900000.0,4000.0,24,1999-03-10,173,60,110839.0,Huesca,54.0,La Liga 2,2.0,RS,11.0,,2019-07-04,2025.0,45,Spain,,,,Left,5,3,1,High/Medium,Lean (170-185),No,3400000.0,,"Technical, Flair, Quick Step",82.0,63.0,61.0,70.0,24.0,60.0,65,64,44,60,47,70,56,43,56,66,83,81,78,63,83,65,64,63,61,63,52,23,68,66,48,67.0,21,21,20,10,12,12,12,14,,64+2,64+2,64+2,68,67,67,67,68,66+2,66+2,66+2,67+2,59+2,59+2,59+2,67+2,50+2,45+2,45+2,45+2,50+2,46+2,38+2,38+2,38+2,46+2,18+2
