player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192667,/player/192667/allan-romeo-nyom/240002,24.0,2.0,2023-09-22,A. Nyom,Allan-Roméo Nyom,"CB, RB, RM",73,73,800000.0,7000.0,35,1988-05-10,189,80,100888.0,Leganés,54.0,La Liga 2,2.0,RCB,2.0,,2022-01-28,2024.0,103,Cameroon,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,1200000.0,,Bruiser,80.0,59.0,69.0,66.0,69.0,86.0,69,52,67,69,44,70,71,47,69,70,79,80,48,69,38,74,87,80,88,66,86,70,75,73,37,67.0,69,70,69,12,8,9,9,14,,69+2,69+2,69+2,69,70,70,70,69,69+2,69+2,69+2,71+2,70+2,70+2,70+2,71+2,71+2,72+1,72+1,72+1,71+2,71+2,73,73,73,71+2,17+2
229359,/player/229359/jorge-miramon/240002,24.0,2.0,2023-09-22,Jorge Miramón,Jorge Miramón Santagertrudis,"RB, RWB, RM",72,72,850000.0,9000.0,34,1989-06-02,175,74,100888.0,Leganés,54.0,La Liga 2,2.0,RB,21.0,,2022-07-19,2024.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,1300000.0,,Whipped Cross,71.0,58.0,72.0,68.0,67.0,73.0,74,58,65,73,54,63,68,59,71,74,70,71,70,69,73,61,75,76,72,53,69,68,65,73,63,66.0,66,68,66,11,10,15,14,13,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,18+2
240589,/player/240589/miguel-de-la-fuente/240002,24.0,2.0,2023-09-22,Miguel,Miguel de la Fuente Escudero,"ST, RM",71,78,3800000.0,14000.0,23,1999-09-03,182,83,100888.0,Leganés,54.0,La Liga 2,2.0,ST,9.0,Deportivo Alavés,,2024.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),No,,,,71.0,70.0,54.0,70.0,31.0,72.0,40,71,72,70,61,70,46,39,47,71,71,71,73,65,68,75,86,65,81,64,56,15,68,49,70,58.0,38,24,22,12,11,9,13,7,,71+2,71+2,71+2,66,68,68,68,66,66+2,66+2,66+2,64+2,58+2,58+2,58+2,64+2,48+2,48+2,48+2,48+2,48+2,46+2,46+2,46+2,46+2,46+2,17+2
241463,/player/241463/daniel-raba-antolin/240002,24.0,2.0,2023-09-22,Dani Raba,Daniel Raba Antolín,"RM, ST",71,71,2000000.0,8000.0,27,1995-10-29,184,76,100888.0,Leganés,54.0,La Liga 2,2.0,RM,10.0,,2022-07-01,2024.0,45,Spain,,,,Left,3,4,1,Medium/Medium,Lean (170-185),No,3100000.0,,"Pinged Pass, Technical",62.0,71.0,71.0,72.0,38.0,58.0,72,73,42,71,52,74,68,51,75,75,67,57,68,65,54,71,56,55,62,70,50,40,74,72,67,65.0,38,36,38,12,11,15,12,14,,67+2,67+2,67+2,71,71,71,71,71,72-1,72-1,72-1,70+1,68+2,68+2,68+2,70+1,56+2,56+2,56+2,56+2,56+2,52+2,47+2,47+2,47+2,52+2,18+2
237626,/player/237626/yvan-neyou/240002,24.0,2.0,2023-09-22,Y. Neyou,Yvan Neyou Noupa,"CDM, CM",70,75,2100000.0,7000.0,26,1997-01-03,180,63,100888.0,Leganés,54.0,La Liga 2,2.0,SUB,17.0,,2023-08-01,2025.0,103,Cameroon,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3400000.0,,Press Proven,65.0,60.0,64.0,74.0,68.0,68.0,52,59,63,70,47,77,54,45,67,73,62,68,72,68,69,64,68,74,65,58,69,70,67,70,67,75.0,69,69,66,15,7,10,8,14,,65+2,65+2,65+2,67,68,68,68,67,69+2,69+2,69+2,68+2,70+2,70+2,70+2,68+2,68+2,69+2,69+2,69+2,68+2,67+2,68+2,68+2,68+2,67+2,17+2
267624,/player/267624/seydouba-cisse/240002,24.0,2.0,2023-09-22,S. Cisse,Seydouba Cisse,"CM, RM, LM",69,79,3100000.0,5000.0,22,2001-02-10,179,71,100888.0,Leganés,54.0,La Liga 2,2.0,LM,32.0,,2020-01-14,2026.0,118,Guinea,,,,Right,3,2,1,High/High,Normal (170-185),No,5400000.0,,,60.0,66.0,64.0,66.0,62.0,57.0,52,68,58,72,49,66,44,47,74,70,64,56,56,66,70,67,56,71,46,67,65,65,68,66,56,50.0,54,70,62,5,5,5,13,8,,65+2,65+2,65+2,65,67,67,67,65,68+2,68+2,68+2,66+2,69+2,69+2,69+2,66+2,64+2,67+2,67+2,67+2,64+2,64+2,62+2,62+2,62+2,64+2,14+2
229361,/player/229361/iker-undabarrena/240002,24.0,2.0,2023-09-22,Undabarrena,Iker Undabarrena Martínez,"CM, CDM, CAM",69,69,1400000.0,7000.0,28,1995-05-18,182,76,100888.0,Leganés,54.0,La Liga 2,2.0,RCM,20.0,,2022-08-26,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,Tiki Taka,51.0,61.0,69.0,68.0,66.0,72.0,67,60,67,72,65,67,67,59,73,71,50,52,64,66,68,62,71,75,76,62,60,65,60,68,65,64.0,64,69,65,13,9,14,5,9,,64+2,64+2,64+2,64,64,64,64,64,66+2,66+2,66+2,66+2,69,69,69,66+2,66+2,69,69,69,66+2,66+2,67+2,67+2,67+2,66+2,16+2
225106,/player/225106/jorge-saenz-de-miera/240002,24.0,2.0,2023-09-22,Jorge Sáenz,Jorge Sáenz de Miera Colmeiro,CB,68,73,1600000.0,5000.0,26,1996-11-17,192,75,100888.0,Leganés,54.0,La Liga 2,2.0,SUB,3.0,,2023-07-17,2025.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2600000.0,,"Long Ball Pass, Slide Tackle, Aerial",61.0,41.0,55.0,60.0,67.0,74.0,42,35,69,65,46,57,32,49,59,65,53,68,55,64,60,52,73,78,76,41,64,65,47,56,45,71.0,68,66,68,7,14,7,8,11,,55+2,55+2,55+2,55,55,55,55,55,57+2,57+2,57+2,57+2,61+2,61+2,61+2,57+2,63+2,66+2,66+2,66+2,63+2,64+2,68+2,68+2,68+2,64+2,16+2
236940,/player/236940/dario-poveda-romera/240002,24.0,2.0,2023-09-22,Darío Poveda,Darío Poveda Romera,"ST, RM, LM",68,71,1600000.0,11000.0,26,1997-03-13,185,75,100888.0,Leganés,54.0,La Liga 2,2.0,SUB,11.0,Getafe,,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,,,,58.0,69.0,58.0,65.0,25.0,52.0,45,71,72,72,61,67,40,51,52,69,56,60,54,65,56,68,71,37,64,65,35,14,68,57,74,54.0,19,22,23,12,10,6,15,11,,68+2,68+2,68+2,64,67,67,67,64,65+2,65+2,65+2,62+2,58+2,58+2,58+2,62+2,43+2,43+2,43+2,43+2,43+2,41+2,40+2,40+2,40+2,41+2,18+2
236304,/player/236304/jose-manuel-sanchez-guillen/240002,24.0,2.0,2023-09-22,Josema,José Manuel Sánchez Guillén,"LB, CB, LWB",68,69,1300000.0,5000.0,27,1996-06-06,184,81,100888.0,Leganés,54.0,La Liga 2,2.0,SUB,5.0,,2022-08-12,2025.0,45,Spain,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,2100000.0,,"Jockey, Block, Intercept",62.0,37.0,56.0,53.0,70.0,71.0,61,29,70,64,42,44,60,35,45,60,61,63,54,67,58,55,75,62,75,35,70,68,38,48,48,61.0,71,70,69,11,7,14,7,7,,52+2,52+2,52+2,52,51,51,51,52,51+2,51+2,51+2,54+2,55+2,55+2,55+2,54+2,64+2,64+2,64+2,64+2,64+2,66+2,69,69,69,66+2,15+2
