player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
258271,/player/258271/miguel-baeza-perez/240002,24.0,2.0,2023-09-22,Miguel Baeza,Miguel Baeza Pérez,"RM, LM, CAM",70,79,3500000.0,11000.0,23,2000-03-27,177,76,110069.0,Mirandés,54.0,La Liga 2,2.0,LM,22.0,Celta de Vigo,,2024.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,,,Technical,65.0,64.0,72.0,70.0,44.0,50.0,71,68,43,74,53,69,70,54,75,72,65,65,67,65,73,62,48,59,48,63,44,40,66,70,49,65.0,41,47,50,7,8,6,14,13,,63+2,63+2,63+2,69,68,68,68,69,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,59+2,58+2,58+2,58+2,59+2,56+2,49+2,49+2,49+2,56+2,16+2
262479,/player/262479/ruben-sanchez-saez/240002,24.0,2.0,2023-09-22,Rubén Sánchez,Rubén Sánchez Sáez,"RM, RB",70,77,3200000.0,6000.0,22,2001-02-04,185,73,110069.0,Mirandés,54.0,La Liga 2,2.0,SUB,32.0,Espanyol,,2024.0,45,Spain,,,,Right,3,3,1,High/High,Normal (185+),No,,,"Jockey, Anticipate, Bruiser, Rapid, Relentless",82.0,62.0,64.0,68.0,62.0,70.0,66,65,61,67,48,67,57,43,63,68,84,80,80,67,65,65,77,81,65,58,65,63,63,64,45,63.0,60,63,61,14,13,15,8,13,,66+2,66+2,66+2,68,67,67,67,68,67+2,67+2,67+2,69+2,66+2,66+2,66+2,69+2,68+2,65+2,65+2,65+2,68+2,67+2,64+2,64+2,64+2,67+2,18+2
270987,/player/270987/alejandro-barbudo-lorenzo/240002,24.0,2.0,2023-09-22,Barbu,Alejandro Barbudo Lorenzo,CB,68,75,2300000.0,3000.0,22,2001-05-26,189,74,110069.0,Mirandés,54.0,La Liga 2,2.0,LCB,3.0,,2022-07-29,2025.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,4000000.0,,Long Ball Pass,47.0,29.0,48.0,45.0,69.0,64.0,36,24,72,65,28,30,32,37,45,63,46,48,42,66,53,42,72,43,73,23,65,70,26,39,45,54.0,68,70,67,13,12,9,6,14,,45+2,45+2,45+2,43,44,44,44,43,45+2,45+2,45+2,45+2,51+2,51+2,51+2,45+2,57+2,63+2,63+2,63+2,57+2,60+2,68+2,68+2,68+2,60+2,17+2
265396,/player/265396/carlos-martin-dominguez/240002,24.0,2.0,2023-09-22,Carlos Martín,Carlos Martín Domínguez,"ST, CAM, RM",67,80,2500000.0,12000.0,21,2002-04-22,180,74,110069.0,Mirandés,54.0,La Liga 2,2.0,CAM,9.0,Atlético Madrid,,2024.0,45,Spain,,,,Right,4,3,1,High/Medium,Normal (170-185),No,,,,76.0,67.0,56.0,69.0,28.0,62.0,54,69,60,58,57,70,63,62,48,69,74,78,74,62,64,70,73,55,68,62,52,27,65,58,63,58.0,20,25,27,14,9,8,14,12,,67+2,67+2,67+2,66,66,66,66,66,64+2,64+2,64+2,64+2,57+2,57+2,57+2,64+2,48+2,45+2,45+2,45+2,48+2,46+2,42+2,42+2,42+2,46+2,18+2
264158,/player/264158/diego-moreno-garbayo/240002,24.0,2.0,2023-09-22,Diego Moreno,Diego Moreno Garbayo,"RB, RWB, CB",67,78,2200000.0,7000.0,22,2001-06-21,177,70,110069.0,Mirandés,54.0,La Liga 2,2.0,RB,21.0,Osasuna,,2024.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,Rapid,72.0,38.0,56.0,62.0,63.0,60.0,61,36,60,64,28,60,45,40,44,63,66,77,64,62,72,43,64,71,55,38,60,64,54,53,33,61.0,61,66,62,8,10,10,5,15,,53+2,53+2,53+2,58,56,56,56,58,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,65+2,61+2,61+2,61+2,65+2,65+2,62+2,62+2,62+2,65+2,15+2
238446,/player/238446/alberto-rodriguez-baro/240002,24.0,2.0,2023-09-22,Tachi,Alberto Rodríguez Baró,"CB, RB, CDM",67,72,1300000.0,3000.0,25,1997-09-10,184,82,110069.0,Mirandés,54.0,La Liga 2,2.0,SUB,5.0,,2023-08-04,2024.0,45,Spain,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,2100000.0,,,51.0,29.0,46.0,48.0,68.0,58.0,33,26,75,68,32,40,30,28,46,61,43,57,32,60,54,41,69,33,67,25,66,64,23,31,30,52.0,63,71,70,11,12,13,15,8,,46+2,46+2,46+2,43,44,44,44,43,45+2,45+2,45+2,45+2,49+2,49+2,49+2,45+2,56+2,60+2,60+2,60+2,56+2,59+2,67+2,67+2,67+2,59+2,17+2
258319,/player/258319/nikita-iosifov/240002,24.0,2.0,2023-09-22,N. Iosifov,Nikita Iosifov,"RM, ST",66,76,1900000.0,2000.0,22,2001-04-11,175,62,110069.0,Mirandés,54.0,La Liga 2,2.0,SUB,17.0,,2023-07-05,2025.0,40,Russia,,,,Right,3,3,1,High/Low,Normal (170-185),No,3300000.0,,Technical,69.0,65.0,64.0,68.0,26.0,48.0,62,67,41,70,64,70,53,60,65,69,69,69,70,55,80,71,50,56,52,55,29,23,60,58,63,50.0,22,27,29,10,11,15,11,11,,63+2,63+2,63+2,65,65,65,65,65,65+2,65+2,65+2,65+2,60+2,60+2,60+2,65+2,49+2,46+2,46+2,46+2,49+2,46+2,37+2,37+2,37+2,46+2,16+2
264195,/player/264195/javier-marton-anso/240002,24.0,2.0,2023-09-22,Javi Martón,Javier Martón Ansó,ST,66,73,1700000.0,7000.0,24,1999-05-06,183,72,110069.0,Mirandés,54.0,La Liga 2,2.0,SUB,18.0,Athletic Club,,2024.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,,57.0,70.0,50.0,64.0,25.0,53.0,42,72,66,62,60,66,44,49,38,67,62,52,51,60,65,71,68,49,61,70,36,20,65,50,70,55.0,18,22,21,10,6,14,8,10,,66+2,66+2,66+2,61,64,64,64,61,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,42+2,41+2,41+2,41+2,42+2,40+2,38+2,38+2,38+2,40+2,14+2
264438,/player/264438/gabriel-martinez-aguilera/240002,24.0,2.0,2023-09-22,Gabri Martínez,Gabriel Martínez Aguilera,"RM, LM",65,80,1700000.0,5000.0,20,2003-01-22,185,75,110069.0,Mirandés,54.0,La Liga 2,2.0,RM,7.0,Girona,,2024.0,45,Spain,,,,Right,3,4,1,Medium/Medium,Lean (185+),No,,,,76.0,60.0,60.0,67.0,30.0,52.0,60,64,40,63,50,66,50,40,60,68,78,75,77,60,66,63,55,51,54,50,45,20,55,60,64,50.0,31,30,33,9,12,12,8,8,,60+2,60+2,60+2,65,63,63,63,65,63+2,63+2,63+2,64+2,57+2,57+2,57+2,64+2,50+2,47+2,47+2,47+2,50+2,47+2,40+2,40+2,40+2,47+2,15+2
266157,/player/266157/alvaro-sanz-catalan/240002,24.0,2.0,2023-09-22,Álvaro Sanz,Álvaro Sanz Catalán,"CM, CDM",65,75,1600000.0,2000.0,22,2001-02-14,170,65,110069.0,Mirandés,54.0,La Liga 2,2.0,RDM,8.0,,2023-01-20,2025.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,2800000.0,,,54.0,54.0,63.0,67.0,64.0,50.0,53,54,49,68,46,63,59,38,64,69,57,51,67,68,79,58,47,47,47,55,64,67,60,69,39,68.0,66,66,62,9,6,5,12,10,,58+2,58+2,58+2,62,62,62,62,62,64+2,64+2,64+2,61+2,65+2,65+2,65+2,61+2,61+2,65+2,65+2,65+2,61+2,61+2,61+2,61+2,61+2,61+2,16+2
