player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
219637,/player/219637/ander-cantero-armendariz/240002,24.0,2.0,2023-09-22,Cantero,Ander Cantero Armendáriz,GK,71,74,1700000.0,5000.0,28,1995-01-09,189,82,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,GK,25.0,,2023-08-09,2025.0,45,Spain,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,2800000.0,,Footwork,,,,,,,19,12,18,35,13,22,25,12,38,21,61,58,69,61,58,52,75,45,75,14,24,22,16,33,25,43.0,12,12,19,70,71,69,72,71,60.0,31+2,31+2,31+2,31,30,30,30,31,31+2,31+2,31+2,32+2,31+2,31+2,31+2,32+2,30+2,30+2,30+2,30+2,30+2,30+2,29+2,29+2,29+2,30+2,70+2
204830,/player/204830/alvaro-vadillo-cifuentes/240002,24.0,2.0,2023-09-22,Vadillo,Álvaro Vadillo Cifuentes,"LM, ST, RM",70,70,1600000.0,5000.0,28,1994-09-12,180,69,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,SUB,14.0,,2023-09-01,2024.0,45,Spain,,,,Right,3,4,1,Medium/Low,Lean (170-185),No,2500000.0,,"Technical, Flair, Quick Step, Trivela",83.0,67.0,66.0,72.0,34.0,54.0,71,66,53,66,50,72,67,71,60,69,82,84,83,66,72,73,63,62,49,66,55,39,66,66,67,66.0,35,26,25,6,7,13,10,7,,66+2,66+2,66+2,71-1,69,69,69,71-1,69+1,69+1,69+1,69+1,62+2,62+2,62+2,69+1,55+2,51+2,51+2,51+2,55+2,52+2,44+2,44+2,44+2,52+2,14+2
252865,/player/252865/iker-losada-aragunde/240002,24.0,2.0,2023-09-22,Iker Losada,Iker Losada Aragunde,"RM, LM, CAM",69,79,3100000.0,3000.0,21,2001-08-01,175,70,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,LM,22.0,,2023-07-05,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,5400000.0,,First Touch,64.0,69.0,70.0,69.0,34.0,49.0,72,70,57,70,65,71,67,68,71,72,66,62,57,69,74,70,63,31,58,69,44,46,69,66,68,59.0,43,15,16,8,10,7,12,10,,67+2,67+2,67+2,69,69,69,69,69,69+2,69+2,69+2,68+2,63+2,63+2,63+2,68+2,51+2,51+2,51+2,51+2,51+2,47+2,44+2,44+2,44+2,47+2,16+2
172716,/player/172716/alejandro-lopez-sanchez/240002,24.0,2.0,2023-09-22,Álex López,Alejandro López Sánchez,"CM, CDM",69,69,550000.0,3000.0,35,1988-01-11,177,71,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,RDM,8.0,,2019-07-12,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,853000.0,,,59.0,67.0,71.0,67.0,58.0,65.0,59,64,45,73,49,65,80,71,72,68,63,55,69,68,78,76,58,70,61,70,70,62,67,74,68,68.0,54,63,59,9,12,8,11,8,,64+2,64+2,64+2,66,67,67,67,66,69,69,69,66+2,69,69,69,66+2,63+2,66+2,66+2,66+2,63+2,62+2,60+2,60+2,60+2,62+2,16+2
189661,/player/189661/alvaro-gimenez-candela/240002,24.0,2.0,2023-09-22,Álvaro Giménez,Álvaro Giménez Candela,ST,69,69,1100000.0,5000.0,32,1991-05-19,183,83,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,SUB,20.0,,2023-07-26,2024.0,45,Spain,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,1700000.0,,,70.0,68.0,59.0,66.0,30.0,65.0,57,69,68,64,64,66,49,46,50,67,69,70,70,70,57,71,75,76,72,65,30,26,70,63,65,55.0,32,21,19,13,10,9,8,9,,69,69,69,66,68,68,68,66,66+2,66+2,66+2,66+2,60+2,60+2,60+2,66+2,51+2,47+2,47+2,47+2,51+2,48+2,42+2,42+2,42+2,48+2,17+2
227990,/player/227990/josep-sene-escudero/240002,24.0,2.0,2023-09-22,Josep Señé,Josep Señé Escudero,"CM, CAM, CDM",69,69,1100000.0,4000.0,31,1991-12-10,186,79,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,LDM,10.0,,2023-07-04,2025.0,45,Spain,,,,Right,4,3,1,Medium/Medium,Lean (185+),No,1700000.0,,Flair,67.0,63.0,69.0,71.0,50.0,66.0,66,63,61,72,59,71,63,60,71,75,64,69,70,69,62,58,72,70,71,66,46,59,69,70,65,66.0,35,54,56,14,16,7,13,10,,67+2,67+2,67+2,69,69,69,69,69,70-1,70-1,70-1,70-1,69,69,69,70-1,63+2,62+2,62+2,62+2,63+2,61+2,57+2,57+2,57+2,61+2,19+2
226215,/player/226215/sabin-merino-zuloaga/240002,24.0,2.0,2023-09-22,Sabin Merino,Sabin Merino Zuloaga,"ST, LM",68,68,1000000.0,5000.0,31,1992-01-04,187,78,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,ST,19.0,Real Zaragoza,,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,,,Finesse Shot,72.0,66.0,64.0,64.0,50.0,66.0,64,64,75,62,70,65,66,65,61,66,66,77,66,68,37,66,78,63,70,65,55,46,71,69,71,68.0,43,55,43,13,8,9,9,13,,68,68,68,66,67,67,67,66,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,58+2,57+2,57+2,57+2,58+2,58+2,57+2,57+2,57+2,58+2,17+2
230849,/player/230849/ignacio-agustin-sanchez-romo/240002,24.0,2.0,2023-09-22,Nacho,Ignacio Agustín Sánchez Romo,"LM, RM, CAM",68,68,1200000.0,4000.0,30,1993-02-11,177,71,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,SUB,11.0,,2023-07-03,2024.0,45,Spain,,,,Right,3,3,1,Medium/High,Lean (170-185),No,1900000.0,,Technical,76.0,70.0,65.0,67.0,45.0,64.0,69,70,55,65,63,67,73,65,62,68,79,74,68,60,72,69,73,70,66,74,51,42,62,60,75,55.0,48,41,40,12,14,7,8,15,,66+2,66+2,66+2,68,67,67,67,68,66+2,66+2,66+2,67+1,62+2,62+2,62+2,67+1,58+2,55+2,55+2,55+2,58+2,56+2,51+2,51+2,51+2,56+2,17+2
244394,/player/244394/enrique-clemente-maza/240002,24.0,2.0,2023-09-22,Clemente,Enrique Clemente Maza,"CB, LB",67,76,2100000.0,5000.0,24,1999-03-04,180,79,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,LCB,5.0,Las Palmas,,2024.0,45,Spain,,,,Left,2,2,1,Low/Medium,Normal (170-185),No,,,,68.0,32.0,52.0,54.0,67.0,68.0,44,29,67,68,35,44,37,28,61,65,68,68,55,68,68,43,71,72,66,23,65,66,29,33,49,52.0,65,69,64,8,8,5,10,12,,49+2,49+2,49+2,50,49,49,49,50,50+2,50+2,50+2,54+2,56+2,56+2,56+2,54+2,64+2,65+2,65+2,65+2,64+2,65+2,67+2,67+2,67+2,65+2,16+2
244767,/player/244767/carlos-vicente-robles/240002,24.0,2.0,2023-09-22,Carlos Vicente,Carlos Vicente Robles,"RM, ST",66,72,1400000.0,2000.0,24,1999-04-23,179,69,110242.0,Racing Ferrol,54.0,La Liga 2,2.0,RM,23.0,,2022-07-01,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2500000.0,,,76.0,66.0,65.0,62.0,31.0,53.0,65,70,54,66,49,62,60,49,64,63,77,75,57,58,75,69,66,61,57,65,30,27,52,68,61,53.0,26,29,35,14,15,11,6,8,,63+2,63+2,63+2,65,64,64,64,65,64+2,64+2,64+2,65+2,60+2,60+2,60+2,65+2,51+2,48+2,48+2,48+2,51+2,49+2,41+2,41+2,41+2,49+2,16+2
