player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
187924,/player/187924/clement-grenier/240002,24.0,2.0,2023-09-22,C. Grenier,Clément Grenier,"CM, CAM, CDM",75,75,4400000.0,10000.0,32,1991-01-07,186,72,456.0,Racing Santander,54.0,La Liga 2,2.0,SUB,19.0,,2023-09-01,2024.0,18,France,,,,Right,4,3,2,Medium/Medium,Normal (170-185),Yes,7000000.0,,"Power Shot, Flair",36.0,73.0,79.0,74.0,62.0,68.0,77,67,68,80,71,75,79,80,79,77,34,37,64,69,71,82,63,66,71,78,63,62,70,79,73,74.0,62,63,51,14,11,10,11,6,,69+2,69+2,69+2,69,70,70,70,69,72+2,72+2,72+2,70+2,75,75,75,70+2,65+2,69+2,69+2,69+2,65+2,62+2,64+2,64+2,64+2,62+2,17+2
243792,/player/243792/inigo-vicente-elorduy/240002,24.0,2.0,2023-09-22,Iñigo Vicente,Iñigo Vicente Elorduy,"LM, CAM",74,77,5500000.0,9000.0,25,1998-01-06,178,70,456.0,Racing Santander,54.0,La Liga 2,2.0,LM,10.0,,2022-07-14,2027.0,45,Spain,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,9200000.0,,"Pinged Pass, Whipped Cross, Rapid, Flair",75.0,68.0,75.0,75.0,47.0,56.0,72,72,44,79,44,76,71,72,74,75,76,74,77,66,76,63,60,54,57,68,53,53,68,72,70,69.0,38,53,44,7,7,11,15,15,,67+2,67+2,67+2,73,72,72,72,73,74+2,74+2,74+2,73+2,70+2,70+2,70+2,73+2,62+2,61+2,61+2,61+2,62+2,59+2,53+2,53+2,53+2,59+2,17+2
198230,/player/198230/german-sanchez-barahona/240002,24.0,2.0,2023-09-22,Germán,Germán Sánchez Barahona,CB,74,74,750000.0,6000.0,36,1986-12-12,186,79,456.0,Racing Santander,54.0,La Liga 2,2.0,RCB,5.0,,2022-08-04,2024.0,45,Spain,,,,Right,2,2,1,Medium/High,Normal (185+),No,1200000.0,,"Power Header, Slide Tackle, Bruiser",45.0,40.0,57.0,54.0,76.0,78.0,42,40,74,69,20,51,28,35,66,64,35,54,33,69,34,65,73,76,81,21,75,77,40,56,38,65.0,74,77,75,14,6,6,11,9,,54+2,54+2,54+2,50,53,53,53,50,54+2,54+2,54+2,55+2,62+2,62+2,62+2,55+2,66+2,72+2,72+2,72+2,66+2,67+2,74,74,74,67+2,16+2
191135,/player/191135/lago-junior/240002,24.0,2.0,2023-09-22,L. Júnior,Junior Wakalible Lago,"LM, RM, CF",71,71,1500000.0,7000.0,32,1990-12-31,180,79,456.0,Racing Santander,54.0,La Liga 2,2.0,SUB,20.0,,2023-07-01,2025.0,108,Côte d'Ivoire,,,,Right,4,4,1,Medium/Low,Lean (170-185),No,2400000.0,,"Technical, Flair, Quick Step",87.0,69.0,61.0,71.0,33.0,72.0,62,69,51,63,61,73,50,47,55,70,88,87,77,64,63,76,80,81,80,64,38,29,69,65,70,59.0,58,13,11,7,16,12,11,7,,69+2,69+2,69+2,70,70,70,70,70,69+2,69+2,69+2,70+1,61+2,61+2,61+2,70+1,54+2,50+2,50+2,50+2,54+2,50+2,44+2,44+2,44+2,50+2,16+2
225395,/player/225395/jokin-ezkieta-mendiburu/240002,24.0,2.0,2023-09-22,Ezkieta,Jokin Ezkieta Mendiburu,GK,70,74,1700000.0,5000.0,26,1996-08-17,193,80,456.0,Racing Santander,54.0,La Liga 2,2.0,GK,13.0,,2022-07-05,2024.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,2800000.0,,"Far Throw, Footwork",,,,,,,16,12,17,28,15,17,16,19,27,19,41,49,40,67,41,50,63,38,66,14,25,20,15,32,24,33.0,13,17,15,69,69,67,66,74,44.0,29+2,29+2,29+2,26,28,28,28,26,27+2,27+2,27+2,28+2,27+2,27+2,27+2,28+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,69+2
246044,/player/246044/andres-martin-garcia/240002,24.0,2.0,2023-09-22,Andrés Martín,Andrés Martín García,"RM, LM, ST",69,75,2200000.0,8000.0,23,1999-07-11,177,64,456.0,Racing Santander,54.0,La Liga 2,2.0,SUB,11.0,Rayo Vallecano,,2024.0,45,Spain,,,,Left,5,3,1,Medium/Medium,Lean (170-185),No,,,Rapid,78.0,67.0,64.0,68.0,27.0,65.0,62,66,63,70,68,66,55,49,67,66,78,78,75,67,81,69,76,68,67,68,52,23,69,58,59,62.0,21,25,22,13,10,8,12,8,,68+2,68+2,68+2,68,68,68,68,68,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,51+2,49+2,49+2,49+2,51+2,48+2,42+2,42+2,42+2,48+2,17+2
262299,/player/262299/ruben-gonzalez-alves/240002,24.0,2.0,2023-09-22,Rubén Alves,Rubén González Alves,CB,69,70,1300000.0,5000.0,28,1994-09-07,184,77,456.0,Racing Santander,54.0,La Liga 2,2.0,LCB,15.0,,2022-07-01,2024.0,45,Spain,,,,Left,2,2,1,High/Medium,Normal (170-185),No,2200000.0,,,69.0,44.0,50.0,60.0,68.0,71.0,41,39,66,63,34,56,48,36,52,63,72,67,66,67,56,62,78,64,74,40,71,68,37,40,45,56.0,69,68,69,7,7,10,10,6,,55+2,55+2,55+2,54,54,54,54,54,54+2,54+2,54+2,55+2,56+2,56+2,56+2,55+2,63+2,64+2,64+2,64+2,63+2,65+2,69+1,69+1,69+1,65+2,14+2
219709,/player/219709/saul-garcia-cabrero/240002,24.0,2.0,2023-09-22,Saúl,Saúl García Cabrero,"LB, RWB",69,69,1300000.0,5000.0,28,1994-11-09,183,75,456.0,Racing Santander,54.0,La Liga 2,2.0,LB,3.0,,2022-07-29,2024.0,45,Spain,,,,Left,3,2,1,High/Medium,Normal (170-185),Yes,2100000.0,,Block,66.0,45.0,64.0,66.0,68.0,63.0,64,29,69,70,22,65,70,65,64,70,67,65,61,70,62,66,72,56,68,65,59,68,49,53,43,55.0,67,69,70,7,14,15,15,9,,57+2,57+2,57+2,61,60,60,60,61,61+2,61+2,61+2,62+2,63+2,63+2,63+2,62+2,67+2,67+2,67+2,67+2,67+2,67+2,68+1,68+1,68+1,67+2,18+2
231071,/player/231071/miquel-parera-piza/240002,24.0,2.0,2023-09-22,Miquel Parera,Miquel Parera Pizá,GK,68,72,1300000.0,3000.0,27,1996-05-18,182,77,456.0,Racing Santander,54.0,La Liga 2,2.0,SUB,1.0,,2021-07-01,2025.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,2200000.0,,,,,,,,,19,11,17,20,15,12,11,17,18,21,38,37,42,63,52,48,47,44,41,15,27,13,12,29,21,40.0,13,18,20,72,66,64,63,72,38.0,25+2,25+2,25+2,23,24,24,24,23,24+2,24+2,24+2,25+2,24+2,24+2,24+2,25+2,26+2,24+2,24+2,24+2,26+2,26+2,23+2,23+2,23+2,26+2,67+2
228144,/player/228144/jorge-marcos-pombo-escobar/240002,24.0,2.0,2023-09-22,Jorge Pombo,Jorge Marcos Pombo Escobar,"CAM, LM, ST",68,68,1200000.0,5000.0,29,1994-02-22,177,76,456.0,Racing Santander,54.0,La Liga 2,2.0,CAM,8.0,,2022-09-01,2024.0,45,Spain,,,,Right,3,3,1,High/Low,Stocky (170-185),No,1900000.0,,"Power Shot, Dead Ball, Pinged Pass, Technical",67.0,71.0,69.0,70.0,51.0,74.0,66,68,62,71,65,71,71,73,68,70,70,65,66,56,80,80,79,62,82,73,66,51,65,69,71,72.0,42,55,56,12,13,8,8,10,,69-1,69-1,69-1,68,68,68,68,68,68,68,68,67+1,66+2,66+2,66+2,67+1,60+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,59+2,59+2,16+2
