player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
269638,/player/269638/alberto-del-moral-saelices/240002,24.0,2.0,2023-09-22,Del Moral,Alberto del Moral Saelices,"CM, CDM, CB",70,77,3200000.0,5000.0,22,2000-07-20,185,70,110902.0,Villarreal II,54.0,La Liga 2,2.0,RCM,6.0,,2021-07-01,2024.0,45,Spain,,,,Right,3,2,1,Medium/High,Normal (185+),No,5600000.0,,"Tiki Taka, Press Proven",60.0,64.0,65.0,69.0,67.0,67.0,56,67,65,70,49,71,46,53,69,72,60,60,63,66,64,58,67,75,63,69,65,70,68,70,51,56.0,66,68,64,6,15,14,8,14,,66+2,66+2,66+2,67,68,68,68,67,69+2,69+2,69+2,67+2,70+2,70+2,70+2,67+2,67+2,69+2,69+2,69+2,67+2,66+2,67+2,67+2,67+2,66+2,17+2
265671,/player/265671/daniel-esmoris-tasende/240002,24.0,2.0,2023-09-22,Dani Tasende,Daniel Esmorís Tasende,"LB, LM",69,78,3000000.0,3000.0,22,2000-07-06,172,64,110902.0,Villarreal II,54.0,La Liga 2,2.0,LB,3.0,,2020-08-01,2025.0,45,Spain,,,,Left,3,3,1,High/Medium,Lean (170-185),No,5300000.0,,,70.0,47.0,69.0,66.0,65.0,54.0,68,38,62,73,59,65,63,62,65,70,71,69,68,69,65,60,59,69,44,48,58,65,60,70,49,52.0,64,66,64,6,6,7,7,10,,59+2,59+2,59+2,64,63,63,63,64,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,68+2,66+2,66+2,66+2,68+2,67+2,63+2,63+2,63+2,67+2,14+2
269228,/player/269228/adria-altimira-reynaldos/240002,24.0,2.0,2023-09-22,Altimira,Adrià Altimira Reynaldos,"RB, RM",68,79,2600000.0,3000.0,22,2001-03-28,176,69,110902.0,Villarreal II,54.0,La Liga 2,2.0,RB,2.0,,2023-07-01,2024.0,45,Spain,,,,Right,3,3,1,High/Medium,Normal (170-185),No,4600000.0,,,65.0,42.0,63.0,65.0,65.0,54.0,67,60,65,67,20,65,45,48,58,67,66,64,53,67,80,21,62,67,50,23,47,65,65,62,45,56.0,60,70,68,6,5,7,7,14,,57+2,57+2,57+2,63,61,61,61,63,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,66+2,64+2,64+2,64+2,66+2,66+2,63+2,63+2,63+2,66+2,14+2
260085,/player/260085/carlo-adriano-garcia-prades/240002,24.0,2.0,2023-09-22,Carlo Adriano,Carlo Adriano García Prades,"CM, CDM, CAM",68,77,2700000.0,3000.0,22,2001-02-12,182,72,110902.0,Villarreal II,54.0,La Liga 2,2.0,LCM,8.0,,2020-08-01,2026.0,45,Spain,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,4700000.0,,"Tiki Taka, Technical",62.0,63.0,66.0,68.0,57.0,58.0,54,63,47,74,57,70,53,49,72,72,62,62,65,58,59,63,58,66,60,69,45,62,58,66,48,60.0,57,60,51,12,13,10,11,13,,62+2,62+2,62+2,65,65,65,65,65,67+2,67+2,67+2,65+2,68+2,68+2,68+2,65+2,62+2,64+2,64+2,64+2,62+2,60+2,58+2,58+2,58+2,60+2,17+2
231640,/player/231640/javier-ontiveros-parra/240002,24.0,2.0,2023-09-22,Ontiveros,Javier Ontiveros Parra,"LM, LW",68,69,1400000.0,3000.0,25,1997-09-09,172,75,110902.0,Villarreal II,54.0,La Liga 2,2.0,LM,10.0,,2022-07-01,2024.0,45,Spain,,,,Right,3,3,1,High/Low,Normal (170-185),No,2300000.0,,"Finesse Shot, Pinged Pass, Flair",62.0,68.0,70.0,69.0,35.0,49.0,74,69,32,72,59,71,70,76,71,70,63,61,59,57,76,69,45,53,50,68,43,36,66,62,68,62.0,41,32,27,6,8,6,11,12,,63+2,63+2,63+2,67,66,66,66,67,67+2,67+2,67+2,67+2,64+2,64+2,64+2,67+2,53+2,52+2,52+2,52+2,53+2,49+2,42+2,42+2,42+2,49+2,14+2
269637,/player/269637/diego-collado-raya/240002,24.0,2.0,2023-09-22,Collado,Diego Collado Raya,"RM, ST, LM",67,78,2300000.0,3000.0,22,2001-01-09,183,71,110902.0,Villarreal II,54.0,La Liga 2,2.0,RS,7.0,,2019-07-01,2025.0,45,Spain,,,,Right,4,3,1,High/Medium,Normal (170-185),No,4000000.0,,,64.0,68.0,62.0,65.0,34.0,54.0,63,71,65,66,57,67,57,59,60,66,64,64,66,61,62,68,65,70,55,64,31,31,73,59,63,54.0,31,30,31,11,6,14,9,14,,67+2,67+2,67+2,66,66,66,66,66,65+2,65+2,65+2,66+2,61+2,61+2,61+2,66+2,52+2,49+2,49+2,49+2,52+2,50+2,43+2,43+2,43+2,50+2,16+2
269641,/player/269641/iker-alvarez-de-eulate/240002,24.0,2.0,2023-09-22,Iker Álvarez,Iker Álvarez de Eulate,GK,66,78,1800000.0,1000.0,21,2001-07-25,190,78,110902.0,Villarreal II,54.0,La Liga 2,2.0,GK,1.0,,2021-07-01,2026.0,2,Andorra,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,3200000.0,,Far Throw,,,,,,,20,7,10,28,10,8,12,12,26,16,38,29,43,59,40,50,55,35,57,20,18,18,6,57,13,55.0,6,14,10,66,65,66,67,67,34.0,23+2,23+2,23+2,23,24,24,24,23,27+2,27+2,27+2,25+2,28+2,28+2,28+2,25+2,23+2,25+2,25+2,25+2,23+2,22+2,22+2,22+2,22+2,22+2,65+2
273610,/player/273610/andres-ferrari/240002,24.0,2.0,2023-09-22,A. Ferrari,Andrés Martín Ferrari Malviera,"ST, RW, RM",66,76,1900000.0,2000.0,20,2003-01-03,183,74,110902.0,Villarreal II,54.0,La Liga 2,2.0,RM,24.0,,2023-07-01,2028.0,60,Uruguay,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,3300000.0,,,69.0,65.0,56.0,63.0,28.0,62.0,44,69,65,62,60,58,56,52,54,67,71,68,71,68,65,61,74,62,67,62,44,24,68,58,60,64.0,22,24,28,5,12,10,15,9,,66+2,66+2,66+2,63,65,65,65,63,64+2,64+2,64+2,62+2,58+2,58+2,58+2,62+2,47+2,46+2,46+2,46+2,47+2,46+2,42+2,42+2,42+2,46+2,17+2
206546,/player/206546/pablo-iniguez-de-heredia/240002,24.0,2.0,2023-09-22,Pablo Iñiguez,Pablo Íñiguez de Heredia Larraz,"CB, CM",66,67,800000.0,2000.0,29,1994-01-20,184,73,110902.0,Villarreal II,54.0,La Liga 2,2.0,SUB,19.0,,2021-07-01,2024.0,45,Spain,,,,Left,3,2,1,Medium/High,Normal (170-185),No,1300000.0,,,48.0,43.0,58.0,59.0,67.0,66.0,49,36,64,66,34,56,45,44,65,62,48,48,58,64,70,59,67,55,72,40,64,66,41,53,57,60.0,70,66,65,12,8,9,12,8,,52+2,52+2,52+2,53,53,53,53,53,55+2,55+2,55+2,54+2,59+2,59+2,59+2,54+2,60+2,65+2,65+2,65+2,60+2,61+2,66+1,66+1,66+1,61+2,16+2
270728,/player/270728/carlos-romero-serrano/240002,24.0,2.0,2023-09-22,Carlos Romero,Carlos Romero Serrano,"LB, LM",65,76,1500000.0,1000.0,21,2001-10-29,180,70,110902.0,Villarreal II,54.0,La Liga 2,2.0,SUB,18.0,,2020-07-01,2025.0,45,Spain,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Jockey, Anticipate",60.0,47.0,58.0,56.0,63.0,60.0,64,43,57,64,48,53,59,35,61,60,61,60,60,62,59,51,62,66,59,50,55,61,56,47,46,48.0,60,68,64,9,10,7,11,9,,55+2,55+2,55+2,57,55,55,55,57,56+2,56+2,56+2,58+2,59+2,59+2,59+2,58+2,63+2,62+2,62+2,62+2,63+2,63+2,62+2,62+2,62+2,63+2,15+2
