player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
225273,/player/225273/mads-dohr-thychosen/240002,24.0,2.0,2023-09-22,M. Thychosen,Mads Døhr Thychosen,"RB, CB",71,73,2100000.0,6000.0,26,1997-06-27,178,75,433.0,AIK,56.0,Allsvenskan,1.0,SUB,17.0,,2023-07-07,2025.0,13,Denmark,,,,Right,3,3,1,Medium/Medium,Stocky (170-185),No,2800000.0,,Long Throw,77.0,52.0,62.0,67.0,69.0,76.0,62,50,68,68,52,63,60,50,61,67,75,78,77,65,78,62,81,79,76,50,70,68,58,57,40,66.0,68,70,68,10,11,10,11,15,,62+2,62+2,62+2,64,63,63,63,64,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,69+2,68+2,68+2,68+2,69+2,69+2,70+2,70+2,70+2,69+2,18+2
192129,/player/192129/kristoffer-nordfeldt/240002,24.0,2.0,2023-09-22,K. Nordfeldt,Bo Kristoffer Nordfeldt,GK,71,71,325000.0,5000.0,34,1989-06-23,188,87,433.0,AIK,56.0,Allsvenskan,1.0,GK,15.0,,2021-08-09,2025.0,46,Sweden,1363.0,SUB,23.0,Right,3,1,1,Medium/Medium,Normal (185+),Yes,406000.0,,,,,,,,,11,13,13,41,11,14,20,11,26,24,51,48,57,74,45,53,69,32,73,12,24,23,15,34,13,50.0,17,13,15,70,69,70,70,68,50.0,31+2,31+2,31+2,29,30,30,30,29,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,28+2,29+2,29+2,29+2,28+2,70+1
241139,/player/241139/benjamin-hansen/240002,24.0,2.0,2023-09-22,B. Hansen,Benjamin Tiedemann Hansen,CB,69,70,1300000.0,4000.0,29,1994-02-07,189,80,433.0,AIK,56.0,Allsvenskan,1.0,SUB,16.0,Molde,,2023.0,13,Denmark,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,Long Ball Pass,61.0,31.0,46.0,51.0,69.0,76.0,28,26,67,64,25,40,25,24,61,62,56,65,53,66,54,48,76,75,81,27,67,67,26,34,33,54.0,71,70,67,11,11,9,7,6,,48+2,48+2,48+2,45,46,46,46,45,48+2,48+2,48+2,49+2,55+2,55+2,55+2,49+2,61+2,66+2,66+2,66+2,61+2,63+2,69+1,69+1,69+1,63+2,15+2
202605,/player/202605/alexander-milosevic/240002,24.0,2.0,2023-09-22,A. Milošević,Goran Alexander Sjöström Milošević,CB,69,69,950000.0,4000.0,31,1992-01-30,192,82,433.0,AIK,56.0,Allsvenskan,1.0,RCB,5.0,,2021-03-29,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1200000.0,,"Long Ball Pass, Aerial",52.0,53.0,55.0,55.0,68.0,78.0,43,45,67,62,46,53,43,39,65,54,50,53,57,68,53,70,74,72,82,56,75,71,51,56,57,67.0,70,66,67,10,11,12,8,10,,57+2,57+2,57+2,53,56,56,56,53,56+2,56+2,56+2,55+2,60+2,60+2,60+2,55+2,62+2,66+2,66+2,66+2,62+2,63+2,69,69,69,63+2,16+2
220198,/player/220198/bersant-celina/240002,24.0,2.0,2023-09-22,B. Celina,Bersant Celina,"LM, LW, CAM",69,69,1500000.0,5000.0,26,1996-09-09,181,66,433.0,AIK,56.0,Allsvenskan,1.0,SUB,8.0,,2020-09-09,2024.0,219,Kosovo,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,1900000.0,,Technical,78.0,64.0,66.0,71.0,25.0,62.0,67,60,43,64,59,70,69,67,64,70,81,75,81,63,79,72,64,71,62,66,49,18,65,69,60,68.0,26,27,15,9,15,16,10,8,,64+2,64+2,64+2,68,67,67,67,68,68+1,68+1,68+1,68+1,62+2,62+2,62+2,68+1,51+2,48+2,48+2,48+2,51+2,46+2,39+2,39+2,39+2,46+2,17+2
219951,/player/219951/anton-saletros/240002,24.0,2.0,2023-09-22,A. Salétros,Anton Salétros,"CM, CDM",68,69,1400000.0,4000.0,27,1996-04-12,183,73,433.0,AIK,56.0,Allsvenskan,1.0,LCM,7.0,,2023-07-08,2026.0,46,Sweden,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1900000.0,,,64.0,57.0,69.0,66.0,61.0,70.0,67,53,48,70,53,63,66,66,69,66,61,66,76,66,73,63,60,85,68,59,58,67,64,70,62,60.0,61,63,59,13,14,12,15,9,,61+2,61+2,61+2,64,64,64,64,64,66+2,66+2,66+2,66+2,68+1,68+1,68+1,66+2,67+2,67+2,67+2,67+2,67+2,65+2,62+2,62+2,62+2,65+2,19+2
254899,/player/254899/erick-otieno/240002,24.0,2.0,2023-09-22,E. Otieno,Erick Ouma Otieno,"LM, LB, LWB",68,69,1400000.0,4000.0,26,1996-09-27,168,74,433.0,AIK,56.0,Allsvenskan,1.0,LB,25.0,,2020-01-05,2024.0,120,Kenya,,,,Left,4,2,1,Medium/Medium,Stocky (170-),No,1900000.0,,"Block, Rapid, Quick Step, Relentless",89.0,48.0,63.0,69.0,61.0,75.0,65,44,44,68,44,65,55,33,61,67,88,89,82,63,90,59,74,83,76,46,61,62,58,61,32,69.0,64,63,61,11,13,14,11,14,,59+2,59+2,59+2,65,63,63,63,65,64+2,64+2,64+2,67+2,64+2,64+2,64+2,67+2,68+1,65+2,65+2,65+2,68+1,67+2,63+2,63+2,63+2,67+2,18+2
274270,/player/274270/rui-manuel-muati-modesto/240002,24.0,2.0,2023-09-22,Rui Modesto,Rui Manuel Muati Modesto,"RM, RWB",67,75,2300000.0,3000.0,23,1999-10-07,180,72,433.0,AIK,56.0,Allsvenskan,1.0,RM,32.0,,2023-02-01,2025.0,38,Portugal,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,3300000.0,,,85.0,57.0,60.0,66.0,55.0,62.0,65,60,43,62,42,64,55,42,58,65,84,85,76,58,74,51,62,74,57,62,58,54,67,59,38,60.0,50,63,60,10,7,6,10,7,,61+2,61+2,61+2,66,64,64,64,66,64+2,64+2,64+2,66+2,62+2,62+2,62+2,66+2,64+2,60+2,60+2,60+2,64+2,63+2,57+2,57+2,57+2,63+2,14+2
199602,/player/199602/john-guidetti/240002,24.0,2.0,2023-09-22,J. Guidetti,John Guidetti,ST,67,67,850000.0,3000.0,31,1992-04-15,185,80,433.0,AIK,56.0,Allsvenskan,1.0,RES,11.0,,2022-07-15,2025.0,46,Sweden,,,,Right,3,4,2,High/High,Stocky (185+),Yes,1100000.0,,,43.0,68.0,65.0,66.0,37.0,72.0,67,65,72,68,67,66,65,71,53,68,51,37,58,70,56,72,79,54,81,66,72,32,73,66,80,67.0,40,30,26,12,13,14,6,11,,67,67,67,64,66,66,66,64,65+2,65+2,65+2,63+2,61+2,61+2,61+2,63+2,50+2,52+2,52+2,52+2,50+2,47+2,51+2,51+2,51+2,47+2,17+2
270718,/player/270718/omar-faraj/240002,24.0,2.0,2023-09-22,O. Faraj,Omar Faraj,ST,65,76,1600000.0,2000.0,21,2002-03-09,182,77,433.0,AIK,56.0,Allsvenskan,1.0,RS,9.0,,2023-02-01,2026.0,46,Sweden,,,,Right,3,2,1,High/Medium,Normal (170-185),No,2300000.0,,,72.0,62.0,45.0,65.0,22.0,72.0,32,65,58,56,53,63,40,32,34,65,71,73,66,61,82,66,80,53,85,56,62,20,65,50,56,68.0,16,20,18,15,5,8,6,12,,65+2,65+2,65+2,60,63,63,63,60,60+2,60+2,60+2,58+2,51+2,51+2,51+2,58+2,42+2,41+2,41+2,41+2,42+2,40+2,41+2,41+2,41+2,40+2,15+2
