player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
207892,/player/207892/joseph-claude-gyau/240002,24.0,2.0,2023-09-22,J. Gyau,Joseph-Claude Agyeman Gyau,"LWB, LM",65,65,625000.0,1000.0,30,1992-09-16,175,77,113892.0,Degerfors,56.0,Allsvenskan,1.0,LWB,5.0,,2022-02-17,2023.0,95,United States,,,,Right,4,4,1,High/Medium,Normal (170-185),No,781000.0,,"Rapid, Flair",90.0,57.0,55.0,66.0,55.0,67.0,55,55,40,56,57,65,60,45,55,61,89,90,86,58,82,62,67,80,66,58,53,55,56,55,51,61.0,57,57,56,12,6,15,15,6,,60+2,60+2,60+2,63,61,61,61,63,61+2,61+2,61+2,63+2,59+2,59+2,59+2,63+2,63+2,58+2,58+2,58+2,63+2,62+2,57+2,57+2,57+2,62+2,15+2
243111,/player/243111/diego-campos/240002,24.0,2.0,2023-09-22,D. Campos,Diego de Jesús Campos Ballestero,LW,65,65,750000.0,1000.0,27,1995-10-01,178,75,113892.0,Degerfors,56.0,Allsvenskan,1.0,LS,8.0,,2022-01-08,2024.0,72,Costa Rica,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,938000.0,,,75.0,57.0,63.0,69.0,58.0,61.0,66,56,53,61,52,67,71,61,60,69,76,74,81,61,81,61,65,73,55,57,60,57,60,62,56,62.0,61,57,58,14,11,14,14,13,,61+2,61+2,61+2,65,64,64,64,65,64+1,64+1,64+1,66-1,63+2,63+2,63+2,66-1,64+1,61+2,61+2,61+2,64+1,63+2,59+2,59+2,59+2,63+2,18+2
226633,/player/226633/christos-gravius/240002,24.0,2.0,2023-09-22,C. Gravius,Christos Emil Gravius,CM,64,68,800000.0,1000.0,25,1997-10-14,181,72,113892.0,Degerfors,56.0,Allsvenskan,1.0,LCM,11.0,,2020-01-08,2023.0,46,Sweden,,,,Left,2,3,1,Medium/Medium,Lean (170-185),No,1100000.0,,,63.0,51.0,64.0,65.0,54.0,63.0,55,43,34,66,59,62,64,66,65,65,62,64,75,61,74,64,49,76,59,52,58,57,62,67,48,65.0,55,57,54,9,6,10,10,8,,56+2,56+2,56+2,61,60,60,60,61,62+2,62+2,62+2,62+2,64+2,64+2,64+2,62+2,61+2,61+2,61+2,61+2,61+2,59+2,55+2,55+2,55+2,59+2,14+2
267412,/player/267412/rasmus-orqvist/240002,24.0,2.0,2023-09-22,R. Örqvist,Rasmus Örqvist,"RW, CM",64,68,850000.0,1000.0,24,1998-10-18,184,81,113892.0,Degerfors,56.0,Allsvenskan,1.0,RCM,16.0,,2022-02-02,2024.0,46,Sweden,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1100000.0,,,68.0,60.0,60.0,65.0,62.0,79.0,54,62,58,65,42,66,51,39,62,65,70,67,65,62,66,62,77,85,81,60,65,65,65,62,44,64.0,58,64,61,7,7,9,13,14,,64+2,64+2,64+2,64,64,64,64,64,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,64+2,65+2,65+2,65+2,64+2,16+2
213729,/player/213729/sondre-rossbach/240002,24.0,2.0,2023-09-22,S. Rossbach,Sondre Løvseth Rossbach,GK,64,67,575000.0,1000.0,27,1996-02-07,189,80,113892.0,Degerfors,56.0,Allsvenskan,1.0,GK,1.0,Odd,,2023.0,36,Norway,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,Far Throw,,,,,,,13,15,14,29,19,17,16,21,18,23,48,50,50,59,55,48,63,44,65,19,30,18,11,65,15,48.0,16,18,17,65,62,64,62,65,49.0,29+2,29+2,29+2,29,30,30,30,29,32+2,32+2,32+2,30+2,31+2,31+2,31+2,30+2,28+2,29+2,29+2,29+2,28+2,27+2,28+2,28+2,28+2,27+2,63+2
222145,/player/222145/sebastian-ohlsson/240002,24.0,2.0,2023-09-22,S. Ohlsson,Sebastian Jonas Ohlsson,"CB, CM",64,64,475000.0,950.0,30,1992-12-31,186,76,113892.0,Degerfors,56.0,Allsvenskan,1.0,LCB,7.0,,2020-01-08,2025.0,46,Sweden,,,,Right,3,2,1,High/Medium,Lean (185+),No,594000.0,,Intercept,53.0,53.0,63.0,61.0,63.0,72.0,57,46,58,71,49,58,61,48,66,66,54,53,56,63,70,62,69,71,78,61,61,66,51,56,46,64.0,67,61,58,15,14,12,7,7,,58+2,58+2,58+2,58,58,58,58,58,60+2,60+2,60+2,60+2,63+1,63+1,63+1,60+2,63+1,66-2,66-2,66-2,63+1,62+2,64,64,64,62+2,17+2
256859,/player/256859/damjan-pavlovic/240002,24.0,2.0,2023-09-22,D. Pavlovic,Damjan Pavlović,"CM, RB",63,73,1100000.0,700.0,21,2001-09-07,179,75,113892.0,Degerfors,56.0,Allsvenskan,1.0,SUB,47.0,,2022-09-06,2024.0,51,Serbia,,,,Right,4,2,1,High/High,Normal (170-185),No,1600000.0,,,72.0,49.0,61.0,62.0,59.0,72.0,58,42,54,64,50,60,55,40,63,64,70,73,64,63,62,58,69,66,73,56,79,62,61,65,30,62.0,59,60,58,13,8,6,13,13,,58+2,58+2,58+2,61,61,61,61,61,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,62+2,64+2,64+2,64+2,62+2,62+2,63+2,63+2,63+2,62+2,17+2
274130,/player/274130/seid-korac/240002,24.0,2.0,2023-09-22,S. Korač,Seid Korač,CB,63,73,1000000.0,600.0,21,2001-10-20,191,88,113892.0,Degerfors,56.0,Allsvenskan,1.0,SUB,15.0,,2023-02-01,2025.0,31,Luxembourg,,,,Right,3,2,1,Medium/High,Normal (185+),No,1500000.0,,"Block, Bruiser, Aerial",53.0,27.0,49.0,55.0,60.0,74.0,44,23,60,58,25,55,26,21,57,57,55,51,48,56,45,40,73,62,80,21,74,58,33,43,31,56.0,60,62,59,7,7,9,12,7,,45+2,45+2,45+2,47,46,46,46,47,48+2,48+2,48+2,50+2,52+2,52+2,52+2,50+2,56+2,60+2,60+2,60+2,56+2,57+2,63+2,63+2,63+2,57+2,14+2
270574,/player/270574/elyas-bouzaiene/240002,24.0,2.0,2023-09-22,E. Bouzaiene,Elyas Bouzaiene,"RWB, RB",63,66,575000.0,800.0,25,1997-09-08,182,76,113892.0,Degerfors,56.0,Allsvenskan,1.0,RWB,20.0,,2022-07-15,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,762000.0,,Jockey,74.0,39.0,58.0,61.0,56.0,60.0,59,38,47,59,35,59,48,47,57,60,73,75,72,55,71,40,60,72,58,36,51,57,59,60,38,58.0,55,58,59,9,9,13,12,13,,52+2,52+2,52+2,58,56,56,56,58,58+2,58+2,58+2,60+2,58+2,58+2,58+2,60+2,61+2,58+2,58+2,58+2,61+2,60+2,56+2,56+2,56+2,60+2,16+2
188970,/player/188970/johan-martensson/240002,24.0,2.0,2023-09-22,J. Mårtensson,Johan Mårtensson,CM,63,63,220000.0,950.0,34,1989-02-16,183,75,113892.0,Degerfors,56.0,Allsvenskan,1.0,CDM,4.0,,2023-07-07,2024.0,46,Sweden,,,,Right,4,3,1,Low/Medium,Normal (170-185),No,275000.0,,,60.0,44.0,61.0,61.0,60.0,70.0,56,42,52,65,38,57,58,43,62,62,58,61,62,68,72,45,61,78,68,44,69,63,55,65,54,68.0,62,62,53,16,16,12,10,8,,54+2,54+2,54+2,58,57,57,57,58,60+2,60+2,60+2,60+2,63,63,63,60+2,62+1,64-1,64-1,64-1,62+1,62+1,62+1,62+1,62+1,62+1,19+2
