player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
208440,/player/208440/marcus-danielson/240002,24.0,2.0,2023-09-22,M. Danielson,Marcus Andreas Danielsson,CB,72,72,750000.0,6000.0,34,1989-04-08,192,80,710.0,Djurgården,56.0,Allsvenskan,1.0,LCB,3.0,,2022-07-19,2025.0,46,Sweden,,,,Right,2,3,1,Medium/Medium,Lean (185+),No,938000.0,,Aerial,43.0,37.0,48.0,52.0,74.0,74.0,32,43,72,61,25,52,26,19,62,53,42,43,40,64,36,34,76,50,85,27,75,73,28,44,57,70.0,76,73,71,15,16,12,9,15,,48+2,48+2,48+2,46,47,47,47,46,49+2,49+2,49+2,48+2,54+2,54+2,54+2,48+2,58+2,66+2,66+2,66+2,58+2,61+2,72,72,72,61+2,19+2
201967,/player/201967/gustav-mendonca-wikheim/240002,24.0,2.0,2023-09-22,G. Wikheim,Gustav Mendonca Wikheim,LW,70,70,1500000.0,6000.0,30,1993-03-18,182,70,710.0,Djurgården,56.0,Allsvenskan,1.0,LW,23.0,,2022-01-26,2024.0,36,Norway,,,,Right,3,4,1,Medium/Low,Lean (170-185),No,1900000.0,#Acrobat,"Technical, Flair",86.0,60.0,63.0,74.0,44.0,55.0,63,62,56,64,63,75,66,58,57,72,88,85,90,60,76,63,67,67,48,53,54,38,65,64,42,65.0,42,46,42,14,12,16,9,15,,65+2,65+2,65+2,70,68,68,68,70,68+2,68+2,68+2,69+1,62+2,62+2,62+2,69+1,59+2,54+2,54+2,54+2,59+2,57+2,50+2,50+2,50+2,57+2,18+2
208437,/player/208437/magnus-eriksson/240002,24.0,2.0,2023-09-22,M. Eriksson,Magnus Lennart Eriksson,CM,70,70,975000.0,5000.0,33,1990-04-08,180,79,710.0,Djurgården,56.0,Allsvenskan,1.0,LCM,7.0,,2020-08-21,2025.0,46,Sweden,,,,Left,3,3,1,Medium/High,Stocky (170-185),No,1200000.0,,Finesse Shot,47.0,66.0,75.0,67.0,54.0,78.0,77,64,57,73,65,66,72,68,76,67,45,48,61,70,82,67,66,83,77,68,76,53,69,77,72,71.0,55,55,42,10,11,14,9,10,,65+2,65+2,65+2,66,66,66,66,66,68+2,68+2,68+2,68+2,70,70,70,68+2,62+2,65+2,65+2,65+2,62+2,60+2,60+2,60+2,60+2,60+2,17+2
213763,/player/213763/rasmus-schuller/240002,24.0,2.0,2023-09-22,R. Schüller,Rasmus Schüller,"CDM, CM",70,70,1100000.0,5000.0,32,1991-06-18,177,67,710.0,Djurgården,56.0,Allsvenskan,1.0,CDM,6.0,,2021-01-08,2025.0,17,Finland,1334.0,CDM,11.0,Left,3,3,1,Medium/High,Lean (170-185),No,1400000.0,,Long Ball Pass,46.0,55.0,64.0,64.0,70.0,70.0,56,52,60,68,42,63,60,54,70,62,51,42,68,68,65,63,62,80,62,59,79,73,46,63,65,69.0,75,67,65,14,15,8,14,14,,57+2,57+2,57+2,58,58,58,58,58,61+2,61+2,61+2,60+2,65+2,65+2,65+2,60+2,66+2,69+1,69+1,69+1,66+2,65+2,68+2,68+2,68+2,65+2,20+2
242062,/player/242062/hampus-finndell/240002,24.0,2.0,2023-09-22,H. Finndell,Hampus Finndell,CM,69,78,3100000.0,4000.0,23,2000-06-06,177,74,710.0,Djurgården,56.0,Allsvenskan,1.0,RCM,13.0,,2018-01-08,2024.0,46,Sweden,,,,Right,3,2,1,High/Medium,Stocky (170-185),No,4500000.0,,Relentless,69.0,64.0,64.0,69.0,66.0,76.0,58,65,72,70,63,67,55,47,71,69,72,66,74,71,74,65,80,90,69,64,77,66,67,61,50,60.0,65,65,64,5,15,14,13,6,,68+2,68+2,68+2,67,67,67,67,67,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,68+2,17+2
247022,/player/247022/jacob-widell-zetterstrom/240002,24.0,2.0,2023-09-22,J. Zetterström,Jacob Mikael Widell Zetterström,GK,69,75,1800000.0,3000.0,24,1998-07-11,197,82,710.0,Djurgården,56.0,Allsvenskan,1.0,GK,35.0,,2019-01-12,2025.0,46,Sweden,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,2600000.0,,,,,,,,,13,17,13,21,8,12,14,14,20,13,16,27,20,50,26,50,52,17,60,9,18,13,6,25,12,36.0,6,13,11,76,69,67,64,72,20.0,23+2,23+2,23+2,18,20,20,20,18,19+2,19+2,19+2,18+2,19+2,19+2,19+2,18+2,17+2,20+2,20+2,20+2,17+2,17+2,21+2,21+2,21+2,17+2,68+2
213497,/player/213497/jacob-une-larsson/240002,24.0,2.0,2023-09-22,J. Une-Larsson,Jacob Hugo Une-Larsson,CB,69,69,1200000.0,4000.0,29,1994-04-08,181,74,710.0,Djurgården,56.0,Allsvenskan,1.0,RCB,27.0,,2016-01-07,2024.0,46,Sweden,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1500000.0,,,67.0,44.0,54.0,50.0,69.0,74.0,53,41,74,60,35,38,39,35,63,54,62,71,61,63,80,51,78,73,71,54,82,68,30,44,32,60.0,67,71,67,13,8,12,10,10,,52+2,52+2,52+2,50,49,49,49,50,50+2,50+2,50+2,52+2,55+2,55+2,55+2,52+2,63+2,65+2,65+2,65+2,63+2,65+2,69,69,69,65+2,16+2
223907,/player/223907/piotr-johansson/240002,24.0,2.0,2023-09-22,P. Johansson,Piotr Johansson,RB,67,67,925000.0,3000.0,28,1995-02-28,185,80,710.0,Djurgården,56.0,Allsvenskan,1.0,RB,2.0,,2022-01-08,2025.0,46,Sweden,,,,Right,2,3,1,High/Medium,Normal (185+),No,1200000.0,,"Anticipate, Rapid, Relentless",82.0,51.0,57.0,62.0,61.0,79.0,61,50,55,57,46,60,48,39,55,61,79,84,70,60,64,62,79,90,78,46,70,60,56,59,38,62.0,63,62,61,8,13,16,6,9,,59+2,59+2,59+2,61,60,60,60,61,59+2,59+2,59+2,63+2,60+2,60+2,60+2,63+2,66+1,63+2,63+2,63+2,66+1,65+2,64+2,64+2,64+2,65+2,15+2
227855,/player/227855/besard-sabovic/240002,24.0,2.0,2023-09-22,B. Sabovic,Besard Šabović,"CDM, CM",65,71,1000000.0,2000.0,25,1998-01-05,186,77,710.0,Djurgården,56.0,Allsvenskan,1.0,SUB,14.0,,2022-08-10,2024.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,1500000.0,,Long Ball Pass,54.0,60.0,63.0,66.0,58.0,70.0,55,58,53,67,46,66,64,65,67,69,53,55,68,62,55,68,63,76,72,62,61,63,57,62,55,67.0,53,62,59,13,16,16,12,7,,61+2,61+2,61+2,62,62,62,62,62,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,62+2,64+2,64+2,64+2,62+2,61+2,61+2,61+2,61+2,61+2,18+2
235516,/player/235516/rami-kaib/240002,24.0,2.0,2023-09-22,R. Kaib,Rami Kaib,LB,65,67,800000.0,2000.0,26,1997-05-08,178,63,710.0,Djurgården,56.0,Allsvenskan,1.0,SUB,16.0,,2023-06-30,2026.0,145,Tunisia,,,,Left,2,2,1,High/Medium,Lean (170-185),No,1100000.0,,,74.0,46.0,63.0,65.0,58.0,64.0,66,41,36,64,31,63,65,52,65,65,77,71,76,58,71,47,56,77,56,58,71,59,55,58,38,55.0,59,62,61,11,11,8,14,7,,53+2,53+2,53+2,62,59,59,59,62,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,65+2,63+2,63+2,63+2,65+2,63+2,59+2,59+2,59+2,63+2,16+2
