player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198455,/player/198455/johan-larsson/240002,24.0,2.0,2023-09-22,J. Larsson,Johan Erik Larsson,RB,71,71,975000.0,4000.0,33,1990-05-05,182,75,700.0,Elfsborg,56.0,Allsvenskan,1.0,RB,13.0,,2020-02-26,2024.0,46,Sweden,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1200000.0,,Long Throw,80.0,63.0,70.0,67.0,65.0,75.0,70,59,58,70,57,65,69,68,68,65,80,80,75,68,75,71,77,85,72,68,67,70,66,72,58,70.0,63,65,64,13,16,6,16,16,,66+2,66+2,66+2,68,68,68,68,68,68+2,68+2,68+2,70+1,69+2,69+2,69+2,70+1,70+1,69+2,69+2,69+2,70+1,69+2,66+2,66+2,66+2,69+2,21+2
209063,/player/209063/sebastian-holmen/240002,24.0,2.0,2023-09-22,S. Holmén,Rasmus Sebastian Holmén,CB,71,71,1300000.0,4000.0,31,1992-04-29,188,77,700.0,Elfsborg,56.0,Allsvenskan,1.0,RCB,8.0,,2022-07-15,2026.0,46,Sweden,,,,Right,2,2,1,Medium/High,Normal (185+),No,1600000.0,,Slide Tackle,52.0,36.0,49.0,51.0,72.0,76.0,34,30,72,63,30,40,35,27,63,58,62,44,56,67,53,57,81,74,80,35,68,71,30,38,31,71.0,71,72,72,15,10,11,6,9,,50+2,50+2,50+2,46,47,47,47,46,49+2,49+2,49+2,49+2,56+2,56+2,56+2,49+2,62+2,67+2,67+2,67+2,62+2,64+2,71,71,71,64+2,16+2
192102,/player/192102/niklas-hult/240002,24.0,2.0,2023-09-22,N. Hult,Bo Niklas Hult,LB,70,70,825000.0,3000.0,33,1990-02-13,173,63,700.0,Elfsborg,56.0,Allsvenskan,1.0,LB,23.0,,2022-07-15,2025.0,46,Sweden,,,,Left,3,3,1,High/High,Lean (170-185),No,1000000.0,,,70.0,59.0,67.0,71.0,65.0,63.0,68,58,50,71,56,70,65,51,65,70,80,62,77,67,81,67,66,76,56,57,65,67,64,65,50,72.0,63,69,65,7,8,13,16,15,,63+2,63+2,63+2,68,66,66,66,68,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,69+1,67+2,67+2,67+2,69+1,68+2,64+2,64+2,64+2,68+2,18+2
209061,/player/209061/simon-hedlund/240002,24.0,2.0,2023-09-22,S. Hedlund,Simon Fredrik Hedlund,"RW, ST",70,70,1500000.0,4000.0,30,1993-03-11,173,66,700.0,Elfsborg,56.0,Allsvenskan,1.0,RES,9.0,,2023-08-23,2026.0,46,Sweden,,,,Right,4,3,1,High/High,Lean (170-185),No,1900000.0,,"Rapid, Quick Step",88.0,60.0,65.0,69.0,29.0,66.0,64,61,46,66,57,67,65,61,55,67,87,89,83,71,83,65,66,79,55,56,76,33,71,71,47,64.0,31,21,24,13,11,14,10,8,,65+2,65+2,65+2,70,69,69,69,70,69+1,69+1,69+1,70,63+2,63+2,63+2,70,55+2,51+2,51+2,51+2,55+2,52+2,43+2,43+2,43+2,52+2,17+2
234522,/player/234522/jeppe-okkels/240002,24.0,2.0,2023-09-22,J. Okkels,Jeppe Møldrup Okkels,LW,68,74,1900000.0,2000.0,23,1999-07-27,183,75,700.0,Elfsborg,56.0,Allsvenskan,1.0,LW,19.0,,2020-08-25,2024.0,13,Denmark,,,,Right,3,3,1,High/Medium,Normal (170-185),No,2800000.0,,"Pinged Pass, Technical",82.0,61.0,64.0,69.0,37.0,64.0,62,62,40,65,54,68,58,58,61,67,83,82,81,63,78,61,64,72,63,61,58,40,66,69,62,64.0,35,34,45,7,12,13,12,6,,63+2,63+2,63+2,68,67,67,67,68,67+2,67+2,67+2,68+2,63+2,63+2,63+2,68+2,57+2,54+2,54+2,54+2,57+2,55+2,47+2,47+2,47+2,55+2,15+2
209062,/player/209062/per-frick/240002,24.0,2.0,2023-09-22,P. Frick,Per Frick,ST,67,67,850000.0,2000.0,31,1992-04-14,182,81,700.0,Elfsborg,56.0,Allsvenskan,1.0,SUB,17.0,,2012-01-01,2024.0,46,Sweden,,,,Right,2,2,1,High/Medium,Stocky (170-185),No,1100000.0,,,74.0,65.0,58.0,60.0,36.0,83.0,52,68,67,63,59,55,46,47,56,58,76,73,73,76,70,64,86,75,85,58,88,29,72,62,68,72.0,36,34,25,7,15,12,8,15,,67,67,67,64,65,65,65,64,64+2,64+2,64+2,64+2,60+2,60+2,60+2,64+2,52+2,53+2,53+2,53+2,52+2,50+2,52+2,52+2,52+2,50+2,18+2
264133,/player/264133/hakon-valdimarsson/240002,24.0,2.0,2023-09-22,H. Valdimarsson,Hákon Rafn Valdimarsson,GK,66,76,1700000.0,900.0,21,2001-10-13,196,80,700.0,Elfsborg,56.0,Allsvenskan,1.0,GK,30.0,,2021-07-15,2027.0,24,Iceland,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,2500000.0,,,,,,,,,15,9,10,40,18,13,29,10,42,19,20,20,32,53,44,47,46,35,50,16,26,8,7,40,12,32.0,12,10,11,66,65,63,68,67,20.0,22+2,22+2,22+2,22,23,23,23,22,26+2,26+2,26+2,24+2,30+2,30+2,30+2,24+2,21+2,26+2,26+2,26+2,21+2,20+2,21+2,21+2,21+2,20+2,65+2
239579,/player/239579/michael-baidoo/240002,24.0,2.0,2023-09-22,M. Baidoo,Michael Baidoo,"CAM, CM",66,73,1700000.0,2000.0,24,1999-05-14,174,70,700.0,Elfsborg,56.0,Allsvenskan,1.0,RCM,10.0,,2022-01-13,2025.0,117,Ghana,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2500000.0,,Quick Step,81.0,56.0,61.0,68.0,50.0,59.0,52,58,49,69,40,66,43,40,61,67,82,81,84,65,83,59,66,61,58,50,55,52,62,64,55,53.0,51,49,50,7,8,9,12,15,,62+2,62+2,62+2,66,65,65,65,66,66+2,66+2,66+2,66+2,63+2,63+2,63+2,66+2,60+2,59+2,59+2,59+2,60+2,59+2,55+2,55+2,55+2,59+2,16+2
251336,/player/251336/maudo-lamine-jarjue/240002,24.0,2.0,2023-09-22,M. Jarjué,Maudo Lamine Jarjué,CB,66,72,1200000.0,2000.0,25,1997-09-30,189,90,700.0,Elfsborg,56.0,Allsvenskan,1.0,SUB,5.0,,2021-11-03,2024.0,116,Gambia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1700000.0,#Strength,,68.0,35.0,47.0,55.0,64.0,79.0,36,34,68,64,22,54,28,25,60,57,67,69,56,54,51,36,82,67,88,41,69,54,26,28,36,52.0,65,67,65,9,9,10,11,14,,49+2,49+2,49+2,49,48,48,48,49,49+2,49+2,49+2,51+2,52+2,52+2,52+2,51+2,59+2,61+2,61+2,61+2,59+2,60+2,66+2,66+2,66+2,60+2,15+2
255459,/player/255459/alexander-bernhardsson/240002,24.0,2.0,2023-09-22,A. Bernhardsson,Alexander Bernhardsson,RW,66,69,1200000.0,2000.0,24,1998-09-08,185,73,700.0,Elfsborg,56.0,Allsvenskan,1.0,RW,12.0,,2020-01-12,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1600000.0,,,83.0,59.0,60.0,65.0,45.0,60.0,60,60,52,64,52,66,49,38,59,65,83,83,73,65,58,62,72,60,65,57,45,42,64,62,56,55.0,45,42,50,12,9,6,5,11,,64+2,64+2,64+2,66,65,65,65,66,65+2,65+2,65+2,66+2,61+2,61+2,61+2,66+2,58+2,54+2,54+2,54+2,58+2,57+2,52+2,52+2,52+2,57+2,15+2
