player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213614,/player/213614/samuel-gustafson/240002,24.0,2.0,2023-09-22,S. Gustafson,Samuel Gustafson,"CDM, CM",75,76,5500000.0,8000.0,28,1995-01-11,186,80,711.0,Häcken,56.0,Allsvenskan,1.0,CDM,11.0,,2021-07-15,2025.0,46,Sweden,1363.0,SUB,18.0,Right,3,3,1,Medium/Low,Lean (185+),No,7600000.0,,"Finesse Shot, Long Ball Pass, Tiki Taka, Relentless",61.0,59.0,76.0,72.0,69.0,72.0,75,56,49,78,47,67,68,64,77,77,64,58,75,77,64,63,63,81,70,65,66,71,65,79,48,78.0,76,68,67,16,15,8,12,11,,64+2,64+2,64+2,70,69,69,69,70,72+2,72+2,72+2,71+2,75+1,75+1,75+1,71+2,73+2,74+2,74+2,74+2,73+2,71+2,69+2,69+2,69+2,71+2,20+2
234488,/player/234488/mikkel-rygaard/240002,24.0,2.0,2023-09-22,M. Rygaard,Mikkel Rygaard Jensen,"CM, CAM",75,75,4400000.0,8000.0,32,1990-12-25,176,69,711.0,Häcken,56.0,Allsvenskan,1.0,RCM,18.0,,2022-01-08,2024.0,13,Denmark,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,5700000.0,,"Finesse Shot, Pinged Pass, Tiki Taka",65.0,73.0,77.0,77.0,61.0,66.0,74,73,48,79,70,75,80,73,76,75,72,60,85,75,88,74,64,71,63,77,70,63,75,79,61,77.0,63,62,60,13,9,11,12,13,,71+2,71+2,71+2,75,74,74,74,75,76-1,76-1,76-1,74+1,75,75,75,74+1,69+2,70+2,70+2,70+2,69+2,67+2,63+2,63+2,63+2,67+2,19+2
245018,/player/245018/aiham-ousou/240002,24.0,2.0,2023-09-22,A. Ousou,Aiham Hanz Ousou,CB,72,76,3000000.0,750.0,23,2000-01-09,186,78,711.0,Häcken,56.0,Allsvenskan,1.0,SUB,4.0,Slavia Praha,,2023.0,46,Sweden,,,,Right,3,2,1,High/Medium,Normal (185+),No,,,"Intercept, Slide Tackle",76.0,31.0,59.0,67.0,71.0,75.0,48,23,72,70,19,66,30,19,68,68,71,80,70,71,67,47,85,66,80,34,70,73,43,62,35,68.0,67,73,71,8,9,5,11,8,,54+2,54+2,54+2,59,58,58,58,59,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,68+2,70+2,70+2,70+2,68+2,69+2,72+2,72+2,72+2,69+2,16+2
186101,/player/186101/even-hovland/240002,24.0,2.0,2023-09-22,E. Hovland,Even Hovland,CB,72,72,750000.0,6000.0,34,1989-02-14,191,90,711.0,Häcken,56.0,Allsvenskan,1.0,LCB,5.0,,2022-01-08,2023.0,36,Norway,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,975000.0,#Strength,"Long Ball Pass, Block",48.0,28.0,53.0,45.0,69.0,82.0,38,28,77,67,15,34,25,23,70,59,41,53,34,69,34,31,81,70,90,28,76,67,31,43,20,65.0,70,68,68,9,6,13,12,7,,47+2,47+2,47+2,44,45,45,45,44,48+2,48+2,48+2,49+2,57+2,57+2,57+2,49+2,61+2,68+2,68+2,68+2,61+2,63+2,72,72,72,63+2,15+2
242166,/player/242166/amor-layouni/240002,24.0,2.0,2023-09-22,A. Layouni,Amor Yonas Layouni,"RW, LW",71,71,1800000.0,6000.0,30,1992-10-03,191,81,711.0,Häcken,56.0,Allsvenskan,1.0,RW,24.0,,2023-07-10,2025.0,145,Tunisia,,,,Left,4,3,1,High/Medium,Lean (185+),No,2300000.0,,,85.0,71.0,64.0,70.0,41.0,72.0,64,74,56,64,63,71,65,55,61,71,82,87,69,67,62,73,79,70,75,66,65,37,68,69,58,70.0,39,40,39,15,14,7,13,6,,70+1,70+1,70+1,71,71,71,71,71,69+2,69+2,69+2,70+1,64+2,64+2,64+2,70+1,58+2,56+2,56+2,56+2,58+2,56+2,52+2,52+2,52+2,56+2,18+2
213613,/player/213613/simon-gustafson/240002,24.0,2.0,2023-09-22,S. Gustafson,Simon Gustafson,"CM, CAM",70,70,1600000.0,5000.0,28,1995-01-11,185,80,711.0,Häcken,56.0,Allsvenskan,1.0,SUB,14.0,,2022-07-16,2025.0,46,Sweden,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,2100000.0,,Finesse Shot,60.0,71.0,71.0,69.0,54.0,72.0,66,65,46,72,69,70,73,71,72,71,55,64,65,69,59,77,60,80,72,73,64,54,70,75,88,72.0,59,57,42,7,7,7,11,13,,67+2,67+2,67+2,68,69,69,69,68,70,70,70,69+1,70,70,70,69+1,63+2,65+2,65+2,65+2,63+2,60+2,58+2,58+2,58+2,60+2,16+2
192201,/player/192201/peter-abrahamsson/240002,24.0,2.0,2023-09-22,P. Abrahamsson,Peter Anders Abrahamsson,GK,69,69,240000.0,3000.0,34,1988-07-18,190,90,711.0,Häcken,56.0,Allsvenskan,1.0,GK,26.0,,2014-01-07,2023.0,46,Sweden,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,312000.0,,,,,,,,,19,18,24,20,18,15,20,16,22,21,41,42,38,61,36,52,66,25,70,13,24,28,16,42,17,49.0,25,15,17,69,70,69,68,70,41.0,30+2,30+2,30+2,26,28,28,28,26,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,26+2,27+2,27+2,27+2,26+2,27+2,30+2,30+2,30+2,27+2,68+1
256819,/player/256819/ishaq-abdulrazak/240002,24.0,2.0,2023-09-22,I. Abdulrazak,Ishaq Abdulrazak,"CM, RWB, RM",68,77,2700000.0,7000.0,21,2002-05-05,175,74,711.0,Häcken,56.0,Allsvenskan,1.0,SUB,8.0,Anderlecht,,2024.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,86.0,57.0,65.0,70.0,58.0,62.0,57,54,45,69,52,68,62,55,65,68,87,86,86,66,83,58,64,85,54,62,51,61,69,69,46,60.0,55,63,58,10,12,12,9,7,,63+2,63+2,63+2,68,67,67,67,68,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,67+2,64+2,64+2,64+2,67+2,66+2,59+2,59+2,59+2,66+2,16+2
200718,/player/200718/johan-hammar/240002,24.0,2.0,2023-09-22,J. Hammar,Per Johan Gustav Hammar,CB,68,69,1100000.0,3000.0,29,1994-02-22,197,84,711.0,Häcken,56.0,Allsvenskan,1.0,RCB,3.0,,2018-01-01,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1500000.0,#Strength,,34.0,38.0,46.0,42.0,67.0,75.0,31,29,70,58,23,33,27,28,60,53,33,34,33,62,38,64,71,47,87,39,79,66,23,37,46,49.0,69,68,61,12,10,10,9,12,,46+2,46+2,46+2,39,42,42,42,39,43+2,43+2,43+2,42+2,50+2,50+2,50+2,42+2,53+2,62+2,62+2,62+2,53+2,56+2,68+1,68+1,68+1,56+2,16+2
219957,/player/219957/jacob-barrett-laursen/240002,24.0,2.0,2023-09-22,J. Laursen,Jacob Barrett Laursen,"LB, LM",68,68,1100000.0,3000.0,28,1994-11-17,181,77,711.0,Häcken,56.0,Allsvenskan,1.0,SUB,7.0,,2023-08-21,2028.0,13,Denmark,,,,Left,3,3,1,High/High,Lean (170-185),No,1400000.0,,,61.0,52.0,60.0,67.0,65.0,69.0,65,52,41,67,30,66,52,37,58,67,66,57,76,63,70,61,58,74,70,46,62,62,67,54,40,50.0,65,74,71,9,12,16,12,14,,59+2,59+2,59+2,63,62,62,62,63,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,67+1,66+2,66+2,66+2,67+1,66+2,64+2,64+2,64+2,66+2,18+2
