player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
176733,/player/176733/marcus-berg/240002,24.0,2.0,2023-09-22,M. Berg,Bengt Erik Marcus Berg,ST,70,70,550000.0,3000.0,36,1986-08-17,184,79,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,ST,9.0,,2021-07-15,2023.0,46,Sweden,,,,Right,4,3,1,High/Low,Lean (170-185),Yes,688000.0,,,65.0,70.0,63.0,68.0,35.0,68.0,56,70,74,72,70,66,66,57,51,70,64,66,70,65,71,71,78,66,71,69,59,28,77,64,70,73.0,33,33,25,10,7,12,8,14,,70,70,70,68,69,69,69,68,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,52+2,51+2,51+2,51+2,52+2,49+2,48+2,48+2,48+2,49+2,16+2
177448,/player/177448/gustav-svensson/240002,24.0,2.0,2023-09-22,G. Svensson,Gustav Svensson,"CDM, CM, CB",69,69,275000.0,2000.0,36,1987-02-07,184,77,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,RCB,13.0,,2021-07-22,2023.0,46,Sweden,,,,Right,2,3,1,Low/High,Normal (170-185),Yes,344000.0,,"Intercept, Slide Tackle",34.0,46.0,59.0,62.0,69.0,76.0,49,36,65,65,45,62,55,33,65,64,34,34,47,68,59,65,66,71,80,47,75,68,50,62,45,67.0,69,71,70,15,12,11,16,6,,55+2,55+2,55+2,53,56,56,56,53,57+2,57+2,57+2,56+2,63+2,63+2,63+2,56+2,62+2,68+1,68+1,68+1,62+2,63+2,69,69,69,63+2,18+2
210688,/player/210688/anders-trondsen/240002,24.0,2.0,2023-09-22,A. Trondsen,Anders Trondsen,"LB, CM",68,68,1100000.0,2000.0,28,1995-03-30,183,78,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,SUB,6.0,,2023-02-01,2026.0,36,Norway,,,,Left,3,3,1,Medium/High,Normal (170-185),No,1400000.0,,,74.0,65.0,67.0,67.0,63.0,71.0,63,60,52,68,52,65,71,66,67,67,75,74,80,63,73,77,69,76,69,70,70,65,64,66,60,65.0,62,65,63,9,14,7,7,15,,65+2,65+2,65+2,67,66,66,66,67,67+1,67+1,67+1,67+1,67+1,67+1,67+1,67+1,67+1,66+2,66+2,66+2,67+1,66+2,64+2,64+2,64+2,66+2,17+2
254281,/player/254281/astrit-selmani/240002,24.0,2.0,2023-09-22,A. Selmani,Astrit Selmani,ST,67,70,1300000.0,2000.0,26,1997-05-13,184,82,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,SUB,22.0,,2022-07-18,2025.0,219,Kosovo,,,,Right,3,3,1,High/High,Normal (170-185),No,1700000.0,,,70.0,69.0,57.0,64.0,30.0,80.0,49,71,63,63,61,63,56,49,45,66,70,70,67,62,63,72,79,80,81,64,80,29,66,65,70,66.0,26,22,31,7,8,15,6,5,,67+2,67+2,67+2,64,66,66,66,64,64+2,64+2,64+2,64+2,59+2,59+2,59+2,64+2,50+2,49+2,49+2,49+2,50+2,48+2,47+2,47+2,47+2,48+2,13+2
144429,/player/144429/oscar-wendt/240002,24.0,2.0,2023-09-22,O. Wendt,Oscar Wendt,LB,67,67,230000.0,1000.0,37,1985-10-24,181,82,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,LB,17.0,,2021-07-15,2023.0,46,Sweden,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,288000.0,,Anticipate,54.0,61.0,68.0,64.0,67.0,65.0,70,56,64,70,50,62,72,60,67,65,53,54,66,68,69,70,65,62,66,64,68,68,66,66,65,67.0,68,66,65,9,12,10,13,11,,63+2,63+2,63+2,63,64,64,64,63,64+2,64+2,64+2,64+2,66+1,66+1,66+1,64+2,65+2,67,67,67,65+2,65+2,66+1,66+1,66+1,65+2,17+2
191111,/player/191111/emil-salomonsson/240002,24.0,2.0,2023-09-22,E. Salomonsson,Karl Emil Salomonsson,"RB, RM",67,67,375000.0,2000.0,34,1989-04-28,182,75,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,RB,2.0,,2022-01-08,2024.0,46,Sweden,,,,Right,3,2,1,High/Low,Lean (170-185),No,469000.0,,,69.0,65.0,65.0,65.0,63.0,67.0,67,65,53,61,51,65,70,72,68,65,66,71,70,66,61,70,65,70,69,63,58,63,67,64,70,65.0,66,64,63,13,15,11,10,12,,65+2,65+2,65+2,66,65,65,65,66,65+2,65+2,65+2,66+1,65+2,65+2,65+2,66+1,65+2,64+2,64+2,64+2,65+2,65+2,63+2,63+2,63+2,65+2,18+2
243788,/player/243788/arbnor-mucolli/240002,24.0,2.0,2023-09-22,A. Mucolli,Arbnor Muçolli,"LM, CAM, RM",66,72,1400000.0,2000.0,23,1999-09-15,175,70,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,LM,19.0,,2023-07-06,2026.0,1,Albania,,,,Left,4,4,1,High/Medium,Lean (170-185),No,2000000.0,,"Technical, Flair",73.0,59.0,63.0,70.0,52.0,59.0,59,59,43,66,58,68,65,63,58,67,75,72,86,62,84,61,54,71,52,58,62,53,63,64,58,66.0,53,54,48,13,11,12,7,11,,61+2,61+2,61+2,66,64,64,64,66,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,61+2,59+2,59+2,59+2,61+2,59+2,54+2,54+2,54+2,59+2,16+2
268422,/player/268422/johan-bangsbo/240002,24.0,2.0,2023-09-22,J. Bångsbo,Mats Johan Edward Bångsbo,CB,65,76,1500000.0,1000.0,20,2003-02-10,192,85,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,SUB,3.0,,2022-04-02,2025.0,46,Sweden,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2200000.0,,Jockey,57.0,26.0,47.0,46.0,66.0,68.0,35,18,58,62,23,35,24,28,65,58,54,59,42,63,59,40,69,58,76,22,59,68,54,31,31,52.0,68,67,58,14,15,11,14,8,,46+2,46+2,46+2,45,46,46,46,45,47+2,47+2,47+2,49+2,53+2,53+2,53+2,49+2,58+2,63+2,63+2,63+2,58+2,59+2,65+2,65+2,65+2,59+2,18+2
259923,/player/259923/adam-carlen/240002,24.0,2.0,2023-09-22,A. Carlén,Adam Carlén,"CDM, CM",65,73,1500000.0,1000.0,23,2000-06-27,193,85,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,CM,21.0,,2023-02-01,2025.0,46,Sweden,,,,Right,3,3,1,Medium/High,Normal (185+),No,2200000.0,,"Bruiser, Relentless",68.0,43.0,56.0,66.0,60.0,79.0,44,32,58,65,38,66,37,38,62,67,66,69,64,62,60,57,76,83,82,55,66,64,53,56,38,68.0,64,57,52,12,5,14,13,7,,56+2,56+2,56+2,58,59,59,59,58,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2,62+2,64+2,64+2,64+2,62+2,62+2,63+2,63+2,63+2,62+2,15+2
233763,/player/233763/pontus-dahlberg/240002,24.0,2.0,2023-09-22,P. Dahlberg,Pontus Jacob Ragne Dahlberg,GK,65,72,1200000.0,950.0,24,1999-01-21,194,86,319.0,IFK Göteborg,56.0,Allsvenskan,1.0,GK,1.0,,2022-08-11,2026.0,46,Sweden,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,1700000.0,,,,,,,,,11,5,11,28,9,10,10,11,40,28,39,39,24,48,21,46,58,35,61,19,30,6,7,44,12,53.0,22,13,13,67,62,61,66,68,39.0,24+2,24+2,24+2,23,25,25,25,23,26+2,26+2,26+2,25+2,28+2,28+2,28+2,25+2,23+2,27+2,27+2,27+2,23+2,22+2,24+2,24+2,24+2,22+2,64+2
