player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
194201,/player/194201/pontus-jansson/240002,24.0,2.0,2023-09-22,P. Jansson,Pontus Jansson,CB,74,74,2700000.0,8000.0,32,1991-02-13,194,86,320.0,Malmö FF,56.0,Allsvenskan,1.0,RCB,18.0,,2023-07-01,2027.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,3500000.0,,"Block, Aerial",50.0,42.0,54.0,60.0,73.0,76.0,29,29,68,69,41,58,49,40,62,66,48,51,48,72,34,68,74,54,85,50,80,74,28,50,39,75.0,75,74,71,9,5,14,6,7,,53+2,53+2,53+2,51,53,53,53,51,55+2,55+2,55+2,53+2,60+2,60+2,60+2,53+2,62+2,70+2,70+2,70+2,62+2,64+2,74,74,74,64+2,14+2
199792,/player/199792/anders-christiansen/240002,24.0,2.0,2023-09-22,A. Christiansen,Anders Christiansen,"CM, CAM",74,74,2600000.0,8000.0,33,1990-06-08,175,68,320.0,Malmö FF,56.0,Allsvenskan,1.0,RES,10.0,,2018-07-15,2024.0,13,Denmark,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,3400000.0,,"Technical, Trivela",69.0,73.0,72.0,76.0,65.0,72.0,66,72,62,74,66,75,69,69,75,75,72,66,85,76,84,73,72,80,64,76,82,70,74,74,70,74.0,62,65,68,16,6,8,6,9,,72+2,72+2,72+2,73,74,74,74,73,74,74,74,73+1,74,74,74,73+1,71+2,72+2,72+2,72+2,71+2,70+2,68+2,68+2,68+2,70+2,17+2
236259,/player/236259/sergio-pena/240002,24.0,2.0,2023-09-22,S. Peña,Sergio Fernando Peña Flores,"CM, CDM",73,74,3500000.0,8000.0,27,1995-09-28,178,70,320.0,Malmö FF,56.0,Allsvenskan,1.0,RDM,8.0,,2021-08-04,2024.0,59,Peru,,,,Right,3,4,1,Low/Low,Normal (170-185),No,4800000.0,,"Long Ball Pass, Tiki Taka, Flair, Press Proven",55.0,66.0,77.0,76.0,58.0,71.0,73,62,57,78,68,74,73,71,79,77,59,51,80,68,87,74,67,72,71,68,70,63,64,79,71,82.0,57,58,53,5,12,13,10,6,,67+2,67+2,67+2,70,70,70,70,70,72+2,72+2,72+2,71+2,73+1,73+1,73+1,71+2,66+2,69+2,69+2,69+2,66+2,63+2,62+2,62+2,62+2,63+2,15+2
273694,/player/273694/gabriel-dal-toe-busanello/240002,24.0,2.0,2023-09-22,Busanello,Gabriel Dal Toé Busanello,LB,72,77,3300000.0,5000.0,24,1998-10-29,180,75,320.0,Malmö FF,56.0,Allsvenskan,1.0,LB,25.0,,2023-02-01,2026.0,54,Brazil,,,,Left,2,3,1,High/High,Normal (170-185),No,4500000.0,,"Pinged Pass, Jockey, Relentless",75.0,60.0,71.0,70.0,66.0,75.0,74,60,62,71,55,68,67,68,70,72,73,76,75,67,62,67,74,82,70,58,78,66,59,71,47,72.0,64,71,64,8,11,9,8,14,,65+2,65+2,65+2,69,67,67,67,69,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,71+2,70+2,70+2,70+2,71+2,70+2,68+2,68+2,68+2,70+2,16+2
172862,/player/172862/niklas-moisander/240002,24.0,2.0,2023-09-22,N. Moisander,Niklas Moisander,CB,72,72,425000.0,5000.0,37,1985-09-29,183,77,320.0,Malmö FF,56.0,Allsvenskan,1.0,SUB,4.0,,2021-07-15,2023.0,17,Finland,,,,Left,5,3,1,High/Medium,Normal (170-185),Yes,553000.0,,,38.0,50.0,68.0,67.0,74.0,67.0,54,39,70,76,40,66,56,44,74,67,35,41,64,70,64,67,65,49,74,56,70,74,58,70,54,76.0,77,74,68,11,9,14,15,7,,59+2,59+2,59+2,59,61,61,61,59,64+2,64+2,64+2,60+2,68+2,68+2,68+2,60+2,64+2,71+1,71+1,71+1,64+2,65+2,72,72,72,65+2,17+2
248166,/player/248166/lasse-berg-johnsen/240002,24.0,2.0,2023-09-22,L. Johnsen,Lasse Berg Johnsen,"CDM, CM",71,78,3500000.0,5000.0,23,1999-08-18,179,75,320.0,Malmö FF,56.0,Allsvenskan,1.0,LDM,23.0,,2023-07-13,2027.0,36,Norway,,,,Right,3,2,1,High/High,Lean (170-185),No,5300000.0,#Engine,"Tiki Taka, Jockey",67.0,53.0,65.0,68.0,67.0,74.0,55,49,55,72,55,64,58,50,69,69,69,65,77,67,74,64,70,87,71,49,66,68,59,63,50,68.0,68,68,66,8,8,13,11,13,,61+2,61+2,61+2,63,63,63,63,63,65+2,65+2,65+2,65+2,67+2,67+2,67+2,65+2,68+2,70+2,70+2,70+2,68+2,68+2,67+2,67+2,67+2,68+2,16+2
250855,/player/250855/sebastian-jorgensen/240002,24.0,2.0,2023-09-22,S. Jørgensen,Sebastian Vinther Jørgensen,"RM, LM",71,77,3000000.0,5000.0,23,2000-06-08,178,68,320.0,Malmö FF,56.0,Allsvenskan,1.0,RM,14.0,,2023-07-07,2027.0,13,Denmark,,,,Left,3,3,1,High/Medium,Lean (170-185),No,4500000.0,,Flair,78.0,63.0,64.0,69.0,24.0,58.0,66,67,35,67,48,68,54,40,64,69,77,78,74,66,70,67,54,87,52,56,40,24,70,67,42,66.0,22,22,25,14,5,14,14,10,,64+2,64+2,64+2,69,68,68,68,69,68+2,68+2,68+2,70+2,63+2,63+2,63+2,70+2,54+2,49+2,49+2,49+2,54+2,49+2,37+2,37+2,37+2,49+2,17+2
199131,/player/199131/anton-tinnerholm/240002,24.0,2.0,2023-09-22,A. Tinnerholm,Anton Tinnerholm,RB,71,71,1300000.0,6000.0,32,1991-02-26,176,75,320.0,Malmö FF,56.0,Allsvenskan,1.0,RES,2.0,,2023-02-01,2026.0,46,Sweden,,,,Right,3,3,1,High/High,Normal (170-185),Yes,1700000.0,#Engine,"Rapid, Long Throw",70.0,52.0,65.0,67.0,66.0,75.0,72,51,35,67,64,65,62,42,64,67,66,74,69,72,66,52,58,87,71,50,76,68,64,64,35,68.0,71,70,66,9,15,11,13,16,,59+2,59+2,59+2,65,63,63,63,65,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,71,70+1,70+1,70+1,71,69+2,66+2,66+2,66+2,69+2,20+2
205985,/player/205985/isaac-kiese-thelin/240002,24.0,2.0,2023-09-22,I. Thelin,Isaac Kiese Thelin,ST,71,71,1600000.0,7000.0,31,1992-06-24,189,82,320.0,Malmö FF,56.0,Allsvenskan,1.0,ST,9.0,,2022-03-16,2025.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Lean (185+),Yes,2100000.0,,Finesse Shot,59.0,70.0,59.0,65.0,37.0,82.0,46,74,73,64,66,64,51,38,59,66,47,68,63,74,51,71,79,75,88,61,78,32,76,72,72,73.0,45,25,20,11,16,11,12,8,,71,71,71,65,68,68,68,65,67+2,67+2,67+2,65+2,63+2,63+2,63+2,65+2,50+2,54+2,54+2,54+2,50+2,48+2,52+2,52+2,52+2,48+2,19+2
220649,/player/220649/stefano-vecchia/240002,24.0,2.0,2023-09-22,S. Vecchia,Stefano Giuseppe Arne Holmquist Vecchia,"LM, CAM, ST",71,71,1900000.0,6000.0,28,1995-01-23,182,80,320.0,Malmö FF,56.0,Allsvenskan,1.0,LM,21.0,,2023-03-10,2026.0,46,Sweden,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,2500000.0,,"Finesse Shot, Technical, Flair",74.0,69.0,67.0,72.0,34.0,68.0,65,70,34,69,58,72,73,64,58,71,78,70,73,68,76,72,65,71,73,70,50,35,69,70,63,72.0,39,32,26,11,12,6,14,14,,67+2,67+2,67+2,70,70,70,70,70,70+1,70+1,70+1,70+1,65+2,65+2,65+2,70+1,55+2,53+2,53+2,53+2,55+2,51+2,45+2,45+2,45+2,51+2,18+2
164484,/player/164484/johan-dahlin/240002,24.0,2.0,2023-09-22,J. Dahlin,Johan Dahlin,GK,70,70,180000.0,2000.0,36,1986-09-08,192,94,320.0,Malmö FF,56.0,Allsvenskan,1.0,GK,27.0,,2017-07-15,2023.0,46,Sweden,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,234000.0,,,,,,,,,9,10,12,24,13,11,14,13,32,24,41,34,38,68,35,48,68,39,77,19,44,22,13,45,13,65.0,22,11,10,65,71,64,77,64,38.0,27+2,27+2,27+2,25,27,27,27,25,28+2,28+2,28+2,26+2,29+2,29+2,29+2,26+2,25+2,30+2,30+2,30+2,25+2,25+2,29+2,29+2,29+2,25+2,69+1
205210,/player/205210/oscar-lewicki/240002,24.0,2.0,2023-09-22,O. Lewicki,Carl Oscar Johan Lewicki,"CDM, CM, CB",70,70,1300000.0,5000.0,30,1992-07-14,171,68,320.0,Malmö FF,56.0,Allsvenskan,1.0,SUB,6.0,,2015-01-08,2024.0,46,Sweden,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1700000.0,,"Long Ball Pass, Tiki Taka, Slide Tackle",59.0,55.0,60.0,66.0,70.0,75.0,51,52,63,64,49,61,56,45,63,64,63,55,80,65,88,64,70,86,69,56,75,70,61,64,48,67.0,79,66,65,12,10,7,10,15,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,66+2,69+1,69+1,69+1,66+2,66+2,69+1,69+1,69+1,66+2,17+2
