player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
208432,/player/208432/tom-pettersson/240002,24.0,2.0,2023-09-22,T. Pettersson,Tom Pettersson,CB,68,68,575000.0,2000.0,33,1990-03-25,190,83,112072.0,Mjällby,56.0,Allsvenskan,1.0,LCB,24.0,,2023-02-01,2024.0,46,Sweden,,,,Left,2,2,1,Medium/High,Normal (185+),No,719000.0,#Strength,"Power Header, Intercept, Slide Tackle",37.0,51.0,58.0,55.0,66.0,82.0,48,45,70,64,45,51,54,40,64,60,36,38,52,65,55,62,73,72,90,52,78,67,58,56,46,65.0,67,63,62,6,6,6,14,11,,57+2,57+2,57+2,53,55,55,55,53,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,60+2,66+2,66+2,66+2,60+2,60+2,68,68,68,60+2,15+2
242055,/player/242055/adam-stahl/240002,24.0,2.0,2023-09-22,A. Ståhl,Adam Mikael Sven Ståhl,"LWB, RWB, ST",64,64,525000.0,1000.0,28,1994-10-08,187,75,112072.0,Mjällby,56.0,Allsvenskan,1.0,LWB,11.0,,2022-01-28,2024.0,46,Sweden,,,,Right,3,3,1,High/Medium,Normal (185+),No,656000.0,,,75.0,58.0,58.0,64.0,56.0,71.0,60,59,50,62,52,64,56,48,53,64,73,77,67,60,68,65,70,74,72,52,65,57,62,55,56,62.0,57,57,57,11,14,13,6,13,,62+2,62+2,62+2,63,62,62,62,63,61+2,61+2,61+2,63+1,60+2,60+2,60+2,63+1,62+2,60+2,60+2,60+2,62+2,62+2,60+2,60+2,60+2,62+2,16+2
260001,/player/260001/noah-eile/240002,24.0,2.0,2023-09-22,N. Eile,Noah Eile,CB,63,78,1100000.0,1000.0,20,2002-07-19,195,83,112072.0,Mjällby,56.0,Allsvenskan,1.0,RCB,29.0,Malmö FF,,2023.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,,,Intercept,73.0,26.0,42.0,47.0,62.0,70.0,21,22,58,58,28,40,28,21,51,55,66,78,59,58,35,39,71,62,73,21,74,65,30,35,32,46.0,62,61,59,11,14,13,15,13,,45+2,45+2,45+2,44,45,45,45,44,46+2,46+2,46+2,47+2,49+2,49+2,49+2,47+2,56+2,59+2,59+2,59+2,56+2,58+2,63+2,63+2,63+2,58+2,18+2
238703,/player/238703/arvid-brorsson/240002,24.0,2.0,2023-09-22,A. Brorsson,Arvid Brorsson,"CB, CDM",63,69,700000.0,750.0,24,1999-05-08,188,81,112072.0,Mjällby,56.0,Allsvenskan,1.0,LCM,3.0,,2023-02-01,2026.0,46,Sweden,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,1000000.0,,,51.0,23.0,48.0,52.0,62.0,70.0,40,20,65,60,30,49,34,35,53,55,54,49,53,60,53,28,73,64,78,22,56,64,20,38,29,55.0,64,60,59,5,12,8,12,14,,42+2,42+2,42+2,44,42,42,42,44,45+2,45+2,45+2,47+2,50+2,50+2,50+2,47+2,57+2,60+2,60+2,60+2,57+2,58+2,63+2,63+2,63+2,58+2,16+2
254469,/player/254469/viktor-gustafson/240002,24.0,2.0,2023-09-22,V. Gustafson,Viktor Gustafson,"CDM, CM, RWB",63,64,475000.0,900.0,28,1995-03-22,181,71,112072.0,Mjällby,56.0,Allsvenskan,1.0,RCM,7.0,,2018-01-08,2026.0,46,Sweden,,,,Right,3,2,1,Low/Medium,Lean (170-185),No,629000.0,,,64.0,45.0,55.0,59.0,59.0,72.0,43,46,46,62,31,57,38,39,60,61,63,65,62,62,69,47,63,75,75,45,62,61,54,58,37,55.0,61,61,58,9,8,15,10,6,,54+2,54+2,54+2,56,56,56,56,56,58+2,58+2,58+2,58+2,60+2,60+2,60+2,58+2,60+2,62+2,62+2,62+2,60+2,60+2,61+2,61+2,61+2,60+2,15+2
199080,/player/199080/david-lofquist/240002,24.0,2.0,2023-09-22,D. Löfquist,David Sebastian Magnus Löfquist,"CM, CF",63,63,150000.0,700.0,36,1986-08-06,189,88,112072.0,Mjällby,56.0,Allsvenskan,1.0,LS,12.0,,2014-02-02,2023.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,188000.0,,Finesse Shot,48.0,61.0,64.0,61.0,59.0,71.0,63,58,56,66,56,61,69,68,63,62,60,39,60,64,56,66,69,70,75,66,63,60,61,60,60,64.0,62,59,53,16,7,14,16,14,,61+2,61+2,61+2,60,61,61,61,60,61+2,61+2,61+2,61+2,63,63,63,61+2,61+2,63,63,63,61+2,59+2,61+2,61+2,61+2,59+2,19+2
246382,/player/246382/mamudu-moro/240002,24.0,2.0,2023-09-22,M. Moro,Mamudu Moro,"ST, RM",63,63,500000.0,1000.0,28,1995-03-07,172,65,112072.0,Mjällby,56.0,Allsvenskan,1.0,SUB,10.0,,2020-01-08,2023.0,117,Ghana,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,625000.0,,Rapid,84.0,61.0,54.0,67.0,33.0,60.0,51,63,47,60,58,64,46,40,44,65,83,84,77,64,84,59,66,65,59,60,53,29,67,59,49,62.0,26,39,28,13,9,13,5,14,,63,63,63,65-2,65-2,65-2,65-2,65-2,64-1,64-1,64-1,64-1,57+2,57+2,57+2,64-1,51+2,48+2,48+2,48+2,51+2,49+2,44+2,44+2,44+2,49+2,16+2
253013,/player/253013/jacob-bergstrom/240002,24.0,2.0,2023-09-22,J. Bergström,Jacob Bergström,ST,63,63,500000.0,1000.0,28,1995-04-26,195,95,112072.0,Mjällby,56.0,Allsvenskan,1.0,SUB,18.0,,2023-07-14,2026.0,46,Sweden,,,,Right,3,2,1,High/Medium,Stocky (185+),No,625000.0,#Strength,Power Header,65.0,61.0,44.0,58.0,37.0,79.0,28,63,69,50,58,59,38,35,46,62,63,67,39,58,51,64,83,66,91,55,63,35,62,51,57,61.0,35,30,31,6,9,12,8,14,,63,63,63,56,60,60,60,56,56+2,56+2,56+2,56+2,53+2,53+2,53+2,56+2,46+2,48+2,48+2,48+2,46+2,46+2,50+2,50+2,50+2,46+2,15+2
267473,/player/267473/silas-nwankwo/240002,24.0,2.0,2023-09-22,S. Nwankwo,Silas Nwankwo,ST,62,77,950000.0,550.0,19,2003-12-12,183,75,112072.0,Mjällby,56.0,Allsvenskan,1.0,RES,31.0,,2022-02-03,2024.0,133,Nigeria,,,,Right,3,2,1,Medium/Low,Normal (170-185),No,1800000.0,,,82.0,59.0,46.0,61.0,27.0,67.0,36,65,62,55,54,59,39,37,45,58,83,82,75,55,76,55,82,64,71,55,56,21,59,46,49,51.0,20,28,23,9,9,9,13,7,,62+2,62+2,62+2,59,60,60,60,59,58+2,58+2,58+2,58+2,51+2,51+2,51+2,58+2,45+2,42+2,42+2,42+2,45+2,43+2,42+2,42+2,42+2,43+2,14+2
255900,/player/255900/noel-tornqvist/240002,24.0,2.0,2023-09-22,N. Törnqvist,Noel Törnqvist,GK,62,73,775000.0,500.0,21,2002-02-01,195,82,112072.0,Mjällby,56.0,Allsvenskan,1.0,GK,1.0,,2020-01-01,2026.0,46,Sweden,,,,Left,2,1,1,Medium/Medium,Normal (185+),No,1100000.0,,,,,,,,,11,7,13,26,9,10,11,11,28,16,49,42,42,46,26,47,61,34,62,5,33,8,7,52,10,32.0,7,11,10,64,61,63,64,63,46.0,23+2,23+2,23+2,22,23,23,23,22,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,21+2,23+2,23+2,23+2,21+2,20+2,22+2,22+2,22+2,20+2,61+2
