team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
320,/team/320/malmo-ff/240002,24,2,2023-09-22,Malmö FF,56,Allsvenskan,1.0,46,Sweden,70,71,70,70,37646925.0,Stade Municipal,319,4,10.0,,57500000.0,26.82,26.96,194201.0,273694.0,273694.0,256782.0,273694.0,205985.0,236259.0,273694.0,Press after possession loss,51.0,61.0,,,,,,Slow build up,Possession,31.0,8.0,3.0,3.0,,,,,,,,
711,/team/711/hacken/240002,24,2,2023-09-22,Häcken,56,Allsvenskan,1.0,46,Sweden,69,66,70,68,896740.0,Molton Road (Sheldon Stadium),319,1,7.0,,17600000.0,28.09,25.11,213614.0,234488.0,234488.0,213614.0,234488.0,234488.0,234488.0,213614.0,Press after possession loss,61.0,51.0,,,,,,Fast build up,Forward runs,61.0,6.0,3.0,3.0,,,,,,,,
433,/team/433/aik/240002,24,2,2023-09-22,AIK,56,Allsvenskan,1.0,46,Sweden,67,65,64,67,184993.0,Waldstadion (Fussballstadion),710,2,9.0,,25300000.0,26.91,25.78,202605.0,219951.0,219951.0,219951.0,219951.0,219951.0,219951.0,219951.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
319,/team/319/ifk-goteborg/240002,24,2,2023-09-22,IFK Göteborg,56,Allsvenskan,1.0,46,Sweden,66,68,63,66,16845924.0,Stadion Neder,320,1,7.0,,14100000.0,28.18,25.16,176733.0,144429.0,144429.0,243788.0,144429.0,176733.0,243788.0,144429.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,61.0,7.0,3.0,3.0,,,,,,,,
700,/team/700/elfsborg/240002,24,2,2023-09-22,Elfsborg,56,Allsvenskan,1.0,46,Sweden,66,66,63,67,457107.0,Stade Municipal,319,1,6.0,,8600000.0,25.45,23.7,198455.0,198455.0,198455.0,198455.0,198455.0,234522.0,198455.0,198455.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,5.0,3.0,3.0,,,,,,,,
710,/team/710/djurgarden/240002,24,2,2023-09-22,Djurgården,56,Allsvenskan,1.0,46,Sweden,66,66,68,66,458730.0,Sanderson Park (FIFA 13 NEW generic),433,1,9.0,,29300000.0,28.27,26.7,208437.0,208437.0,208437.0,208437.0,201967.0,242062.0,208437.0,201967.0,Press after possession loss,51.0,61.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
702,/team/702/norrkoping/240002,24,2,2023-09-22,Norrköping,56,Allsvenskan,1.0,46,Sweden,65,64,65,63,37296110.0,Molton Road (Sheldon Stadium),320,1,8.0,,14700000.0,25.09,24.48,202905.0,211177.0,239170.0,211177.0,239170.0,202905.0,263761.0,263761.0,Press after possession loss,51.0,71.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
708,/team/708/hammarby/240002,24,2,2023-09-22,Hammarby,56,Allsvenskan,1.0,46,Sweden,65,64,63,65,18932187.0,Sanderson Park (FIFA 13 NEW generic),710,1,8.0,,27900000.0,23.45,23.82,197240.0,197240.0,197240.0,197240.0,197240.0,197240.0,197240.0,197240.0,Pressure on heavy touch,61.0,51.0,,,,,,Slow build up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
1439,/team/1439/kalmar/240002,24,2,2023-09-22,Kalmar,56,Allsvenskan,1.0,46,Sweden,64,64,65,65,17177187.0,Molton Road (Sheldon Stadium),112072,1,3.0,,5000000.0,28.82,25.17,196972.0,193358.0,193358.0,193358.0,193358.0,193358.0,193358.0,254537.0,Pressure on heavy touch,51.0,61.0,,,,,,Slow build up,Possession,61.0,4.0,3.0,3.0,,,,,,,,
321,/team/321/halmstad/240002,24,2,2023-09-22,Halmstad,56,Allsvenskan,1.0,46,Sweden,63,62,61,64,452677.0,Town Park,113743,1,3.0,,3200000.0,27.64,25.16,23823.0,261298.0,239278.0,239278.0,261298.0,273591.0,239278.0,259993.0,Balanced,41.0,41.0,,,,,,Slow build up,Possession,41.0,3.0,3.0,3.0,,,,,,,,
