player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
201841,/player/201841/noe-dussenne/240002,24.0,2.0,2023-09-22,N. Dussenne,Noë Dussenne,CB,72,72,1600000.0,8000.0,31,1992-04-07,192,85,1862.0,Lausanne Sport,189.0,Super League,1.0,RCB,6.0,,2023-07-01,2026.0,7,Belgium,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2300000.0,,"Long Ball Pass, Anticipate",33.0,40.0,52.0,52.0,74.0,75.0,41,40,75,66,59,44,28,29,61,58,32,34,47,69,53,50,71,68,80,21,74,75,28,44,74,71.0,75,73,69,12,16,15,7,11,,50+2,50+2,50+2,45,47,47,47,45,48+2,48+2,48+2,49+2,56+2,56+2,56+2,49+2,61+2,68+2,68+2,68+2,61+2,63+2,72,72,72,63+2,18+2
236944,/player/236944/fousseni-diabate/240002,24.0,2.0,2023-09-22,F. Diabaté,Fousseni Diabaté,"RW, LW, CAM",71,71,2000000.0,9000.0,27,1995-10-18,175,60,1862.0,Lausanne Sport,189.0,Super League,1.0,SUB,11.0,,2023-09-07,2025.0,126,Mali,,,,Left,2,3,1,High/Low,Lean (170-185),No,2900000.0,,"Rapid, Flair",87.0,64.0,61.0,75.0,24.0,47.0,63,64,59,66,68,78,61,43,56,68,87,87,89,63,81,66,64,62,42,61,34,20,68,60,67,60.0,20,21,22,9,12,7,12,7,,67+2,67+2,67+2,71,69,69,69,71,68+2,68+2,68+2,69+2,60+2,60+2,60+2,69+2,51+2,44+2,44+2,44+2,51+2,47+2,36+2,36+2,36+2,47+2,16+2
237207,/player/237207/samuel-kalu/240002,24.0,2.0,2023-09-22,S. Kalu,Samuel Kalu Ojim,"LM, RM, RW",70,71,1900000.0,18000.0,25,1997-08-26,177,78,1862.0,Lausanne Sport,189.0,Super League,1.0,SUB,22.0,Watford,,2024.0,133,Nigeria,,,,Right,4,4,1,High/Medium,Normal (170-185),Yes,,,Technical,85.0,63.0,66.0,73.0,34.0,55.0,68,64,62,67,47,75,78,68,58,69,87,84,81,65,81,66,72,61,50,63,57,31,65,63,52,64.0,30,32,27,11,13,6,10,12,,66+2,66+2,66+2,70,69,69,69,70,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,55+2,50+2,50+2,50+2,55+2,52+2,45+2,45+2,45+2,52+2,17+2
262480,/player/262480/rares-ilie/240002,24.0,2.0,2023-09-22,R. Ilie,Rareș Ilie,"LM, CAM",69,78,3100000.0,13000.0,20,2003-04-19,185,75,1862.0,Lausanne Sport,189.0,Super League,1.0,LW,19.0,Nice,,2024.0,39,Romania,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,,,"Finesse Shot, Technical",78.0,64.0,66.0,71.0,41.0,63.0,65,64,58,68,59,71,70,65,66,70,74,81,80,61,76,65,69,68,61,65,58,38,60,65,64,63.0,42,38,37,10,15,11,6,15,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,57+2,55+2,55+2,55+2,57+2,55+2,50+2,50+2,50+2,55+2,17+2
234795,/player/234795/antoine-bernede/240002,24.0,2.0,2023-09-22,A. Bernede,Antoine Joseph Emmanuel Bernède,"CDM, CM",69,71,1600000.0,5000.0,24,1999-05-26,178,73,1862.0,Lausanne Sport,189.0,Super League,1.0,CDM,24.0,,2023-01-09,2026.0,18,France,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,2400000.0,,,66.0,59.0,65.0,71.0,66.0,63.0,51,55,47,70,52,70,59,58,69,73,63,68,74,64,73,66,58,68,60,62,66,66,67,69,59,68.0,67,71,66,9,15,11,6,15,,63+2,63+2,63+2,66,66,66,66,66,68+2,68+2,68+2,66+2,69+2,69+2,69+2,66+2,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,65+2,65+2,17+2
218887,/player/218887/olivier-custodio/240002,24.0,2.0,2023-09-22,O. Custodio,Olivier Custodio Da Costa,"CDM, CM",69,70,1300000.0,6000.0,28,1995-02-10,180,74,1862.0,Lausanne Sport,189.0,Super League,1.0,RCM,10.0,,2022-06-01,2024.0,47,Switzerland,,,,Right,3,3,1,Medium/High,Normal (170-185),No,2000000.0,,Dead Ball,66.0,49.0,70.0,66.0,63.0,71.0,68,42,52,72,57,64,65,64,70,70,69,64,64,59,72,62,65,90,67,49,60,66,43,69,62,66.0,64,62,63,10,13,7,12,8,,56+2,56+2,56+2,62,60,60,60,62,63+2,63+2,63+2,65+2,66+2,66+2,66+2,65+2,68+2,68+2,68+2,68+2,68+2,67+2,63+2,63+2,63+2,67+2,16+2
243538,/player/243538/karlo-letica/240002,24.0,2.0,2023-09-22,K. Letica,Karlo Letica,GK,67,70,1000000.0,3000.0,26,1997-02-11,201,96,1862.0,Lausanne Sport,189.0,Super League,1.0,GK,25.0,,2023-08-24,2024.0,10,Croatia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1500000.0,,Far Throw,,,,,,,13,5,10,29,9,14,13,12,28,17,30,34,31,64,27,47,60,18,71,6,24,11,6,36,17,22.0,11,12,12,69,62,62,68,68,32.0,23+2,23+2,23+2,21,23,23,23,21,24+2,24+2,24+2,23+2,25+2,25+2,25+2,23+2,21+2,24+2,24+2,24+2,21+2,20+2,24+2,24+2,24+2,20+2,66+2
199285,/player/199285/stjepan-kukuruzovic/240002,24.0,2.0,2023-09-22,S. Kukuruzović,Stjepan Kukuruzović,"CM, CDM",67,67,475000.0,4000.0,34,1989-06-07,180,76,1862.0,Lausanne Sport,189.0,Super League,1.0,SUB,7.0,,2018-08-29,2024.0,10,Croatia,,,,Left,5,3,1,Medium/Medium,Normal (170-185),No,689000.0,,"Power Shot, Dead Ball, Long Ball Pass",55.0,66.0,73.0,63.0,54.0,65.0,73,58,50,74,50,60,71,77,71,67,62,50,63,64,64,79,62,63,66,76,64,55,64,73,66,69.0,54,55,55,6,10,9,14,6,,63+2,63+2,63+2,65,65,65,65,65,67,67,67,65+2,67,67,67,65+2,62+2,63+2,63+2,63+2,62+2,60+2,58+2,58+2,58+2,60+2,15+2
260272,/player/260272/alvyn-antonio-sanches/240002,24.0,2.0,2023-09-22,Alvyn Sanches,Alvyn Antonio Sanches,"CM, CAM",66,82,2200000.0,3000.0,20,2003-02-12,180,68,1862.0,Lausanne Sport,189.0,Super League,1.0,LCM,80.0,,2020-11-13,2026.0,47,Switzerland,,,,Left,3,4,1,High/Medium,Lean (170-185),No,4600000.0,,"Anticipate, First Touch, Press Proven",70.0,55.0,62.0,71.0,60.0,63.0,51,63,52,67,34,73,52,49,65,69,73,67,75,65,72,50,63,78,57,47,61,61,63,67,53,69.0,58,62,61,12,12,7,13,7,,62+2,62+2,62+2,66,65,65,65,66,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,64+2,64+2,64+2,64+2,64+2,63+2,60+2,60+2,60+2,63+2,17+2
246909,/player/246909/toichi-suzuki/240002,24.0,2.0,2023-09-22,T. Suzuki,鈴木 冬一,"LB, LM",66,72,1300000.0,3000.0,23,2000-05-30,165,60,1862.0,Lausanne Sport,189.0,Super League,1.0,SUB,28.0,,2021-01-13,2024.0,163,Japan,,,,Left,2,3,1,High/Medium,Normal (170-),No,2100000.0,,,84.0,53.0,59.0,67.0,56.0,55.0,64,55,45,60,47,64,49,47,57,65,85,84,86,61,86,54,52,81,34,51,75,57,53,57,50,56.0,51,63,61,10,13,14,6,10,,57+2,57+2,57+2,64,61,61,61,64,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,65+2,60+2,60+2,60+2,65+2,64+2,56+2,56+2,56+2,64+2,16+2
