player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
229956,/player/229956/lawrence-ati-zigi/240002,24.0,2.0,2023-09-22,L. Zigi,Lawrence Ati Zigi,GK,74,78,4500000.0,8000.0,26,1996-11-29,188,87,898.0,St. Gallen,189.0,Super League,1.0,GK,1.0,,2020-01-24,2025.0,117,Ghana,111462.0,GK,1.0,Right,3,1,1,Medium/Medium,Normal (185+),No,6900000.0,,Footwork,,,,,,,14,18,20,22,9,11,20,23,25,24,45,33,38,71,57,49,71,32,75,20,30,21,17,44,24,26.0,11,15,23,75,69,65,74,77,40.0,30+2,30+2,30+2,26,29,29,29,26,28+2,28+2,28+2,27+2,28+2,28+2,28+2,27+2,26+2,28+2,28+2,28+2,26+2,26+2,29+2,29+2,29+2,26+2,73+2
228645,/player/228645/lukas-gortler/240002,24.0,2.0,2023-09-22,L. Görtler,Lukas Maria Görtler,CM,74,74,4100000.0,12000.0,29,1994-06-15,186,80,898.0,St. Gallen,189.0,Super League,1.0,RAM,16.0,,2019-07-08,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (185+),No,5900000.0,,"Pinged Pass, Long Ball Pass, Press Proven",68.0,70.0,76.0,69.0,59.0,79.0,74,72,65,77,62,67,67,56,79,72,66,70,71,74,70,70,74,91,75,67,77,61,71,81,62,67.0,59,58,51,11,15,14,13,14,,70+2,70+2,70+2,72,72,72,72,72,73+1,73+1,73+1,73+1,74,74,74,73+1,69+2,70+2,70+2,70+2,69+2,67+2,65+2,65+2,65+2,67+2,20+2
210619,/player/210619/jordi-quintilla-guasch/240002,24.0,2.0,2023-09-22,Jordi Quintillà,Jordi Quintillà Guasch,"CDM, CM",72,72,2000000.0,9000.0,29,1993-10-25,181,73,898.0,St. Gallen,189.0,Super League,1.0,RDM,8.0,,2022-01-22,2025.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,2900000.0,,"Whipped Cross, Flair, First Touch, Press Proven",65.0,66.0,74.0,73.0,65.0,71.0,65,65,57,78,56,70,74,71,76,75,62,67,76,71,80,68,66,83,67,70,67,68,65,75,68,76.0,68,64,62,9,10,12,13,7,,67+2,67+2,67+2,70,70,70,70,70,72,72,72,71+1,74-2,74-2,74-2,71+1,70+2,71+1,71+1,71+1,70+2,68+2,66+2,66+2,66+2,68+2,17+2
245428,/player/245428/chima-okoroji/240002,24.0,2.0,2023-09-22,C. Okoroji,Chima Sean Okoroji,LB,70,73,1900000.0,7000.0,26,1997-04-19,178,73,898.0,St. Gallen,189.0,Super League,1.0,SUB,36.0,,2023-07-22,2025.0,14,England,,,,Left,3,3,1,High/Medium,Normal (170-185),Yes,2900000.0,,Whipped Cross,88.0,34.0,64.0,70.0,63.0,62.0,70,31,50,68,21,68,76,58,62,71,85,91,79,64,76,42,68,70,56,33,64,61,52,49,35,60.0,64,68,64,13,14,10,8,11,,54+2,54+2,54+2,64,59,59,59,64,61+2,61+2,61+2,66+2,62+2,62+2,62+2,66+2,69+2,65+2,65+2,65+2,69+2,68+2,63+2,63+2,63+2,68+2,17+2
243661,/player/243661/albert-vallci/240002,24.0,2.0,2023-09-22,A. Vallci,Albert Vallçi,"CB, RB",70,70,1500000.0,7000.0,27,1995-07-02,191,85,898.0,St. Gallen,189.0,Super League,1.0,RCB,20.0,,2022-08-04,2025.0,4,Austria,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,2200000.0,,,70.0,56.0,60.0,57.0,68.0,78.0,62,48,76,64,32,58,62,67,55,56,73,68,56,66,45,69,90,76,81,65,69,63,63,52,63,60.0,65,70,70,8,11,8,14,7,,62+2,62+2,62+2,60,60,60,60,60,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,67+2,70,70,70,67+2,16+2
222825,/player/222825/chadrac-akolo/240002,24.0,2.0,2023-09-22,C. Akolo,Chadrac Akolo Ababa,"ST, RW",69,69,1400000.0,7000.0,28,1995-04-01,172,72,898.0,St. Gallen,189.0,Super League,1.0,SUB,10.0,,2022-07-03,2024.0,110,Congo DR,,,,Right,3,4,1,High/Medium,Normal (170-185),Yes,2000000.0,#Acrobat,"Technical, First Touch, Trickster",87.0,67.0,62.0,76.0,29.0,66.0,62,67,51,66,66,73,67,47,63,74,90,84,90,70,89,70,75,69,68,64,57,26,70,59,62,72.0,26,27,26,11,14,7,10,7,,69,69,69,72-3,71-2,71-2,71-2,72-3,70-1,70-1,70-1,71-2,63+2,63+2,63+2,71-2,54+2,50+2,50+2,50+2,54+2,51+2,44+2,44+2,44+2,51+2,17+2
255313,/player/255313/richard-van-der-venne/240002,24.0,2.0,2023-09-22,R. van der Venne,Richard van der Venne,"CM, CAM, CDM",69,69,1100000.0,6000.0,31,1992-05-16,173,75,898.0,St. Gallen,189.0,Super League,1.0,SUB,31.0,,2023-07-05,2025.0,34,Netherlands,,,,Left,3,2,1,High/Medium,Normal (170-185),No,1600000.0,,Pinged Pass,64.0,66.0,67.0,68.0,58.0,74.0,60,66,54,71,64,64,68,60,66,68,68,61,74,70,79,66,68,80,71,68,77,63,71,70,55,69.0,56,59,58,12,12,12,7,6,,66+2,66+2,66+2,67,67,67,67,67,68+1,68+1,68+1,67+2,69,69,69,67+2,65+2,66+2,66+2,66+2,65+2,64+2,63+2,63+2,63+2,64+2,16+2
240241,/player/240241/bastien-toma/240002,24.0,2.0,2023-09-22,B. Toma,Bastien Toma,"CM, CDM",68,75,2400000.0,5000.0,24,1999-06-24,174,67,898.0,St. Gallen,189.0,Super League,1.0,RES,24.0,,2023-09-08,2025.0,47,Switzerland,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4000000.0,,"Technical, Flair",65.0,63.0,66.0,72.0,63.0,68.0,55,62,54,70,55,72,56,62,68,69,74,57,81,65,84,61,69,71,69,71,63,66,64,70,54,64.0,64,64,64,8,9,11,7,14,,64+2,64+2,64+2,67,67,67,67,67,69+2,69+2,69+2,67+2,68+2,68+2,68+2,67+2,65+2,67+2,67+2,67+2,65+2,64+2,64+2,64+2,64+2,64+2,16+2
247519,/player/247519/felix-mambimbi/240002,24.0,2.0,2023-09-22,F. Mambimbi,Felix Khonde Mambimbi,"LM, ST, RM",67,73,1600000.0,4000.0,22,2001-01-18,171,64,898.0,St. Gallen,189.0,Super League,1.0,SUB,18.0,,2023-09-04,2025.0,47,Switzerland,,,,Right,4,3,1,High/Medium,Lean (170-185),No,2600000.0,,Rapid,87.0,63.0,54.0,71.0,24.0,56.0,53,69,51,58,55,72,48,42,50,67,87,87,87,55,93,62,67,65,53,53,50,23,66,57,66,50.0,19,20,25,14,5,11,10,5,,65+2,65+2,65+2,67,66,66,66,67,65+2,65+2,65+2,66+2,56+2,56+2,56+2,66+2,48+2,43+2,43+2,43+2,48+2,46+2,38+2,38+2,38+2,46+2,14+2
244490,/player/244490/jozo-stanic/240002,24.0,2.0,2023-09-22,J. Stanić,Jozo Stanić,"RB, CB",67,72,1400000.0,3000.0,24,1999-04-06,184,80,898.0,St. Gallen,189.0,Super League,1.0,SUB,4.0,,2023-09-04,2025.0,10,Croatia,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2100000.0,,,61.0,28.0,57.0,59.0,65.0,73.0,63,23,60,64,25,55,39,27,54,61,60,61,66,64,62,31,71,76,75,30,64,62,41,55,35,61.0,65,68,65,7,7,12,9,7,,47+2,47+2,47+2,54,51,51,51,54,54+2,54+2,54+2,57+2,58+2,58+2,58+2,57+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,14+2
263745,/player/263745/christian-witzig/240002,24.0,2.0,2023-09-22,C. Witzig,Christian Witzig,CM,66,76,1900000.0,3000.0,22,2001-01-09,178,69,898.0,St. Gallen,189.0,Super League,1.0,LAM,37.0,,2021-07-01,2025.0,47,Switzerland,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3100000.0,,Technical,67.0,61.0,64.0,67.0,59.0,64.0,62,60,57,68,54,65,60,48,64,69,68,66,72,64,73,65,66,72,61,63,62,60,65,65,51,60.0,58,62,56,9,14,10,12,11,,63+2,63+2,63+2,65,65,65,65,65,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,63+2,61+2,61+2,61+2,63+2,17+2
271573,/player/271573/mattia-zanotti/240002,24.0,2.0,2023-09-22,M. Zanotti,Mattia Zanotti,"RB, RM",65,77,1600000.0,10000.0,20,2003-01-11,173,71,898.0,St. Gallen,189.0,Super League,1.0,RB,46.0,Inter,,2024.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,78.0,59.0,68.0,68.0,60.0,58.0,68,59,55,69,54,70,69,61,67,62,77,78,79,61,80,58,68,53,58,57,60,59,63,66,62,67.0,58,62,62,12,5,7,9,13,,62+2,62+2,62+2,67,65,65,65,67,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,64+2,62+2,62+2,62+2,64+2,63+2,61+2,61+2,61+2,63+2,15+2
244592,/player/244592/julian-von-moos/240002,24.0,2.0,2023-09-22,J. von Moos,Julian Tobias Emilio von Moos,"RW, ST",65,74,1600000.0,3000.0,22,2001-04-01,181,77,898.0,St. Gallen,189.0,Super League,1.0,RS,11.0,,2022-01-14,2024.0,47,Switzerland,,,,Left,2,3,1,High/Medium,Normal (170-185),No,2600000.0,,Trivela,80.0,61.0,57.0,68.0,25.0,61.0,59,63,59,64,51,68,52,34,54,67,77,82,79,51,78,62,72,74,62,56,38,12,61,52,61,51.0,36,16,12,11,13,12,14,8,,63+2,63+2,63+2,65,63,63,63,65,63+2,63+2,63+2,64+2,56+2,56+2,56+2,64+2,48+2,43+2,43+2,43+2,48+2,44+2,38+2,38+2,38+2,44+2,16+2
256776,/player/256776/isaac-schmidt/240002,24.0,2.0,2023-09-22,I. Schmidt,Isaac Schmidt,"LB, CM",65,74,1500000.0,2000.0,23,1999-12-07,172,68,898.0,St. Gallen,189.0,Super League,1.0,LB,33.0,,2021-06-25,2026.0,47,Switzerland,,,,Right,2,3,1,High/Medium,Normal (170-185),No,2500000.0,,"Jockey, Rapid",81.0,53.0,53.0,70.0,60.0,61.0,55,55,54,58,46,71,42,36,50,64,83,79,85,60,84,58,68,77,56,47,52,58,56,51,47,58.0,61,62,60,6,15,7,11,8,,60+2,60+2,60+2,63,62,62,62,63,61+2,61+2,61+2,63+2,59+2,59+2,59+2,63+2,64+2,59+2,59+2,59+2,64+2,63+2,59+2,59+2,59+2,63+2,15+2
276170,/player/276170/abdoulaye-diaby/240002,24.0,2.0,2023-09-22,A. Diaby,Abdoulaye Diaby,CB,65,74,1500000.0,2000.0,22,2000-07-04,198,100,898.0,St. Gallen,189.0,Super League,1.0,LCB,15.0,,2023-07-01,2025.0,126,Mali,,,,Right,2,2,1,Medium/High,Stocky (185+),No,2500000.0,#Strength,"Bruiser, Acrobatic, Aerial",60.0,27.0,41.0,41.0,62.0,82.0,29,22,70,56,18,32,31,19,43,44,54,65,56,64,45,42,72,68,93,21,75,55,40,35,38,54.0,63,63,60,14,14,13,5,13,,46+2,46+2,46+2,42,43,43,43,42,43+2,43+2,43+2,44+2,47+2,47+2,47+2,44+2,55+2,58+2,58+2,58+2,55+2,57+2,65+2,65+2,65+2,57+2,17+2
252030,/player/252030/betim-fazliji/240002,24.0,2.0,2023-09-22,B. Fazliji,Betim Fazliji,"CB, CDM",65,73,1500000.0,2000.0,24,1999-04-25,186,81,898.0,St. Gallen,189.0,Super League,1.0,LDM,23.0,,2023-07-01,2027.0,219,Kosovo,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,2500000.0,,,67.0,41.0,52.0,56.0,63.0,74.0,43,36,60,59,33,55,41,42,56,57,55,76,58,58,57,53,71,72,76,38,74,63,43,53,46,54.0,64,63,62,15,11,15,12,9,,52+2,52+2,52+2,52,52,52,52,52,53+2,53+2,53+2,55+2,56+2,56+2,56+2,55+2,60+2,62+2,62+2,62+2,60+2,61+2,65+2,65+2,65+2,61+2,17+2
241266,/player/241266/willem-geubbels/240002,24.0,2.0,2023-09-22,W. Geubbels,Willem Geubbels,"ST, LW",65,69,1100000.0,3000.0,21,2001-08-16,185,81,898.0,St. Gallen,189.0,Super League,1.0,LS,9.0,,2023-01-23,2025.0,18,France,,,,Right,3,3,1,Low/Low,Normal (185+),No,1700000.0,,Rapid,78.0,64.0,57.0,68.0,26.0,50.0,54,64,59,65,65,71,57,46,48,66,75,80,69,61,54,68,70,35,60,61,37,21,64,56,58,69.0,27,21,19,5,13,6,15,14,,65+2,65+2,65+2,66,66,66,66,66,64+2,64+2,64+2,63+2,55+2,55+2,55+2,63+2,45+2,42+2,42+2,42+2,45+2,43+2,39+2,39+2,39+2,43+2,17+2
