player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
256980,/player/256980/matteo-di-giusto/240002,24.0,2.0,2023-09-22,M. Di Giusto,Matteo Emilio Di Giusto,"CAM, RM",70,75,2400000.0,5000.0,22,2000-08-18,168,65,1713.0,Winterthur,189.0,Super League,1.0,CAM,10.0,,2022-06-20,2026.0,47,Switzerland,,,,Right,3,4,1,High/High,Lean (170-),No,3700000.0,,"Technical, Flair, First Touch",78.0,65.0,68.0,75.0,30.0,53.0,66,66,40,70,59,76,65,66,65,72,81,75,83,56,88,66,51,81,44,62,40,27,69,70,56,68.0,32,28,22,10,8,5,8,12,,64+2,64+2,64+2,71,69,69,69,71,70+2,70+2,70+2,71+2,65+2,65+2,65+2,71+2,54+2,50+2,50+2,50+2,54+2,50+2,38+2,38+2,38+2,50+2,14+2
210538,/player/210538/luca-zuffi/240002,24.0,2.0,2023-09-22,L. Zuffi,Luca Danilo Zuffi,"CDM, CM",67,67,500000.0,3000.0,33,1990-03-27,182,76,1713.0,Winterthur,189.0,Super League,1.0,LDM,77.0,,2023-07-01,2025.0,47,Switzerland,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,725000.0,,"Long Ball Pass, Trivela",57.0,65.0,69.0,65.0,64.0,61.0,70,64,59,70,63,64,68,67,69,67,59,55,65,62,70,66,63,64,60,66,60,64,63,67,65,68.0,66,65,64,7,13,15,16,7,,63+2,63+2,63+2,65,64,64,64,65,65+2,65+2,65+2,65+2,66+1,66+1,66+1,65+2,65+2,66+1,66+1,66+1,65+2,64+2,63+2,63+2,63+2,64+2,17+2
269562,/player/269562/sayfallah-ltaief/240002,24.0,2.0,2023-09-22,S. Ltaief,Sayfallah Ltaief,LM,66,75,1900000.0,4000.0,23,2000-04-22,178,77,1713.0,Winterthur,189.0,Super League,1.0,SUB,70.0,Basel,,2024.0,145,Tunisia,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,Rapid,85.0,58.0,59.0,71.0,31.0,62.0,65,58,37,58,50,72,62,50,48,68,84,86,83,55,74,60,63,66,62,58,59,24,57,62,53,60.0,29,32,39,7,7,15,10,14,,60+2,60+2,60+2,66,64,64,64,66,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,53+2,47+2,47+2,47+2,53+2,50+2,43+2,43+2,43+2,50+2,15+2
206431,/player/206431/roman-buess/240002,24.0,2.0,2023-09-22,R. Buess,Roman Buess,ST,66,66,850000.0,3000.0,30,1992-09-21,183,78,1713.0,Winterthur,189.0,Super League,1.0,SUB,9.0,,2020-05-14,2024.0,47,Switzerland,,,,Left,4,2,1,Low/High,Normal (170-185),No,1200000.0,,,76.0,67.0,63.0,63.0,42.0,72.0,60,67,52,64,49,61,64,50,61,61,78,74,70,70,68,71,74,80,73,64,61,47,72,69,76,60.0,27,52,39,6,10,8,9,12,,66,66,66,66,67-1,67-1,67-1,66,66,66,66,67-1,64+2,64+2,64+2,67-1,58+2,57+2,57+2,57+2,58+2,56+2,52+2,52+2,52+2,56+2,16+2
243894,/player/243894/basil-stillhart/240002,24.0,2.0,2023-09-22,B. Stillhart,Basil Stillhart,"CB, CAM, RB",66,66,725000.0,3000.0,29,1994-03-24,177,79,1713.0,Winterthur,189.0,Super League,1.0,LCB,4.0,,2023-07-01,2026.0,47,Switzerland,,,,Right,3,2,1,High/High,Stocky (170-185),No,1100000.0,,,65.0,59.0,66.0,65.0,64.0,75.0,58,61,64,69,54,62,63,52,67,66,67,63,67,70,75,62,74,82,74,54,69,65,59,71,49,66.0,63,64,65,14,6,14,13,12,,63+2,63+2,63+2,64,64,64,64,64,65+1,65+1,65+1,65+1,67-1,67-1,67-1,65+1,66,68-2,68-2,68-2,66,66,66,66,66,66,18+2
230687,/player/230687/aldin-turkes/240002,24.0,2.0,2023-09-22,A. Turkeš,Aldin Turkeš,ST,65,66,825000.0,3000.0,27,1996-04-22,193,84,1713.0,Winterthur,189.0,Super League,1.0,ST,11.0,,2023-07-01,2025.0,8,Bosnia and Herzegovina,,,,Left,3,3,1,Medium/Low,Lean (185+),No,1300000.0,,Power Header,64.0,66.0,51.0,63.0,23.0,64.0,45,68,67,56,56,64,55,37,41,66,61,66,59,63,47,68,73,55,72,59,55,10,66,60,69,65.0,29,13,18,8,14,12,14,8,,65+1,65+1,65+1,62,64,64,64,62,61+2,61+2,61+2,60+2,54+2,54+2,54+2,60+2,42+2,41+2,41+2,41+2,42+2,40+2,39+2,39+2,39+2,40+2,17+2
210476,/player/210476/markus-kuster/240002,24.0,2.0,2023-09-22,M. Kuster,Markus Kuster,GK,65,65,500000.0,2000.0,29,1994-02-22,195,90,1713.0,Winterthur,189.0,Super League,1.0,GK,30.0,,2023-01-01,2025.0,4,Austria,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,725000.0,,,,,,,,,7,15,13,27,13,17,17,20,19,25,29,31,39,64,36,47,53,20,58,13,22,16,6,40,18,27.0,14,24,21,64,65,62,64,62,30.0,26+2,26+2,26+2,24,26,26,26,24,27+2,27+2,27+2,24+2,26+2,26+2,26+2,24+2,23+2,26+2,26+2,26+2,23+2,24+2,27+2,27+2,27+2,24+2,64+1
211237,/player/211237/samir-ramizi/240002,24.0,2.0,2023-09-22,S. Ramizi,Samir Ramizi,"CM, CAM, RM",65,65,575000.0,2000.0,31,1991-07-24,182,73,1713.0,Winterthur,189.0,Super League,1.0,SUB,8.0,,2020-08-06,2024.0,219,Kosovo,,,,Right,3,3,1,High/High,Lean (170-185),No,834000.0,,Technical,66.0,65.0,62.0,68.0,56.0,65.0,63,65,58,65,46,67,43,45,60,68,68,65,72,63,72,66,66,74,61,65,64,55,66,65,73,67.0,53,59,56,14,14,11,9,15,,64+1,64+1,64+1,66-1,66-1,66-1,66-1,66-1,66-1,66-1,66-1,66-1,65,65,65,66-1,62+2,61+2,61+2,61+2,62+2,61+2,59+2,59+2,59+2,61+2,18+2
221926,/player/221926/musa-araz/240002,24.0,2.0,2023-09-22,M. Araz,Musa Araz,CM,65,65,700000.0,3000.0,29,1994-01-17,173,63,1713.0,Winterthur,189.0,Super League,1.0,RES,40.0,,2023-07-17,2025.0,47,Switzerland,,,,Left,4,3,1,Medium/High,Normal (170-185),No,1000000.0,,Flair,75.0,62.0,63.0,72.0,45.0,54.0,56,62,39,67,58,71,59,60,62,69,76,74,85,65,90,65,46,80,40,63,58,52,66,65,45,61.0,40,48,44,7,14,11,10,11,,62+2,62+2,62+2,68-3,67-2,67-2,67-2,68-3,68-3,68-3,68-3,68-3,65,65,65,68-3,60+2,58+2,58+2,58+2,60+2,58+2,49+2,49+2,49+2,58+2,17+2
227700,/player/227700/roy-gelmi/240002,24.0,2.0,2023-09-22,R. Gelmi,Roy Gelmi,CB,64,65,550000.0,2000.0,28,1995-03-01,188,82,1713.0,Winterthur,189.0,Super League,1.0,SUB,5.0,,2021-07-24,2024.0,47,Switzerland,,,,Right,3,2,1,Low/Medium,Normal (185+),No,839000.0,,Power Header,62.0,44.0,52.0,45.0,62.0,76.0,35,47,66,66,60,31,39,27,65,53,64,61,54,63,68,59,77,78,79,24,66,59,36,46,38,65.0,60,63,62,12,6,15,15,10,,53+2,53+2,53+2,47,49,49,49,47,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,58+2,63+2,63+2,63+2,58+2,60+2,64+1,64+1,64+1,60+2,17+2
