player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204842,/player/204842/yanick-brecher/240002,24.0,2.0,2023-09-22,Y. Brecher,Yanick Brecher,GK,73,73,2000000.0,8000.0,30,1993-05-25,196,88,894.0,Zürich,189.0,Super League,1.0,GK,25.0,,2011-07-01,2027.0,47,Switzerland,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2900000.0,,"Far Throw, Footwork",,,,,,,19,13,13,37,18,16,18,17,27,24,38,42,37,68,44,52,62,24,67,18,26,21,18,51,24,56.0,24,20,20,72,73,69,73,75,40.0,30+2,30+2,30+2,29,31,31,31,29,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,28+2,31+2,31+2,31+2,28+2,28+2,30+2,30+2,30+2,28+2,72+1
270512,/player/270512/cheick-conde/240002,24.0,2.0,2023-09-22,C. Conde,Cheick Oumar Conde,"CDM, CM",71,77,2800000.0,6000.0,22,2000-07-26,185,79,894.0,Zürich,189.0,Super League,1.0,LCM,17.0,,2022-07-01,2026.0,118,Guinea,,,,Right,2,3,1,High/High,Lean (185+),No,4600000.0,,"Incisive Pass, Long Ball Pass, Intercept, Anticipate",68.0,64.0,61.0,68.0,69.0,77.0,49,60,59,68,51,67,50,49,66,67,68,68,72,73,72,75,74,83,78,68,70,68,66,65,51,69.0,70,72,67,6,8,7,6,6,,66+2,66+2,66+2,65,67,67,67,65,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,68+2,70+2,70+2,70+2,68+2,68+2,69+2,69+2,69+2,68+2,14+2
245586,/player/245586/adrian-guerrero-aguilar/240002,24.0,2.0,2023-09-22,Guerrero,Adrián Guerrero Aguilar,"LM, LWB, LB",70,73,2100000.0,7000.0,25,1998-01-28,174,68,894.0,Zürich,189.0,Super League,1.0,LM,3.0,,2021-06-30,2024.0,45,Spain,,,,Left,3,2,1,High/High,Normal (170-185),No,3200000.0,,,74.0,65.0,67.0,68.0,69.0,71.0,67,65,65,67,65,66,66,63,66,69,73,74,69,69,82,66,74,82,67,65,68,68,71,70,64,68.0,70,69,70,10,12,11,12,8,,68+2,68+2,68+2,68,68,68,68,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,70+2,70+2,69+2,69+2,69+2,70+2,17+2
263566,/player/263566/rodrigo-f-conceicao/240002,24.0,2.0,2023-09-22,Rodrigo Conceição,Rodrigo Fernandes Conceição,RB,69,76,2700000.0,5000.0,23,2000-01-02,175,65,894.0,Zürich,189.0,Super League,1.0,SUB,27.0,,2023-08-17,2027.0,38,Portugal,,,,Right,2,2,1,High/High,Lean (170-185),No,4500000.0,,,75.0,46.0,57.0,68.0,66.0,63.0,62,39,54,61,40,68,45,43,53,69,74,75,67,65,78,70,62,74,53,40,74,66,56,52,39,62.0,62,74,67,12,7,6,9,9,,58+2,58+2,58+2,62,61,61,61,62,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,67+2,65+2,65+2,65+2,67+2,67+2,65+2,65+2,65+2,67+2,15+2
244204,/player/244204/nikola-katic/240002,24.0,2.0,2023-09-22,N. Katić,Nikola Katić,CB,69,71,1500000.0,6000.0,26,1996-10-10,194,90,894.0,Zürich,189.0,Super League,1.0,CB,24.0,,2022-08-31,2025.0,10,Croatia,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,2300000.0,,"Power Header, Anticipate, Slide Tackle",55.0,35.0,45.0,54.0,67.0,78.0,29,27,73,60,26,54,27,26,54,61,48,60,33,64,35,50,78,68,84,43,77,67,33,35,33,65.0,64,68,69,9,7,12,14,13,,50+2,50+2,50+2,47,49,49,49,47,49+2,49+2,49+2,50+2,54+2,54+2,54+2,50+2,60+2,64+2,64+2,64+2,60+2,61+2,69+2,69+2,69+2,61+2,17+2
231027,/player/231027/antonio-marchesano/240002,24.0,2.0,2023-09-22,A. Marchesano,Antonio Marchesano,"CF, CAM",69,69,1100000.0,7000.0,32,1991-01-18,168,62,894.0,Zürich,189.0,Super League,1.0,SUB,10.0,,2015-09-01,2024.0,47,Switzerland,,,,Right,4,4,1,Medium/Medium,Normal (170-),No,1600000.0,,"Technical, First Touch",69.0,66.0,70.0,73.0,45.0,52.0,67,66,56,73,47,70,68,74,66,73,73,66,88,65,90,68,54,77,36,66,59,35,70,72,75,64.0,44,46,52,13,13,13,10,9,,65+2,65+2,65+2,70-1,69,69,69,70-1,71-2,71-2,71-2,70-1,68+1,68+1,68+1,70-1,60+2,58+2,58+2,58+2,60+2,58+2,50+2,50+2,50+2,58+2,17+2
236288,/player/236288/ifeanyi-mathew/240002,24.0,2.0,2023-09-22,I. Mathew,Ifeanyi Mathew,CM,68,71,1600000.0,5000.0,26,1997-01-20,175,75,894.0,Zürich,189.0,Super League,1.0,RCM,12.0,,2023-02-15,2025.0,133,Nigeria,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2400000.0,,Long Ball Pass,79.0,63.0,65.0,70.0,65.0,75.0,60,60,49,69,58,67,58,52,67,68,77,80,80,69,87,68,70,87,71,68,70,68,62,64,48,66.0,67,68,63,7,14,14,11,14,,65+2,65+2,65+2,67,67,67,67,67,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,70+1,69+2,69+2,69+2,70+1,69+2,66+2,66+2,66+2,69+2,18+2
239853,/player/239853/mirlind-kryeziu/240002,24.0,2.0,2023-09-22,M. Kryeziu,Mirlind Kryeziu,CB,67,69,1100000.0,4000.0,26,1997-01-26,196,96,894.0,Zürich,189.0,Super League,1.0,SUB,31.0,,2017-04-11,2025.0,219,Kosovo,,,,Left,2,2,1,Low/Medium,Stocky (185+),No,1700000.0,#Strength,,36.0,36.0,48.0,50.0,65.0,79.0,24,31,68,62,18,42,23,35,58,65,36,36,37,62,51,59,73,64,91,31,70,64,23,48,36,54.0,66,64,63,10,7,10,8,8,,48+2,48+2,48+2,43,46,46,46,43,48+2,48+2,48+2,46+2,55+2,55+2,55+2,46+2,55+2,64+2,64+2,64+2,55+2,57+2,67+2,67+2,67+2,57+2,14+2
233735,/player/233735/jonathan-okita/240002,24.0,2.0,2023-09-22,J. Okita,Jonathan Yula Okita,"ST, LM",67,68,1200000.0,5000.0,26,1996-10-05,181,75,894.0,Zürich,189.0,Super League,1.0,ST,11.0,,2022-07-01,2025.0,110,Congo DR,,,,Right,4,4,1,High/Low,Normal (170-185),No,1800000.0,,"Finesse Shot, Technical, Flair",85.0,66.0,62.0,73.0,22.0,68.0,63,67,50,62,62,74,60,52,60,70,84,86,82,67,76,63,75,74,71,68,51,24,67,64,56,65.0,20,16,12,9,10,11,6,10,,67+1,67+1,67+1,70-2,69-1,69-1,69-1,70-2,69-1,69-1,69-1,70-2,62+2,62+2,62+2,70-2,50+2,46+2,46+2,46+2,50+2,46+2,39+2,39+2,39+2,46+2,15+2
186950,/player/186950/fabio-daprela/240002,24.0,2.0,2023-09-22,F. Daprelà,Fabio Daprelà,CB,67,67,650000.0,4000.0,32,1991-02-19,183,79,894.0,Zürich,189.0,Super League,1.0,LCB,5.0,,2023-07-01,2025.0,47,Switzerland,,,,Left,3,3,1,Medium/High,Normal (170-185),No,943000.0,,"Power Header, Slide Tackle",65.0,57.0,62.0,64.0,65.0,78.0,65,55,64,64,46,61,53,60,64,67,61,69,70,65,65,65,77,76,82,59,70,62,61,59,48,66.0,68,65,65,5,11,7,11,6,,63+2,63+2,63+2,63,62,62,62,63,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,66+1,66+1,66+1,66+1,66+1,66+1,67,67,67,66+1,14+2
