player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198657,/player/198657/jonas-svensson/240002,24.0,2.0,2023-09-22,J. Svensson,Jonas Svensson,RB,76,76,6500000.0,14000.0,30,1993-03-06,172,69,101016.0,Adana Demirspor,68.0,Super Lig,1.0,RB,22.0,,2021-07-10,2024.0,36,Norway,,,,Right,3,3,1,High/High,Stocky (170-185),No,13000000.0,#Engine,Slide Tackle,80.0,60.0,70.0,74.0,72.0,79.0,71,55,61,72,61,72,73,54,67,74,78,82,79,73,85,75,78,87,73,58,82,72,69,71,48,75.0,73,73,72,15,12,7,10,16,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,72+2,71+2,71+2,71+2,72+2,75+1,73+2,73+2,73+2,75+1,74+2,73+2,73+2,73+2,74+2,20+2
193738,/player/193738/younes-belhanda/240002,24.0,2.0,2023-09-22,Y. Belhanda,Younès Belhanda,"CAM, ST",75,75,3500000.0,15000.0,33,1990-02-25,177,75,101016.0,Adana Demirspor,68.0,Super Lig,1.0,CAM,10.0,,2021-06-30,2024.0,129,Morocco,,,,Right,3,4,2,Medium/Low,Normal (170-185),No,7000000.0,,"Tiki Taka, Technical, Flair, First Touch",68.0,74.0,77.0,77.0,59.0,71.0,74,73,67,78,70,77,77,75,75,77,69,67,78,71,78,76,72,72,67,73,79,60,74,78,80,78.0,55,59,58,15,16,11,6,16,,73+2,73+2,73+2,75,74,74,74,75,75,75,75,74+1,74+1,74+1,74+1,74+1,68+2,68+2,68+2,68+2,68+2,66+2,64+2,64+2,64+2,66+2,19+2
209289,/player/209289/kevin-manuel-rodrigues/240002,24.0,2.0,2023-09-22,Kévin Rodrigues,Kévin Manuel Rodrigues,LB,75,75,4900000.0,14000.0,29,1994-03-05,170,68,101016.0,Adana Demirspor,68.0,Super Lig,1.0,LB,77.0,,2022-07-07,2025.0,38,Portugal,,,,Left,3,3,1,High/Medium,Normal (170-),Yes,9800000.0,,Whipped Cross,73.0,71.0,76.0,74.0,70.0,66.0,79,67,72,78,50,72,75,73,76,77,76,70,73,71,80,82,77,70,59,79,75,68,72,70,50,65.0,66,73,77,11,14,11,15,16,,72+2,72+2,72+2,74,73,73,73,74,74+1,74+1,74+1,74+1,74+1,74+1,74+1,74+1,73+2,72+2,72+2,72+2,73+2,73+2,71+2,71+2,71+2,73+2,20+2
221000,/player/221000/badou-ndiaye/240002,24.0,2.0,2023-09-22,B. Ndiaye,Papa Alioune N'Diaye,"CM, CDM",75,75,4400000.0,15000.0,32,1990-10-27,180,81,101016.0,Adana Demirspor,68.0,Super Lig,1.0,SUB,17.0,,2022-07-07,2025.0,136,Senegal,,,,Right,3,3,1,High/High,Normal (170-185),No,8800000.0,#Engine,"Anticipate, Slide Tackle, Rapid",84.0,69.0,70.0,76.0,72.0,79.0,60,63,58,75,65,76,70,63,70,75,83,84,82,78,75,79,73,86,77,72,77,75,72,74,65,77.0,73,73,71,7,12,11,7,10,,72+2,72+2,72+2,74,74,74,74,74,75,75,75,74+1,75,75,75,74+1,75,75,75,75,75,74+1,73+2,73+2,73+2,74+1,17+2
239550,/player/239550/andreaw-gravillon/240002,24.0,2.0,2023-09-22,A. Gravillon,Andreaw Gravillon,"CB, RB",74,76,4700000.0,12000.0,25,1998-02-08,185,80,101016.0,Adana Demirspor,68.0,Super Lig,1.0,RCB,5.0,,2023-07-21,2026.0,18,France,,,,Right,3,2,1,Low/Medium,Stocky (185+),No,9800000.0,,Slide Tackle,70.0,42.0,48.0,55.0,74.0,77.0,41,36,77,62,42,50,36,36,51,62,66,74,54,68,46,59,88,60,86,44,74,72,24,36,42,65.0,72,75,74,11,14,13,13,6,,54+2,54+2,54+2,51,51,51,51,51,51+2,51+2,51+2,52+2,54+2,54+2,54+2,52+2,64+2,66+2,66+2,66+2,64+2,67+2,74+2,74+2,74+2,67+2,17+2
223717,/player/223717/dorukhan-tokoz/240002,24.0,2.0,2023-09-22,D. Toköz,Dorukhan Toköz,"CM, CDM, RB",74,75,4800000.0,14000.0,27,1996-05-21,180,75,101016.0,Adana Demirspor,68.0,Super Lig,1.0,SUB,26.0,,2023-07-21,2026.0,48,Turkey,,,,Right,3,3,1,Medium/High,Normal (170-185),No,10000000.0,,,71.0,68.0,71.0,75.0,73.0,74.0,66,63,68,76,64,74,69,52,74,76,72,71,71,77,74,78,70,75,72,72,79,74,70,72,50,77.0,73,74,76,8,10,10,15,12,,71+2,71+2,71+2,72,73,73,73,72,73+2,73+2,73+2,73+2,74+1,74+1,74+1,73+2,74+1,75,75,75,74+1,74+1,74+1,74+1,74+1,74+1,18+2
198200,/player/198200/benjamin-stambouli/240002,24.0,2.0,2023-09-22,B. Stambouli,Benjamin Stambouli,"CDM, CB, CM",74,74,2800000.0,13000.0,32,1990-08-13,180,80,101016.0,Adana Demirspor,68.0,Super Lig,1.0,RCM,90.0,,2021-07-30,2025.0,18,France,,,,Right,4,2,2,Medium/High,Normal (170-185),Yes,5600000.0,,"Long Ball Pass, Press Proven",51.0,58.0,66.0,71.0,71.0,75.0,50,56,66,74,40,69,58,43,74,75,50,51,62,75,64,65,71,74,76,62,74,74,59,68,50,76.0,71,72,71,8,13,11,15,15,,64+2,64+2,64+2,64,66,66,66,64,68+2,68+2,68+2,65+2,71+2,71+2,71+2,65+2,68+2,73+1,73+1,73+1,68+2,68+2,72+2,72+2,72+2,68+2,20+2
139068,/player/139068/luis-carlos-almeida-da-cunha/240002,24.0,2.0,2023-09-22,Nani,Luís Carlos Almeida da Cunha,"LW, RW, CAM",73,73,1000000.0,11000.0,36,1986-11-17,177,72,101016.0,Adana Demirspor,68.0,Super Lig,1.0,SUB,30.0,,2023-07-13,2024.0,38,Portugal,,,,Right,5,4,3,Medium/Low,Lean (170-185),Yes,2000000.0,,"Technical, Flair, Trivela",68.0,73.0,75.0,78.0,34.0,70.0,76,70,64,74,77,80,83,78,72,76,73,64,81,62,79,79,77,63,74,75,69,31,69,77,70,79.0,41,22,20,5,10,13,6,6,,71+2,71+2,71+2,73,73,73,73,73,74-1,74-1,74-1,73,68+3,68+3,68+3,73,54+3,54+3,54+3,54+3,54+3,50+3,48+3,48+3,48+3,50+3,13+3
202778,/player/202778/ertac-ozbir/240002,24.0,2.0,2023-09-22,E. Özbir,Ertaç Özbir,GK,72,72,750000.0,8000.0,33,1989-10-25,192,81,101016.0,Adana Demirspor,68.0,Super Lig,1.0,GK,25.0,,2022-06-08,2024.0,48,Turkey,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1500000.0,,,,,,,,,24,11,14,22,20,11,18,19,17,25,39,45,35,69,39,50,62,30,65,14,35,13,12,11,23,51.0,15,14,19,73,69,66,72,73,41.0,28+2,28+2,28+2,24,25,25,25,24,22+2,22+2,22+2,25+2,22+2,22+2,22+2,25+2,26+2,25+2,25+2,25+2,26+2,26+2,27+2,27+2,27+2,26+2,71+1
221919,/player/221919/arber-zeneli/240002,24.0,2.0,2023-09-22,A. Zeneli,Arbër Zeneli,"LW, LM",72,72,2400000.0,13000.0,28,1995-02-25,176,72,101016.0,Adana Demirspor,68.0,Super Lig,1.0,SUB,23.0,,2023-09-02,2026.0,219,Kosovo,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,4800000.0,,"Technical, Flair",69.0,70.0,72.0,75.0,35.0,57.0,76,68,50,73,63,76,79,68,59,75,70,69,75,69,72,74,58,59,53,71,62,39,64,73,71,70.0,33,33,24,10,8,10,7,14,,67+2,67+2,67+2,72,71,71,71,72,71+1,71+1,71+1,71+1,66+2,66+2,66+2,71+1,56+2,54+2,54+2,54+2,56+2,52+2,46+2,46+2,46+2,52+2,16+2
