player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
199069,/player/199069/vincent-aboubakar/240002,24.0,2.0,2023-09-22,V. Aboubakar,Vincent Paté Aboubakar,ST,79,79,15000000.0,34000.0,31,1992-01-22,184,75,327.0,Beşiktaş,68.0,Super Lig,1.0,ST,10.0,,2023-01-21,2025.0,103,Cameroon,,,,Right,4,4,2,High/Low,Normal (170-185),Yes,28500000.0,,"Finesse Shot, Power Shot, Technical, Flair",73.0,80.0,71.0,79.0,36.0,80.0,63,82,77,75,76,79,77,67,68,78,73,73,79,78,73,82,81,77,82,78,76,33,78,76,74,82.0,44,23,19,8,10,9,7,8,,79,79,79,76,78,78,78,76,77+2,77+2,77+2,75+2,71+2,71+2,71+2,75+2,57+2,58+2,58+2,58+2,57+2,53+2,52+2,52+2,52+2,53+2,16+2
234568,/player/234568/gedson-carvalho-fernandes/240002,24.0,2.0,2023-09-22,Gedson Fernandes,Gedson Carvalho Fernandes,"CM, CDM, CAM",78,83,21000000.0,25000.0,24,1999-01-09,183,63,327.0,Beşiktaş,68.0,Super Lig,1.0,LCM,83.0,,2022-07-01,2027.0,38,Portugal,,,,Right,3,4,1,High/High,Lean (170-185),No,41500000.0,#Engine,"Anticipate, Technical, Flair, Relentless, Trivela",79.0,73.0,76.0,80.0,75.0,77.0,73,72,61,77,64,82,80,74,75,78,80,79,83,80,74,79,78,88,71,75,78,75,74,78,60,79.0,74,79,75,9,15,7,9,5,,75+2,75+2,75+2,78,77,77,77,78,78+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,77+2,77+2,77+2,78+2,77+2,75+2,75+2,75+2,77+2,17+2
210372,/player/210372/rachid-ghezzal/240002,24.0,2.0,2023-09-22,R. Ghezzal,Rachid Ghezzal,"RW, RM, CAM",78,78,11500000.0,31000.0,31,1992-05-09,182,70,327.0,Beşiktaş,68.0,Super Lig,1.0,SUB,18.0,,2021-08-12,2024.0,97,Algeria,,,,Left,3,4,2,Medium/Low,Lean (170-185),Yes,21900000.0,,"Pinged Pass, Long Ball Pass, Whipped Cross, Technical, Flair",71.0,72.0,81.0,81.0,28.0,58.0,84,71,56,81,62,82,84,74,81,82,71,71,80,74,73,72,66,67,57,77,48,27,76,81,75,75.0,25,24,23,12,6,15,7,15,,72+2,72+2,72+2,78,77,77,77,78,79-1,79-1,79-1,78,74+2,74+2,74+2,78,57+2,55+2,55+2,55+2,57+2,52+2,42+2,42+2,42+2,52+2,17+2
198784,/player/198784/alex-oxlade-chamberlain/240002,24.0,2.0,2023-09-22,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,CM,77,77,10500000.0,28000.0,29,1993-08-15,175,70,327.0,Beşiktaş,68.0,Super Lig,1.0,RCM,15.0,,2023-08-14,2026.0,14,England,,,,Right,4,4,2,High/High,Normal (170-185),Yes,20000000.0,,"Rapid, Flair",78.0,74.0,76.0,81.0,67.0,72.0,78,70,39,78,60,82,73,60,74,81,79,77,76,77,87,83,65,73,70,78,77,73,78,77,69,77.0,68,72,68,16,9,6,9,9,,73+2,73+2,73+2,78-1,77,77,77,78-1,78-1,78-1,78-1,78-1,77,77,77,78-1,75+2,74+2,74+2,74+2,75+2,73+2,69+2,69+2,69+2,73+2,18+2
220018,/player/220018/ante-rebic/240002,24.0,2.0,2023-09-22,A. Rebić,Ante Rebić,"ST, LW, LM",77,77,10500000.0,30000.0,29,1993-09-21,185,80,327.0,Beşiktaş,68.0,Super Lig,1.0,SUB,7.0,,2023-07-31,2025.0,10,Croatia,,,,Right,4,3,1,Medium/Medium,Normal (185+),Yes,20000000.0,,"Technical, Trivela",80.0,77.0,72.0,77.0,46.0,77.0,75,76,73,75,80,80,75,66,66,74,78,81,72,79,71,80,86,67,78,76,84,39,80,71,65,75.0,44,50,31,13,15,12,13,14,,77,77,77,77,77,77,77,77,76+1,76+1,76+1,76+1,71+2,71+2,71+2,76+1,62+2,61+2,61+2,61+2,62+2,59+2,59+2,59+2,59+2,59+2,21+2
225508,/player/225508/eric-bailly/240002,24.0,2.0,2023-09-22,E. Bailly,Eric Bertrand Bailly,CB,76,77,7000000.0,24000.0,29,1994-04-12,187,77,327.0,Beşiktaş,68.0,Super Lig,1.0,SUB,30.0,,2023-09-05,2024.0,108,Côte d'Ivoire,,,,Right,3,3,2,Medium/Medium,Normal (185+),Yes,13800000.0,,Slide Tackle,68.0,42.0,59.0,66.0,76.0,72.0,49,33,72,68,42,65,46,43,61,67,64,71,61,75,60,55,82,40,84,48,80,77,47,59,46,76.0,77,76,78,14,14,10,9,8,,58+2,58+2,58+2,59,59,59,59,59,61+2,61+2,61+2,60+2,63+2,63+2,63+2,60+2,67+2,70+2,70+2,70+2,67+2,69+2,76+1,76+1,76+1,69+2,18+2
234730,/player/234730/valentin-rosier/240002,24.0,2.0,2023-09-22,V. Rosier,Valentin André Henri Rosier,RB,76,77,8000000.0,23000.0,26,1996-08-19,175,75,327.0,Beşiktaş,68.0,Super Lig,1.0,RB,24.0,,2021-07-30,2025.0,18,France,,,,Right,2,3,1,High/Medium,Normal (170-185),No,15800000.0,,"Jockey, Technical, Long Throw",84.0,52.0,65.0,75.0,72.0,76.0,74,45,63,67,47,72,67,45,62,75,84,84,84,73,85,64,74,82,73,54,78,72,65,58,42,73.0,73,74,73,8,13,10,10,9,,65+2,65+2,65+2,69,67,67,67,69,67+2,67+2,67+2,71+2,68+2,68+2,68+2,71+2,75+2,71+2,71+2,71+2,75+2,74+2,72+2,72+2,72+2,74+2,17+2
212491,/player/212491/arthur-masuaku/240002,24.0,2.0,2023-09-22,A. Masuaku,Arthur Masuaku,"LB, LWB",76,76,6500000.0,24000.0,29,1993-11-07,179,80,327.0,Beşiktaş,68.0,Super Lig,1.0,LB,26.0,,2022-08-08,2026.0,110,Congo DR,,,,Left,2,4,2,High/Medium,Normal (170-185),Yes,12400000.0,,"Whipped Cross, Bruiser, Technical, Flair",79.0,61.0,73.0,79.0,70.0,79.0,76,52,63,75,61,80,75,63,73,78,80,78,77,74,79,74,75,81,80,72,74,69,65,70,49,76.0,67,74,73,8,7,10,7,7,,69+2,69+2,69+2,73,72,72,72,73,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,75+1,74+2,74+2,74+2,75+1,74+2,72+2,72+2,72+2,74+2,15+2
229167,/player/229167/milot-rashica/240002,24.0,2.0,2023-09-22,M. Rashica,Milot Rashica,"RM, LM",76,76,8000000.0,25000.0,27,1996-06-28,177,73,327.0,Beşiktaş,68.0,Super Lig,1.0,RW,11.0,,2023-08-15,2027.0,219,Kosovo,,,,Right,4,4,1,Medium/High,Normal (170-185),Yes,15200000.0,,"Power Shot, Rapid, Trivela",81.0,75.0,71.0,77.0,50.0,73.0,72,72,50,73,74,76,78,69,65,75,83,80,86,71,82,85,72,85,68,73,73,52,73,72,74,74.0,63,40,36,7,14,7,14,6,,72+2,72+2,72+2,75,74,74,74,75,74+2,74+2,74+2,75+1,70+2,70+2,70+2,75+1,65+2,63+2,63+2,63+2,65+2,62+2,57+2,57+2,57+2,62+2,17+2
233053,/player/233053/amir-hadziahmetovic/240002,24.0,2.0,2023-09-22,A. Hadžiahmetović,Amir Hadžiahmetović,"CDM, CM",75,77,6000000.0,22000.0,26,1997-03-08,179,70,327.0,Beşiktaş,68.0,Super Lig,1.0,CDM,19.0,,2023-02-02,2027.0,8,Bosnia and Herzegovina,,,,Right,3,2,1,High/High,Lean (170-185),No,11900000.0,#Engine,Long Ball Pass,71.0,60.0,71.0,72.0,71.0,77.0,66,52,63,75,50,72,64,61,74,75,72,70,70,70,70,72,69,86,75,68,73,72,69,70,55,71.0,70,74,69,7,15,7,14,14,,67+2,67+2,67+2,69,69,69,69,69,71+2,71+2,71+2,71+2,73+2,73+2,73+2,71+2,73+2,74+2,74+2,74+2,73+2,72+2,71+2,71+2,71+2,72+2,19+2
190113,/player/190113/mert-gunok/240002,24.0,2.0,2023-09-22,M. Günok,Fehmi Mert Günok,GK,75,75,950000.0,18000.0,34,1989-03-01,196,92,327.0,Beşiktaş,68.0,Super Lig,1.0,GK,34.0,,2021-08-15,2025.0,48,Turkey,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1800000.0,,Far Throw,,,,,,,15,15,14,40,16,15,16,16,47,25,55,57,53,70,50,56,69,39,68,15,31,25,15,51,16,56.0,22,13,12,73,75,75,77,74,56.0,32+2,32+2,32+2,31,33,33,33,31,35+2,35+2,35+2,34+2,36+2,36+2,36+2,34+2,30+2,34+2,34+2,34+2,30+2,30+2,30+2,30+2,30+2,30+2,74+1
192991,/player/192991/cenk-tosun/240002,24.0,2.0,2023-09-22,C. Tosun,Cenk Tosun,"ST, LW",75,75,4600000.0,26000.0,32,1991-06-07,183,78,327.0,Beşiktaş,68.0,Super Lig,1.0,SUB,9.0,,2022-07-01,2024.0,48,Turkey,,,,Right,4,3,2,Medium/Low,Normal (170-185),Yes,8700000.0,,"Power Header, Acrobatic",66.0,77.0,67.0,72.0,36.0,72.0,66,77,77,69,74,72,72,73,65,74,65,67,66,77,66,78,81,67,72,74,75,31,78,65,78,74.0,33,34,15,12,14,12,12,9,,75,75,75,72,73,73,73,72,71+2,71+2,71+2,71+2,67+2,67+2,67+2,71+2,54+2,54+2,54+2,54+2,54+2,51+2,50+2,50+2,50+2,51+2,19+2
245370,/player/245370/ersin-destanoglu/240002,24.0,2.0,2023-09-22,E. Destanoğlu,Ersin Destanoğlu,GK,74,79,5000000.0,14000.0,22,2001-01-01,195,88,327.0,Beşiktaş,68.0,Super Lig,1.0,SUB,1.0,,2018-07-01,2026.0,48,Turkey,,,,Right,2,1,1,Medium/Medium,Stocky (185+),No,9900000.0,,Footwork,,,,,,,14,9,10,15,5,9,10,11,15,17,40,36,23,66,25,54,62,24,68,7,18,9,5,57,15,26.0,6,13,12,74,74,72,75,74,38.0,24+2,24+2,24+2,22,24,24,24,22,24+2,24+2,24+2,23+2,24+2,24+2,24+2,23+2,20+2,21+2,21+2,21+2,20+2,20+2,22+2,22+2,22+2,20+2,73+2
