player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
187936,/player/187936/steven-nzonzi/240002,24.0,2.0,2023-09-22,S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,"CDM, CM",76,76,2600000.0,17000.0,34,1988-12-15,196,89,101033.0,Konyaspor,68.0,Super Lig,1.0,LCM,37.0,,2023-08-25,2024.0,18,France,,,,Right,3,2,2,Medium/High,Lean (185+),No,5200000.0,"#Aerial threat, #Strength","Long Ball Pass, Aerial",37.0,56.0,69.0,67.0,75.0,82.0,58,51,76,77,50,70,65,40,72,75,34,40,42,73,31,62,77,74,87,59,80,74,60,70,57,79.0,75,77,73,7,16,16,16,13,,63+2,63+2,63+2,62,64,64,64,62,66+2,66+2,66+2,64+2,72+2,72+2,72+2,64+2,69+2,75+1,75+1,75+1,69+2,69+2,76,76,76,69+2,20+2
224885,/player/224885/guilherme-haubert-sitya/240002,24.0,2.0,2023-09-22,Guilherme Sityá,Guilherme Haubert Sityá,"LB, LM",75,75,2900000.0,16000.0,33,1990-04-01,180,79,101033.0,Konyaspor,68.0,Super Lig,1.0,LB,12.0,,2020-01-20,2024.0,54,Brazil,,,,Left,3,3,1,High/High,Normal (170-185),No,5800000.0,#Engine,"Whipped Cross, Intercept",80.0,62.0,75.0,73.0,67.0,77.0,82,58,54,75,47,72,75,74,72,74,81,79,79,69,75,66,78,86,78,68,63,68,65,68,71,70.0,70,69,67,9,7,11,8,7,,67+2,67+2,67+2,72,70,70,70,72,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,74+1,72+2,72+2,72+2,74+1,73+2,69+2,69+2,69+2,73+2,15+2
223898,/player/223898/paul-bernardoni/240002,24.0,2.0,2023-09-22,P. Bernardoni,Paul Jean François Bernardoni,GK,73,75,2900000.0,11000.0,26,1997-04-18,190,78,101033.0,Konyaspor,68.0,Super Lig,1.0,GK,61.0,,2023-08-01,2025.0,18,France,,,,Left,2,1,1,Medium/Medium,Lean (185+),No,6000000.0,,Footwork,,,,,,,12,13,21,28,17,16,15,18,24,25,31,27,21,69,34,53,63,36,68,16,29,25,15,24,19,55.0,16,12,18,73,70,71,72,76,29.0,29+2,29+2,29+2,24,27,27,27,24,25+2,25+2,25+2,25+2,27+2,27+2,27+2,25+2,26+2,28+2,28+2,28+2,26+2,26+2,29+2,29+2,29+2,26+2,72+2
189303,/player/189303/nelson-miguel-castro-oliveira/240002,24.0,2.0,2023-09-22,Nélson Oliveira,Nélson Miguel Castro Oliveira,ST,73,73,2600000.0,17000.0,31,1991-08-08,185,82,101033.0,Konyaspor,68.0,Super Lig,1.0,SUB,19.0,,2023-09-04,2025.0,38,Portugal,,,,Right,4,3,1,Medium/Low,Normal (185+),Yes,5200000.0,,Press Proven,67.0,73.0,65.0,72.0,37.0,74.0,64,73,72,69,74,72,63,56,59,74,65,69,68,73,68,77,73,68,77,69,74,36,76,65,78,72.0,27,40,29,8,7,7,7,10,,73,73,73,70,72,72,72,70,70+2,70+2,70+2,70+2,66+2,66+2,66+2,70+2,55+2,55+2,55+2,55+2,55+2,53+2,52+2,52+2,52+2,53+2,15+2
243001,/player/243001/alexandru-cicaldau/240002,24.0,2.0,2023-09-22,A. Cicâldău,Alexandru Cicâldău,"CM, CAM",72,74,2900000.0,26000.0,25,1997-07-08,178,76,101033.0,Konyaspor,68.0,Super Lig,1.0,CAM,8.0,Galatasaray,,2024.0,39,Romania,1356.0,SUB,8.0,Right,4,3,1,High/High,Normal (170-185),No,,,,66.0,69.0,74.0,72.0,62.0,68.0,69,65,50,76,57,70,73,75,75,73,67,66,74,68,81,74,62,78,61,73,74,65,70,73,77,73.0,61,67,60,5,8,14,10,14,,67+2,67+2,67+2,70,70,70,70,70,72+2,72+2,72+2,71+2,72+2,72+2,72+2,71+2,68+2,70+2,70+2,70+2,68+2,67+2,64+2,64+2,64+2,67+2,16+2
225555,/player/225555/ahmet-oguz/240002,24.0,2.0,2023-09-22,A. Oğuz,Ahmet Oğuz,RB,72,72,2000000.0,12000.0,30,1993-01-16,176,83,101033.0,Konyaspor,68.0,Super Lig,1.0,RB,22.0,,2022-07-01,2024.0,48,Turkey,,,,Right,2,2,1,High/High,Normal (170-185),No,4000000.0,,"Jockey, Intercept, Long Throw",76.0,59.0,67.0,70.0,68.0,81.0,64,52,63,68,59,70,71,63,67,68,75,77,76,68,77,68,80,84,80,63,81,67,70,68,55,67.0,69,70,69,6,8,14,10,15,,66+2,66+2,66+2,68,67,67,67,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,71+1,71+1,71+1,70+2,16+2
213064,/player/213064/francisco-calvo/240002,24.0,2.0,2023-09-22,F. Calvo,Francisco Javier Calvo Quesada,CB,71,71,1500000.0,11000.0,30,1992-07-08,180,79,101033.0,Konyaspor,68.0,Super Lig,1.0,LCB,15.0,,2022-07-08,2024.0,72,Costa Rica,,,,Left,3,2,1,High/Medium,Normal (170-185),No,3000000.0,,"Power Header, Long Ball Pass, Intercept",66.0,44.0,60.0,65.0,69.0,78.0,59,41,70,64,36,64,61,42,66,63,64,67,62,70,78,55,77,77,77,39,82,72,54,52,43,64.0,64,71,68,8,15,8,12,6,,58+2,58+2,58+2,59,58,58,58,59,59+2,59+2,59+2,62+2,63+2,63+2,63+2,62+2,67+2,68+2,68+2,68+2,67+2,68+2,71,71,71,68+2,17+2
192565,/player/192565/yunus-malli/240002,24.0,2.0,2023-09-22,Y. Mallı,Yunus Mallı,"CAM, CF, CM",70,70,1300000.0,10000.0,31,1992-02-24,179,72,101033.0,Konyaspor,68.0,Super Lig,1.0,SUB,10.0,,2023-08-01,2024.0,48,Turkey,,,,Right,4,4,2,Medium/Medium,Lean (170-185),Yes,2600000.0,,Technical,68.0,66.0,71.0,72.0,33.0,50.0,69,66,40,72,68,73,74,69,67,72,71,65,73,63,79,63,53,54,52,63,39,46,70,72,81,72.0,31,29,21,13,14,14,15,10,,64+2,64+2,64+2,70,69,69,69,70,70,70,70,69+1,66+2,66+2,66+2,69+1,54+2,52+2,52+2,52+2,54+2,49+2,42+2,42+2,42+2,49+2,19+2
247086,/player/247086/louka-prip/240002,24.0,2.0,2023-09-22,L. Prip,Louka Daniel Prip Andreasen,RW,69,70,1600000.0,10000.0,26,1997-06-29,182,72,101033.0,Konyaspor,68.0,Super Lig,1.0,RW,11.0,,2023-08-21,2025.0,13,Denmark,,,,Left,3,3,1,High/Medium,Normal (170-185),No,3300000.0,,"Technical, Flair",76.0,70.0,66.0,71.0,46.0,68.0,65,68,42,67,69,70,70,63,64,70,78,75,76,66,75,75,63,81,66,68,58,46,69,67,72,68.0,45,48,45,11,7,5,15,11,,67+2,67+2,67+2,69,69,69,69,69,69+1,69+1,69+1,70,66+2,66+2,66+2,70,61+2,59+2,59+2,59+2,61+2,59+2,53+2,53+2,53+2,59+2,17+2
143809,/player/143809/muhammet-demir/240002,24.0,2.0,2023-09-22,M. Demir,Muhammet Demir,"ST, CF",69,69,1200000.0,10000.0,31,1992-01-10,180,72,101033.0,Konyaspor,68.0,Super Lig,1.0,RES,9.0,,2022-07-04,2024.0,48,Turkey,,,,Right,4,3,1,High/Low,Normal (170-185),No,2400000.0,,,70.0,70.0,66.0,67.0,37.0,67.0,64,68,71,67,67,64,71,68,63,68,71,69,74,69,78,75,78,66,67,68,66,32,72,69,70,70.0,39,35,17,14,10,12,16,6,,69,69,69,68,69,69,69,68,68+1,68+1,68+1,67+2,64+2,64+2,64+2,67+2,53+2,53+2,53+2,53+2,53+2,50+2,49+2,49+2,49+2,50+2,18+2
