player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
217546,/player/217546/nuno-miguel-jeronimo-sequeira/240002,24.0,2.0,2023-09-22,Sequeira,Nuno Miguel Ribeiro Cruz Jerónimo Sequeira,"LB, CB",77,77,7500000.0,15000.0,32,1990-08-19,184,79,131389.0,Pendikspor,68.0,Super Lig,1.0,LB,6.0,,2023-07-03,2025.0,38,Portugal,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,15000000.0,,"Jockey, Bruiser, Long Throw",67.0,60.0,72.0,72.0,77.0,78.0,76,51,76,76,50,72,78,69,73,75,65,68,64,76,64,76,82,77,77,67,79,77,62,60,64,70.0,78,78,76,7,10,15,10,10,,68+2,68+2,68+2,69,68,68,68,69,68+2,68+2,68+2,70+2,72+2,72+2,72+2,70+2,75+2,76+1,76+1,76+1,75+2,75+2,77,77,77,75+2,17+2
220334,/player/220334/oscar-romero/240002,24.0,2.0,2023-09-22,Ó. Romero,Óscar David Romero Villamayor,"CM, CAM, RW",76,76,7000000.0,16000.0,30,1992-07-04,176,74,131389.0,Pendikspor,68.0,Super Lig,1.0,CAM,10.0,,2023-08-10,2024.0,58,Paraguay,,,,Left,3,4,1,High/High,Normal (170-185),Yes,14000000.0,,"Dead Ball, Pinged Pass, Incisive Pass, Long Ball Pass, Technical, Flair, First Touch",74.0,69.0,77.0,79.0,65.0,66.0,73,67,54,79,55,80,77,74,77,78,75,74,83,73,82,73,67,79,60,72,64,65,71,80,69,76.0,66,67,62,8,7,14,14,10,,70+2,70+2,70+2,75,75,75,75,75,77-1,77-1,77-1,76,76,76,76,76,72+2,71+2,71+2,71+2,72+2,70+2,65+2,65+2,65+2,70+2,17+2
198658,/player/198658/fredrik-midtsjo/240002,24.0,2.0,2023-09-22,F. Midtsjø,Fredrik Midtsjø,"CM, CDM",74,74,4100000.0,14000.0,29,1993-08-11,175,68,131389.0,Pendikspor,68.0,Super Lig,1.0,SUB,25.0,,2023-09-07,2025.0,36,Norway,,,,Right,3,3,1,Medium/High,Normal (170-185),No,8200000.0,,"Intercept, Press Proven",76.0,63.0,73.0,72.0,72.0,78.0,71,58,58,75,60,70,66,55,74,72,75,76,71,81,82,73,75,86,75,66,78,75,66,77,51,79.0,75,73,67,8,12,11,13,13,,68+2,68+2,68+2,71,71,71,71,71,72+2,72+2,72+2,73+1,74,74,74,73+1,75-1,75-1,75-1,75-1,75-1,74,73+1,73+1,73+1,74,19+2
239048,/player/239048/halil-akbunar/240002,24.0,2.0,2023-09-22,H. Akbunar,Halil Akbunar,"RM, LM",72,72,2300000.0,12000.0,29,1993-11-09,167,68,131389.0,Pendikspor,68.0,Super Lig,1.0,LM,11.0,,2023-01-11,2026.0,48,Turkey,,,,Left,4,3,1,High/Low,Normal (170-),No,4600000.0,,"Rapid, Relentless",79.0,66.0,67.0,74.0,38.0,57.0,67,66,37,68,52,74,74,58,66,71,82,77,81,65,86,68,54,78,45,70,60,35,65,68,53,66.0,41,37,38,12,5,14,8,13,,64+2,64+2,64+2,71,69,69,69,71,70+2,70+2,70+2,71+1,66+2,66+2,66+2,71+1,59+2,55+2,55+2,55+2,59+2,55+2,45+2,45+2,45+2,55+2,16+2
224756,/player/224756/arnaud-lusamba/240002,24.0,2.0,2023-09-22,A. Lusamba,Arnaud Lusamba,"CM, CDM",71,74,2400000.0,10000.0,26,1997-01-04,180,74,131389.0,Pendikspor,68.0,Super Lig,1.0,RDM,66.0,Alanyaspor,,2024.0,110,Congo DR,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,,,Technical,72.0,64.0,70.0,74.0,64.0,70.0,72,64,61,70,53,73,62,68,69,74,73,71,81,69,77,66,76,80,73,61,50,68,70,72,69,68.0,62,64,65,9,8,14,6,12,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,72+2,71+2,71+2,71+2,72+2,70+2,68+2,68+2,68+2,70+2,69+2,65+2,65+2,65+2,69+2,16+2
240914,/player/240914/emeka-friday-eze/240002,24.0,2.0,2023-09-22,E. Eze,Emeka Friday Eze,ST,71,73,2400000.0,11000.0,26,1996-09-26,185,80,131389.0,Pendikspor,68.0,Super Lig,1.0,ST,90.0,,2023-08-03,2025.0,133,Nigeria,,,,Right,3,3,1,High/Medium,Stocky (185+),No,5000000.0,,,76.0,72.0,55.0,67.0,26.0,80.0,45,73,68,61,55,66,50,52,47,68,75,76,72,68,65,78,85,73,86,69,71,14,69,64,69,70.0,37,15,11,13,13,13,8,14,,71+2,71+2,71+2,66,69,69,69,66,66+2,66+2,66+2,65+2,59+2,59+2,59+2,65+2,47+2,46+2,46+2,46+2,47+2,44+2,44+2,44+2,44+2,44+2,18+2
259204,/player/259204/endri-cekici/240002,24.0,2.0,2023-09-22,E. Çekiçi,Endri Çekiçi,"CAM, CM",70,73,2100000.0,9000.0,26,1996-11-23,178,69,131389.0,Pendikspor,68.0,Super Lig,1.0,SUB,8.0,,2023-08-18,2025.0,1,Albania,,,,Left,4,3,1,Medium/Medium,Normal (170-185),No,4400000.0,,,67.0,71.0,70.0,69.0,63.0,62.0,68,68,58,72,68,69,70,68,69,71,68,67,69,67,71,78,66,68,60,73,57,66,70,72,65,64.0,59,65,63,14,11,9,6,12,,68+2,68+2,68+2,69,70,70,70,69,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,67+2,66+2,66+2,66+2,67+2,66+2,63+2,63+2,63+2,66+2,17+2
202330,/player/202330/abdoulay-diaby/240002,24.0,2.0,2023-09-22,A. Diaby,Abdoulay Diaby,"RM, LM, ST",70,70,1300000.0,9000.0,32,1991-05-21,173,66,131389.0,Pendikspor,68.0,Super Lig,1.0,SUB,21.0,,2023-07-18,2024.0,126,Mali,,,,Left,2,3,1,Medium/Low,Normal (170-185),No,2600000.0,,Rapid,83.0,69.0,66.0,72.0,37.0,56.0,67,68,66,68,72,70,67,49,63,68,84,82,87,67,85,74,75,50,56,65,61,33,76,66,63,76.0,35,34,30,12,14,8,7,9,,70,70,70,71-1,71-1,71-1,71-1,71-1,70,70,70,69+1,63+2,63+2,63+2,69+1,54+2,52+2,52+2,52+2,54+2,52+2,48+2,48+2,48+2,52+2,17+2
221629,/player/221629/leandro-kappel/240002,24.0,2.0,2023-09-22,L. Kappel,Leandro Deyrinio Kappel,"RW, LW",69,69,875000.0,8000.0,33,1989-11-14,183,75,131389.0,Pendikspor,68.0,Super Lig,1.0,SUB,7.0,,2022-07-01,2024.0,92,Suriname,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1800000.0,,Technical,82.0,67.0,63.0,71.0,32.0,68.0,67,65,60,65,71,71,67,48,57,70,84,80,81,61,66,74,81,76,73,64,40,22,67,61,61,70.0,35,28,30,15,6,11,11,10,,68+1,68+1,68+1,69,68,68,68,69,67+2,67+2,67+2,69,61+2,61+2,61+2,69,54+2,49+2,49+2,49+2,54+2,51+2,45+2,45+2,45+2,51+2,16+2
229064,/player/229064/joher-khadim-rassoul/240002,24.0,2.0,2023-09-22,J. Rassoul,Joher Khadim Rassoul,"CB, LB",68,69,1200000.0,6000.0,27,1995-12-31,187,81,131389.0,Pendikspor,68.0,Super Lig,1.0,LCB,14.0,,2023-07-19,2025.0,136,Senegal,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,2500000.0,,"Long Ball Pass, Slide Tackle",72.0,46.0,57.0,63.0,66.0,78.0,56,34,59,61,35,63,51,38,64,63,66,76,64,64,53,68,77,69,84,55,74,67,52,51,44,66.0,65,67,68,10,15,14,8,9,,57+2,57+2,57+2,58,58,58,58,58,58+2,58+2,58+2,60+2,61+2,61+2,61+2,60+2,65+2,66+2,66+2,66+2,65+2,65+2,68+1,68+1,68+1,65+2,17+2
