player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198143,/player/198143/samuel-saiz-alonso/240002,24.0,2.0,2023-09-22,Samu Sáiz,Samuel Sáiz Alonso,"CAM, LM",74,74,3300000.0,17000.0,32,1991-01-22,174,68,101041.0,Sivasspor,68.0,Super Lig,1.0,LCM,24.0,,2023-01-28,2024.0,45,Spain,,,,Right,3,4,1,High/Medium,Normal (170-185),No,6600000.0,,"Technical, Flair, Trivela",76.0,73.0,73.0,77.0,31.0,69.0,74,72,64,77,68,76,80,69,68,77,78,74,82,73,84,76,77,75,70,73,56,25,74,69,77,68.0,27,30,20,9,9,14,15,15,,73+1,73+1,73+1,75-1,74,74,74,75-1,74,74,74,75-1,69+2,69+2,69+2,75-1,56+2,54+2,54+2,54+2,56+2,52+2,46+2,46+2,46+2,52+2,19+2
230800,/player/230800/rey-manaj/240002,24.0,2.0,2023-09-22,R. Manaj,Rey Manaj,ST,72,75,3100000.0,15000.0,26,1997-02-24,182,76,101041.0,Sivasspor,68.0,Super Lig,1.0,ST,9.0,,2023-08-22,2025.0,1,Albania,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,6400000.0,,,67.0,72.0,54.0,71.0,28.0,70.0,43,75,70,68,66,71,42,57,46,73,67,67,60,71,75,72,76,63,75,67,65,12,72,49,71,67.0,42,14,21,7,10,8,8,14,,72+2,72+2,72+2,67,69,69,69,67,66+2,66+2,66+2,65+2,58+2,58+2,58+2,65+2,47+2,47+2,47+2,47+2,47+2,45+2,44+2,44+2,44+2,45+2,16+2
272872,/player/272872/roman-kvet/240002,24.0,2.0,2023-09-22,R. Květ,Roman Květ,"CAM, CDM",71,75,2600000.0,700.0,25,1997-12-17,187,84,101041.0,Sivasspor,68.0,Super Lig,1.0,SUB,19.0,Viktoria Plzeň,,2024.0,12,Czech Republic,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,,,,72.0,72.0,70.0,70.0,58.0,73.0,68,71,49,74,66,71,64,69,63,71,73,72,71,71,56,80,71,78,76,72,61,62,65,70,68,69.0,58,59,56,14,11,6,10,11,,69+2,69+2,69+2,71,71,71,71,71,71+2,71+2,71+2,71+2,69+2,69+2,69+2,71+2,67+2,66+2,66+2,66+2,67+2,65+2,62+2,62+2,62+2,65+2,18+2
212273,/player/212273/clinton-njie/240002,24.0,2.0,2023-09-22,C. Njie,Clinton Mua N'Jie,"RM, ST",71,71,1800000.0,12000.0,29,1993-08-15,175,68,101041.0,Sivasspor,68.0,Super Lig,1.0,RM,10.0,,2022-07-29,2024.0,103,Cameroon,,,,Right,2,3,1,Medium/Low,Normal (170-185),Yes,3600000.0,,Technical,80.0,67.0,63.0,73.0,32.0,66.0,67,67,64,66,69,72,65,46,58,71,79,81,77,71,81,75,76,68,65,62,62,32,71,60,56,71.0,24,30,27,13,10,9,9,11,,70+1,70+1,70+1,70,70,70,70,70,68+2,68+2,68+2,70+1,62+2,62+2,62+2,70+1,55+2,51+2,51+2,51+2,55+2,52+2,46+2,46+2,46+2,52+2,17+2
207645,/player/207645/modou-barrow/240002,24.0,2.0,2023-09-22,M. Barrow,Modou Barrow,"RM, LM",70,70,1500000.0,18000.0,30,1992-10-13,177,60,101041.0,Sivasspor,68.0,Super Lig,1.0,SUB,77.0,Al Ahli Jeddah,,2024.0,116,Gambia,,,,Left,2,4,1,Medium/Low,Lean (170-185),Yes,,"#Speedster, #Acrobat","Rapid, Quick Step",92.0,63.0,61.0,72.0,37.0,57.0,64,64,47,60,61,74,61,55,59,62,93,91,90,65,86,62,66,65,52,61,55,50,71,62,58,68.0,28,36,34,11,12,13,12,7,,65+2,65+2,65+2,70,68,68,68,70,67+2,67+2,67+2,69+1,61+2,61+2,61+2,69+1,57+2,52+2,52+2,52+2,57+2,55+2,46+2,46+2,46+2,55+2,17+2
246929,/player/246929/gerson-rodrigues-gouveia/240002,24.0,2.0,2023-09-22,Gerson Rodrigues,Gerson Leal Rodrigues Gouveia,"LM, ST",70,70,1600000.0,600.0,28,1995-06-20,185,85,101041.0,Sivasspor,68.0,Super Lig,1.0,LM,11.0,Dynamo Kyiv,,2024.0,31,Luxembourg,,,,Right,2,4,1,Medium/Medium,Lean (185+),No,,#Strength,"Long Ball Pass, Rapid, Flair, Acrobatic",82.0,65.0,64.0,67.0,44.0,80.0,66,63,66,70,63,71,49,52,58,66,82,82,60,71,52,69,81,70,88,64,71,44,70,61,73,65.0,38,46,31,14,6,13,11,9,,70,70,70,69,69,69,69,69,68+2,68+2,68+2,69+1,64+2,64+2,64+2,69+1,59+2,58+2,58+2,58+2,59+2,57+2,56+2,56+2,56+2,57+2,17+2
245535,/player/245535/abdulkadir-parmak/240002,24.0,2.0,2023-09-22,A. Parmak,Abdulkadir Parmak,"CDM, CM",69,70,1300000.0,8000.0,28,1994-12-28,176,70,101041.0,Sivasspor,68.0,Super Lig,1.0,SUB,5.0,,2023-07-15,2025.0,48,Turkey,,,,Right,3,3,1,Medium/High,Lean (170-185),No,2700000.0,,Finesse Shot,75.0,65.0,68.0,70.0,68.0,69.0,66,55,63,70,70,68,78,70,69,69,75,75,80,66,78,80,74,75,68,73,65,67,63,65,67,69.0,68,69,67,10,8,6,9,11,,67+2,67+2,67+2,68,67,67,67,68,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,69+1,68+2,68+2,68+2,69+1,69+1,68+2,68+2,68+2,69+1,16+2
223313,/player/223313/hakan-arslan/240002,24.0,2.0,2023-09-22,H. Arslan,Hakan Arslan,"CM, CDM",69,69,650000.0,9000.0,34,1988-07-18,186,76,101041.0,Sivasspor,68.0,Super Lig,1.0,CDM,37.0,,2013-01-11,2024.0,48,Turkey,,,,Right,3,3,1,Medium/High,Lean (185+),No,1300000.0,,,59.0,69.0,66.0,69.0,69.0,75.0,59,67,64,71,53,68,62,59,64,70,65,54,69,69,59,74,75,75,76,72,70,68,73,68,61,73.0,71,70,65,16,11,11,10,14,,69,69,69,67,69,69,69,67,69,69,69,67+2,69,69,69,67+2,67+2,69,69,69,67+2,67+2,69,69,69,67+2,19+2
236458,/player/236458/achilleas-poungouras/240002,24.0,2.0,2023-09-22,A. Poungouras,Achilleas Poungouras,CB,68,69,1200000.0,7000.0,27,1995-12-13,187,77,101041.0,Sivasspor,68.0,Super Lig,1.0,SUB,44.0,,2023-08-11,2025.0,22,Greece,,,,Right,4,2,1,Low/Medium,Normal (185+),No,2500000.0,,Long Ball Pass,63.0,41.0,47.0,49.0,69.0,70.0,31,29,65,58,41,44,30,37,56,49,61,64,56,69,59,65,70,67,70,48,72,71,32,42,41,58.0,69,71,67,12,7,13,8,5,,50+2,50+2,50+2,47,48,48,48,47,49+2,49+2,49+2,49+2,54+2,54+2,54+2,49+2,60+2,64+2,64+2,64+2,60+2,63+2,68+1,68+1,68+1,63+2,15+2
204372,/player/204372/emrah-bassan/240002,24.0,2.0,2023-09-22,E. Başsan,Emrah Başsan,"RM, LM",68,68,1000000.0,8000.0,31,1992-04-17,177,66,101041.0,Sivasspor,68.0,Super Lig,1.0,SUB,17.0,,2023-07-05,2025.0,48,Turkey,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,Whipped Cross,76.0,69.0,67.0,68.0,22.0,58.0,71,65,51,67,66,68,72,72,64,66,77,75,80,58,79,74,63,65,53,74,61,21,67,65,61,64.0,20,14,23,12,9,15,13,8,,65+2,65+2,65+2,68,67,67,67,68,67+1,67+1,67+1,67+1,61+2,61+2,61+2,67+1,50+2,46+2,46+2,46+2,50+2,46+2,37+2,37+2,37+2,46+2,16+2
