team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
325,/team/325/galatasaray/240002,24,2,2023-09-22,Galatasaray,68,Super Lig,1.0,48,Turkey,78,80,79,78,199988.0,Sanderson Park (FIFA 13 NEW generic),326,7,10.0,,195000000.0,28.36,26.22,182494.0,220651.0,211748.0,175943.0,220651.0,201399.0,175943.0,211748.0,Pressure on heavy touch,51.0,61.0,,,,,,Fast build up,Forward runs,61.0,6.0,3.0,3.0,,,,,,,,
326,/team/326/fenerbahce/240002,24,2,2023-09-22,Fenerbahçe,68,Super Lig,1.0,48,Turkey,77,78,76,74,2823348.0,Waldstadion (Fussballstadion),325,6,9.0,,178000000.0,27.45,26.87,180930.0,199434.0,199434.0,199434.0,199434.0,199434.0,199434.0,199434.0,Pressure on heavy touch,51.0,61.0,,,,,,Fast build up,Forward runs,61.0,4.0,3.0,3.0,,,,,,,,
327,/team/327/besiktas/240002,24,2,2023-09-22,Beşiktaş,68,Super Lig,1.0,48,Turkey,75,75,76,75,455836.0,Waldstadion (Fussballstadion),326,6,8.0,,126000000.0,27.91,26.62,190113.0,212491.0,212491.0,234568.0,212491.0,199069.0,212491.0,234568.0,Press after possession loss,51.0,71.0,,,,,,Slow build up,Possession,71.0,6.0,3.0,3.0,,,,,,,,
436,/team/436/trabzonspor/240002,24,2,2023-09-22,Trabzonspor,68,Super Lig,1.0,48,Turkey,74,73,75,71,463191.0,Sanderson Park (FIFA 13 NEW generic),326,5,7.0,,38000000.0,27.73,25.63,226300.0,208250.0,208250.0,208250.0,208250.0,205678.0,208250.0,208250.0,Balanced,61.0,51.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
101016,/team/101016/adana-demirspor/240002,24,2,2023-09-22,Adana Demirspor,68,Super Lig,1.0,48,Turkey,72,71,74,73,23836.0,Stadion Europa (Generic Europe 2),741,1,2.0,,34000000.0,29.0,26.55,198200.0,193738.0,193738.0,193738.0,193738.0,204077.0,193738.0,193738.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,51.0,5.0,3.0,3.0,,,,,,,,
101014,/team/101014/istanbul-basaksehir/240002,24,2,2023-09-22,İstanbul Başakşehir,68,Super Lig,1.0,48,Turkey,71,73,71,71,30462.0,Stadion Neder,325,5,8.0,,49500000.0,28.09,26.85,190593.0,208053.0,207924.0,208053.0,208053.0,223113.0,208053.0,208053.0,Balanced,61.0,61.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
748,/team/748/samsunspor/240002,24,2,2023-09-22,Samsunspor,68,Super Lig,1.0,48,Turkey,70,70,71,67,460980.0,Stadion Europa (Generic Europe 2),436,3,4.0,,15000000.0,27.91,26.88,211287.0,218745.0,218745.0,223134.0,218745.0,218745.0,218745.0,218745.0,Balanced,61.0,51.0,,,,,,Slow build up,Possession,51.0,3.0,3.0,3.0,,,,,,,,
101007,/team/101007/ankaragucu/240002,24,2,2023-09-22,Ankaragücü,68,Super Lig,1.0,48,Turkey,70,71,70,68,37468495.0,Molton Road (Sheldon Stadium),101033,2,4.0,,24700000.0,27.27,26.22,200754.0,243914.0,273997.0,243914.0,243914.0,200754.0,243914.0,243914.0,Balanced,51.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
101033,/team/101033/konyaspor/240002,24,2,2023-09-22,Konyaspor,68,Super Lig,1.0,48,Turkey,70,68,70,70,893669.0,Stadion Europa (Generic Europe 2),101020,3,6.0,,24800000.0,28.64,26.62,224885.0,224885.0,224885.0,224885.0,224885.0,224885.0,224885.0,224885.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,5.0,3.0,3.0,,,,,,,,
111117,/team/111117/fatih-karagumruk/240002,24,2,2023-09-22,Fatih Karagümrük,68,Super Lig,1.0,48,Turkey,70,71,69,70,35468.0,Stadion Neder,111339,1,1.0,,18200000.0,28.55,26.0,252544.0,194847.0,184881.0,194847.0,194847.0,224933.0,194847.0,184881.0,Balanced,61.0,51.0,,,,,,Balanced,Balanced,61.0,4.0,3.0,3.0,,,,,,,,
