player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
201043,/player/201043/brecht-dejaegere/240002,24.0,2.0,2023-09-22,B. Dejaegere,Brecht Dejaegere,"CM, CAM",75,75,4400000.0,9000.0,32,1991-05-29,173,71,114640.0,Charlotte,39.0,Major League Soccer,1.0,SUB,10.0,,2023-07-13,2025.0,7,Belgium,,,,Right,4,3,1,High/High,Normal (170-185),No,6400000.0,,"Slide Tackle, Flair, Relentless",67.0,69.0,74.0,75.0,70.0,72.0,72,70,54,77,67,74,69,67,72,75,69,66,76,75,77,70,66,82,66,68,74,71,74,76,60,76.0,72,72,68,7,8,9,9,8,,70+2,70+2,70+2,73,73,73,73,73,74+1,74+1,74+1,74+1,75,75,75,74+1,73+2,73+2,73+2,73+2,73+2,72+2,69+2,69+2,69+2,72+2,15+2
224301,/player/224301/karol-swiderski/240002,24.0,2.0,2023-09-22,K. Świderski,Karol Świderski,"ST, CAM",74,77,5500000.0,9000.0,26,1997-01-23,184,78,114640.0,Charlotte,39.0,Major League Soccer,1.0,ST,11.0,,2022-01-27,2025.0,37,Poland,1353.0,SUB,16.0,Left,3,3,1,High/Medium,Lean (170-185),No,8400000.0,,Power Header,68.0,74.0,62.0,71.0,32.0,72.0,50,78,75,70,71,69,61,60,59,75,69,68,72,71,62,73,81,74,75,69,60,33,77,65,69,75.0,31,21,19,14,12,11,12,7,,74+2,74+2,74+2,70,72,72,72,70,71+2,71+2,71+2,69+2,65+2,65+2,65+2,69+2,52+2,52+2,52+2,52+2,52+2,49+2,47+2,47+2,47+2,49+2,18+2
238332,/player/238332/enzo-copetti/240002,24.0,2.0,2023-09-22,E. Copetti,Enzo Nahuel Copetti,"ST, RW",73,73,3300000.0,8000.0,27,1996-01-16,180,88,114640.0,Charlotte,39.0,Major League Soccer,1.0,SUB,9.0,,2023-01-31,2025.0,52,Argentina,,,,Right,4,3,1,High/High,Stocky (170-185),No,4800000.0,#Engine,"Power Header, Flair",82.0,71.0,64.0,68.0,50.0,87.0,64,72,76,69,55,66,50,44,55,68,80,83,66,74,84,79,93,91,85,64,84,47,74,68,72,67.0,45,50,47,7,9,14,15,12,,73,73,73,70,71,71,71,70,69+2,69+2,69+2,71+2,67+2,67+2,67+2,71+2,64+2,62+2,62+2,62+2,64+2,63+2,62+2,62+2,62+2,63+2,18+2
189280,/player/189280/ashley-westwood/240002,24.0,2.0,2023-09-22,A. Westwood,Ashley Westwood,"CDM, CM",72,72,1200000.0,6000.0,33,1990-04-01,175,73,114640.0,Charlotte,39.0,Major League Soccer,1.0,RCM,8.0,,2023-02-01,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,1700000.0,,Long Ball Pass,53.0,61.0,74.0,71.0,68.0,73.0,75,55,60,74,56,69,79,77,73,73,60,47,72,69,78,72,67,82,67,65,77,69,64,71,64,74.0,70,67,67,10,13,13,7,8,,64+2,64+2,64+2,67,66,66,66,67,68+2,68+2,68+2,68+2,71+1,71+1,71+1,68+2,70+2,71+1,71+1,71+1,70+2,68+2,68+2,68+2,68+2,68+2,16+2
207593,/player/207593/jere-uronen/240002,24.0,2.0,2023-09-22,J. Uronen,Jere Juhani Uronen,LB,71,71,1700000.0,6000.0,28,1994-07-13,177,69,114640.0,Charlotte,39.0,Major League Soccer,1.0,SUB,3.0,,2023-08-02,2025.0,17,Finland,1334.0,LWB,2.0,Left,4,3,1,High/Medium,Normal (170-185),No,2500000.0,,Anticipate,62.0,57.0,69.0,68.0,68.0,70.0,70,47,59,69,54,67,73,67,68,66,66,59,71,69,73,75,67,79,65,65,72,70,57,67,44,68.0,66,71,69,7,10,8,10,8,,61+2,61+2,61+2,64,63,63,63,64,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,15+2
253289,/player/253289/guzman-corujo/240002,24.0,2.0,2023-09-22,G. Corujo,Guzmán Corujo Bríccola,CB,70,71,1600000.0,5000.0,26,1996-08-02,189,85,114640.0,Charlotte,39.0,Major League Soccer,1.0,SUB,4.0,,2021-10-27,2027.0,60,Uruguay,,,,Right,2,2,1,Medium/High,Normal (185+),No,2400000.0,,"Long Ball Pass, Slide Tackle",68.0,35.0,46.0,46.0,72.0,73.0,37,30,70,57,26,41,38,29,54,49,66,69,46,58,54,53,78,63,78,26,74,73,41,38,41,50.0,71,72,73,15,8,7,8,8,,50+2,50+2,50+2,46,47,47,47,46,47+2,47+2,47+2,49+2,51+2,51+2,51+2,49+2,61+2,63+2,63+2,63+2,61+2,64+2,70+1,70+1,70+1,64+2,15+2
233222,/player/233222/kamil-jozwiak/240002,24.0,2.0,2023-09-22,K. Jóźwiak,Kamil Jóźwiak,"RM, LM",69,72,1800000.0,4000.0,25,1998-04-22,176,70,114640.0,Charlotte,39.0,Major League Soccer,1.0,RM,7.0,,2022-03-11,2025.0,37,Poland,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,2700000.0,,Rapid,84.0,55.0,60.0,72.0,42.0,64.0,64,58,41,63,49,73,61,34,56,68,85,84,85,62,81,60,66,70,68,45,45,33,63,62,52,62.0,47,44,35,10,14,8,9,13,,62+2,62+2,62+2,68,65,65,65,68,65+2,65+2,65+2,68+2,60+2,60+2,60+2,68+2,57+2,53+2,53+2,53+2,57+2,55+2,49+2,49+2,49+2,55+2,17+2
178287,/player/178287/scott-arfield/240002,24.0,2.0,2023-09-22,S. Arfield,Scott Harry Nathaniel Arfield,"CM, CAM",69,69,650000.0,4000.0,34,1988-11-01,179,80,114640.0,Charlotte,39.0,Major League Soccer,1.0,LCM,37.0,,2023-07-05,2024.0,70,Canada,,,,Right,3,2,2,High/Medium,Normal (170-185),Yes,943000.0,,,43.0,68.0,70.0,70.0,65.0,63.0,68,69,58,72,60,70,71,59,70,71,42,44,69,66,73,70,58,56,64,67,72,67,72,70,63,74.0,65,67,66,13,13,9,13,16,,66+2,66+2,66+2,66,67,67,67,66,68+1,68+1,68+1,66+2,69,69,69,66+2,64+2,68+1,68+1,68+1,64+2,63+2,65+2,65+2,65+2,63+2,19+2
202223,/player/202223/justin-meram/240002,24.0,2.0,2023-09-22,J. Meram,Justin Meram,"LM, LW",68,68,575000.0,4000.0,34,1988-12-04,185,75,114640.0,Charlotte,39.0,Major League Soccer,1.0,LM,22.0,,2023-04-24,2024.0,162,Iraq,,,,Right,4,3,1,Medium/Medium,Lean (185+),Yes,834000.0,,"Finesse Shot, Technical",69.0,66.0,65.0,70.0,55.0,67.0,64,64,59,68,64,72,73,65,56,68,72,66,75,65,63,71,71,65,67,67,69,57,65,65,64,68.0,54,54,56,13,8,8,13,6,,66+2,66+2,66+2,68,67,67,67,68,67+1,67+1,67+1,67+1,64+2,64+2,64+2,67+1,62+2,61+2,61+2,61+2,62+2,61+2,60+2,60+2,60+2,61+2,16+2
202814,/player/202814/nathan-byrne/240002,24.0,2.0,2023-09-22,N. Byrne,Nathan Byrne,"RB, LB",67,67,750000.0,3000.0,31,1992-06-05,180,84,114640.0,Charlotte,39.0,Major League Soccer,1.0,LB,14.0,,2022-08-04,2024.0,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1100000.0,,Rapid,78.0,50.0,62.0,67.0,61.0,67.0,64,48,56,66,45,67,64,34,62,66,82,75,74,60,80,54,73,77,62,50,64,60,62,58,42,60.0,60,64,62,8,8,7,10,11,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,66+1,63+2,63+2,63+2,66+1,66+1,63+2,63+2,63+2,66+1,65+2,62+2,62+2,62+2,65+2,15+2
220886,/player/220886/bill-tuiloma/240002,24.0,2.0,2023-09-22,B. Tuiloma,Bill Tuiloma,"CB, RB",67,67,875000.0,3000.0,28,1995-03-27,178,79,114640.0,Charlotte,39.0,Major League Soccer,1.0,RES,6.0,,2023-02-16,2025.0,198,New Zealand,111473.0,RB,6.0,Right,4,2,1,High/Medium,Stocky (170-185),No,1300000.0,,"Power Header, Block, Long Throw",62.0,55.0,64.0,59.0,66.0,75.0,55,50,70,71,39,58,47,72,69,60,59,64,53,64,63,78,78,73,81,50,64,65,59,60,37,63.0,65,65,65,6,12,16,8,14,,62+2,62+2,62+2,59,61,61,61,59,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,64+2,67,67,67,64+2,65+2,67,67,67,65+2,16+2
242334,/player/242334/jaylin-lindsey/240002,24.0,2.0,2023-09-22,J. Lindsey,Jaylin Lindsey,"RB, RWB, LB",66,75,1800000.0,2000.0,23,2000-03-27,178,88,114640.0,Charlotte,39.0,Major League Soccer,1.0,RB,24.0,,2022-01-01,2026.0,95,United States,,,,Right,3,2,1,High/Medium,Normal (170-185),No,3000000.0,,,79.0,44.0,57.0,62.0,61.0,72.0,62,42,52,60,38,60,46,40,57,61,76,81,72,61,72,58,74,70,75,34,64,60,51,53,36,54.0,60,64,62,9,7,10,8,7,,56+2,56+2,56+2,59,57,57,57,59,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,64+2,62+2,62+2,62+2,64+2,64+2,63+2,63+2,63+2,64+2,14+2
235425,/player/235425/derrick-jones/240002,24.0,2.0,2023-09-22,D. Jones,Derrick Jones Amaniampong,"CDM, CM, CB",66,71,1100000.0,2000.0,26,1997-03-03,193,75,114640.0,Charlotte,39.0,Major League Soccer,1.0,LCB,20.0,,2022-03-09,2023.0,95,United States,,,,Left,3,2,1,High/High,Normal (185+),No,1700000.0,,,70.0,53.0,59.0,60.0,61.0,81.0,47,46,61,67,38,61,42,56,62,61,70,70,56,64,57,69,81,78,87,52,72,64,58,60,66,60.0,63,59,57,7,5,15,8,14,,61+2,61+2,61+2,59,61,61,61,59,61+2,61+2,61+2,61+2,62+2,62+2,62+2,61+2,63+2,65+2,65+2,65+2,63+2,63+2,66+2,66+2,66+2,63+2,15+2
