player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193348,/player/193348/xherdan-shaqiri/240002,24.0,2.0,2023-09-22,X. Shaqiri,Xherdan Shaqiri,"CAM, RM",75,75,4700000.0,9000.0,31,1991-10-10,169,72,693.0,Chicago Fire,39.0,Major League Soccer,1.0,CAM,10.0,,2022-02-09,2024.0,47,Switzerland,,,,Left,4,5,3,Medium/Low,Unique,Yes,6800000.0,,"Flair, Trivela",68.0,75.0,77.0,77.0,42.0,62.0,77,69,45,77,73,78,87,82,76,77,70,67,71,72,85,87,63,50,70,79,55,47,74,76,67,79.0,30,49,48,13,12,12,11,11,,71+3,71+3,71+3,74,74,74,74,74,75,75,75,74+1,72+3,72+3,72+3,74+1,61+3,60+3,60+3,60+3,61+3,58+3,53+3,53+3,53+3,58+3,18+3
211826,/player/211826/rafael-czichos/240002,24.0,2.0,2023-09-22,R. Czichos,Rafael Czichos,"CB, LB",73,73,1500000.0,7000.0,33,1990-05-14,187,86,693.0,Chicago Fire,39.0,Major League Soccer,1.0,LCB,5.0,,2022-01-02,2024.0,21,Germany,,,,Left,3,2,1,Medium/Medium,Stocky (185+),No,2200000.0,,"Anticipate, Aerial",58.0,47.0,59.0,61.0,73.0,77.0,56,42,72,64,33,57,52,57,67,65,51,64,55,67,60,63,78,67,82,51,77,73,43,47,36,75.0,71,75,75,8,7,14,11,9,,57+2,57+2,57+2,56,56,56,56,56,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,67+2,69+2,69+2,69+2,67+2,68+2,73,73,73,68+2,15+2
193470,/player/193470/arnaud-souquet/240002,24.0,2.0,2023-09-22,A. Souquet,Arnaud Souquet,RB,72,72,1700000.0,6000.0,31,1992-02-12,179,74,693.0,Chicago Fire,39.0,Major League Soccer,1.0,RB,2.0,,2023-01-09,2023.0,18,France,,,,Right,3,3,2,Medium/Medium,Lean (170-185),No,2500000.0,,"Bruiser, Long Throw",66.0,59.0,68.0,71.0,70.0,70.0,73,56,67,71,53,71,62,46,67,72,66,66,68,71,63,73,71,76,65,55,75,69,68,65,49,72.0,69,71,71,15,10,8,13,11,,66+2,66+2,66+2,68,68,68,68,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,71+1,70+2,70+2,70+2,71+1,70+2,70+2,70+2,70+2,70+2,19+2
227772,/player/227772/gaston-gimenez/240002,24.0,2.0,2023-09-22,G. Giménez,Gastón Claudio Giménez,"CDM, CM",72,72,1600000.0,6000.0,31,1991-07-27,188,82,693.0,Chicago Fire,39.0,Major League Soccer,1.0,LDM,30.0,,2020-02-25,2023.0,58,Paraguay,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,2300000.0,,,63.0,59.0,69.0,71.0,67.0,82.0,67,52,59,70,54,72,53,63,72,71,59,66,66,69,70,73,74,82,85,63,75,70,57,72,63,77.0,67,68,68,13,16,8,12,13,,64+2,64+2,64+2,66,66,66,66,66,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,70+2,71+1,71+1,71+1,70+2,69+2,70+2,70+2,70+2,69+2,19+2
259245,/player/259245/ousmane-doumbia/240002,24.0,2.0,2023-09-22,O. Doumbia,Ousmane Doumbia,"CDM, CB",72,72,1600000.0,7000.0,31,1992-05-21,175,70,693.0,Chicago Fire,39.0,Major League Soccer,1.0,SUB,26.0,Lugano,,2023.0,108,Côte d'Ivoire,,,,Right,3,3,1,Medium/High,Normal (170-185),No,,,"Long Ball Pass, Anticipate, Technical, Relentless",72.0,58.0,66.0,71.0,69.0,78.0,65,57,61,70,41,71,49,42,67,68,71,73,74,73,79,64,76,88,75,56,75,67,65,67,51,74.0,69,73,71,12,14,13,11,12,,65+2,65+2,65+2,68,67,67,67,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,71+1,71+1,71+1,71+1,71+1,71+1,70+2,70+2,70+2,71+1,19+2
176048,/player/176048/kei-kamara/240002,24.0,2.0,2023-09-22,K. Kamara,Kaiansu Kei Kamara,ST,70,70,550000.0,4000.0,38,1984-09-01,191,86,693.0,Chicago Fire,39.0,Major League Soccer,1.0,ST,23.0,,2023-02-24,2024.0,138,Sierra Leone,,,,Right,3,3,1,Medium/High,Lean (185+),Yes,798000.0,,Power Header,68.0,69.0,63.0,68.0,39.0,73.0,64,70,75,68,66,69,60,42,51,69,64,71,66,69,61,72,82,67,77,62,69,34,69,69,72,68.0,44,30,24,11,8,11,6,16,,70,70,70,68,69,69,69,68,68+2,68+2,68+2,67+2,62+2,62+2,62+2,67+2,54+2,53+2,53+2,53+2,54+2,52+2,52+2,52+2,52+2,52+2,17+2
246335,/player/246335/federico-navarro/240002,24.0,2.0,2023-09-22,F. Navarro,Federico Darío Navarro,"CDM, CM",69,79,2900000.0,3000.0,23,2000-03-09,170,69,693.0,Chicago Fire,39.0,Major League Soccer,1.0,RDM,31.0,,2021-08-06,2025.0,52,Argentina,,,,Right,3,2,1,High/High,Normal (170-),No,4800000.0,,"Slide Tackle, Rapid",74.0,47.0,62.0,69.0,68.0,57.0,56,39,59,74,41,69,46,42,59,65,73,74,77,65,79,58,57,67,43,52,81,71,55,58,55,77.0,61,76,71,5,6,9,12,15,,57+2,57+2,57+2,63,62,62,62,63,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,68+2,16+2
242714,/player/242714/chris-mueller/240002,24.0,2.0,2023-09-22,C. Mueller,Christopher Mueller,"LM, RM",68,68,1300000.0,4000.0,26,1996-08-29,175,74,693.0,Chicago Fire,39.0,Major League Soccer,1.0,SUB,8.0,,2022-05-05,2025.0,95,United States,,,,Right,3,3,1,High/Low,Normal (170-185),No,1900000.0,,"Finesse Shot, Rapid",81.0,64.0,61.0,69.0,25.0,63.0,60,63,61,66,53,68,46,41,54,70,80,82,77,63,68,68,77,66,68,64,41,15,67,68,59,69.0,26,24,12,12,11,13,13,6,,67+1,67+1,67+1,68,68,68,68,68,68,68,68,67+1,60+2,60+2,60+2,67+1,49+2,45+2,45+2,45+2,49+2,46+2,40+2,40+2,40+2,46+2,16+2
208120,/player/208120/kacper-przybylko/240002,24.0,2.0,2023-09-22,K. Przybyłko,Kacper Przybyłko,ST,67,67,1000000.0,3000.0,30,1993-03-25,193,88,693.0,Chicago Fire,39.0,Major League Soccer,1.0,SUB,11.0,,2022-01-22,2023.0,37,Poland,,,,Right,4,2,1,Medium/Medium,Normal (185+),Yes,1500000.0,,Power Header,60.0,66.0,59.0,62.0,28.0,76.0,46,65,74,67,65,60,54,48,51,65,63,58,60,68,49,71,85,73,84,65,58,22,68,66,58,63.0,24,23,20,13,16,11,16,9,,67,67,67,63,65,65,65,63,64+2,64+2,64+2,62+2,60+2,60+2,60+2,62+2,47+2,48+2,48+2,48+2,47+2,45+2,45+2,45+2,45+2,45+2,19+2
260982,/player/260982/chris-brady/240002,24.0,2.0,2023-09-22,C. Brady,Christopher Brady,GK,66,78,1800000.0,800.0,19,2004-03-03,191,77,693.0,Chicago Fire,39.0,Major League Soccer,1.0,GK,34.0,,2020-03-24,2023.0,95,United States,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3000000.0,,,,,,,,,10,7,14,18,7,9,14,12,21,10,31,26,39,58,27,47,58,21,64,6,26,10,5,35,11,28.0,8,11,11,67,64,62,66,67,29.0,21+2,21+2,21+2,18,20,20,20,18,20+2,20+2,20+2,19+2,20+2,20+2,20+2,19+2,18+2,20+2,20+2,20+2,18+2,18+2,21+2,21+2,21+2,18+2,65+2
