player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
221634,/player/221634/luciano-acosta/240002,24.0,2.0,2023-09-22,L. Acosta,Luciano Federico Acosta,"CAM, CF",77,77,10500000.0,10000.0,29,1994-05-31,161,59,113149.0,Cincinnati,39.0,Major League Soccer,1.0,CAM,10.0,,2021-03-17,2023.0,52,Argentina,,,,Right,3,5,1,High/Medium,Normal (170-),Yes,15800000.0,,"Pinged Pass, Technical, Flair, First Touch, Trivela",79.0,68.0,71.0,83.0,46.0,56.0,64,65,53,74,69,85,72,62,71,80,87,73,88,77,92,71,61,77,40,70,69,45,80,73,54,77.0,47,49,32,13,9,6,12,10,,71+2,71+2,71+2,77,76,76,76,77,77,77,77,76+1,73+2,73+2,73+2,76+1,63+2,61+2,61+2,61+2,63+2,59+2,52+2,52+2,52+2,59+2,18+2
239910,/player/239910/aaron-boupendza/240002,24.0,2.0,2023-09-22,A. Boupendza,Aaron Salem Boupendza Pozzi,"LM, LW, ST",76,76,8000000.0,9000.0,26,1996-08-07,180,79,113149.0,Cincinnati,39.0,Major League Soccer,1.0,SUB,9.0,,2023-07-05,2025.0,115,Gabon,,,,Left,3,4,1,High/Medium,Normal (170-185),No,12000000.0,,"Finesse Shot, Rapid, Flair, Trivela",86.0,78.0,67.0,80.0,27.0,74.0,64,78,68,69,76,81,76,73,62,78,87,85,88,71,75,82,84,81,74,75,65,20,77,66,71,71.0,22,24,20,10,10,14,9,7,,77-1,77-1,77-1,76,77-1,77-1,77-1,76,75+1,75+1,75+1,75+1,67+2,67+2,67+2,75+1,54+2,51+2,51+2,51+2,54+2,51+2,45+2,45+2,45+2,51+2,16+2
204259,/player/204259/santiago-arias/240002,24.0,2.0,2023-09-22,S. Arias,Santiago Arias Naranjo,"RB, RM",75,75,4100000.0,8000.0,31,1992-01-13,178,72,113149.0,Cincinnati,39.0,Major League Soccer,1.0,RM,13.0,,2023-02-09,2023.0,56,Colombia,,,,Right,3,3,2,High/Medium,Normal (170-185),No,6200000.0,,Long Ball Pass,77.0,53.0,68.0,74.0,73.0,72.0,72,51,72,72,43,74,55,54,72,72,77,77,76,73,73,56,80,77,65,50,79,72,70,62,56,76.0,73,74,71,14,7,14,15,16,,65+2,65+2,65+2,69,68,68,68,69,69+2,69+2,69+2,71+2,70+2,70+2,70+2,71+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,73+2,20+2
236885,/player/236885/brandon-vazquez/240002,24.0,2.0,2023-09-22,B. Vazquez,Brandon Vázquez Toledo,ST,73,80,6000000.0,7000.0,24,1998-10-14,188,79,113149.0,Cincinnati,39.0,Major League Soccer,1.0,RS,19.0,,2019-11-19,2024.0,95,United States,,,,Right,3,2,1,High/Low,Normal (185+),No,10200000.0,,Power Header,76.0,71.0,54.0,66.0,34.0,77.0,44,74,80,69,69,66,34,46,45,69,77,75,64,71,56,72,92,72,81,67,67,30,74,50,64,59.0,30,29,21,15,12,9,5,15,,73+2,73+2,73+2,67,69,69,69,67,66+2,66+2,66+2,65+2,60+2,60+2,60+2,65+2,51+2,50+2,50+2,50+2,51+2,49+2,50+2,50+2,50+2,49+2,18+2
215565,/player/215565/matt-miazga/240002,24.0,2.0,2023-09-22,M. Miazga,Matthew Miazga,CB,73,75,3200000.0,7000.0,27,1995-07-19,193,84,113149.0,Cincinnati,39.0,Major League Soccer,1.0,CB,21.0,,2022-08-04,2023.0,95,United States,,,,Right,3,2,1,Low/Medium,Normal (185+),Yes,5000000.0,,Aerial,46.0,26.0,47.0,57.0,73.0,78.0,25,18,74,67,34,51,27,21,62,66,50,43,54,70,36,35,79,67,84,32,77,75,27,32,31,71.0,72,72,71,10,7,14,7,15,,47+2,47+2,47+2,46,47,47,47,46,49+2,49+2,49+2,49+2,57+2,57+2,57+2,49+2,62+2,69+2,69+2,69+2,62+2,64+2,73+2,73+2,73+2,64+2,17+2
258881,/player/258881/obinna-nwobodo/240002,24.0,2.0,2023-09-22,O. Nwobodo,Obinna Nwobodo,"CDM, CM",72,75,2800000.0,6000.0,26,1996-11-29,179,72,113149.0,Cincinnati,39.0,Major League Soccer,1.0,RCM,5.0,,2022-04-13,2024.0,133,Nigeria,,,,Right,3,3,1,High/High,Normal (170-185),No,4400000.0,#Engine,,82.0,62.0,62.0,70.0,73.0,74.0,57,56,58,67,61,71,69,48,64,66,82,82,81,65,73,75,75,90,65,67,76,76,60,59,46,66.0,73,77,73,13,12,8,12,5,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,72+2,71+2,71+2,71+2,72+2,73+2,71+2,71+2,71+2,73+2,16+2
240982,/player/240982/junior-moreno/240002,24.0,2.0,2023-09-22,J. Moreno,Júnior Leonardo Moreno Borrero,"CDM, CM",71,71,1600000.0,6000.0,29,1993-07-20,174,70,113149.0,Cincinnati,39.0,Major League Soccer,1.0,LCM,93.0,,2022-02-25,2024.0,61,Venezuela,,,,Right,4,2,1,Medium/High,Normal (170-185),Yes,2400000.0,,,62.0,58.0,68.0,64.0,68.0,75.0,65,56,60,72,48,61,73,66,72,66,56,66,54,70,76,66,70,77,75,59,74,71,54,62,61,71.0,70,68,66,6,10,6,7,11,,62+2,62+2,62+2,62,62,62,62,62,63+2,63+2,63+2,64+2,67+2,67+2,67+2,64+2,68+2,70+1,70+1,70+1,68+2,68+2,69+2,69+2,69+2,68+2,15+2
245691,/player/245691/alvaro-barreal/240002,24.0,2.0,2023-09-22,Á. Barreal,Álvaro Martín Barreal,"LM, LWB, LW",70,78,3600000.0,5000.0,22,2000-08-17,172,66,113149.0,Cincinnati,39.0,Major League Soccer,1.0,LM,31.0,,2020-09-02,2026.0,52,Argentina,,,,Left,3,3,1,High/Medium,Normal (170-185),No,6100000.0,,"Long Ball Pass, Rapid",79.0,64.0,66.0,72.0,45.0,58.0,68,62,45,66,59,74,66,67,61,70,76,81,80,57,80,69,56,72,47,67,68,45,64,67,49,60.0,27,60,55,13,10,7,9,10,,64+2,64+2,64+2,69,67,67,67,69,68+2,68+2,68+2,69+2,65+2,65+2,65+2,69+2,61+2,57+2,57+2,57+2,61+2,59+2,52+2,52+2,52+2,59+2,15+2
256666,/player/256666/yerson-mosquera/240002,24.0,2.0,2023-09-22,Y. Mosquera,Yerson Mosquera Valdelamar,CB,68,77,2500000.0,17000.0,22,2001-05-02,188,84,113149.0,Cincinnati,39.0,Major League Soccer,1.0,SUB,15.0,Wolverhampton Wanderers,,2023.0,56,Colombia,,,,Right,3,2,1,High/High,Lean (185+),Yes,,,,76.0,24.0,42.0,52.0,67.0,71.0,25,20,70,59,26,41,25,29,40,60,73,79,64,66,48,35,80,62,75,15,68,65,35,38,37,65.0,66,69,67,8,7,8,10,8,,47+2,47+2,47+2,47,47,47,47,47,48+2,48+2,48+2,49+2,50+2,50+2,50+2,49+2,60+2,61+2,61+2,61+2,60+2,63+2,68+2,68+2,68+2,63+2,15+2
266382,/player/266382/roman-celentano/240002,24.0,2.0,2023-09-22,R. Celentano,Roman Celentano,GK,68,77,2300000.0,2000.0,22,2000-09-14,192,80,113149.0,Cincinnati,39.0,Major League Soccer,1.0,GK,18.0,,2022-01-11,2027.0,95,United States,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3900000.0,,,,,,,,,14,7,14,23,5,13,12,10,16,15,22,20,25,60,22,49,59,24,72,7,22,12,4,22,18,35.0,7,14,14,70,64,65,69,67,21.0,22+2,22+2,22+2,18,20,20,20,18,19+2,19+2,19+2,19+2,20+2,20+2,20+2,19+2,20+2,22+2,22+2,22+2,20+2,19+2,23+2,23+2,23+2,19+2,67+2
221680,/player/221680/nick-hagglund/240002,24.0,2.0,2023-09-22,N. Hagglund,Nick Hagglund,CB,68,68,1000000.0,3000.0,30,1992-09-14,185,87,113149.0,Cincinnati,39.0,Major League Soccer,1.0,RCB,4.0,,2022-01-14,2023.0,95,United States,,,,Right,3,2,1,Medium/High,Stocky (185+),Yes,1500000.0,,Long Ball Pass,45.0,29.0,55.0,51.0,67.0,70.0,57,23,79,61,26,47,44,23,60,57,46,44,43,62,47,51,87,54,77,17,68,65,44,51,35,60.0,64,68,63,9,13,6,14,15,,49+2,49+2,49+2,48,48,48,48,48,49+2,49+2,49+2,51+2,55+2,55+2,55+2,51+2,59+2,63+2,63+2,63+2,59+2,60+2,68,68,68,60+2,18+2
226495,/player/226495/sergio-henrique-santos-gomes/240002,24.0,2.0,2023-09-22,Sergio Santos,Sergio Henrique Santos Gomes,ST,68,68,1200000.0,4000.0,28,1994-09-04,180,77,113149.0,Cincinnati,39.0,Major League Soccer,1.0,LS,17.0,,2022-07-08,2023.0,54,Brazil,,,,Left,4,3,1,High/Medium,Normal (170-185),Yes,1800000.0,#Speedster,"Rapid, Flair",90.0,63.0,55.0,69.0,26.0,69.0,60,64,62,59,60,69,37,35,45,69,91,89,79,62,62,68,88,67,80,54,41,18,66,59,61,62.0,28,20,14,16,14,10,14,11,,68,68,68,68,67,67,67,68,65+2,65+2,65+2,67+1,56+2,56+2,56+2,67+1,49+2,44+2,44+2,44+2,49+2,47+2,41+2,41+2,41+2,47+2,19+2
217242,/player/217242/yuya-kubo/240002,24.0,2.0,2023-09-22,Y. Kubo,久保 裕也,"CM, CDM, LM",67,67,1000000.0,3000.0,29,1993-12-24,178,73,113149.0,Cincinnati,39.0,Major League Soccer,1.0,SUB,7.0,,2020-02-12,2028.0,163,Japan,,,,Right,4,4,1,Medium/Medium,Normal (170-185),No,1500000.0,,Technical,70.0,63.0,67.0,70.0,62.0,67.0,62,60,51,69,58,68,70,70,64,69,71,70,82,68,76,68,64,76,60,65,72,64,65,67,64,66.0,61,66,58,9,11,14,11,12,,64+2,64+2,64+2,67,67,67,67,67,68-1,68-1,68-1,67,67,67,67,67,66+1,66+1,66+1,66+1,66+1,65+2,63+2,63+2,63+2,65+2,17+2
207783,/player/207783/raymon-gaddis/240002,24.0,2.0,2023-09-22,R. Gaddis,Raymon Gaddis,"RB, RM",66,66,450000.0,2000.0,33,1990-01-13,175,68,113149.0,Cincinnati,39.0,Major League Soccer,1.0,SUB,28.0,,2022-01-05,2023.0,95,United States,,,,Right,4,2,1,Medium/High,Normal (170-185),Yes,675000.0,,,66.0,29.0,52.0,63.0,65.0,63.0,54,27,59,59,30,63,55,31,52,58,64,67,75,64,75,28,63,71,59,24,65,64,57,43,39,53.0,67,67,65,15,15,9,7,14,,49+2,49+2,49+2,55,53,53,53,55,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,63+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,64+2,64+2,18+2
