player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204709,/player/204709/diego-rubio/240002,24.0,2.0,2023-09-22,D. Rubio,Diego Iván Rubio Kostner,"ST, CAM, CF",72,72,2300000.0,7000.0,30,1993-05-15,180,77,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,ST,11.0,,2019-02-12,2023.0,55,Chile,,,,Right,4,3,1,High/High,Normal (170-185),Yes,3300000.0,,"Power Header, Long Ball Pass",68.0,72.0,65.0,71.0,48.0,71.0,52,72,75,68,70,70,75,74,65,72,67,68,75,71,73,77,77,74,69,68,72,23,73,66,74,70.0,44,59,49,7,12,11,15,9,,72,72,72,69,71,71,71,69,70+2,70+2,70+2,68+2,66+2,66+2,66+2,68+2,57+2,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,57+2,17+2
205585,/player/205585/jack-price/240002,24.0,2.0,2023-09-22,J. Price,Jack Alexander Price,"CDM, CM",71,71,1600000.0,5000.0,30,1992-12-19,170,87,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,RES,19.0,,2018-02-07,2023.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-),No,2300000.0,,Long Ball Pass,43.0,51.0,74.0,65.0,65.0,73.0,70,37,51,75,34,59,68,77,78,67,48,39,69,67,83,69,60,73,71,68,81,67,49,72,50,74.0,68,65,63,14,9,15,10,9,,55+2,55+2,55+2,59,59,59,59,59,63+2,63+2,63+2,62+2,69+2,69+2,69+2,62+2,65+2,70+1,70+1,70+1,65+2,64+2,66+2,66+2,66+2,64+2,17+2
212287,/player/212287/andreas-maxso/240002,24.0,2.0,2023-09-22,A. Maxsø,Andreas Beyer Maxsø,CB,71,71,1600000.0,6000.0,29,1994-03-18,191,87,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,RCB,5.0,,2023-01-27,2025.0,13,Denmark,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,2300000.0,#Strength,"Jockey, Block, Aerial",47.0,45.0,54.0,53.0,70.0,81.0,41,47,74,66,31,41,44,35,65,66,49,45,49,66,67,52,88,77,87,31,69,69,47,46,61,68.0,71,69,67,10,9,10,16,10,,55+2,55+2,55+2,51,53,53,53,51,53+2,53+2,53+2,54+2,60+2,60+2,60+2,54+2,62+2,68+2,68+2,68+2,62+2,64+2,71,71,71,64+2,17+2
245341,/player/245341/cole-bassett/240002,24.0,2.0,2023-09-22,C. Bassett,Cole Bassett,"CAM, CM, CF",69,77,3100000.0,3000.0,21,2001-07-28,180,67,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,CAM,23.0,,2018-08-10,2024.0,95,United States,,,,Right,4,3,1,High/Medium,Lean (170-185),No,5100000.0,,,68.0,60.0,66.0,69.0,59.0,65.0,55,64,63,72,36,68,52,48,67,72,71,65,73,64,70,60,72,73,63,59,60,54,68,75,53,50.0,60,60,57,14,15,11,12,5,,65+2,65+2,65+2,67,68,68,68,67,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,63+2,64+2,64+2,64+2,63+2,62+2,61+2,61+2,61+2,62+2,17+2
258718,/player/258718/marko-ilic/240002,24.0,2.0,2023-09-22,M. Ilić,Marko Ilić,GK,69,74,1600000.0,3000.0,25,1998-02-03,191,81,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,GK,1.0,,2023-07-16,2025.0,51,Serbia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2400000.0,,,,,,,,,11,9,11,17,8,15,13,14,24,14,38,39,36,66,28,44,63,32,71,7,29,13,7,45,19,47.0,12,12,14,72,67,58,67,71,38.0,24+2,24+2,24+2,22,24,24,24,22,24+2,24+2,24+2,24+2,24+2,24+2,24+2,24+2,22+2,24+2,24+2,24+2,22+2,22+2,24+2,24+2,24+2,22+2,68+2
186998,/player/186998/william-yarbrough/240002,24.0,2.0,2023-09-22,W. Yarbrough,William Paul Yarbrough Story,GK,69,69,240000.0,3000.0,34,1989-03-20,188,75,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,SUB,22.0,,2021-02-10,2023.0,95,United States,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,348000.0,,Far Throw,,,,,,,12,17,14,32,15,18,14,12,35,21,59,56,40,66,46,53,73,34,75,16,29,12,16,52,22,48.0,25,15,14,70,64,70,70,69,58.0,32+2,32+2,32+2,30,32,32,32,30,33+2,33+2,33+2,32+2,32+2,32+2,32+2,32+2,27+2,30+2,30+2,30+2,27+2,27+2,29+2,29+2,29+2,27+2,68+1
231985,/player/231985/keegan-rosenberry/240002,24.0,2.0,2023-09-22,K. Rosenberry,Keegan Rosenberry,"RB, CB, RM",69,69,1200000.0,4000.0,29,1993-12-11,173,73,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,RB,2.0,,2019-02-13,2024.0,95,United States,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1700000.0,,Long Throw,68.0,51.0,61.0,65.0,67.0,74.0,60,48,65,65,35,62,62,48,62,63,68,68,77,68,78,66,71,86,68,45,74,68,59,57,59,68.0,67,68,64,14,15,13,6,9,,60+2,60+2,60+2,61,61,61,61,61,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,17+2
228408,/player/228408/connor-ronan/240002,24.0,2.0,2023-09-22,C. Ronan,Connor Patrick Ronan,"CM, CDM, CAM",68,71,1600000.0,4000.0,25,1998-03-06,170,70,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,LDM,20.0,,2023-01-23,2026.0,25,Republic of Ireland,,,,Right,3,3,1,High/Medium,Normal (170-),No,2400000.0,,,67.0,65.0,70.0,71.0,54.0,47.0,62,66,38,73,55,70,70,73,69,72,69,66,76,53,86,69,40,81,34,64,40,55,59,71,60,65.0,52,60,56,14,11,16,11,9,,61+2,61+2,61+2,67,66,66,66,67,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,64+2,61+2,61+2,61+2,64+2,61+2,52+2,52+2,52+2,61+2,16+2
247278,/player/247278/andrew-gutman/240002,24.0,2.0,2023-09-22,A. Gutman,Andrew David Gutman,"LB, LWB",68,71,1500000.0,3000.0,26,1996-10-02,178,72,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,LB,13.0,,2023-07-05,2023.0,95,United States,,,,Left,2,2,1,High/Medium,Normal (170-185),No,2300000.0,,,79.0,48.0,56.0,65.0,65.0,70.0,55,46,57,63,36,65,53,26,62,63,80,79,76,64,57,59,77,68,71,46,66,62,63,49,36,55.0,67,67,67,14,8,11,13,12,,60+2,60+2,60+2,62,61,61,61,62,61+2,61+2,61+2,63+2,61+2,61+2,61+2,63+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,66+2,17+2
251387,/player/251387/luis-diaz/240002,24.0,2.0,2023-09-22,L. Díaz,Luis Mario Díaz Espinoza,RM,68,70,1600000.0,3000.0,24,1998-12-06,180,72,694.0,Colorado Rapids,39.0,Major League Soccer,1.0,RES,17.0,,2023-09-07,2024.0,72,Costa Rica,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,2400000.0,#Speedster,Rapid,92.0,60.0,62.0,70.0,30.0,62.0,65,55,43,63,63,72,72,56,56,64,91,92,86,62,72,73,67,66,62,57,58,19,62,59,60,60.0,30,33,29,5,8,7,8,7,,63+2,63+2,63+2,68,66,66,66,68,65+2,65+2,65+2,67+2,58+2,58+2,58+2,67+2,53+2,48+2,48+2,48+2,53+2,50+2,42+2,42+2,42+2,50+2,13+2
